 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                hf200         hf201         hf202         hf203         hf204         hf205         hf206         hf207
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000019E-30  1.000006E-30  1.000019E-30  1.000003E-30  1.000016E-30  1.000005E-30  1.000013E-30
      3  6.264265632874E-16  1.000000E-30  1.000119E-30  1.000040E-30  1.000119E-30  1.000021E-30  1.000099E-30  1.000033E-30  1.000079E-30
      4  2.206990590178E-15  1.000000E-30  1.000420E-30  1.000142E-30  1.000419E-30  1.000074E-30  1.000350E-30  1.000115E-30  1.000279E-30
      5  6.425069294186E-15  1.000000E-30  1.001221E-30  1.000413E-30  1.001217E-30  1.000215E-30  1.001016E-30  1.000333E-30  1.000810E-30
      6  1.724777641531E-14  1.000000E-30  1.003256E-30  1.001101E-30  1.003244E-30  1.000574E-30  1.002708E-30  1.000887E-30  1.002158E-30
      7  4.527785414179E-14  1.000000E-30  1.008402E-30  1.002838E-30  1.008360E-30  1.001478E-30  1.006973E-30  1.002280E-30  1.005551E-30
      8  1.231582592127E-13  1.000000E-30  1.021803E-30  1.007329E-30  1.021605E-30  1.003807E-30  1.017984E-30  1.005859E-30  1.014274E-30
      9  4.001734798240E-13  1.000000E-30  1.060291E-30  1.019953E-30  1.058938E-30  1.010278E-30  1.048747E-30  1.015685E-30  1.038313E-30
     10  1.150918682670E-12  1.000000E-30  1.117389E-30  1.037631E-30  1.111597E-30  1.019009E-30  1.091098E-30  1.028568E-30  1.070207E-30
     11  2.802808442389E-12  1.000000E-30  1.149908E-30  1.046504E-30  1.138660E-30  1.023596E-30  1.111755E-30  1.034728E-30  1.084570E-30
     12  6.912921996243E-12  1.000009E-30  1.154660E-30  1.047544E-30  1.141913E-30  1.023663E-30  1.114038E-30  1.034810E-30  1.085936E-30
     13  1.659368270033E-11  1.079405E-30  1.182670E-30  1.063240E-30  1.162911E-30  1.062213E-30  1.120045E-30  1.066824E-30  1.092289E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
