 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ta196         ta197         ta198         ta199         ta200         ta201         ta202         ta203
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000277E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000036E-30  1.000000E-30
      3  6.264265632874E-16  1.001725E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000224E-30  1.000000E-30
      4  2.206990590178E-15  1.005997E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000790E-30  1.000000E-30
      5  6.425069294186E-15  1.016842E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002293E-30  1.000000E-30
      6  1.724777641531E-14  1.041307E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006107E-30  1.000000E-30
      7  4.527785414179E-14  1.086979E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015713E-30  1.000000E-30
      8  1.231582592127E-13  1.141207E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.040442E-30  1.000000E-30
      9  4.001734798240E-13  1.160345E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.108903E-30  1.000000E-30
     10  1.150918682670E-12  1.160778E-30  1.000041E-30  1.000000E-30  1.000005E-30  1.000000E-30  1.000000E-30  1.201189E-30  1.000000E-30
     11  2.802808442389E-12  1.157838E-30  1.000000E-30  1.000267E-30  1.000314E-30  1.000000E-30  1.000000E-30  1.244654E-30  1.000006E-30
     12  6.912921996243E-12  1.179264E-30  1.023393E-30  1.004462E-30  1.000000E-30  1.000000E-30  1.000006E-30  1.249231E-30  1.000000E-30
     13  1.659368270033E-11  1.170239E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.076730E-30  1.000000E-30  1.228442E-30  1.018472E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.226028E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
