 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o21           o22           f16           f17           f18           f19           f20           f21  
     70  3.704099468238E-02  1.860092E-29  1.000000E-30  6.627093E-28  3.483326E-19  1.202384E-17  7.619739E-16  3.340784E-25  2.410363E-26
     71  3.731378163516E-02  1.860211E-29  1.000000E-30  6.030425E-28  3.703236E-19  1.238892E-17  8.189376E-16  3.340728E-25  2.410254E-26
     72  3.757630769329E-02  1.860327E-29  1.000000E-30  5.327697E-28  3.899271E-19  1.271079E-17  8.752431E-16  3.340675E-25  2.410148E-26
     73  3.788075418501E-02  1.860460E-29  1.000000E-30  4.825425E-28  4.100039E-19  1.303983E-17  9.417399E-16  3.340613E-25  2.410026E-26
     74  3.819794660071E-02  1.860599E-29  1.000000E-30  4.243258E-28  4.270397E-19  1.332265E-17  1.011501E-15  3.340549E-25  2.409899E-26
     75  3.838080203158E-02  1.860679E-29  1.000000E-30  3.990565E-28  4.347577E-19  1.345434E-17  1.051538E-15  3.340512E-25  2.409825E-26
     76  3.859219912978E-02  1.860772E-29  1.000000E-30  3.767320E-28  4.420274E-19  1.358313E-17  1.097940E-15  3.340469E-25  2.409741E-26
     77  3.884096228080E-02  1.860881E-29  1.000000E-30  3.397813E-28  4.474085E-19  1.368801E-17  1.151328E-15  3.340419E-25  2.409641E-26
     78  3.907668434759E-02  1.860984E-29  1.000000E-30  3.070713E-28  4.491544E-19  1.373751E-17  1.200109E-15  3.340371E-25  2.409546E-26
     79  3.934936577490E-02  1.861104E-29  1.000000E-30  2.747457E-28  4.469815E-19  1.373094E-17  1.253543E-15  3.340316E-25  2.409437E-26
     80  3.961640452516E-02  1.861221E-29  1.000000E-30  2.413539E-28  4.404940E-19  1.365573E-17  1.301900E-15  3.340261E-25  2.409330E-26
     81  3.991996766101E-02  1.861354E-29  1.000000E-30  2.023873E-28  4.280264E-19  1.348551E-17  1.350945E-15  3.340200E-25  2.409208E-26
     82  4.019473378510E-02  1.861474E-29  1.000000E-30  1.784709E-28  4.123143E-19  1.325257E-17  1.388791E-15  3.340144E-25  2.409098E-26
     83  4.046928694587E-02  1.861594E-29  1.000000E-30  2.018281E-28  3.928264E-19  1.294640E-17  1.419500E-15  3.340088E-25  2.408987E-26
     84  4.074955599116E-02  1.861717E-29  1.000000E-30  1.471224E-28  3.692908E-19  1.255565E-17  1.442065E-15  3.340032E-25  2.408875E-26
     85  4.099011663524E-02  1.861823E-29  1.000000E-30  1.595134E-28  3.464571E-19  1.215632E-17  1.453212E-15  3.339983E-25  2.408778E-26
     86  4.118445936105E-02  1.861908E-29  1.000000E-30  1.729963E-28  3.265131E-19  1.179153E-17  1.456103E-15  3.339943E-25  2.408700E-26
     87  4.137235583218E-02  1.861990E-29  1.000000E-30  1.725742E-28  3.062014E-19  1.140432E-17  1.453331E-15  3.339905E-25  2.408625E-26
     88  4.152714488067E-02  1.862058E-29  1.000000E-30  1.875993E-28  2.888901E-19  1.106119E-17  1.446758E-15  3.339874E-25  2.408563E-26
     89  4.165981986900E-02  1.862116E-29  1.000000E-30  2.015609E-28  2.737641E-19  1.075090E-17  1.437965E-15  3.339847E-25  2.408510E-26
     90  4.188596337322E-02  1.862215E-29  1.000000E-30  9.796862E-29  2.476948E-19  1.019118E-17  1.416222E-15  3.339801E-25  2.408419E-26
     91  4.208159634323E-02  1.862301E-29  1.000000E-30  1.427312E-28  2.252169E-19  9.680137E-18  1.390615E-15  3.339762E-25  2.408341E-26
     92  4.230932596557E-02  1.862401E-29  1.000000E-30  9.009372E-29  1.996410E-19  9.061350E-18  1.353232E-15  3.339715E-25  2.408249E-26
     93  4.251598135750E-02  1.862491E-29  1.000000E-30  1.195182E-28  1.774169E-19  8.485057E-18  1.312772E-15  3.339673E-25  2.408166E-26
     94  4.274368410830E-02  1.862591E-29  1.000000E-30  7.633046E-29  1.545171E-19  7.844514E-18  1.262055E-15  3.339627E-25  2.408075E-26
     95  4.294191711445E-02  1.862678E-29  1.000000E-30  1.455233E-28  1.362493E-19  7.290590E-18  1.213642E-15  3.339587E-25  2.407996E-26
     96  4.316569238790E-02  1.862776E-29  1.000000E-30  1.208742E-28  1.177301E-19  6.678740E-18  1.155521E-15  3.339542E-25  2.407906E-26
     97  4.339365876136E-02  1.862875E-29  1.000000E-30  7.755458E-29  1.012922E-19  6.079412E-18  1.094002E-15  3.339495E-25  2.407814E-26
     98  4.362382833621E-02  1.862976E-29  1.000000E-30  7.827948E-29  8.718662E-20  5.507441E-18  1.031126E-15  3.339449E-25  2.407722E-26
     99  4.384703699487E-02  1.863074E-29  1.000000E-30  9.832005E-29  7.578718E-20  4.991171E-18  9.708928E-16  3.339404E-25  2.407633E-26
    100  4.408801045744E-02  1.863180E-29  1.000000E-30  8.162268E-29  6.577819E-20  4.481703E-18  9.082169E-16  3.339355E-25  2.407536E-26
    101  4.430336182063E-02  1.863274E-29  1.000000E-30  1.435385E-28  5.860631E-20  4.070947E-18  8.553081E-16  3.339311E-25  2.407450E-26
    102  4.453208602613E-02  1.863374E-29  1.000000E-30  1.162867E-28  5.257142E-20  3.682844E-18  8.034833E-16  3.339265E-25  2.407358E-26
    103  4.474836808964E-02  1.863469E-29  1.000000E-30  1.690965E-28  4.813712E-20  3.362251E-18  7.595082E-16  3.339221E-25  2.407271E-26
    104  4.497736119052E-02  1.863569E-29  1.000000E-30  1.449413E-28  4.455187E-20  3.070840E-18  7.189372E-16  3.339174E-25  2.407179E-26
    105  4.517199675598E-02  1.863654E-29  1.000000E-30  2.229947E-28  4.224073E-20  2.860331E-18  6.896570E-16  3.339135E-25  2.407101E-26
    106  4.536038532241E-02  1.863737E-29  1.000000E-30  2.337695E-28  4.052913E-20  2.687115E-18  6.660432E-16  3.339097E-25  2.407026E-26
    107  4.552484255766E-02  1.863809E-29  1.000000E-30  3.279555E-28  3.938522E-20  2.558728E-18  6.492833E-16  3.339063E-25  2.406960E-26
    108  4.581275722245E-02  1.863935E-29  1.000000E-30  1.000000E-30  3.800362E-20  2.379669E-18  6.284824E-16  3.339005E-25  2.406844E-26
    109  4.603616864208E-02  1.864032E-29  1.000000E-30  8.441224E-29  3.735793E-20  2.275982E-18  6.196873E-16  3.338960E-25  2.406755E-26
    110  4.624194314299E-02  1.864122E-29  1.000000E-30  9.769353E-29  3.701120E-20  2.203664E-18  6.170448E-16  3.338918E-25  2.406672E-26
    111  4.641297951594E-02  1.864197E-29  1.000000E-30  2.027296E-28  3.686510E-20  2.157902E-18  6.186302E-16  3.338883E-25  2.406604E-26
    112  4.656990459822E-02  1.864266E-29  1.000000E-30  2.135673E-28  3.682231E-20  2.125815E-18  6.229716E-16  3.338851E-25  2.406541E-26
    113  4.671253119976E-02  1.864328E-29  1.000000E-30  2.284924E-28  3.684607E-20  2.103860E-18  6.292169E-16  3.338823E-25  2.406484E-26
    114  4.684580987606E-02  1.864387E-29  1.000000E-30  2.307804E-28  3.691341E-20  2.088816E-18  6.369541E-16  3.338796E-25  2.406430E-26
    115  4.697520204195E-02  1.864443E-29  1.000000E-30  2.137369E-28  3.701410E-20  2.078703E-18  6.461578E-16  3.338769E-25  2.406379E-26
    116  4.709649788536E-02  1.864496E-29  1.000000E-30  2.142437E-28  3.713547E-20  2.072814E-18  6.562476E-16  3.338745E-25  2.406330E-26
    117  4.721637454993E-02  1.864549E-29  1.000000E-30  1.896520E-28  3.727738E-20  2.070056E-18  6.675650E-16  3.338720E-25  2.406282E-26
    118  4.732862910872E-02  1.864598E-29  1.000000E-30  1.915803E-28  3.742734E-20  2.069967E-18  6.793410E-16  3.338698E-25  2.406237E-26
    119  4.750539400184E-02  1.864675E-29  1.000000E-30  6.014398E-30  3.769161E-20  2.074182E-18  7.001267E-16  3.338662E-25  2.406166E-26
    120  4.767210524850E-02  1.864748E-29  1.000000E-30  8.090088E-30  3.796665E-20  2.082456E-18  7.221683E-16  3.338628E-25  2.406099E-26
    121  4.783406579930E-02  1.864819E-29  1.000000E-30  7.577591E-30  3.825287E-20  2.093988E-18  7.457917E-16  3.338595E-25  2.406034E-26
    122  4.799263518131E-02  1.864888E-29  1.000000E-30  5.988893E-30  3.854750E-20  2.108270E-18  7.710098E-16  3.338563E-25  2.405971E-26
    123  4.815339657435E-02  1.864959E-29  1.000000E-30  5.942820E-30  3.885833E-20  2.125673E-18  7.987559E-16  3.338530E-25  2.405906E-26
    124  4.832264594384E-02  1.865033E-29  1.000000E-30  4.769166E-30  3.919428E-20  2.146592E-18  8.302277E-16  3.338496E-25  2.405839E-26
    125  4.849826454798E-02  1.865110E-29  1.000000E-30  3.472381E-30  3.954907E-20  2.170829E-18  8.653425E-16  3.338461E-25  2.405768E-26
    126  4.867786870736E-02  1.865188E-29  1.000000E-30  2.342482E-30  3.991520E-20  2.198024E-18  9.038717E-16  3.338424E-25  2.405696E-26
    127  4.885872256535E-02  1.865267E-29  1.000000E-30  1.483843E-30  4.028418E-20  2.227644E-18  9.453911E-16  3.338388E-25  2.405624E-26
    128  4.903755607841E-02  1.865346E-29  1.000000E-30  1.304787E-30  4.064647E-20  2.258960E-18  9.891984E-16  3.338351E-25  2.405552E-26
    129  4.921259737621E-02  1.865422E-29  1.000000E-30  1.141736E-30  4.099604E-20  2.291421E-18  1.034806E-15  3.338316E-25  2.405482E-26
    130  4.938368810460E-02  1.865497E-29  1.000000E-30  1.060510E-30  4.133057E-20  2.324774E-18  1.082084E-15  3.338281E-25  2.405414E-26
    131  4.955132280349E-02  1.865570E-29  1.000000E-30  1.048860E-30  4.164935E-20  2.358931E-18  1.131092E-15  3.338247E-25  2.405346E-26
    132  4.971624312404E-02  1.865642E-29  1.000000E-30  1.080466E-30  4.195225E-20  2.393902E-18  1.182003E-15  3.338214E-25  2.405280E-26
    133  4.987811857735E-02  1.865713E-29  1.000000E-30  1.142115E-30  4.223733E-20  2.429503E-18  1.234687E-15  3.338181E-25  2.405215E-26
    134  5.003799836445E-02  1.865783E-29  1.000000E-30  1.214468E-30  4.250610E-20  2.466216E-18  1.289669E-15  3.338148E-25  2.405151E-26
    135  5.019682549602E-02  1.865853E-29  1.000000E-30  1.286155E-30  4.275769E-20  2.503894E-18  1.347154E-15  3.338116E-25  2.405088E-26
    136  5.035511419132E-02  1.865922E-29  1.000000E-30  1.355062E-30  4.299120E-20  2.542587E-18  1.407393E-15  3.338084E-25  2.405024E-26
    137  5.051299755300E-02  1.865991E-29  1.000000E-30  1.422806E-30  4.320507E-20  2.582298E-18  1.470543E-15  3.338052E-25  2.404961E-26
    138  5.067010535678E-02  1.866060E-29  1.000000E-30  1.493647E-30  4.339709E-20  2.622907E-18  1.536561E-15  3.338020E-25  2.404898E-26
