 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o21           o22           f16           f17           f18           f19           f20           f21  
    178  5.927019313219E-02  1.869817E-29  1.000000E-30  1.000000E-30  1.270159E-20  5.668413E-18  1.688986E-14  3.336278E-25  2.401456E-26
    179  5.955970264735E-02  1.869943E-29  1.000000E-30  1.000000E-30  1.184230E-20  5.730766E-18  1.808143E-14  3.336219E-25  2.401340E-26
    180  5.987296131417E-02  1.870080E-29  1.000000E-30  1.000000E-30  1.098319E-20  5.795101E-18  1.945657E-14  3.336156E-25  2.401215E-26
    181  6.018239261751E-02  1.870215E-29  1.000000E-30  1.051889E-29  1.020524E-20  5.854458E-18  2.090387E-14  3.336093E-25  2.401091E-26
    182  6.051941164510E-02  1.870362E-29  1.000000E-30  1.196154E-29  9.432911E-21  5.914064E-18  2.258568E-14  3.336025E-25  2.400957E-26
    183  6.081686890997E-02  1.870492E-29  1.000000E-30  1.569947E-28  8.811851E-21  5.962055E-18  2.416564E-14  3.335965E-25  2.400838E-26
    184  6.107970107709E-02  1.870607E-29  1.000000E-30  1.000000E-30  8.307085E-21  6.000698E-18  2.563951E-14  3.335911E-25  2.400733E-26
    185  6.149099227918E-02  1.870786E-29  1.000000E-30  1.661318E-28  7.592689E-21  6.054128E-18  2.810117E-14  3.335828E-25  2.400568E-26
    186  6.184187848266E-02  1.870939E-29  1.000000E-30  1.000000E-30  7.048102E-21  6.093313E-18  3.036224E-14  3.335757E-25  2.400428E-26
    187  6.212841772032E-02  1.871064E-29  1.000000E-30  1.000000E-30  6.644874E-21  6.120130E-18  3.232037E-14  3.335699E-25  2.400313E-26
    188  6.241083345826E-02  1.871187E-29  1.000000E-30  1.000000E-30  6.280836E-21  6.141840E-18  3.435203E-14  3.335642E-25  2.400200E-26
    189  6.286334795077E-02  1.871385E-29  1.000000E-30  1.519046E-28  5.759848E-21  6.166617E-18  3.782648E-14  3.335550E-25  2.400019E-26
    190  6.324448148531E-02  1.871551E-29  1.000000E-30  1.000000E-30  5.373928E-21  6.177794E-18  4.097162E-14  3.335473E-25  2.399867E-26
    191  6.354755735680E-02  1.871683E-29  1.000000E-30  1.248857E-28  5.096197E-21  6.181077E-18  4.362873E-14  3.335411E-25  2.399746E-26
    192  6.382753282149E-02  1.871805E-29  1.000000E-30  1.000000E-30  4.860740E-21  6.179374E-18  4.620867E-14  3.335355E-25  2.399634E-26
    193  6.429792763326E-02  1.872010E-29  1.000000E-30  1.000000E-30  4.506557E-21  6.165762E-18  5.081985E-14  3.335259E-25  2.399446E-26
    194  6.470641913937E-02  1.872188E-29  1.000000E-30  1.000000E-30  4.235961E-21  6.143112E-18  5.511728E-14  3.335177E-25  2.399283E-26
    195  6.514351188605E-02  1.872379E-29  1.000000E-30  1.000000E-30  3.979042E-21  6.108035E-18  6.003242E-14  3.335088E-25  2.399108E-26
    196  6.551961572666E-02  1.872543E-29  1.000000E-30  2.515498E-30  3.780032E-21  6.070014E-18  6.454805E-14  3.335012E-25  2.398958E-26
    197  6.614173306661E-02  1.872814E-29  1.000000E-30  2.477873E-30  3.490063E-21  5.990923E-18  7.261810E-14  3.334886E-25  2.398709E-26
    198  6.666431851744E-02  1.873042E-29  1.000000E-30  3.006988E-30  3.278865E-21  5.909354E-18  8.000141E-14  3.334780E-25  2.398501E-26
    199  6.714973898932E-02  1.873253E-29  1.000000E-30  2.540040E-30  3.104572E-21  5.822240E-18  8.738573E-14  3.334682E-25  2.398307E-26
    200  6.763365269933E-02  1.873464E-29  1.000000E-30  2.374834E-30  2.946589E-21  5.726619E-18  9.530952E-14  3.334584E-25  2.398114E-26
    201  6.810748363549E-02  1.873671E-29  1.000000E-30  2.287526E-30  2.806332E-21  5.624352E-18  1.036217E-13  3.334488E-25  2.397924E-26
    202  6.886988901479E-02  1.874003E-29  1.000000E-30  2.180233E-30  2.606032E-21  5.444016E-18  1.182236E-13  3.334334E-25  2.397620E-26
    203  6.932442343830E-02  1.874201E-29  1.000000E-30  1.648631E-30  2.498349E-21  5.329053E-18  1.277184E-13  3.334242E-25  2.397438E-26
    204  6.977291475786E-02  1.874396E-29  1.000000E-30  1.978718E-30  2.399200E-21  5.211144E-18  1.377125E-13  3.334151E-25  2.397259E-26
    205  7.051837306122E-02  1.874721E-29  1.000000E-30  2.185959E-30  2.249717E-21  5.006315E-18  1.557594E-13  3.334000E-25  2.396962E-26
    206  7.120724846930E-02  1.875021E-29  1.000000E-30  2.180946E-30  2.126107E-21  4.809761E-18  1.741780E-13  3.333861E-25  2.396687E-26
    207  7.185571854523E-02  1.875303E-29  1.000000E-30  2.758910E-30  2.020153E-21  4.620724E-18  1.932168E-13  3.333729E-25  2.396428E-26
    208  7.250556240022E-02  1.875586E-29  1.000000E-30  1.000000E-30  1.925015E-21  4.428338E-18  2.140476E-13  3.333598E-25  2.396169E-26
    209  7.308358088908E-02  1.875838E-29  1.000000E-30  8.911402E-30  1.849114E-21  4.256036E-18  2.341825E-13  3.333481E-25  2.395938E-26
    210  7.365083251161E-02  1.876085E-29  1.000000E-30  6.812286E-29  1.781706E-21  4.086969E-18  2.555590E-13  3.333366E-25  2.395712E-26
    211  7.420607479025E-02  1.876326E-29  1.000000E-30  2.760439E-29  1.724043E-21  3.921741E-18  2.780872E-13  3.333254E-25  2.395490E-26
    212  7.477269193766E-02  1.876573E-29  1.000000E-30  1.122282E-28  1.674218E-21  3.753939E-18  3.028100E-13  3.333139E-25  2.395264E-26
    213  7.532671922740E-02  1.876814E-29  1.000000E-30  1.000000E-30  1.633650E-21  3.591431E-18  3.288486E-13  3.333027E-25  2.395043E-26
    214  7.590819975934E-02  1.877067E-29  1.000000E-30  1.793886E-28  1.601459E-21  3.422563E-18  3.582019E-13  3.332909E-25  2.394811E-26
    215  7.648106882397E-02  1.877316E-29  1.000000E-30  1.000000E-30  1.581509E-21  3.258076E-18  3.892105E-13  3.332793E-25  2.394583E-26
    216  7.706864365518E-02  1.877572E-29  1.000000E-30  1.000000E-30  1.573727E-21  3.091631E-18  4.232980E-13  3.332674E-25  2.394348E-26
    217  7.765097184480E-02  1.877825E-29  1.000000E-30  1.000000E-30  1.579848E-21  2.929013E-18  4.594126E-13  3.332556E-25  2.394116E-26
    218  7.824188421090E-02  1.878082E-29  1.000000E-30  1.000000E-30  1.602248E-21  2.766329E-18  4.983733E-13  3.332437E-25  2.393880E-26
    219  7.883216312169E-02  1.878339E-29  1.000000E-30  1.000000E-30  1.642262E-21  2.606335E-18  5.396219E-13  3.332318E-25  2.393645E-26
    220  7.934760137230E-02  1.878563E-29  1.000000E-30  6.666354E-29  1.692530E-21  2.468893E-18  5.775727E-13  3.332213E-25  2.393440E-26
    221  7.991019390762E-02  1.878807E-29  1.000000E-30  1.000000E-30  1.765730E-21  2.321381E-18  6.208635E-13  3.332099E-25  2.393215E-26
    222  8.044081450283E-02  1.879038E-29  1.000000E-30  1.769338E-28  1.853923E-21  2.184901E-18  6.633709E-13  3.331992E-25  2.393004E-26
    223  8.103419684334E-02  1.879296E-29  1.000000E-30  6.135067E-29  1.976800E-21  2.035762E-18  7.128335E-13  3.331872E-25  2.392767E-26
    224  8.158988408622E-02  1.879537E-29  1.000000E-30  1.000000E-30  2.118685E-21  1.899751E-18  7.607606E-13  3.331760E-25  2.392546E-26
    225  8.219791245697E-02  1.879802E-29  1.000000E-30  4.749490E-28  2.308537E-21  1.755397E-18  8.146781E-13  3.331637E-25  2.392304E-26
    226  8.273529679330E-02  1.880035E-29  1.000000E-30  1.000000E-30  2.511025E-21  1.632061E-18  8.634685E-13  3.331528E-25  2.392090E-26
    227  8.327310875316E-02  1.880269E-29  1.000000E-30  2.692893E-28  2.750611E-21  1.512878E-18  9.131586E-13  3.331419E-25  2.391875E-26
    228  8.381967664174E-02  1.880506E-29  1.000000E-30  1.618070E-28  3.034257E-21  1.396259E-18  9.640473E-13  3.331309E-25  2.391658E-26
    229  8.442137901789E-02  1.880767E-29  1.000000E-30  9.637746E-29  3.393616E-21  1.273236E-18  1.019945E-12  3.331187E-25  2.391418E-26
    230  8.496109010092E-02  1.881002E-29  1.000000E-30  2.832022E-28  3.756771E-21  1.167652E-18  1.069569E-12  3.331078E-25  2.391203E-26
    231  8.556251684447E-02  1.881263E-29  1.000000E-30  1.000000E-30  4.199904E-21  1.055266E-18  1.123064E-12  3.330956E-25  2.390964E-26
    232  8.609514523980E-02  1.881494E-29  1.000000E-30  1.833970E-28  4.617676E-21  9.603236E-19  1.167815E-12  3.330848E-25  2.390752E-26
    233  8.668730402486E-02  1.881751E-29  1.000000E-30  5.733270E-29  5.099009E-21  8.597482E-19  1.213493E-12  3.330729E-25  2.390516E-26
    234  8.725638446658E-02  1.881998E-29  1.000000E-30  1.000000E-30  5.563565E-21  7.680448E-19  1.251850E-12  3.330613E-25  2.390289E-26
    235  8.784892152766E-02  1.882255E-29  1.000000E-30  1.000000E-30  6.029507E-21  6.778441E-19  1.284183E-12  3.330494E-25  2.390053E-26
    236  8.837914431516E-02  1.882486E-29  1.000000E-30  1.000000E-30  6.414901E-21  6.018132E-19  1.305181E-12  3.330386E-25  2.389842E-26
    237  8.927467123273E-02  1.882874E-29  1.000000E-30  8.979889E-30  6.958424E-21  4.838346E-19  1.320514E-12  3.330205E-25  2.389486E-26
    238  9.009385267910E-02  1.883229E-29  1.000000E-30  1.000000E-30  7.288689E-21  3.882014E-19  1.309072E-12  3.330040E-25  2.389160E-26
    239  9.088007009323E-02  1.883570E-29  1.000000E-30  1.105740E-30  7.429926E-21  3.078997E-19  1.273934E-12  3.329881E-25  2.388847E-26
    240  9.160938796651E-02  1.883887E-29  1.000000E-30  3.752130E-30  7.399842E-21  2.437971E-19  1.220723E-12  3.329733E-25  2.388557E-26
    241  9.231864750676E-02  1.884194E-29  1.000000E-30  1.000000E-30  7.234775E-21  1.909357E-19  1.152048E-12  3.329590E-25  2.388275E-26
    242  9.335415502949E-02  1.884643E-29  1.000000E-30  1.000000E-30  6.805873E-21  1.295827E-19  1.028569E-12  3.329381E-25  2.387863E-26
    243  9.429165011748E-02  1.885050E-29  1.000000E-30  1.000000E-30  6.296142E-21  8.856208E-20  9.024616E-13  3.329191E-25  2.387490E-26
    244  9.514750284226E-02  1.885421E-29  1.000000E-30  1.000000E-30  5.791959E-21  6.113477E-20  7.837567E-13  3.329018E-25  2.387150E-26
    245  9.592869681963E-02  1.885759E-29  1.000000E-30  1.194597E-30  5.334903E-21  4.286638E-20  6.781736E-13  3.328860E-25  2.386839E-26
    246  9.638259128200E-02  1.885956E-29  1.000000E-30  2.141235E-30  5.079298E-21  3.462659E-20  6.194211E-13  3.328768E-25  2.386659E-26
    247  9.686466198075E-02  1.886165E-29  1.000000E-30  1.000000E-30  4.819329E-21  2.746854E-20  5.599948E-13  3.328671E-25  2.386467E-26
    248  9.745016881397E-02  1.886418E-29  1.000000E-30  1.489596E-30  4.521751E-21  2.060958E-20  4.925864E-13  3.328553E-25  2.386235E-26
    249  9.798964068785E-02  1.886652E-29  1.000000E-30  1.868657E-30  4.266224E-21  1.573088E-20  4.354568E-13  3.328444E-25  2.386020E-26
    250  9.892639389759E-02  1.887057E-29  1.000000E-30  1.768260E-30  3.864921E-21  9.728651E-21  3.478885E-13  3.328254E-25  2.385648E-26
    251  9.977784733458E-02  1.887426E-29  1.000000E-30  1.983406E-30  3.544513E-21  6.228171E-21  2.811345E-13  3.328082E-25  2.385310E-26
    252  1.005622893962E-01  1.887766E-29  1.000000E-30  2.087541E-30  3.282601E-21  4.098725E-21  2.294656E-13  3.327924E-25  2.384998E-26
    253  1.013070552067E-01  1.888088E-29  1.000000E-30  2.155835E-30  3.060021E-21  2.744343E-21  1.884343E-13  3.327773E-25  2.384702E-26
    254  1.019791947326E-01  1.888379E-29  1.000000E-30  2.198494E-30  2.878085E-21  1.905796E-21  1.572813E-13  3.327638E-25  2.384435E-26
    255  1.025982572428E-01  1.888647E-29  1.000000E-30  2.160554E-30  2.724342E-21  1.359824E-21  1.328969E-13  3.327512E-25  2.384190E-26
    256  1.032644197032E-01  1.888935E-29  1.000000E-30  2.158645E-30  2.572027E-21  9.458842E-22  1.107518E-13  3.327378E-25  2.383925E-26
    257  1.039121745974E-01  1.889215E-29  1.000000E-30  2.145452E-30  2.435354E-21  6.650835E-22  9.270244E-14  3.327247E-25  2.383668E-26
    258  1.045193471709E-01  1.889478E-29  1.000000E-30  2.161086E-30  2.316266E-21  4.788452E-22  7.845694E-14  3.327124E-25  2.383427E-26
    259  1.051181778144E-01  1.889737E-29  1.000000E-30  2.161291E-30  2.206516E-21  3.475938E-22  6.662004E-14  3.327003E-25  2.383189E-26
    260  1.056826419982E-01  1.889981E-29  1.000000E-30  2.156796E-30  2.109354E-21  2.581163E-22  5.717930E-14  3.326889E-25  2.382965E-26
    261  1.062431336111E-01  1.890223E-29  1.000000E-30  2.162767E-30  2.018284E-21  1.930019E-22  4.920407E-14  3.326776E-25  2.382743E-26
    262  1.068146627648E-01  1.890470E-29  1.000000E-30  2.162297E-30  1.930532E-21  1.445856E-22  4.233596E-14  3.326661E-25  2.382516E-26
    263  1.073656177930E-01  1.890709E-29  1.000000E-30  2.163070E-30  1.850391E-21  1.104337E-22  3.675161E-14  3.326549E-25  2.382297E-26
    264  1.079139362418E-01  1.890946E-29  1.000000E-30  2.162567E-30  1.774506E-21  8.524607E-23  3.203708E-14  3.326439E-25  2.382080E-26
    265  1.084202130578E-01  1.891164E-29  1.000000E-30  2.164742E-30  1.707590E-21  6.782188E-23  2.834072E-14  3.326336E-25  2.381879E-26
    266  1.089957947327E-01  1.891413E-29  1.000000E-30  2.161975E-30  1.634834E-21  5.303042E-23  2.479799E-14  3.326220E-25  2.381651E-26
    267  1.095139929398E-01  1.891637E-29  1.000000E-30  2.164539E-30  1.572050E-21  4.307420E-23  2.211755E-14  3.326116E-25  2.381445E-26
    268  1.100036617482E-01  1.891849E-29  1.000000E-30  2.165310E-30  1.514821E-21  3.581936E-23  1.995768E-14  3.326017E-25  2.381251E-26
    269  1.105581599754E-01  1.892088E-29  1.000000E-30  2.162706E-30  1.452297E-21  2.952209E-23  1.789729E-14  3.325905E-25  2.381031E-26
    270  1.111738162549E-01  1.892354E-29  1.000000E-30  2.160284E-30  1.385498E-21  2.428534E-23  1.601540E-14  3.325780E-25  2.380787E-26
    271  1.117276452796E-01  1.892593E-29  1.000000E-30  2.165147E-30  1.327617E-21  2.070901E-23  1.462101E-14  3.325668E-25  2.380567E-26
    272  1.122547306619E-01  1.892821E-29  1.000000E-30  2.163768E-30  1.274438E-21  1.804803E-23  1.351893E-14  3.325562E-25  2.380358E-26
    273  1.128196390807E-01  1.893065E-29  1.000000E-30  2.162325E-30  1.219518E-21  1.580090E-23  1.254552E-14  3.325448E-25  2.380135E-26
    274  1.134172103791E-01  1.893323E-29  1.000000E-30  2.162375E-30  1.163736E-21  1.392936E-23  1.170981E-14  3.325327E-25  2.379898E-26
    275  1.139661173569E-01  1.893560E-29  1.000000E-30  2.162951E-30  1.114544E-21  1.255190E-23  1.108766E-14  3.325217E-25  2.379680E-26
    276  1.145721141816E-01  1.893821E-29  1.000000E-30  2.160699E-30  1.062457E-21  1.132227E-23  1.053883E-14  3.325094E-25  2.379440E-26
    277  1.151138636995E-01  1.894055E-29  1.000000E-30  2.163207E-30  1.017804E-21  1.042143E-23  1.015045E-14  3.324985E-25  2.379225E-26
    278  1.160623872824E-01  1.894465E-29  1.000000E-30  2.148281E-30  9.436869E-22  9.171029E-24  9.651624E-15  3.324793E-25  2.378849E-26
    279  1.166131253687E-01  1.894702E-29  1.000000E-30  2.162959E-30  9.029274E-22  8.592296E-24  9.448775E-15  3.324682E-25  2.378631E-26
    280  1.171578902390E-01  1.894937E-29  1.000000E-30  2.168467E-30  8.641850E-22  8.100939E-24  9.298378E-15  3.324572E-25  2.378416E-26
    281  1.179966344325E-01  1.895299E-29  1.000000E-30  2.152408E-30  8.074377E-22  7.468998E-24  9.144092E-15  3.324403E-25  2.378083E-26
    282  1.184626561866E-01  1.895500E-29  1.000000E-30  2.165932E-30  7.773758E-22  7.172372E-24  9.091912E-15  3.324309E-25  2.377899E-26
    283  1.189221956404E-01  1.895698E-29  1.000000E-30  2.166388E-30  7.487274E-22  6.911653E-24  9.059967E-15  3.324216E-25  2.377717E-26
    284  1.197605220964E-01  1.896060E-29  1.000000E-30  2.158817E-30  6.988837E-22  6.504070E-24  9.041798E-15  3.324047E-25  2.377385E-26
    285  1.205341475296E-01  1.896393E-29  1.000000E-30  2.154237E-30  6.555670E-22  6.194861E-24  9.062099E-15  3.323891E-25  2.377079E-26
    286  1.212540834288E-01  1.896704E-29  1.000000E-30  2.155699E-30  6.174553E-22  5.954988E-24  9.105590E-15  3.323745E-25  2.376794E-26
    287  1.219299358624E-01  1.896995E-29  1.000000E-30  2.157954E-30  5.835181E-22  5.765875E-24  9.163413E-15  3.323609E-25  2.376526E-26
    288  1.225766858039E-01  1.897274E-29  1.000000E-30  2.159083E-30  5.526494E-22  5.613766E-24  9.231474E-15  3.323479E-25  2.376270E-26
    289  1.231854533608E-01  1.897536E-29  1.000000E-30  2.166922E-30  5.249649E-22  5.493459E-24  9.304500E-15  3.323356E-25  2.376029E-26
    290  1.237219182154E-01  1.897767E-29  1.000000E-30  2.163150E-30  5.016315E-22  5.404092E-24  9.375222E-15  3.323247E-25  2.375817E-26
    291  1.242404039059E-01  1.897991E-29  1.000000E-30  2.163882E-30  4.799939E-22  5.331317E-24  9.448116E-15  3.323143E-25  2.375612E-26
    292  1.248086455930E-01  1.898235E-29  1.000000E-30  2.173493E-30  4.572720E-22  5.265678E-24  9.532984E-15  3.323028E-25  2.375387E-26
    293  1.253177247642E-01  1.898455E-29  1.000000E-30  2.164191E-30  4.377631E-22  5.218584E-24  9.612686E-15  3.322925E-25  2.375186E-26
    294  1.258810647447E-01  1.898697E-29  1.000000E-30  2.162038E-30  4.170734E-22  5.178321E-24  9.704468E-15  3.322812E-25  2.374963E-26
    295  1.264205598797E-01  1.898930E-29  1.000000E-30  2.162962E-30  3.981152E-22  5.150635E-24  9.795721E-15  3.322703E-25  2.374749E-26
    296  1.270317883483E-01  1.899193E-29  1.000000E-30  2.166316E-30  3.775990E-22  5.131354E-24  9.902914E-15  3.322580E-25  2.374508E-26
    297  1.275757308169E-01  1.899427E-29  1.000000E-30  2.162792E-30  3.601697E-22  5.124284E-24  1.000064E-14  3.322470E-25  2.374293E-26
    298  1.286048671531E-01  1.899870E-29  1.000000E-30  2.141141E-30  3.292182E-22  5.134468E-24  1.019409E-14  3.322262E-25  2.373886E-26
    299  1.290949488661E-01  1.900081E-29  1.000000E-30  2.164819E-30  3.153609E-22  5.149770E-24  1.028872E-14  3.322163E-25  2.373692E-26
    300  1.295345101683E-01  1.900270E-29  1.000000E-30  2.166925E-30  3.033968E-22  5.168707E-24  1.037543E-14  3.322075E-25  2.373518E-26
    301  1.303954523490E-01  1.900640E-29  1.000000E-30  2.150528E-30  2.811830E-22  5.219239E-24  1.055112E-14  3.321901E-25  2.373178E-26
    302  1.308549873199E-01  1.900838E-29  1.000000E-30  2.166743E-30  2.699625E-22  5.253580E-24  1.064747E-14  3.321809E-25  2.372996E-26
    303  1.312776310019E-01  1.901020E-29  1.000000E-30  2.167448E-30  2.600209E-22  5.289439E-24  1.073808E-14  3.321723E-25  2.372829E-26
    304  1.320787884157E-01  1.901365E-29  1.000000E-30  2.152748E-30  2.421339E-22  5.368015E-24  1.091623E-14  3.321562E-25  2.372513E-26
    305  1.327308179063E-01  1.901645E-29  1.000000E-30  2.158264E-30  2.284801E-22  5.442383E-24  1.106757E-14  3.321430E-25  2.372255E-26
    306  1.333821207310E-01  1.901925E-29  1.000000E-30  2.158520E-30  2.156048E-22  5.525893E-24  1.122572E-14  3.321299E-25  2.371998E-26
    307  1.339749669338E-01  1.902180E-29  1.000000E-30  2.160783E-30  2.045267E-22  5.609431E-24  1.137621E-14  3.321179E-25  2.371764E-26
    308  1.345530840576E-01  1.902429E-29  1.000000E-30  2.163071E-30  1.942824E-22  5.697954E-24  1.152955E-14  3.321063E-25  2.371535E-26
    309  1.351098094661E-01  1.902668E-29  1.000000E-30  2.162136E-30  1.849121E-22  5.789876E-24  1.168403E-14  3.320950E-25  2.371315E-26
    310  1.359304916944E-01  1.903021E-29  1.000000E-30  2.151989E-30  1.719406E-22  5.936300E-24  1.192437E-14  3.320785E-25  2.370991E-26
    311  1.363572082699E-01  1.903204E-29  1.000000E-30  2.166689E-30  1.655721E-22  6.017653E-24  1.205572E-14  3.320699E-25  2.370823E-26
    312  1.367788244083E-01  1.903385E-29  1.000000E-30  2.167321E-30  1.595184E-22  6.101878E-24  1.219025E-14  3.320614E-25  2.370656E-26
    313  1.375777712339E-01  1.903728E-29  1.000000E-30  2.152749E-30  1.486703E-22  6.270555E-24  1.245862E-14  3.320453E-25  2.370341E-26
    314  1.380438267916E-01  1.903929E-29  1.000000E-30  2.165553E-30  1.427034E-22  6.374394E-24  1.262385E-14  3.320359E-25  2.370157E-26
    315  1.384690951451E-01  1.904111E-29  1.000000E-30  2.168454E-30  1.374779E-22  6.473163E-24  1.278083E-14  3.320273E-25  2.369989E-26
    316  1.391087445178E-01  1.904386E-29  1.000000E-30  2.158798E-30  1.299972E-22  6.628377E-24  1.302881E-14  3.320144E-25  2.369737E-26
    317  1.397002518981E-01  1.904640E-29  1.000000E-30  2.160648E-30  1.234671E-22  6.778607E-24  1.327167E-14  3.320025E-25  2.369503E-26
    318  1.402705851668E-01  1.904885E-29  1.000000E-30  2.162270E-30  1.175051E-22  6.929934E-24  1.351942E-14  3.319910E-25  2.369278E-26
    319  1.408634912375E-01  1.905140E-29  1.000000E-30  2.160559E-30  1.116376E-22  7.094515E-24  1.379260E-14  3.319791E-25  2.369044E-26
    320  1.414089642241E-01  1.905374E-29  1.000000E-30  2.162371E-30  1.065244E-22  7.251753E-24  1.405885E-14  3.319681E-25  2.368829E-26
    321  1.419220762512E-01  1.905594E-29  1.000000E-30  2.163609E-30  1.019512E-22  7.404775E-24  1.432358E-14  3.319577E-25  2.368627E-26
    322  1.422771704232E-01  1.905747E-29  1.000000E-30  2.166920E-30  9.891577E-23  7.514205E-24  1.451560E-14  3.319506E-25  2.368487E-26
    323  1.426029315631E-01  1.905886E-29  1.000000E-30  2.170845E-30  9.622074E-23  7.617006E-24  1.469844E-14  3.319440E-25  2.368358E-26
    324  1.430135230101E-01  1.906063E-29  1.000000E-30  2.167525E-30  9.294172E-23  7.749421E-24  1.493867E-14  3.319357E-25  2.368196E-26
    325  1.434683796643E-01  1.906258E-29  1.000000E-30  2.165794E-30  8.945842E-23  7.899989E-24  1.521785E-14  3.319266E-25  2.368017E-26
    326  1.440315208021E-01  1.906499E-29  1.000000E-30  2.162743E-30  8.535352E-23  8.092342E-24  1.558414E-14  3.319152E-25  2.367795E-26
    327  1.445490332405E-01  1.906721E-29  1.000000E-30  2.163272E-30  8.177578E-23  8.275897E-24  1.594338E-14  3.319048E-25  2.367591E-26
    328  1.451370980342E-01  1.906974E-29  1.000000E-30  2.160533E-30  7.792370E-23  8.491138E-24  1.637914E-14  3.318929E-25  2.367359E-26
    329  1.457052374241E-01  1.907217E-29  1.000000E-30  2.161297E-30  7.440717E-23  8.705732E-24  1.683040E-14  3.318815E-25  2.367135E-26
    330  1.463107957421E-01  1.907477E-29  1.000000E-30  2.162099E-30  7.086891E-23  8.943274E-24  1.734812E-14  3.318693E-25  2.366896E-26
    331  1.468752132891E-01  1.907719E-29  1.000000E-30  2.161363E-30  6.775525E-23  9.172042E-24  1.786784E-14  3.318579E-25  2.366674E-26
    332  1.475510939381E-01  1.908009E-29  1.000000E-30  2.157099E-30  6.424534E-23  9.454624E-24  1.854109E-14  3.318443E-25  2.366407E-26
    333  1.481899111058E-01  1.908283E-29  1.000000E-30  2.156882E-30  6.113606E-23  9.731950E-24  1.923474E-14  3.318314E-25  2.366155E-26
    334  1.491767377555E-01  1.908706E-29  1.000000E-30  2.146534E-30  5.669897E-23  1.017863E-23  2.042978E-14  3.318115E-25  2.365767E-26
    335  1.497116139607E-01  1.908935E-29  1.000000E-30  2.163699E-30  5.446784E-23  1.042941E-23  2.114677E-14  3.318008E-25  2.365556E-26
    336  1.502421520731E-01  1.909162E-29  1.000000E-30  2.162605E-30  5.236730E-23  1.068623E-23  2.191380E-14  3.317901E-25  2.365347E-26
    337  1.509052103900E-01  1.909447E-29  1.000000E-30  2.157479E-30  4.988935E-23  1.101571E-23  2.295537E-14  3.317767E-25  2.365086E-26
    338  1.515352476696E-01  1.909717E-29  1.000000E-30  2.158773E-30  4.767710E-23  1.133711E-23  2.403853E-14  3.317640E-25  2.364838E-26
    339  1.521327102765E-01  1.909972E-29  1.000000E-30  2.162175E-30  4.570055E-23  1.165205E-23  2.516204E-14  3.317520E-25  2.364602E-26
    340  1.526678407657E-01  1.910202E-29  1.000000E-30  2.162422E-30  4.402293E-23  1.194065E-23  2.625419E-14  3.317412E-25  2.364392E-26
    341  1.532481602429E-01  1.910450E-29  1.000000E-30  2.160692E-30  4.229604E-23  1.225988E-23  2.753814E-14  3.317295E-25  2.364163E-26
    342  1.535863948111E-01  1.910595E-29  1.000000E-30  2.169935E-30  4.133231E-23  1.244931E-23  2.833848E-14  3.317227E-25  2.364030E-26
    343  1.538995751697E-01  1.910729E-29  1.000000E-30  2.170989E-30  4.046722E-23  1.262807E-23  2.911812E-14  3.317164E-25  2.363907E-26
    344  1.546020187628E-01  1.911030E-29  1.000000E-30  2.156030E-30  3.861437E-23  1.303572E-23  3.100509E-14  3.317023E-25  2.363630E-26
    345  1.552062305672E-01  1.911289E-29  1.000000E-30  2.159772E-30  3.711285E-23  1.339333E-23  3.279414E-14  3.316901E-25  2.363392E-26
    346  1.557875935888E-01  1.911538E-29  1.000000E-30  2.161545E-30  3.574387E-23  1.374554E-23  3.467974E-14  3.316784E-25  2.363163E-26
    347  1.566447447202E-01  1.911904E-29  1.000000E-30  2.150121E-30  3.384982E-23  1.427708E-23  3.778869E-14  3.316611E-25  2.362826E-26
    348  1.574294426159E-01  1.912240E-29  1.000000E-30  2.153232E-30  3.223385E-23  1.477329E-23  4.101611E-14  3.316453E-25  2.362517E-26
    349  1.581710514975E-01  1.912558E-29  1.000000E-30  2.154493E-30  3.080326E-23  1.525441E-23  4.446015E-14  3.316304E-25  2.362226E-26
    350  1.588328903187E-01  1.912841E-29  1.000000E-30  2.157516E-30  2.959684E-23  1.568863E-23  4.788787E-14  3.316171E-25  2.361965E-26
    351  1.594606073659E-01  1.913109E-29  1.000000E-30  2.158229E-30  2.850934E-23  1.610516E-23  5.148418E-14  3.316044E-25  2.361718E-26
    352  1.600565792087E-01  1.913364E-29  1.000000E-30  2.159985E-30  2.752549E-23  1.650646E-23  5.525370E-14  3.315924E-25  2.361484E-26
    353  1.607059625219E-01  1.913642E-29  1.000000E-30  2.157929E-30  2.650090E-23  1.694505E-23  5.978222E-14  3.315793E-25  2.361229E-26
    354  1.613957576202E-01  1.913937E-29  1.000000E-30  2.155739E-30  2.546340E-23  1.741284E-23  6.512647E-14  3.315655E-25  2.360957E-26
    355  1.620398820205E-01  1.914212E-29  1.000000E-30  2.158060E-30  2.453949E-23  1.785299E-23  7.068497E-14  3.315525E-25  2.360704E-26
    356  1.627691861850E-01  1.914524E-29  1.000000E-30  2.154771E-30  2.353833E-23  1.834796E-23  7.769132E-14  3.315378E-25  2.360417E-26
    357  1.634667099868E-01  1.914822E-29  1.000000E-30  2.155924E-30  2.262303E-23  1.881938E-23  8.518571E-14  3.315238E-25  2.360143E-26
