 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                y95           y96           y97           y98           y99           y100          y101          y102 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000224E-30  1.000812E-30  1.002777E-30  1.000000E-30  1.005926E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.001457E-30  1.005265E-30  1.017155E-30  1.000000E-30  1.036552E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.005723E-30  1.020295E-30  1.057991E-30  1.000000E-30  1.122988E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.021780E-30  1.069747E-30  1.151679E-30  1.000000E-30  1.317861E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.000000E-30  1.095200E-30  1.224974E-30  1.330018E-30  1.058898E-30  1.644150E-30  1.000000E-30
      7  4.527785414179E-14  1.000000E-30  1.058715E-30  1.435459E-30  1.683436E-30  1.763524E-30  1.323043E-30  1.946678E-30  1.000000E-30
      8  1.231582592127E-13  1.160118E-30  1.810290E-30  2.417411E-30  2.473318E-30  2.205661E-30  1.457886E-30  2.036614E-30  1.000002E-30
      9  4.001734798240E-13  1.506611E-30  2.178300E-30  2.708104E-30  2.592735E-30  2.239361E-30  1.466347E-30  2.045812E-30  1.000279E-30
     10  1.150918682670E-12  1.495190E-30  2.146602E-30  2.653363E-30  2.542278E-30  2.211990E-30  1.445057E-30  2.025143E-30  1.000000E-30
     11  2.802808442389E-12  1.535162E-30  2.236560E-30  2.788581E-30  2.699143E-30  2.338235E-30  1.519555E-30  2.094407E-30  1.032474E-30
     12  6.912921996243E-12  1.617691E-30  2.392151E-30  2.964143E-30  2.839186E-30  2.484428E-30  1.628193E-30  2.212982E-30  1.076784E-30
     13  1.659368270033E-11  1.000000E-30  1.276548E-30  1.524100E-30  1.427577E-30  1.199483E-30  1.000000E-30  1.000000E-30  1.000000E-30
