 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pr144         pr145         pr146         pr147         pr148         pr149         pr150         pr151
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.002323E-30  1.000000E-30  1.000454E-30  1.000053E-30  1.002634E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.014375E-30  1.000000E-30  1.002821E-30  1.000512E-30  1.016307E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.048850E-30  1.000000E-30  1.009742E-30  1.003625E-30  1.055495E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.129445E-30  1.000000E-30  1.027937E-30  1.022417E-30  1.147578E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.000000E-30  1.276927E-30  1.000000E-30  1.083509E-30  1.110887E-30  1.318291E-30  1.000000E-30
      7  4.527785414179E-14  1.000015E-30  1.032483E-30  1.442509E-30  1.000000E-30  1.298180E-30  1.361913E-30  1.515965E-30  1.000000E-30
      8  1.231582592127E-13  1.001065E-30  1.228260E-30  1.507505E-30  1.000831E-30  1.703622E-30  1.592946E-30  1.594582E-30  1.000000E-30
      9  4.001734798240E-13  1.659775E-30  1.551584E-30  1.594662E-30  1.051221E-30  1.777006E-30  1.613482E-30  1.597648E-30  1.000154E-30
     10  1.150918682670E-12  1.435955E-30  1.491205E-30  1.583061E-30  1.043601E-30  1.774817E-30  1.608711E-30  1.594067E-30  1.000000E-30
     11  2.802808442389E-12  1.128156E-30  1.425563E-30  1.622742E-30  1.081393E-30  1.794028E-30  1.634695E-30  1.600083E-30  1.003995E-30
     12  6.912921996243E-12  1.195348E-30  1.286250E-30  1.487970E-30  1.000000E-30  1.765595E-30  1.636262E-30  1.654658E-30  1.017013E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.213071E-30  1.000000E-30  1.235395E-30  1.075888E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
