 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                as68          as69          as70          as71          as72          as73          as74          as75 
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.656852E-30
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.183888E-30
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.209076E-30  2.036689E-29
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.663459E-30  6.530289E-29
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.364693E-30  7.469500E-30  1.385874E-28
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.640176E-30  1.488448E-29  2.882467E-28
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.653621E-30  3.309428E-29  6.740477E-28
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.249404E-29  7.604746E-29  1.632743E-27
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.971950E-29  1.227374E-28  2.716182E-27
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.349172E-29  2.139298E-28  4.904221E-27
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.241762E-29  4.109769E-28  9.819506E-27
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.691694E-30  1.124629E-28  7.619218E-28  1.892940E-26
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.184843E-30  2.219375E-28  1.553778E-27  4.037904E-26
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.905455E-30  4.310398E-28  3.115526E-27  8.459101E-26
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.188764E-29  9.147934E-28  6.854464E-27  1.955567E-25
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.233688E-29  1.803312E-27  1.395577E-26  4.162791E-25
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.266917E-30  4.190168E-29  3.548843E-27  2.835624E-26  8.839314E-25
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.340903E-30  7.955100E-29  7.077357E-27  5.842108E-26  1.904958E-24
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.949907E-30  1.376057E-28  1.277121E-26  1.083869E-25  3.672560E-24
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.017930E-30  2.138567E-28  2.053712E-26  1.782074E-25  6.226722E-24
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.031213E-30  3.271302E-28  3.247115E-26  2.878518E-25  1.035993E-23
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.260566E-29  4.637981E-28  4.730875E-26  4.267993E-25  1.573794E-23
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.676610E-29  6.251608E-28  6.527752E-26  5.977927E-25  2.250502E-23
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.722931E-29  1.038592E-27  1.128698E-25  1.060282E-24  4.134776E-23
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.138052E-29  1.609439E-27  1.810751E-25  1.738741E-24  6.989635E-23
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.735423E-29  2.679752E-27  3.139669E-25  3.092742E-24  1.287943E-22
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.048653E-28  4.258835E-27  5.177715E-25  5.219757E-24  2.244468E-22
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.709080E-28  7.100059E-27  8.993692E-25  9.301328E-24  4.143328E-22
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.617946E-28  1.109213E-26  1.456595E-24  1.540362E-23  7.076217E-22
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.246921E-28  1.839841E-26  2.517540E-24  2.730450E-23  1.298896E-21
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.557115E-30  6.979648E-28  3.092811E-26  4.416265E-24  4.915625E-23  2.423793E-21
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  2.466786E-30  1.158697E-27  5.251986E-26  7.834833E-24  8.953426E-23  4.578577E-21
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  3.874749E-30  1.906691E-27  8.832202E-26  1.375911E-23  1.613320E-22  8.549609E-21
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  6.354705E-30  3.292549E-27  1.560812E-25  2.550750E-23  3.075730E-22  1.694556E-20
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  9.966133E-30  5.414607E-27  2.619375E-25  4.472741E-23  5.530993E-22  3.156360E-20
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.619096E-29  9.264147E-27  4.577460E-25  8.198236E-23  1.041507E-21  6.172062E-20
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  2.574367E-29  1.548844E-26  7.805190E-25  1.463828E-22  1.908089E-21  1.172246E-19
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  4.214201E-29  2.676738E-26  1.377104E-24  2.713857E-22  3.635807E-21  2.321188E-19
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  6.391736E-29  4.253933E-26  2.227430E-24  4.579985E-22  6.281562E-21  4.144214E-19
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  9.505665E-29  6.620633E-26  3.527273E-24  7.558006E-22  1.060610E-20  7.224558E-19
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.333079E-28  9.660741E-26  5.227076E-24  1.160963E-21  1.662276E-20  1.164405E-18
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  2.344850E-28  1.820752E-25  1.013268E-23  2.395363E-21  3.553874E-20  2.614747E-18
    109  4.603616864208E-02  1.000000E-30  1.227947E-30  3.527198E-28  2.887730E-25  1.644309E-23  4.077603E-21  6.221453E-20  4.756738E-18
    110  4.624194314299E-02  1.000000E-30  1.722661E-30  5.000662E-28  4.295615E-25  2.500568E-23  6.476464E-21  1.014187E-19  8.034347E-18
    111  4.641297951594E-02  1.000000E-30  2.234492E-30  6.548520E-28  5.851409E-25  3.471494E-23  9.317934E-21  1.491253E-19  1.216801E-17
    112  4.656990459822E-02  1.000000E-30  2.785770E-30  8.249332E-28  7.639540E-25  4.614205E-23  1.279356E-20  2.089056E-19  1.751541E-17
    113  4.671253119976E-02  1.000000E-30  3.354376E-30  1.003992E-27  9.601886E-25  5.896740E-23  1.683490E-20  2.799900E-19  2.406356E-17
    114  4.684580987606E-02  1.000000E-30  3.942111E-30  1.192950E-27  1.175439E-24  7.333898E-23  2.151422E-20  3.640347E-19  3.202000E-17
    115  4.697520204195E-02  1.000000E-30  4.562298E-30  1.396625E-27  1.416249E-24  8.975526E-23  2.702926E-20  4.651017E-19  4.184188E-17
    116  4.709649788536E-02  1.000000E-30  5.185295E-30  1.605678E-27  1.672416E-24  1.075753E-22  3.319752E-20  5.803412E-19  5.332523E-17
    117  4.721637454993E-02  1.000000E-30  5.837583E-30  1.829397E-27  1.956232E-24  1.277135E-22  4.037212E-20  7.169116E-19  6.726791E-17
    118  4.732862910872E-02  1.000000E-30  6.478640E-30  2.054147E-27  2.251088E-24  1.490421E-22  4.818439E-20  8.683242E-19  8.309023E-17
    119  4.750539400184E-02  1.000000E-30  7.540613E-30  2.437336E-27  2.775612E-24  1.879289E-22  6.293573E-20  1.160856E-18  1.145788E-16
    120  4.767210524850E-02  1.000000E-30  8.593124E-30  2.830845E-27  3.342010E-24  2.311602E-22  8.001932E-20  1.508818E-18  1.533467E-16
    121  4.783406579930E-02  1.000000E-30  9.654525E-30  3.242025E-27  3.963207E-24  2.799285E-22  1.000596E-19  1.927611E-18  2.015715E-16
    122  4.799263518131E-02  1.000000E-30  1.072305E-29  3.671156E-27  4.643091E-24  3.348048E-22  1.234854E-19  2.429570E-18  2.612640E-16
    123  4.815339657435E-02  1.000000E-30  1.182699E-29  4.131502E-27  5.408310E-24  3.983368E-22  1.516586E-19  3.048589E-18  3.372962E-16
    124  4.832264594384E-02  1.000000E-30  1.300675E-29  4.643285E-27  6.302062E-24  4.747098E-22  1.868744E-19  3.842554E-18  4.381019E-16
    125  4.849826454798E-02  1.000000E-30  1.424248E-29  5.202625E-27  7.330711E-24  5.653002E-22  2.303774E-19  4.850052E-18  5.705072E-16
    126  4.867786870736E-02  1.000000E-30  1.551073E-29  5.803159E-27  8.495745E-24  6.711393E-22  2.833655E-19  6.111528E-18  7.422643E-16
    127  4.885872256535E-02  1.000000E-30  1.678468E-29  6.435511E-27  9.791149E-24  7.925929E-22  3.467870E-19  7.664113E-18  9.613634E-16
    128  4.903755607841E-02  1.000000E-30  1.803379E-29  7.086408E-27  1.119939E-23  9.288507E-22  4.209844E-19  9.531658E-18  1.234468E-15
    129  4.921259737621E-02  1.000000E-30  1.923904E-29  7.746311E-27  1.270651E-23  1.079272E-21  5.063361E-19  1.173940E-17  1.568818E-15
    130  4.938368810460E-02  1.000000E-30  2.039357E-29  8.411053E-27  1.430801E-23  1.244057E-21  6.036773E-19  1.432538E-17  1.974076E-15
    131  4.955132280349E-02  1.000000E-30  2.149542E-29  9.078947E-27  1.600460E-23  1.423933E-21  7.142064E-19  1.733950E-17  2.462512E-15
    132  4.971624312404E-02  1.000000E-30  2.254415E-29  9.749361E-27  1.779999E-23  1.620004E-21  8.394557E-19  2.084403E-17  3.049421E-15
    133  4.987811857735E-02  1.000000E-30  2.353238E-29  1.041720E-26  1.968584E-23  1.832093E-21  9.802283E-19  2.488406E-17  3.748295E-15
    134  5.003799836445E-02  1.000000E-30  2.445451E-29  1.108013E-26  2.166437E-23  2.061472E-21  1.138448E-18  2.954143E-17  4.580612E-15
    135  5.019682549602E-02  1.000000E-30  2.531540E-29  1.174013E-26  2.374574E-23  2.310041E-21  1.316548E-18  3.491695E-17  5.572504E-15
    136  5.035511419132E-02  1.000000E-30  2.611085E-29  1.239486E-26  2.593141E-23  2.579020E-21  1.516774E-18  4.111385E-17  6.753106E-15
    137  5.051299755300E-02  1.000000E-30  2.683339E-29  1.303958E-26  2.821588E-23  2.868899E-21  1.741048E-18  4.823242E-17  8.153517E-15
    138  5.067010535678E-02  1.000000E-30  2.747272E-29  1.366680E-26  3.058310E-23  3.178860E-21  1.990418E-18  5.635142E-17  9.803030E-15
    139  5.082726902819E-02  1.000000E-30  2.802276E-29  1.427298E-26  3.303171E-23  3.510053E-21  2.267694E-18  6.561421E-17  1.174702E-14
    140  5.098506829486E-02  1.000000E-30  2.847417E-29  1.485226E-26  3.555343E-23  3.862929E-21  2.575470E-18  7.616905E-17  1.403632E-14
    141  5.114361869269E-02  1.000000E-30  2.881442E-29  1.539561E-26  3.812772E-23  4.236386E-21  2.915319E-18  8.814135E-17  1.672167E-14
    142  5.130328078870E-02  1.000000E-30  2.903018E-29  1.589333E-26  4.073149E-23  4.629073E-21  3.288890E-18  1.016716E-16  1.986253E-14
    143  5.146205644840E-02  1.000000E-30  2.910612E-29  1.632792E-26  4.329602E-23  5.032552E-21  3.691044E-18  1.166598E-16  2.346614E-14
    144  5.162089365231E-02  1.000000E-30  2.903195E-29  1.669054E-26  4.579397E-23  5.444415E-21  4.122320E-18  1.332164E-16  2.759250E-14
    145  5.177902725711E-02  1.000000E-30  2.879778E-29  1.696753E-26  4.816426E-23  5.856664E-21  4.577502E-18  1.512395E-16  3.225359E-14
    146  5.193558292952E-02  1.000000E-30  2.839315E-29  1.714396E-26  5.033440E-23  6.259376E-21  5.048909E-18  1.705253E-16  3.743783E-14
    147  5.207655208218E-02  1.000000E-30  2.787622E-29  1.720962E-26  5.208754E-23  6.610018E-21  5.485490E-18  1.889880E-16  4.259375E-14
    148  5.220437120847E-02  1.000000E-30  2.728399E-29  1.718841E-26  5.347904E-23  6.912779E-21  5.886745E-18  2.065053E-16  4.766377E-14
    149  5.240275279905E-02  1.000000E-30  2.613498E-29  1.699237E-26  5.518429E-23  7.340646E-21  6.507077E-18  2.347655E-16  5.623203E-14
    150  5.258707116153E-02  1.000000E-30  2.481644E-29  1.662111E-26  5.617396E-23  7.674778E-21  7.062261E-18  2.615475E-16  6.484735E-14
    151  5.276353482958E-02  1.000000E-30  2.334752E-29  1.609224E-26  5.650454E-23  7.920824E-21  7.554640E-18  2.868953E-16  7.352827E-14
    152  5.293536770993E-02  1.000000E-30  2.174724E-29  1.541779E-26  5.618991E-23  8.076947E-21  7.977714E-18  3.104797E-16  8.218866E-14
    153  5.310288915571E-02  1.000000E-30  2.005712E-29  1.461987E-26  5.525272E-23  8.139705E-21  8.319132E-18  3.316165E-16  9.060315E-14
    154  5.325369291828E-02  1.000000E-30  1.845412E-29  1.379517E-26  5.387043E-23  8.114146E-21  8.552573E-18  3.483757E-16  9.793740E-14
    155  5.339308966526E-02  1.000000E-30  1.693245E-29  1.295915E-26  5.216102E-23  8.020025E-21  8.698142E-18  3.614764E-16  1.043429E-13
    156  5.362726198018E-02  1.000000E-30  1.436138E-29  1.143836E-26  4.844458E-23  7.711832E-21  8.776125E-18  3.772531E-16  1.138608E-13
    157  5.383816121000E-02  1.000000E-30  1.210624E-29  1.000117E-26  4.434823E-23  7.285733E-21  8.659774E-18  3.838067E-16  1.206130E-13
    158  5.403768730975E-02  1.000000E-30  1.010063E-29  8.641634E-27  4.002574E-23  6.776086E-21  8.393930E-18  3.829949E-16  1.250738E-13
    159  5.422986619970E-02  1.000000E-30  8.339071E-30  7.381765E-27  3.565771E-23  6.214560E-21  8.012173E-18  3.759893E-16  1.274337E-13
    160  5.440569294967E-02  1.000000E-30  6.898780E-30  6.301783E-27  3.163609E-23  5.662739E-21  7.573494E-18  3.646846E-16  1.278905E-13
    161  5.456994612052E-02  1.000000E-30  5.712087E-30  5.374148E-27  2.796919E-23  5.133046E-21  7.105100E-18  3.504906E-16  1.269028E-13
    162  5.485681963417E-02  1.000000E-30  4.006552E-30  3.969188E-27  2.200366E-23  4.218835E-21  6.202550E-18  3.191960E-16  1.222276E-13
    163  5.511708850657E-02  1.000000E-30  2.833007E-30  2.941538E-27  1.727078E-23  3.445558E-21  5.351429E-18  2.861942E-16  1.153144E-13
    164  5.536560227933E-02  1.000000E-30  1.995628E-30  2.166506E-27  1.344041E-23  2.784971E-21  4.559032E-18  2.529576E-16  1.070099E-13
