 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                co77          co78          co79          co80          ni50          ni51          ni52          ni53 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001924E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000027E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.011965E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000002E-30  1.000113E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.041223E-30  1.000000E-30  1.000000E-30  1.000036E-30  1.000036E-30  1.000000E-30  1.000001E-30
      5  6.425069294186E-15  1.000000E-30  1.113161E-30  1.000000E-30  1.000000E-30  1.000223E-30  1.000218E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.262686E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013279E-30  1.011981E-30
      7  4.527785414179E-14  1.000000E-30  1.490562E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.000000E-30  1.656980E-30  1.000000E-30  1.000000E-30  1.179857E-30  1.178914E-30  1.031034E-30  1.034658E-30
      9  4.001734798240E-13  1.000000E-30  1.677416E-30  1.000026E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.350575E-30  1.325165E-30
     10  1.150918682670E-12  1.005970E-30  1.678787E-30  1.000101E-30  1.000005E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  2.802808442389E-12  1.000000E-30  1.639236E-30  1.000000E-30  1.000434E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.000000E-30  1.771289E-30  1.044998E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
