 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                co53          co54          co55          co56          co57          co58          co59          co60 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.011596E-30  1.060405E-30  1.159692E-30  1.127613E-30  1.223526E-30  1.106917E-30  1.073012E-30  1.007906E-30
      3  6.264265632874E-16  1.032068E-30  1.183165E-30  1.598908E-30  1.846082E-30  2.550791E-30  1.987182E-30  1.692678E-30  1.091540E-30
      4  2.206990590178E-15  1.034251E-30  1.207110E-30  1.793432E-30  2.918327E-30  5.780282E-30  6.070063E-30  5.629404E-30  1.909826E-30
      5  6.425069294186E-15  1.033892E-30  1.207450E-30  1.801586E-30  3.202690E-30  8.958585E-30  1.479435E-29  2.207588E-29  7.842971E-30
      6  1.724777641531E-14  1.040086E-30  1.203119E-30  1.789138E-30  3.280367E-30  1.074675E-29  2.406881E-29  6.627855E-29  3.304251E-29
      7  4.527785414179E-14  1.000000E-30  1.268870E-30  1.898013E-30  3.506772E-30  1.332333E-29  3.795925E-29  1.711694E-28  1.072068E-28
      8  1.231582592127E-13  1.000000E-30  1.000000E-30  1.453307E-30  3.451044E-30  2.198335E-29  8.353156E-29  5.101187E-28  3.641398E-28
      9  4.001734798240E-13  1.555931E-30  1.591913E-30  2.757838E-30  7.452148E-30  6.244472E-29  2.508091E-28  1.657828E-27  1.206341E-27
     10  1.150918682670E-12  1.104278E-30  1.501497E-30  2.128034E-30  9.144960E-30  9.845370E-29  4.090531E-28  2.745075E-27  1.966321E-27
     11  2.802808442389E-12  1.000000E-30  1.000000E-30  1.429531E-30  6.111473E-30  6.640599E-29  2.772228E-28  1.872387E-27  1.349809E-27
     12  6.912921996243E-12  1.000000E-30  1.000000E-30  1.000000E-30  3.327557E-30  3.903013E-29  1.642214E-28  1.118271E-27  8.058794E-28
