 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                f22           f23           f24           f25           f26           ne16          ne17          ne18 
     16  1.076223806424E-08  8.358179E-29  1.425707E-30  6.978261E-30  1.019944E-30  3.994890E-30  1.000000E-30  1.000000E-30  3.841144E-28
     17  6.834096797002E-08  4.892871E-30  1.000000E-30  5.753995E-29  1.013145E-30  1.879925E-29  1.000000E-30  1.000000E-30  2.248719E-29
     18  2.542122411654E-07  7.857013E-30  1.000000E-30  1.537397E-28  1.012859E-30  5.193360E-29  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.607577E-30  1.010908E-30  2.683297E-29  1.011877E-30  3.912047E-29  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.190341E-30  1.008752E-30  1.053943E-30  1.012140E-30  1.104898E-29  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.021830E-30  1.011799E-30  1.003511E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.010119E-30  1.002012E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.555345E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.056317E-29
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  8.917360E-29  1.000000E-30  1.000000E-30  1.000000E-30  2.637804E-29
     30  6.636115041812E-03  1.662507E-29  2.293422E-30  1.000000E-30  1.758298E-28  1.000000E-30  1.000000E-30  1.000000E-30  7.053294E-29
     31  7.490864585256E-03  7.972128E-29  6.187831E-30  1.000000E-30  2.341805E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.762589E-28
     32  8.026631019591E-03  1.820643E-28  6.976138E-30  1.000000E-30  1.828522E-28  1.000000E-30  1.000000E-30  1.000000E-30  3.067839E-28
     33  8.451616658664E-03  3.338542E-28  1.012913E-29  1.000000E-30  1.624243E-28  1.000000E-30  1.000000E-30  1.000000E-30  4.706810E-28
     34  9.803471762980E-03  2.184222E-27  5.908880E-29  1.000000E-30  5.680994E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.680857E-27
     35  1.116687552369E-02  1.298736E-26  3.353481E-28  1.000000E-30  6.465157E-28  1.000000E-30  1.000000E-30  1.000000E-30  5.266218E-27
     36  1.219012310682E-02  4.584844E-26  1.274918E-27  1.000000E-30  5.861145E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.121055E-26
     37  1.314647137106E-02  1.401394E-25  4.238815E-27  1.000000E-30  5.775102E-28  1.000000E-30  1.000000E-30  1.000000E-30  2.096310E-26
     38  1.431720408173E-02  5.121368E-25  1.771007E-26  1.000000E-30  7.442057E-28  1.000000E-30  1.000000E-30  1.000000E-30  4.078162E-26
     39  1.545287753035E-02  1.686772E-24  6.720138E-26  1.000000E-30  7.544221E-28  1.000000E-30  1.000000E-30  1.000000E-30  6.986138E-26
     40  1.716820108076E-02  9.348682E-24  4.638023E-25  6.787402E-29  1.174622E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.315327E-25
     41  1.871872199221E-02  3.992108E-23  2.461525E-24  4.524260E-28  1.132421E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.968524E-25
     42  2.131412024987E-02  4.414409E-22  3.906750E-23  9.195799E-27  1.945857E-27  1.000000E-30  1.000000E-30  1.000000E-30  2.822535E-25
     43  2.288535686070E-02  1.702514E-21  1.851845E-22  4.338662E-26  1.360695E-27  1.000000E-30  1.000000E-30  1.000000E-30  2.990413E-25
     44  2.437102778700E-02  6.500511E-21  8.397595E-22  2.019516E-25  2.511838E-27  1.000000E-30  1.000000E-30  1.000000E-30  2.884081E-25
     45  2.666254430666E-02  4.931828E-20  8.368692E-21  2.142584E-24  2.224603E-26  1.000000E-30  1.000000E-30  1.000000E-30  2.379514E-25
     46  2.807329513827E-02  1.593953E-19  3.129657E-20  8.364649E-24  9.895262E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.984823E-25
     47  2.946719119355E-02  4.997921E-19  1.102859E-19  3.080289E-23  3.889093E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.596222E-25
     48  2.982466835475E-02  6.691817E-19  1.520419E-19  4.299718E-23  5.514270E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.499869E-25
     49  3.017238950627E-02  8.728617E-19  2.036916E-19  5.830923E-23  7.554077E-25  1.676597E-29  1.000000E-30  1.000000E-30  1.408429E-25
     50  3.052509122072E-02  1.129567E-18  2.704542E-19  7.837068E-23  1.021574E-24  3.468549E-29  1.000000E-30  1.000000E-30  1.318215E-25
     51  3.066477686677E-02  1.247071E-18  3.015638E-19  8.781256E-23  1.146324E-24  4.977118E-29  1.000000E-30  1.000000E-30  1.283271E-25
