 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                f22           f23           f24           f25           f26           ne16          ne17          ne18 
    176  5.868213309337E-02  1.564086E-18  4.216793E-18  5.339484E-21  4.060079E-24  1.907520E-28  1.000000E-30  1.000000E-30  2.508520E-28
    177  5.897372529375E-02  1.583147E-18  4.420954E-18  5.706033E-21  4.128886E-24  1.941740E-28  1.000000E-30  1.000000E-30  2.283880E-28
    178  5.927019313219E-02  1.600892E-18  4.633991E-18  6.098757E-21  4.196542E-24  1.975567E-28  1.000000E-30  1.000000E-30  2.073841E-28
    179  5.955970264735E-02  1.616527E-18  4.847043E-18  6.502234E-21  4.259469E-24  2.007283E-28  1.000000E-30  1.000000E-30  1.885245E-28
    180  5.987296131417E-02  1.631402E-18  5.082639E-18  6.961410E-21  4.321178E-24  2.038624E-28  1.000000E-30  1.000000E-30  1.698071E-28
    181  6.018239261751E-02  1.644028E-18  5.320349E-18  7.438597E-21  4.378353E-24  2.067881E-28  1.000000E-30  1.000000E-30  1.529462E-28
    182  6.051941164510E-02  1.655384E-18  5.584464E-18  7.985603E-21  4.436388E-24  2.097870E-28  1.000000E-30  1.000000E-30  1.362826E-28
    183  6.081686890997E-02  1.663292E-18  5.821697E-18  8.492452E-21  4.483939E-24  2.122707E-28  1.000000E-30  1.000000E-30  1.229358E-28
    184  6.107970107709E-02  1.668607E-18  6.034210E-18  8.959361E-21  4.523053E-24  2.143363E-28  1.000000E-30  1.000000E-30  1.121251E-28
    185  6.149099227918E-02  1.673663E-18  6.371267E-18  9.726109E-21  4.577625E-24  2.172789E-28  1.000000E-30  1.000000E-30  9.689913E-29
    186  6.184187848266E-02  1.674680E-18  6.661946E-18  1.041496E-20  4.613844E-24  2.193040E-28  1.000000E-30  1.000000E-30  8.538315E-29
    187  6.212841772032E-02  1.673359E-18  6.901157E-18  1.100157E-20  4.638880E-24  2.207452E-28  1.000000E-30  1.000000E-30  7.690904E-29
    188  6.241083345826E-02  1.670197E-18  7.138158E-18  1.160111E-20  4.659792E-24  2.219936E-28  1.000000E-30  1.000000E-30  6.930877E-29
    189  6.286334795077E-02  1.661351E-18  7.519503E-18  1.260619E-20  4.685840E-24  2.236526E-28  1.000000E-30  1.000000E-30  5.854404E-29
    190  6.324448148531E-02  1.650398E-18  7.841251E-18  1.349540E-20  4.700812E-24  2.247292E-28  1.000000E-30  1.000000E-30  5.068832E-29
    191  6.354755735680E-02  1.639238E-18  8.095741E-18  1.422897E-20  4.704991E-24  2.252404E-28  1.000000E-30  1.000000E-30  4.513525E-29
    192  6.382753282149E-02  1.627129E-18  8.329495E-18  1.492754E-20  4.703017E-24  2.254202E-28  1.000000E-30  1.000000E-30  4.050582E-29
    193  6.429792763326E-02  1.603253E-18  8.719073E-18  1.614732E-20  4.691480E-24  2.253326E-28  1.000000E-30  1.000000E-30  3.370610E-29
    194  6.470641913937E-02  1.579187E-18  9.053265E-18  1.725350E-20  4.673964E-24  2.249016E-28  1.000000E-30  1.000000E-30  2.868147E-29
    195  6.514351188605E-02  1.550293E-18  9.405485E-18  1.848532E-20  4.648208E-24  2.241090E-28  1.000000E-30  1.000000E-30  2.408941E-29
    196  6.551961572666E-02  1.522693E-18  9.701194E-18  1.958151E-20  4.616305E-24  2.229860E-28  1.000000E-30  1.000000E-30  2.069566E-29
    197  6.614173306661E-02  1.472472E-18  1.017536E-17  2.147009E-20  4.546959E-24  2.202838E-28  1.000000E-30  1.000000E-30  1.605455E-29
    198  6.666431851744E-02  1.426820E-18  1.055954E-17  2.313172E-20  4.479383E-24  2.175513E-28  1.000000E-30  1.000000E-30  1.294391E-29
    199  6.714973898932E-02  1.382163E-18  1.090420E-17  2.473771E-20  4.410620E-24  2.147164E-28  1.000000E-30  1.000000E-30  1.058271E-29
    200  6.763365269933E-02  1.335243E-18  1.123002E-17  2.638845E-20  4.329099E-24  2.112908E-28  1.000000E-30  1.000000E-30  8.642043E-30
    201  6.810748363549E-02  1.288057E-18  1.153591E-17  2.806158E-20  4.242686E-24  2.075632E-28  1.000000E-30  1.000000E-30  7.081255E-30
    202  6.886988901479E-02  1.210819E-18  1.200321E-17  3.088116E-20  4.097838E-24  2.012378E-28  1.000000E-30  1.000000E-30  5.135336E-30
    203  6.932442343830E-02  1.164228E-18  1.226472E-17  3.263436E-20  4.006849E-24  1.972472E-28  1.000000E-30  1.000000E-30  4.237947E-30
    204  6.977291475786E-02  1.118149E-18  1.250987E-17  3.441773E-20  3.910221E-24  1.929526E-28  1.000000E-30  1.000000E-30  3.505668E-30
    205  7.051837306122E-02  1.042963E-18  1.290078E-17  3.753316E-20  3.749559E-24  1.857140E-28  1.000000E-30  1.000000E-30  2.560718E-30
    206  7.120724846930E-02  9.757349E-19  1.324758E-17  4.060224E-20  3.603747E-24  1.791096E-28  1.000000E-30  1.000000E-30  1.919123E-30
    207  7.185571854523E-02  9.147479E-19  1.356298E-17  4.367519E-20  3.461829E-24  1.726380E-28  1.000000E-30  1.000000E-30  1.465329E-30
    208  7.250556240022E-02  8.572886E-19  1.388816E-17  4.700850E-20  3.326554E-24  1.663819E-28  1.000000E-30  1.000000E-30  1.121950E-30
    209  7.308358088908E-02  8.095627E-19  1.419389E-17  5.023660E-20  3.214561E-24  1.611751E-28  1.000000E-30  1.000000E-30  1.000000E-30
    210  7.365083251161E-02  7.657689E-19  1.451314E-17  5.368497E-20  3.106340E-24  1.561459E-28  1.000000E-30  1.000000E-30  1.000000E-30
    211  7.420607479025E-02  7.267471E-19  1.486763E-17  5.743701E-20  3.009059E-24  1.515565E-28  1.000000E-30  1.000000E-30  1.000000E-30
    212  7.477269193766E-02  6.912018E-19  1.529102E-17  6.176250E-20  2.922466E-24  1.474177E-28  1.000000E-30  1.000000E-30  1.000000E-30
    213  7.532671922740E-02  6.603495E-19  1.577408E-17  6.656978E-20  2.847687E-24  1.438361E-28  1.000000E-30  1.000000E-30  1.000000E-30
    214  7.590819975934E-02  6.328743E-19  1.639032E-17  7.244467E-20  2.780391E-24  1.405657E-28  1.000000E-30  1.000000E-30  1.000000E-30
    215  7.648106882397E-02  6.112184E-19  1.714569E-17  7.932974E-20  2.731308E-24  1.380892E-28  1.000000E-30  1.000000E-30  1.000000E-30
    216  7.706864365518E-02  5.946581E-19  1.811079E-17  8.784092E-20  2.700295E-24  1.364192E-28  1.000000E-30  1.000000E-30  1.000000E-30
    217  7.765097184480E-02  5.842147E-19  1.930959E-17  9.815734E-20  2.686392E-24  1.355381E-28  1.000000E-30  1.000000E-30  1.000000E-30
    218  7.824188421090E-02  5.804106E-19  2.085097E-17  1.111756E-19  2.694845E-24  1.356372E-28  1.000000E-30  1.000000E-30  1.000000E-30
    219  7.883216312169E-02  5.838046E-19  2.280135E-17  1.275320E-19  2.729681E-24  1.369034E-28  1.000000E-30  1.000000E-30  1.000000E-30
    220  7.934760137230E-02  5.928881E-19  2.491745E-17  1.453365E-19  2.780061E-24  1.389120E-28  1.000000E-30  1.000000E-30  1.000000E-30
    221  7.991019390762E-02  6.101148E-19  2.778626E-17  1.696658E-19  2.858926E-24  1.421564E-28  1.000000E-30  1.000000E-30  1.000000E-30
    222  8.044081450283E-02  6.340131E-19  3.115674E-17  1.986498E-19  2.959784E-24  1.463671E-28  1.000000E-30  1.000000E-30  1.000000E-30
    223  8.103419684334E-02  6.704658E-19  3.588749E-17  2.401720E-19  3.104960E-24  1.524831E-28  1.000000E-30  1.000000E-30  1.000000E-30
    224  8.158988408622E-02  7.155816E-19  4.150800E-17  2.906703E-19  3.272601E-24  1.595775E-28  1.000000E-30  1.000000E-30  1.000000E-30
    225  8.219791245697E-02  7.795048E-19  4.938887E-17  3.634181E-19  3.497958E-24  1.691129E-28  1.000000E-30  1.000000E-30  1.000000E-30
    226  8.273529679330E-02  8.510704E-19  5.831644E-17  4.482979E-19  3.739417E-24  1.793129E-28  1.000000E-30  1.000000E-30  1.000000E-30
    227  8.327310875316E-02  9.394912E-19  6.964338E-17  5.593363E-19  4.022707E-24  1.912603E-28  1.000000E-30  1.000000E-30  1.000000E-30
    228  8.381967664174E-02  1.049074E-18  8.425683E-17  7.074747E-19  4.358395E-24  2.053779E-28  1.000000E-30  1.000000E-30  1.000000E-30
    229  8.442137901789E-02  1.195420E-18  1.048943E-16  9.249830E-19  4.790106E-24  2.234711E-28  1.000000E-30  1.000000E-30  1.000000E-30
    230  8.496109010092E-02  1.352058E-18  1.284761E-16  1.184019E-18  5.234003E-24  2.420114E-28  1.000000E-30  1.000000E-30  1.000000E-30
    231  8.556251684447E-02  1.556676E-18  1.616889E-16  1.565430E-18  5.790245E-24  2.651523E-28  1.000000E-30  1.000000E-30  1.000000E-30
    232  8.609514523980E-02  1.765288E-18  1.984395E-16  2.007225E-18  6.337276E-24  2.878035E-28  1.000000E-30  1.000000E-30  1.000000E-30
    233  8.668730402486E-02  2.028110E-18  2.490038E-16  2.644646E-18  7.002186E-24  3.151856E-28  1.000000E-30  1.000000E-30  1.000000E-30
    234  8.725638446658E-02  2.310618E-18  3.088630E-16  3.438940E-18  7.686742E-24  3.431819E-28  1.000000E-30  1.000000E-30  1.000000E-30
    235  8.784892152766E-02  2.632763E-18  3.846233E-16  4.498930E-18  8.438158E-24  3.736486E-28  1.000000E-30  1.000000E-30  1.000000E-30
    236  8.837914431516E-02  2.941545E-18  4.654330E-16  5.690328E-18  9.135650E-24  4.016431E-28  1.000000E-30  1.000000E-30  1.000000E-30
    237  8.927467123273E-02  3.493065E-18  6.329434E-16  8.344068E-18  1.032801E-23  4.486650E-28  1.000000E-30  1.000000E-30  1.000000E-30
    238  9.009385267910E-02  4.004878E-18  8.220391E-16  1.161648E-17  1.139308E-23  4.894455E-28  1.000000E-30  1.000000E-30  1.000000E-30
    239  9.088007009323E-02  4.475900E-18  1.036285E-15  1.566019E-17  1.235075E-23  5.246340E-28  1.000000E-30  1.000000E-30  1.000000E-30
    240  9.160938796651E-02  4.871832E-18  1.261980E-15  2.030378E-17  1.314857E-23  5.522382E-28  1.000000E-30  1.000000E-30  1.000000E-30
    241  9.231864750676E-02  5.203967E-18  1.504324E-15  2.572154E-17  1.382660E-23  5.737670E-28  1.000000E-30  1.000000E-30  1.000000E-30
    242  9.335415502949E-02  5.581018E-18  1.895262E-15  3.540638E-17  1.461834E-23  5.946631E-28  1.000000E-30  1.000000E-30  1.000000E-30
    243  9.429165011748E-02  5.813354E-18  2.285584E-15  4.619551E-17  1.513824E-23  6.031698E-28  1.000000E-30  1.000000E-30  1.000000E-30
    244  9.514750284226E-02  5.950189E-18  2.675458E-15  5.799816E-17  1.546341E-23  6.030727E-28  1.000000E-30  1.000000E-30  1.000000E-30
    245  9.592869681963E-02  6.027815E-18  3.064462E-15  7.066166E-17  1.565586E-23  5.975168E-28  1.000000E-30  1.000000E-30  1.000000E-30
    246  9.638259128200E-02  6.057528E-18  3.307829E-15  7.897075E-17  1.572943E-23  5.922990E-28  1.000000E-30  1.000000E-30  1.000000E-30
    247  9.686466198075E-02  6.079711E-18  3.582123E-15  8.865599E-17  1.578028E-23  5.853550E-28  1.000000E-30  1.000000E-30  1.000000E-30
    248  9.745016881397E-02  6.096415E-18  3.939584E-15  1.017267E-16  1.581031E-23  5.753153E-28  1.000000E-30  1.000000E-30  1.000000E-30
    249  9.798964068785E-02  6.103942E-18  4.295209E-15  1.151676E-16  1.581279E-23  5.648217E-28  1.000000E-30  1.000000E-30  1.000000E-30
    250  9.892639389759E-02  6.103286E-18  4.980252E-15  1.421169E-16  1.576924E-23  5.443377E-28  1.000000E-30  1.000000E-30  1.000000E-30
    251  9.977784733458E-02  6.090704E-18  5.686870E-15  1.711043E-16  1.568990E-23  5.239948E-28  1.000000E-30  1.000000E-30  1.000000E-30
    252  1.005622893962E-01  6.069815E-18  6.417560E-15  2.021033E-16  1.559235E-23  5.043512E-28  1.000000E-30  1.000000E-30  1.000000E-30
    253  1.013070552067E-01  6.041821E-18  7.188779E-15  2.357559E-16  1.548308E-23  4.852240E-28  1.000000E-30  1.000000E-30  1.000000E-30
    254  1.019791947326E-01  6.009286E-18  7.954709E-15  2.699498E-16  1.537457E-23  4.678156E-28  1.000000E-30  1.000000E-30  1.000000E-30
    255  1.025982572428E-01  5.972185E-18  8.722761E-15  3.048826E-16  1.526780E-23  4.517612E-28  1.000000E-30  1.000000E-30  1.000000E-30
    256  1.032644197032E-01  5.925212E-18  9.619943E-15  3.463575E-16  1.514742E-23  4.345831E-28  1.000000E-30  1.000000E-30  1.000000E-30
    257  1.039121745974E-01  5.871423E-18  1.056691E-14  3.907223E-16  1.502653E-23  4.180829E-28  1.000000E-30  1.000000E-30  1.000000E-30
    258  1.045193471709E-01  5.813736E-18  1.152484E-14  4.360718E-16  1.491040E-23  4.028407E-28  1.000000E-30  1.000000E-30  1.000000E-30
    259  1.051181778144E-01  5.750030E-18  1.253969E-14  4.844686E-16  1.479396E-23  3.880726E-28  1.000000E-30  1.000000E-30  1.000000E-30
    260  1.056826419982E-01  5.684527E-18  1.356323E-14  5.334929E-16  1.468317E-23  3.744358E-28  1.000000E-30  1.000000E-30  1.000000E-30
    261  1.062431336111E-01  5.613410E-18  1.464697E-14  5.855021E-16  1.457238E-23  3.611816E-28  1.000000E-30  1.000000E-30  1.000000E-30
    262  1.068146627648E-01  5.535787E-18  1.582430E-14  6.419851E-16  1.445892E-23  3.479790E-28  1.000000E-30  1.000000E-30  1.000000E-30
    263  1.073656177930E-01  5.456180E-18  1.703136E-14  6.997389E-16  1.434944E-23  3.355719E-28  1.000000E-30  1.000000E-30  1.000000E-30
    264  1.079139362418E-01  5.372304E-18  1.830599E-14  7.604321E-16  1.424060E-23  3.235468E-28  1.000000E-30  1.000000E-30  1.000000E-30
    265  1.084202130578E-01  5.290757E-18  1.954989E-14  8.193053E-16  1.414026E-23  3.127302E-28  1.000000E-30  1.000000E-30  1.000000E-30
    266  1.089957947327E-01  5.193750E-18  2.104459E-14  8.894914E-16  1.402658E-23  3.007763E-28  1.000000E-30  1.000000E-30  1.000000E-30
    267  1.095139929398E-01  5.102519E-18  2.246553E-14  9.555784E-16  1.392474E-23  2.903328E-28  1.000000E-30  1.000000E-30  1.000000E-30
    268  1.100036617482E-01  5.012718E-18  2.387523E-14  1.020491E-15  1.382898E-23  2.807394E-28  1.000000E-30  1.000000E-30  1.000000E-30
    269  1.105581599754E-01  4.907271E-18  2.555143E-14  1.096796E-15  1.372117E-23  2.701979E-28  1.000000E-30  1.000000E-30  1.000000E-30
    270  1.111738162549E-01  4.785870E-18  2.751447E-14  1.184850E-15  1.360237E-23  2.588956E-28  1.000000E-30  1.000000E-30  1.000000E-30
    271  1.117276452796E-01  4.673092E-18  2.937570E-14  1.266915E-15  1.349638E-23  2.490870E-28  1.000000E-30  1.000000E-30  1.000000E-30
    272  1.122547306619E-01  4.563359E-18  3.123459E-14  1.347400E-15  1.339629E-23  2.400613E-28  1.000000E-30  1.000000E-30  1.000000E-30
    273  1.128196390807E-01  4.444038E-18  3.332682E-14  1.436099E-15  1.328991E-23  2.307195E-28  1.000000E-30  1.000000E-30  1.000000E-30
    274  1.134172103791E-01  4.316421E-18  3.565971E-14  1.532505E-15  1.317844E-23  2.212056E-28  1.000000E-30  1.000000E-30  1.000000E-30
    275  1.139661173569E-01  4.198677E-18  3.791788E-14  1.623255E-15  1.307701E-23  2.127918E-28  1.000000E-30  1.000000E-30  1.000000E-30
    276  1.145721141816E-01  4.068627E-18  4.054560E-14  1.725715E-15  1.296610E-23  2.038564E-28  1.000000E-30  1.000000E-30  1.000000E-30
    277  1.151138636995E-01  3.952712E-18  4.302050E-14  1.819180E-15  1.286792E-23  1.961757E-28  1.000000E-30  1.000000E-30  1.000000E-30
    278  1.160623872824E-01  3.751108E-18  4.765842E-14  1.986668E-15  1.269822E-23  1.834026E-28  1.000000E-30  1.000000E-30  1.000000E-30
    279  1.166131253687E-01  3.635462E-18  5.053868E-14  2.085929E-15  1.260096E-23  1.763668E-28  1.000000E-30  1.000000E-30  1.000000E-30
    280  1.171578902390E-01  3.522338E-18  5.353101E-14  2.185402E-15  1.250566E-23  1.696727E-28  1.000000E-30  1.000000E-30  1.000000E-30
    281  1.179966344325E-01  3.350898E-18  5.843379E-14  2.340771E-15  1.236067E-23  1.598631E-28  1.000000E-30  1.000000E-30  1.000000E-30
    282  1.184626561866E-01  3.257372E-18  6.131986E-14  2.428115E-15  1.228101E-23  1.546637E-28  1.000000E-30  1.000000E-30  1.000000E-30
    283  1.189221956404E-01  3.166483E-18  6.428464E-14  2.514862E-15  1.220307E-23  1.497061E-28  1.000000E-30  1.000000E-30  1.000000E-30
    284  1.197605220964E-01  3.004183E-18  7.001468E-14  2.674479E-15  1.206243E-23  1.410796E-28  1.000000E-30  1.000000E-30  1.000000E-30
    285  1.205341475296E-01  2.858900E-18  7.569046E-14  2.823061E-15  1.193437E-23  1.335765E-28  1.000000E-30  1.000000E-30  1.000000E-30
    286  1.212540834288E-01  2.727788E-18  8.132857E-14  2.962179E-15  1.181666E-23  1.269693E-28  1.000000E-30  1.000000E-30  1.000000E-30
    287  1.219299358624E-01  2.608417E-18  8.695418E-14  3.093336E-15  1.170740E-23  1.210801E-28  1.000000E-30  1.000000E-30  1.000000E-30
    288  1.225766858039E-01  2.497724E-18  9.265379E-14  3.219200E-15  1.160395E-23  1.157159E-28  1.000000E-30  1.000000E-30  1.000000E-30
    289  1.231854533608E-01  2.396706E-18  9.831613E-14  3.337874E-15  1.150754E-23  1.108990E-28  1.000000E-30  1.000000E-30  1.000000E-30
    290  1.237219182154E-01  2.310261E-18  1.035574E-13  3.442539E-15  1.142335E-23  1.068333E-28  1.000000E-30  1.000000E-30  1.000000E-30
    291  1.242404039059E-01  2.229051E-18  1.088545E-13  3.543714E-15  1.134265E-23  1.030574E-28  1.000000E-30  1.000000E-30  1.000000E-30
    292  1.248086455930E-01  2.142687E-18  1.149312E-13  3.654557E-15  1.125495E-23  9.908622E-29  1.000000E-30  1.000000E-30  1.000000E-30
    293  1.253177247642E-01  2.067602E-18  1.206268E-13  3.753780E-15  1.117703E-23  9.567167E-29  1.000000E-30  1.000000E-30  1.000000E-30
    294  1.258810647447E-01  1.987060E-18  1.272162E-13  3.863443E-15  1.109153E-23  9.204510E-29  1.000000E-30  1.000000E-30  1.000000E-30
    295  1.264205598797E-01  1.912419E-18  1.338176E-13  3.968292E-15  1.101033E-23  8.871636E-29  1.000000E-30  1.000000E-30  1.000000E-30
    296  1.270317883483E-01  1.830727E-18  1.416529E-13  4.086832E-15  1.091914E-23  8.510923E-29  1.000000E-30  1.000000E-30  1.000000E-30
    297  1.275757308169E-01  1.760553E-18  1.489560E-13  4.192070E-15  1.083871E-23  8.204053E-29  1.000000E-30  1.000000E-30  1.000000E-30
    298  1.286048671531E-01  1.634206E-18  1.636524E-13  4.390433E-15  1.068835E-23  7.658184E-29  1.000000E-30  1.000000E-30  1.000000E-30
    299  1.290949488661E-01  1.576896E-18  1.710690E-13  4.484522E-15  1.061757E-23  7.413518E-29  1.000000E-30  1.000000E-30  1.000000E-30
    300  1.295345101683E-01  1.527038E-18  1.779580E-13  4.568694E-15  1.055454E-23  7.202121E-29  1.000000E-30  1.000000E-30  1.000000E-30
    301  1.303954523490E-01  1.433550E-18  1.921120E-13  4.732941E-15  1.043230E-23  6.809319E-29  1.000000E-30  1.000000E-30  1.000000E-30
    302  1.308549873199E-01  1.385858E-18  2.000330E-13  4.820268E-15  1.036772E-23  6.610770E-29  1.000000E-30  1.000000E-30  1.000000E-30
    303  1.312776310019E-01  1.343329E-18  2.075490E-13  4.900375E-15  1.030871E-23  6.434757E-29  1.000000E-30  1.000000E-30  1.000000E-30
    304  1.320787884157E-01  1.266202E-18  2.224135E-13  5.051679E-15  1.019791E-23  6.117905E-29  1.000000E-30  1.000000E-30  1.000000E-30
    305  1.327308179063E-01  1.206751E-18  2.351194E-13  5.174310E-15  1.010874E-23  5.875700E-29  1.000000E-30  1.000000E-30  1.000000E-30
    306  1.333821207310E-01  1.150265E-18  2.483718E-13  5.296380E-15  1.002056E-23  5.647287E-29  1.000000E-30  1.000000E-30  1.000000E-30
    307  1.339749669338E-01  1.101319E-18  2.609294E-13  5.407156E-15  9.941072E-24  5.450744E-29  1.000000E-30  1.000000E-30  1.000000E-30
    308  1.345530840576E-01  1.055782E-18  2.736342E-13  5.514903E-15  9.864261E-24  5.269205E-29  1.000000E-30  1.000000E-30  1.000000E-30
    309  1.351098094661E-01  1.013899E-18  2.863032E-13  5.618441E-15  9.790947E-24  5.103577E-29  1.000000E-30  1.000000E-30  1.000000E-30
    310  1.359304916944E-01  9.555489E-19  3.057577E-13  5.770744E-15  9.684040E-24  4.875377E-29  1.000000E-30  1.000000E-30  1.000000E-30
    311  1.363572082699E-01  9.267421E-19  3.162385E-13  5.849816E-15  9.628999E-24  4.764031E-29  1.000000E-30  1.000000E-30  1.000000E-30
    312  1.367788244083E-01  8.992671E-19  3.268394E-13  5.927886E-15  9.574980E-24  4.658810E-29  1.000000E-30  1.000000E-30  1.000000E-30
    313  1.375777712339E-01  8.498037E-19  3.475916E-13  6.075741E-15  9.473605E-24  4.472182E-29  1.000000E-30  1.000000E-30  1.000000E-30
    314  1.380438267916E-01  8.224646E-19  3.600925E-13  6.161982E-15  9.415062E-24  4.370838E-29  1.000000E-30  1.000000E-30  1.000000E-30
    315  1.384690951451E-01  7.984547E-19  3.717499E-13  6.240699E-15  9.362022E-24  4.283082E-29  1.000000E-30  1.000000E-30  1.000000E-30
    316  1.391087445178E-01  7.639681E-19  3.897294E-13  6.359196E-15  9.282918E-24  4.159388E-29  1.000000E-30  1.000000E-30  1.000000E-30
    317  1.397002518981E-01  7.337548E-19  4.068213E-13  6.468942E-15  9.210484E-24  4.053657E-29  1.000000E-30  1.000000E-30  1.000000E-30
    318  1.402705851668E-01  7.060879E-19  4.237137E-13  6.574981E-15  9.141285E-24  3.959367E-29  1.000000E-30  1.000000E-30  1.000000E-30
    319  1.408634912375E-01  6.787924E-19  4.416945E-13  6.685522E-15  9.070011E-24  3.869111E-29  1.000000E-30  1.000000E-30  1.000000E-30
    320  1.414089642241E-01  6.549498E-19  4.586039E-13  6.787565E-15  9.005029E-24  3.792880E-29  1.000000E-30  1.000000E-30  1.000000E-30
    321  1.419220762512E-01  6.335894E-19  4.748204E-13  6.883918E-15  8.944411E-24  3.726964E-29  1.000000E-30  1.000000E-30  1.000000E-30
    322  1.422771704232E-01  6.193936E-19  4.862140E-13  6.950836E-15  8.902746E-24  3.684562E-29  1.000000E-30  1.000000E-30  1.000000E-30
    323  1.426029315631E-01  6.067816E-19  4.967874E-13  7.012420E-15  8.864728E-24  3.647937E-29  1.000000E-30  1.000000E-30  1.000000E-30
    324  1.430135230101E-01  5.914312E-19  5.102749E-13  7.090329E-15  8.817086E-24  3.604821E-29  1.000000E-30  1.000000E-30  1.000000E-30
    325  1.434683796643E-01  5.751158E-19  5.254193E-13  7.177054E-15  8.764663E-24  3.560952E-29  1.000000E-30  1.000000E-30  1.000000E-30
    326  1.440315208021E-01  5.558856E-19  5.444536E-13  7.285102E-15  8.700273E-24  3.512193E-29  1.000000E-30  1.000000E-30  1.000000E-30
    327  1.445490332405E-01  5.391265E-19  5.622142E-13  7.385137E-15  8.641595E-24  3.472711E-29  1.000000E-30  1.000000E-30  1.000000E-30
    328  1.451370980342E-01  5.211004E-19  5.826952E-13  7.499780E-15  8.575488E-24  3.433932E-29  1.000000E-30  1.000000E-30  1.000000E-30
    329  1.457052374241E-01  5.046677E-19  6.027696E-13  7.611632E-15  8.512192E-24  3.402530E-29  1.000000E-30  1.000000E-30  1.000000E-30
    330  1.463107957421E-01  4.881672E-19  6.244618E-13  7.732174E-15  8.445339E-24  3.375574E-29  1.000000E-30  1.000000E-30  1.000000E-30
    331  1.468752132891E-01  4.736892E-19  6.449429E-13  7.845894E-15  8.383595E-24  3.356511E-29  1.000000E-30  1.000000E-30  1.000000E-30
    332  1.475510939381E-01  4.574359E-19  6.697827E-13  7.984002E-15  8.310372E-24  3.341438E-29  1.000000E-30  1.000000E-30  1.000000E-30
    333  1.481899111058E-01  4.431030E-19  6.935565E-13  8.116684E-15  8.241881E-24  3.335103E-29  1.000000E-30  1.000000E-30  1.000000E-30
    334  1.491767377555E-01  4.228082E-19  7.308134E-13  8.326301E-15  8.137449E-24  3.341047E-29  1.000000E-30  1.000000E-30  1.000000E-30
    335  1.497116139607E-01  4.126854E-19  7.512582E-13  8.442554E-15  8.081545E-24  3.352637E-29  1.000000E-30  1.000000E-30  1.000000E-30
    336  1.502421520731E-01  4.032193E-19  7.717023E-13  8.559893E-15  8.026585E-24  3.370299E-29  1.000000E-30  1.000000E-30  1.000000E-30
    337  1.509052103900E-01  3.921537E-19  7.974742E-13  8.709640E-15  7.958591E-24  3.401530E-29  1.000000E-30  1.000000E-30  1.000000E-30
    338  1.515352476696E-01  3.823813E-19  8.221781E-13  8.855403E-15  7.894705E-24  3.441284E-29  1.000000E-30  1.000000E-30  1.000000E-30
    339  1.521327102765E-01  3.737439E-19  8.457901E-13  8.997047E-15  7.834782E-24  3.488785E-29  1.000000E-30  1.000000E-30  1.000000E-30
    340  1.526678407657E-01  3.665009E-19  8.670876E-13  9.126980E-15  7.781666E-24  3.540100E-29  1.000000E-30  1.000000E-30  1.000000E-30
    341  1.532481602429E-01  3.591430E-19  8.903361E-13  9.271420E-15  7.724667E-24  3.605870E-29  1.000000E-30  1.000000E-30  1.000000E-30
    342  1.535863948111E-01  3.550810E-19  9.039571E-13  9.357413E-15  7.691739E-24  3.649405E-29  1.000000E-30  1.000000E-30  1.000000E-30
    343  1.538995751697E-01  3.514634E-19  9.166154E-13  9.438291E-15  7.661446E-24  3.693351E-29  1.000000E-30  1.000000E-30  1.000000E-30
    344  1.546020187628E-01  3.438288E-19  9.451674E-13  9.624356E-15  7.594195E-24  3.805546E-29  1.000000E-30  1.000000E-30  1.000000E-30
    345  1.552062305672E-01  3.377626E-19  9.698996E-13  9.789924E-15  7.537133E-24  3.918412E-29  1.000000E-30  1.000000E-30  1.000000E-30
    346  1.557875935888E-01  3.323344E-19  9.938449E-13  9.954449E-15  7.482930E-24  4.042739E-29  1.000000E-30  1.000000E-30  1.000000E-30
    347  1.566447447202E-01  3.250139E-19  1.029417E-12  1.020721E-14  7.404305E-24  4.257423E-29  1.000000E-30  1.000000E-30  1.000000E-30
    348  1.574294426159E-01  3.189682E-19  1.062260E-12  1.045027E-14  7.333713E-24  4.490708E-29  1.000000E-30  1.000000E-30  1.000000E-30
    349  1.581710514975E-01  3.137824E-19  1.093546E-12  1.069126E-14  7.268256E-24  4.747667E-29  1.000000E-30  1.000000E-30  1.000000E-30
    350  1.588328903187E-01  3.095532E-19  1.121672E-12  1.091644E-14  7.210903E-24  5.010426E-29  1.000000E-30  1.000000E-30  1.000000E-30
    351  1.594606073659E-01  3.058618E-19  1.148528E-12  1.113953E-14  7.157457E-24  5.291804E-29  1.000000E-30  1.000000E-30  1.000000E-30
    352  1.600565792087E-01  3.026253E-19  1.174191E-12  1.136059E-14  7.107591E-24  5.590808E-29  1.000000E-30  1.000000E-30  1.000000E-30
    353  1.607059625219E-01  2.993743E-19  1.202340E-12  1.161248E-14  7.054249E-24  5.955091E-29  1.000000E-30  1.000000E-30  1.000000E-30
    354  1.613957576202E-01  2.962106E-19  1.232455E-12  1.189356E-14  6.998739E-24  6.389652E-29  1.000000E-30  1.000000E-30  1.000000E-30
    355  1.620398820205E-01  2.935049E-19  1.260779E-12  1.216959E-14  6.947988E-24  6.843315E-29  1.000000E-30  1.000000E-30  1.000000E-30
