 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl45          cl46          cl47          cl48          cl49          cl50          cl51          ar30 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.002451E-30  1.000118E-30  1.000000E-30  1.001997E-30  1.000000E-30  1.001103E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.015206E-30  1.000725E-30  1.000000E-30  1.012318E-30  1.000000E-30  1.006824E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.052031E-30  1.002418E-30  1.000000E-30  1.041467E-30  1.000000E-30  1.023171E-30  1.000000E-30  1.000026E-30
      5  6.425069294186E-15  1.140172E-30  1.006108E-30  1.000000E-30  1.107267E-30  1.000000E-30  1.061300E-30  1.000000E-30  1.000046E-30
      6  1.724777641531E-14  1.309664E-30  1.011865E-30  1.001915E-30  1.217546E-30  1.000000E-30  1.130753E-30  1.000000E-30  1.000183E-30
      7  4.527785414179E-14  1.522234E-30  1.034590E-30  1.048297E-30  1.318136E-30  1.000000E-30  1.207811E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.643709E-30  1.068710E-30  1.080457E-30  1.342086E-30  1.000000E-30  1.235547E-30  1.000000E-30  1.124585E-30
      9  4.001734798240E-13  1.652679E-30  1.070128E-30  1.082088E-30  1.341750E-30  1.000098E-30  1.237399E-30  1.000424E-30  1.000147E-30
     10  1.150918682670E-12  1.649893E-30  1.074509E-30  1.084787E-30  1.342196E-30  1.006414E-30  1.225833E-30  1.000000E-30  1.000000E-30
     11  2.802808442389E-12  1.641281E-30  1.074024E-30  1.055305E-30  1.342706E-30  1.000000E-30  1.313332E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.720190E-30  1.083043E-30  1.088476E-30  1.432982E-30  1.000000E-30  1.074215E-30  1.177050E-30  1.000000E-30
