 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                eu169         eu170         eu171         eu172         eu173         eu174         eu175         eu176
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000182E-30  1.000000E-30  1.000113E-30  1.000000E-30  1.000128E-30  1.000000E-30  1.000128E-30
      3  6.264265632874E-16  1.000000E-30  1.001139E-30  1.000000E-30  1.000705E-30  1.000000E-30  1.000803E-30  1.000000E-30  1.000804E-30
      4  2.206990590178E-15  1.000000E-30  1.003991E-30  1.000000E-30  1.002475E-30  1.000000E-30  1.002822E-30  1.000000E-30  1.002826E-30
      5  6.425069294186E-15  1.000000E-30  1.011452E-30  1.000000E-30  1.007134E-30  1.000000E-30  1.008153E-30  1.000000E-30  1.008174E-30
      6  1.724777641531E-14  1.000000E-30  1.029628E-30  1.000000E-30  1.018666E-30  1.000000E-30  1.021472E-30  1.000000E-30  1.021586E-30
      7  4.527785414179E-14  1.000000E-30  1.070830E-30  1.000000E-30  1.045899E-30  1.000000E-30  1.053674E-30  1.000000E-30  1.054331E-30
      8  1.231582592127E-13  1.000000E-30  1.150997E-30  1.000000E-30  1.104921E-30  1.000000E-30  1.127981E-30  1.000000E-30  1.131885E-30
      9  4.001734798240E-13  1.000000E-30  1.246652E-30  1.000000E-30  1.200881E-30  1.000000E-30  1.273803E-30  1.000000E-30  1.296782E-30
     10  1.150918682670E-12  1.000000E-30  1.263012E-30  1.000000E-30  1.234628E-30  1.000000E-30  1.354564E-30  1.000000E-30  1.408241E-30
     11  2.802808442389E-12  1.000000E-30  1.263049E-30  1.000000E-30  1.235553E-30  1.000000E-30  1.360597E-30  1.000000E-30  1.420676E-30
     12  6.912921996243E-12  1.001402E-30  1.263259E-30  1.000000E-30  1.234947E-30  1.000000E-30  1.363081E-30  1.000000E-30  1.420484E-30
     13  1.659368270033E-11  1.000000E-30  1.154330E-30  1.000000E-30  1.252237E-30  1.000000E-30  1.395194E-30  1.020056E-30  1.397378E-30
     14  1.134012897413E-10  1.000000E-30  1.043100E-30  1.000000E-30  1.261588E-30  1.000000E-30  1.411565E-30  1.000000E-30  1.355696E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
