 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                br79          br80          br81          br82          br83          br84          br85          br86 
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.259363E-30  2.355267E-30  6.930426E-30  3.993092E-30  3.039213E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.046621E-30  1.980134E-30  5.714079E-30  3.412111E-30  2.556443E-30  1.000000E-30
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  3.935125E-30  7.644971E-30  2.379284E-29  1.471435E-29  1.115105E-29  1.000000E-30
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  7.520782E-30  1.480828E-29  5.020189E-29  3.446884E-29  2.785365E-29  2.052743E-30
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  6.640532E-30  1.471902E-29  5.310899E-29  3.819876E-29  3.560129E-29  2.566786E-30
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  4.882296E-30  1.178509E-29  4.226144E-29  2.985444E-29  3.083364E-29  2.545958E-30
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  5.578701E-30  1.357759E-29  5.748681E-29  4.452327E-29  4.439751E-29  3.364781E-30
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  4.155159E-30  1.074481E-29  4.357639E-29  3.354187E-29  3.538120E-29  2.966035E-30
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  5.350530E-30  1.394342E-29  5.915243E-29  4.686038E-29  5.127116E-29  4.410262E-30
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  9.474742E-30  2.519271E-29  1.102750E-28  8.937631E-29  1.008460E-28  8.892624E-30
     74  3.819794660071E-02  1.000000E-30  1.975027E-30  1.993019E-29  5.478690E-29  2.504966E-28  2.096190E-28  2.466635E-28  2.213665E-29
     75  3.838080203158E-02  1.000000E-30  3.041915E-30  3.126069E-29  8.790694E-29  4.128584E-28  3.522348E-28  4.248515E-28  3.859505E-29
     76  3.859219912978E-02  1.000000E-30  5.599843E-30  5.933697E-29  1.711885E-28  8.296443E-28  7.240380E-28  9.004558E-28  8.306383E-29
     77  3.884096228080E-02  1.519660E-30  1.163194E-29  1.277526E-28  3.794521E-28  1.906051E-27  1.706920E-27  2.198588E-27  2.063986E-28
     78  3.907668434759E-02  2.966462E-30  2.334638E-29  2.654476E-28  8.105376E-28  4.212488E-27  3.865781E-27  5.147544E-27  4.913035E-28
     79  3.934936577490E-02  6.469090E-30  5.260877E-29  6.232660E-28  1.965263E-27  1.062647E-26  1.003252E-26  1.388510E-26  1.350913E-27
     80  3.961640452516E-02  1.388010E-29  1.165834E-28  1.438302E-27  4.680275E-27  2.630979E-26  2.553960E-26  3.671279E-26  3.639533E-27
     81  3.991996766101E-02  3.304406E-29  2.880057E-28  3.721814E-27  1.255317E-26  7.376454E-26  7.390928E-26  1.109381E-25  1.123506E-26
     82  4.019473378510E-02  7.232401E-29  6.517754E-28  8.784932E-27  3.061034E-26  1.872612E-25  1.931014E-25  3.014690E-25  3.112712E-26
     83  4.046928694587E-02  1.580206E-28  1.472287E-27  2.069459E-26  7.447997E-26  4.742603E-25  5.032145E-25  8.169186E-25  8.597921E-26
     84  4.074955599116E-02  3.510079E-28  3.384356E-27  4.967858E-26  1.848733E-25  1.227068E-24  1.341028E-24  2.267068E-24  2.433790E-25
     85  4.099011663524E-02  6.950405E-28  6.901732E-27  1.051688E-25  4.028286E-25  2.771337E-24  3.107073E-24  5.440384E-24  5.941406E-25
     86  4.118445936105E-02  1.204689E-27  1.224882E-26  1.923431E-25  7.540035E-25  5.338855E-24  6.109483E-24  1.100288E-23  1.218184E-24
     87  4.137235583218E-02  2.048599E-27  2.131174E-26  3.445586E-25  1.381409E-24  1.005862E-23  1.174157E-23  2.173204E-23  2.438220E-24
     88  4.152714488067E-02  3.169763E-27  3.360249E-26  5.564832E-25  2.272776E-24  1.693499E-23  2.009490E-23  3.804097E-23  4.314900E-24
     89  4.165981986900E-02  4.606103E-27  4.962438E-26  8.389523E-25  3.481368E-24  2.645934E-23  3.184114E-23  6.145644E-23  7.036550E-24
     90  4.188596337322E-02  8.703900E-27  9.639132E-26  1.688029E-24  7.197526E-24  5.658461E-23  6.974794E-23  1.391461E-22  1.618838E-23
     91  4.208159634323E-02  1.508821E-26  1.711294E-25  3.089929E-24  1.348923E-23  1.092109E-22  1.374535E-22  2.822224E-22  3.329295E-23
     92  4.230932596557E-02  2.866074E-26  3.342320E-25  6.254182E-24  2.806340E-23  2.351293E-22  3.032124E-22  6.437979E-22  7.718276E-23
     93  4.251598135750E-02  5.140831E-26  6.148528E-25  1.188537E-23  5.468152E-23  4.726862E-22  6.231841E-22  1.364265E-21  1.659759E-22
     94  4.274368410830E-02  9.812945E-26  1.206839E-24  2.418180E-23  1.143666E-22  1.023317E-21  1.382444E-21  3.130316E-21  3.870406E-22
     95  4.294191711445E-02  1.728367E-25  2.177921E-24  4.502873E-23  2.181438E-22  2.011476E-21  2.775763E-21  6.472961E-21  8.116740E-22
     96  4.316569238790E-02  3.292789E-25  4.264894E-24  9.136132E-23  4.548038E-22  4.338841E-21  6.133068E-21  1.478624E-20  1.883808E-21
     97  4.339365876136E-02  6.403428E-25  8.530799E-24  1.895213E-22  9.701296E-22  9.584151E-21  1.388580E-20  3.464294E-20  4.486167E-21
     98  4.362382833621E-02  1.266202E-24  1.735546E-23  4.000299E-22  2.106141E-21  2.155423E-20  3.201528E-20  8.268042E-20  1.088419E-20
     99  4.384703699487E-02  2.483540E-24  3.499581E-23  8.360548E-22  4.523870E-21  4.791330E-20  7.290959E-20  1.947243E-19  2.604579E-20
    100  4.408801045744E-02  5.223521E-24  7.583993E-23  1.883509E-21  1.049757E-20  1.153865E-19  1.802345E-19  4.991779E-19  6.792783E-20
    101  4.430336182063E-02  1.032565E-23  1.539959E-22  3.960362E-21  2.266660E-20  2.575984E-19  4.119252E-19  1.178762E-18  1.629005E-19
    102  4.453208602613E-02  2.165552E-23  3.323182E-22  8.869833E-21  5.221860E-20  6.148888E-19  1.008098E-18  2.986768E-18  4.195769E-19
    103  4.474836808964E-02  4.423195E-23  6.974118E-22  1.928377E-20  1.166134E-19  1.420302E-18  2.384429E-18  7.302103E-18  1.041884E-18
    104  4.497736119052E-02  9.513561E-23  1.543698E-21  4.431222E-20  2.756839E-19  3.479925E-18  5.990586E-18  1.899929E-17  2.755827E-18
    105  4.517199675598E-02  1.828474E-22  3.040397E-21  9.010435E-20  5.742936E-19  7.473371E-18  1.314283E-17  4.294387E-17  6.316643E-18
    106  4.536038532241E-02  3.429052E-22  5.838880E-21  1.784826E-19  1.164593E-18  1.560984E-17  2.802670E-17  9.426698E-17  1.405513E-17
    107  4.552484255766E-02  5.891093E-22  1.024152E-20  3.216445E-19  2.142128E-18  2.946281E-17  5.386354E-17  1.858001E-16  2.803167E-17
    108  4.581275722245E-02  1.475202E-21  2.659571E-20  8.757533E-19  6.045111E-18  8.698550E-17  1.641337E-16  5.917614E-16  9.114123E-17
    109  4.603616864208E-02  2.910206E-21  5.399137E-20  1.845342E-18  1.310168E-17  1.953396E-16  3.778528E-16  1.410425E-15  2.207723E-16
    110  4.624194314299E-02  5.270647E-21  1.004027E-19  3.551744E-18  2.588017E-17  3.987358E-16  7.891768E-16  3.042057E-15  4.833449E-16
    111  4.641297951594E-02  8.427192E-21  1.641065E-19  5.973890E-18  4.447883E-17  7.042395E-16  1.420619E-15  5.624359E-15  9.047961E-16
    112  4.656990459822E-02  1.271046E-20  2.525784E-19  9.439623E-18  7.168918E-17  1.163855E-15  2.389138E-15  9.693513E-15  1.577230E-15
    113  4.671253119976E-02  1.817429E-20  3.678769E-19  1.408215E-17  1.088925E-16  1.808617E-15  3.772167E-15  1.565018E-14  2.572891E-15
    114  4.684580987606E-02  2.505258E-20  5.159407E-19  2.019817E-17  1.588431E-16  2.695177E-15  5.705442E-15  2.417052E-14  4.012223E-15
    115  4.697520204195E-02  3.381868E-20  7.082764E-19  2.833974E-17  2.265563E-16  3.924737E-15  8.429282E-15  3.644232E-14  6.106371E-15
    116  4.709649788536E-02  4.436713E-20  9.439766E-19  3.855285E-17  3.129842E-16  5.528654E-15  1.203623E-14  5.303751E-14  8.965721E-15
