 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
     41  1.871872199221E-02  8.575640E-25  3.005616E-20  1.592614E-20  4.676326E-20  7.907450E-21  1.482545E-21  3.938959E-24  3.412967E-26
     42  2.131412024987E-02  4.358952E-24  2.563342E-19  1.826498E-19  9.780242E-19  1.829641E-19  4.576145E-20  1.347573E-22  1.301825E-24
     43  2.288535686070E-02  1.015587E-23  8.462045E-19  7.330406E-19  5.619085E-18  1.195900E-18  4.266662E-19  1.414472E-21  1.740553E-23
     44  2.437102778700E-02  2.035455E-23  2.609380E-18  2.809946E-18  2.872286E-17  6.589486E-18  2.769402E-18  9.607443E-21  1.268804E-22
     45  2.666254430666E-02  5.224862E-23  1.521981E-17  2.365149E-17  3.892051E-16  1.056458E-16  6.113620E-17  2.316853E-19  3.553484E-21
     46  2.807329513827E-02  9.294752E-23  4.832814E-17  9.342299E-17  2.120499E-15  6.595835E-16  4.742716E-16  1.916953E-18  3.296081E-20
     47  2.946719119355E-02  1.807868E-22  1.620934E-16  3.777683E-16  1.120184E-14  3.838389E-15  3.223052E-15  1.370014E-17  2.547701E-19
     48  2.982466835475E-02  2.218454E-22  2.245303E-16  5.467778E-16  1.726027E-14  6.035648E-15  5.247823E-15  2.257631E-17  4.271804E-19
     49  3.017238950627E-02  2.754346E-22  3.073193E-16  7.798243E-16  2.621226E-14  9.358184E-15  8.434493E-15  3.674733E-17  7.079930E-19
     50  3.052509122072E-02  3.487760E-22  4.206521E-16  1.110101E-15  3.964634E-14  1.443225E-14  1.347823E-14  5.948132E-17  1.166797E-18
     51  3.066477686677E-02  3.844565E-22  4.755640E-16  1.273924E-15  4.656733E-14  1.707494E-14  1.616776E-14  7.171386E-17  1.416609E-18
     52  3.080037159611E-02  4.240149E-22  5.359786E-16  1.456478E-15  5.444395E-14  2.010128E-14  1.928880E-14  8.598156E-17  1.709956E-18
     53  3.111325257314E-02  5.355455E-22  7.041148E-16  1.975784E-15  7.766346E-14  2.911240E-14  2.879814E-14  1.298465E-16  2.622418E-18
     54  3.147800645819E-02  7.071512E-22  9.577200E-16  2.785092E-15  1.157883E-13  4.411676E-14  4.518668E-14  2.064842E-16  4.244546E-18
     55  3.181357346897E-02  9.128059E-22  1.255884E-15  3.768764E-15  1.646103E-13  6.359350E-14  6.722470E-14  3.110162E-16  6.496819E-18
     56  3.217197145871E-02  1.191723E-21  1.654527E-15  5.128230E-15  2.356328E-13  9.229992E-14  1.008844E-13  4.730117E-16  1.005070E-17
     57  3.249951277145E-02  1.506900E-21  2.101745E-15  6.703781E-15  3.221301E-13  1.277047E-13  1.438861E-13  6.829940E-16  1.474041E-17
     58  3.262595809504E-02  1.645369E-21  2.298033E-15  7.410045E-15  3.621556E-13  1.442213E-13  1.644094E-13  7.841617E-16  1.702620E-17
     59  3.272641576722E-02  1.765229E-21  2.467225E-15  8.024601E-15  3.975065E-13  1.588687E-13  1.828060E-13  8.752484E-16  1.909570E-17
     60  3.304841700500E-02  2.195980E-21  3.077252E-15  1.028616E-14  5.316767E-13  2.149153E-13  2.548205E-13  1.235224E-15  2.737119E-17
     61  3.362823507679E-02  3.159212E-21  4.468183E-15  1.567306E-14  8.728786E-13  3.599901E-13  4.506121E-13  2.234357E-15  5.093617E-17
     62  3.417743618412E-02  4.303618E-21  6.197011E-15  2.273550E-14  1.356924E-12  5.704326E-13  7.521915E-13  3.812776E-15  8.935720E-17
     63  3.448472684867E-02  5.042746E-21  7.369598E-15  2.771940E-14  1.718938E-12  7.305460E-13  9.921477E-13  5.092622E-15  1.212598E-16
     64  3.459225947862E-02  5.321942E-21  7.823401E-15  2.968389E-14  1.865570E-12  7.959481E-13  1.092261E-12  5.631394E-15  1.348437E-16
     65  3.468161085917E-02  5.564406E-21  8.221425E-15  3.142115E-14  1.996886E-12  8.547567E-13  1.183181E-12  6.122749E-15  1.472996E-16
     66  3.501586344154E-02  6.529768E-21  9.859584E-15  3.871720E-14  2.565154E-12  1.111701E-12  1.590005E-12  8.343717E-15  2.043403E-16
     67  3.563385967804E-02  8.538441E-21  1.357924E-14  5.605867E-14  4.010216E-12  1.779883E-12  2.706966E-12  1.458410E-14  3.694987E-16
     68  3.619390900501E-02  1.056124E-20  1.784247E-14  7.708085E-14  5.911656E-12  2.684335E-12  4.322028E-12  2.386309E-14  6.242709E-16
     69  3.661379630041E-02  1.217078E-20  2.168596E-14  9.694349E-14  7.835151E-12  3.622071E-12  6.091491E-12  3.426848E-14  9.189847E-16
     70  3.704099468238E-02  1.385646E-20  2.623773E-14  1.214733E-13  1.036003E-11  4.881342E-12  8.588152E-12  4.925856E-14  1.355683E-15
     71  3.731378163516E-02  1.489910E-20  2.943863E-14  1.393881E-13  1.230481E-11  5.870893E-12  1.063519E-11  6.176879E-14  1.729017E-15
     72  3.757630769329E-02  1.584375E-20  3.270127E-14  1.582300E-13  1.444061E-11  6.975642E-12  1.300012E-11  7.642895E-14  2.175109E-15
     73  3.788075418501E-02  1.682667E-20  3.664893E-14  1.818641E-13  1.725267E-11  8.457368E-12  1.629438E-11  9.717183E-14  2.819999E-15
     74  3.819794660071E-02  1.767272E-20  4.085098E-14  2.081426E-13  2.056165E-11  1.023901E-11  2.043025E-11  1.236790E-13  3.664443E-15
     75  3.838080203158E-02  1.805896E-20  4.326560E-14  2.238421E-13  2.263678E-11  1.137701E-11  2.316816E-11  1.414824E-13  4.243057E-15
     76  3.859219912978E-02  1.842472E-20  4.606207E-14  2.425902E-13  2.521225E-11  1.281035E-11  2.671466E-11  1.648041E-13  5.013035E-15
     77  3.884096228080E-02  1.869271E-20  4.921850E-14  2.647238E-13  2.841493E-11  1.462754E-11  3.137675E-11  1.959070E-13  6.060638E-15
     78  3.907668434759E-02  1.877124E-20  5.199854E-14  2.853313E-13  3.158173E-11  1.646409E-11  3.628080E-11  2.291422E-13  7.204678E-15
     79  3.934936577490E-02  1.863943E-20  5.485704E-14  3.081010E-13  3.533981E-11  1.869911E-11  4.252174E-11  2.721765E-13  8.721927E-15
     80  3.961640452516E-02  1.827758E-20  5.718183E-14  3.285945E-13  3.903540E-11  2.096316E-11  4.917363E-11  3.189382E-13  1.041501E-14
     81  3.991996766101E-02  1.759608E-20  5.912993E-14  3.487927E-13  4.312701E-11  2.356193E-11  5.727339E-11  3.771355E-13  1.258608E-14
     82  4.019473378510E-02  1.674941E-20  6.015529E-14  3.633837E-13  4.659604E-11  2.586372E-11  6.494654E-11  4.336040E-13  1.476204E-14
     83  4.046928694587E-02  1.571505E-20  6.041984E-14  3.738196E-13  4.972220E-11  2.804794E-11  7.278037E-11  4.926977E-13  1.711567E-14
     84  4.074955599116E-02  1.448873E-20  5.982304E-14  3.793294E-13  5.238856E-11  3.005156E-11  8.065989E-11  5.538866E-13  1.964649E-14
