 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
    174  5.804755660481E-02  2.412384E-22  1.840854E-14  2.725148E-14  5.449602E-13  1.102054E-13  5.389683E-13  9.995855E-15  1.468262E-15
    175  5.837706807704E-02  2.318785E-22  1.908916E-14  2.851110E-14  5.738882E-13  1.159954E-13  5.790514E-13  1.097052E-14  1.665106E-15
    176  5.868213309337E-02  2.233225E-22  1.970566E-14  2.967731E-14  6.009792E-13  1.214396E-13  6.181296E-13  1.194501E-14  1.869165E-15
    177  5.897372529375E-02  2.152828E-22  2.028247E-14  3.079174E-14  6.271446E-13  1.267191E-13  6.573371E-13  1.294613E-14  2.086054E-15
    178  5.927019313219E-02  2.072752E-22  2.085586E-14  3.192365E-14  6.540004E-13  1.321602E-13  6.991310E-13  1.403849E-14  2.330800E-15
    179  5.955970264735E-02  1.996373E-22  2.140342E-14  3.302837E-14  6.804812E-13  1.375473E-13  7.419233E-13  1.518311E-14  2.595973E-15
    180  5.987296131417E-02  1.915914E-22  2.198330E-14  3.422490E-14  7.094562E-13  1.434657E-13  7.905794E-13  1.651558E-14  2.915460E-15
    181  6.018239261751E-02  1.838767E-22  2.253851E-14  3.540061E-14  7.382501E-13  1.493754E-13  8.409844E-13  1.793095E-14  3.267261E-15
    182  6.051941164510E-02  1.757473E-22  2.312129E-14  3.667078E-14  7.697317E-13  1.558705E-13  8.985785E-13  1.959127E-14  3.695775E-15
    183  6.081686890997E-02  1.688146E-22  2.361497E-14  3.777995E-14  7.975552E-13  1.616416E-13  9.517791E-13  2.116532E-14  4.117363E-15
    184  6.107970107709E-02  1.628811E-22  2.403386E-14  3.874863E-14  8.221198E-13  1.667619E-13  1.000657E-12  2.264535E-14  4.527040E-15
    185  6.149099227918E-02  1.539624E-22  2.465600E-14  4.024127E-14  8.604734E-13  1.748047E-13  1.080770E-12  2.514039E-14  5.245925E-15
    186  6.184187848266E-02  1.467084E-22  2.515537E-14  4.149298E-14  8.931120E-13  1.816947E-13  1.152788E-12  2.745487E-14  5.943444E-15
    187  6.212841772032E-02  1.410285E-22  2.553743E-14  4.249279E-14  9.195379E-13  1.873089E-13  1.214003E-12  2.947634E-14  6.576349E-15
    188  6.241083345826E-02  1.356456E-22  2.589006E-14  4.345587E-14  9.453153E-13  1.928183E-13  1.276444E-12  3.158946E-14  7.261086E-15
    189  6.286334795077E-02  1.274662E-22  2.640325E-14  4.494744E-14  9.859224E-13  2.015693E-13  1.380837E-12  3.523793E-14  8.497769E-15
    190  6.324448148531E-02  1.210019E-22  2.678412E-14  4.614963E-14  1.019325E-12  2.088399E-13  1.472895E-12  3.857559E-14  9.688106E-15
    191  6.354755735680E-02  1.161352E-22  2.705613E-14  4.707378E-14  1.045423E-12  2.145655E-13  1.548995E-12  4.141785E-14  1.074484E-14
    192  6.382753282149E-02  1.118543E-22  2.728112E-14  4.789819E-14  1.069060E-12  2.197898E-13  1.621491E-12  4.419655E-14  1.181573E-14
    193  6.429792763326E-02  1.051236E-22  2.759875E-14  4.921142E-14  1.107526E-12  2.283834E-13  1.747835E-12  4.920766E-14  1.383999E-14
    194  6.470641913937E-02  9.974210E-23  2.781252E-14  5.027478E-14  1.139532E-12  2.356322E-13  1.862100E-12  5.392585E-14  1.585332E-14
    195  6.514351188605E-02  9.445180E-23  2.797766E-14  5.133033E-14  1.172223E-12  2.431431E-13  1.988982E-12  5.937451E-14  1.830539E-14
    196  6.551961572666E-02  9.027453E-23  2.807205E-14  5.217692E-14  1.199174E-12  2.494203E-13  2.102259E-12  6.442291E-14  2.069585E-14
    197  6.614173306661E-02  8.410664E-23  2.812832E-14  5.343983E-14  1.240990E-12  2.593520E-13  2.297488E-12  7.354166E-14  2.529800E-14
    198  6.666431851744E-02  7.961396E-23  2.808044E-14  5.436283E-14  1.273234E-12  2.672126E-13  2.468731E-12  8.198612E-14  2.988051E-14
    199  6.714973898932E-02  7.597670E-23  2.796255E-14  5.510915E-14  1.300784E-12  2.741067E-13  2.633658E-12  9.052071E-14  3.481913E-14
    200  6.763365269933E-02  7.283276E-23  2.778542E-14  5.576234E-14  1.326249E-12  2.806413E-13  2.804328E-12  9.976253E-14  4.050662E-14
    201  6.810748363549E-02  7.020072E-23  2.755313E-14  5.630625E-14  1.349007E-12  2.866635E-13  2.976958E-12  1.095511E-13  4.691132E-14
    202  6.886988901479E-02  6.682988E-23  2.706860E-14  5.699207E-14  1.381181E-12  2.955798E-13  3.266161E-12  1.269644E-13  5.925450E-14
    203  6.932442343830E-02  6.528743E-23  2.672505E-14  5.730382E-14  1.398019E-12  3.004877E-13  3.445774E-12  1.384214E-13  6.802407E-14
    204  6.977291475786E-02  6.408175E-23  2.635188E-14  5.754763E-14  1.413047E-12  3.050547E-13  3.628511E-12  1.505878E-13  7.788894E-14
    205  7.051837306122E-02  6.272250E-23  2.566297E-14  5.781516E-14  1.434510E-12  3.120309E-13  3.944009E-12  1.728377E-13  9.737657E-14
    206  7.120724846930E-02  6.211526E-23  2.496689E-14  5.793338E-14  1.450927E-12  3.178865E-13  4.249585E-12  1.959006E-13  1.195033E-13
    207  7.185571854523E-02  6.205334E-23  2.427601E-14  5.795771E-14  1.463956E-12  3.229904E-13  4.550940E-12  2.200993E-13  1.447701E-13
    208  7.250556240022E-02  6.244151E-23  2.355693E-14  5.790532E-14  1.474791E-12  3.277369E-13  4.866464E-12  2.470139E-13  1.752793E-13
    209  7.308358088908E-02  6.313004E-23  2.290536E-14  5.781211E-14  1.482978E-12  3.317335E-13  5.159697E-12  2.734657E-13  2.076673E-13
    210  7.365083251161E-02  6.409188E-23  2.226462E-14  5.769663E-14  1.490141E-12  3.355439E-13  5.460551E-12  3.020168E-13  2.452254E-13
    211  7.420607479025E-02  6.528690E-23  2.163953E-14  5.756369E-14  1.496384E-12  3.391843E-13  5.767865E-12  3.326728E-13  2.884823E-13
    212  7.477269193766E-02  6.674421E-23  2.100984E-14  5.741893E-14  1.502253E-12  3.428704E-13  6.095701E-12  3.670201E-13  3.404530E-13
    213  7.532671922740E-02  6.838116E-23  2.041101E-14  5.728930E-14  1.508046E-12  3.465641E-13  6.432556E-12  4.040046E-13  4.004297E-13
    214  7.590819975934E-02  7.030497E-23  1.980305E-14  5.716896E-14  1.514271E-12  3.505629E-13  6.804221E-12  4.467979E-13  4.748700E-13
    215  7.648106882397E-02  7.238491E-23  1.922906E-14  5.707479E-14  1.520787E-12  3.546837E-13  7.190028E-12  4.933863E-13  5.618696E-13
    216  7.706864365518E-02  7.468370E-23  1.867292E-14  5.702061E-14  1.528344E-12  3.592096E-13  7.608879E-12  5.463570E-13  6.680772E-13
    217  7.765097184480E-02  7.709932E-23  1.815879E-14  5.701996E-14  1.537014E-12  3.640742E-13  8.049540E-12  6.046894E-13  7.937014E-13
    218  7.824188421090E-02  7.965947E-23  1.767738E-14  5.707805E-14  1.547168E-12  3.694448E-13  8.524524E-12  6.705007E-13  9.459458E-13
    219  7.883216312169E-02  8.229321E-23  1.724265E-14  5.721075E-14  1.559122E-12  3.753624E-13  9.030531E-12  7.438085E-13  1.128153E-12
    220  7.934760137230E-02  8.462789E-23  1.690645E-14  5.740537E-14  1.571550E-12  3.811105E-13  9.502077E-12  8.149079E-13  1.317079E-12
    221  7.991019390762E-02  8.718649E-23  1.658775E-14  5.770716E-14  1.587411E-12  3.880610E-13  1.005064E-11  9.009161E-13  1.561019E-12
    222  8.044081450283E-02  8.958700E-23  1.633776E-14  5.809256E-14  1.605013E-12  3.953831E-13  1.060426E-11  9.911266E-13  1.834198E-12
    223  8.103419684334E-02  9.223185E-23  1.612551E-14  5.867335E-14  1.628710E-12  4.047025E-13  1.127260E-11  1.104180E-12  2.200345E-12
    224  8.158988408622E-02  9.465105E-23  1.599574E-14  5.938016E-14  1.655326E-12  4.146756E-13  1.195114E-11  1.223345E-12  2.613426E-12
    225  8.219791245697E-02  9.721807E-23  1.593626E-14  6.036185E-14  1.690177E-12  4.271970E-13  1.275946E-11  1.370716E-12  3.160526E-12
    226  8.273529679330E-02  9.940411E-23  1.596344E-14  6.144759E-14  1.727044E-12  4.399537E-13  1.354042E-11  1.518212E-12  3.745845E-12
    227  8.327310875316E-02  1.014993E-22  1.607220E-14  6.277306E-14  1.770650E-12  4.545866E-13  1.439356E-11  1.684666E-12  4.449121E-12
    228  8.381967664174E-02  1.035163E-22  1.626770E-14  6.438132E-14  1.822368E-12  4.715343E-13  1.533971E-11  1.875639E-12  5.308795E-12
    229  8.442137901789E-02  1.055729E-22  1.658464E-14  6.648264E-14  1.888757E-12  4.928619E-13  1.648163E-11  2.114838E-12  6.461106E-12
    230  8.496109010092E-02  1.072215E-22  1.696538E-14  6.870087E-14  1.957908E-12  5.147092E-13  1.760541E-11  2.359153E-12  7.721117E-12
    231  8.556251684447E-02  1.087762E-22  1.748830E-14  7.153190E-14  2.045413E-12  5.420683E-13  1.896723E-11  2.667706E-12  9.428299E-12
    232  8.609514523980E-02  1.098358E-22  1.803104E-14  7.434658E-14  2.131937E-12  5.689447E-13  2.026715E-11  2.975607E-12  1.125811E-11
    233  8.668730402486E-02  1.105673E-22  1.871456E-14  7.780755E-14  2.237964E-12  6.017461E-13  2.181097E-11  3.359126E-12  1.371247E-11
    234  8.725638446658E-02  1.107314E-22  1.943409E-14  8.141929E-14  2.348448E-12  6.358869E-13  2.337660E-11  3.769833E-12  1.655805E-11
    235  8.784892152766E-02  1.102471E-22  2.022142E-14  8.539378E-14  2.470091E-12  6.735538E-13  2.506270E-11  4.240368E-12  2.010206E-11
    236  8.837914431516E-02  1.091716E-22  2.093673E-14  8.906394E-14  2.582634E-12  7.085412E-13  2.659122E-11  4.696516E-12  2.384108E-11
    237  8.927467123273E-02  1.058153E-22  2.210626E-14  9.529206E-14  2.774475E-12  7.686304E-13  2.912444E-11  5.531656E-12  3.153435E-11
    238  9.009385267910E-02  1.010206E-22  2.302839E-14  1.006163E-13  2.940080E-12  8.212849E-13  3.123622E-11  6.340843E-12  4.019934E-11
    239  9.088007009323E-02  9.491168E-23  2.370150E-14  1.050577E-13  3.080260E-12  8.667114E-13  3.293643E-11  7.127220E-12  5.005377E-11
    240  9.160938796651E-02  8.814259E-23  2.407179E-14  1.082740E-13  3.184339E-12  9.014204E-13  3.410835E-11  7.831853E-12  6.048369E-11
    241  9.231864750676E-02  8.079558E-23  2.416378E-14  1.103745E-13  3.255666E-12  9.263363E-13  3.479928E-11  8.465233E-12  7.170604E-11
    242  9.335415502949E-02  6.930301E-23  2.380996E-14  1.114313E-13  3.300659E-12  9.446817E-13  3.494436E-11  9.248501E-12  8.967084E-11
    243  9.429165011748E-02  5.884620E-23  2.301791E-14  1.102864E-13  3.278875E-12  9.417165E-13  3.420536E-11  9.771893E-12  1.070397E-10
    244  9.514750284226E-02  4.974971E-23  2.197890E-14  1.076923E-13  3.212353E-12  9.239294E-13  3.290471E-11  1.008052E-11  1.234019E-10
    245  9.592869681963E-02  4.214102E-23  2.083351E-14  1.042445E-13  3.118707E-12  8.967730E-13  3.130811E-11  1.022377E-11  1.384387E-10
    246  9.638259128200E-02  3.805974E-23  2.011053E-14  1.018764E-13  3.053015E-12  8.771197E-13  3.024484E-11  1.025043E-11  1.471597E-10
    247  9.686466198075E-02  3.403987E-23  1.931121E-14  9.912551E-14  2.975850E-12  8.536626E-13  2.903743E-11  1.023778E-11  1.563556E-10
    248  9.745016881397E-02  2.960383E-23  1.831467E-14  9.553273E-14  2.874098E-12  8.223010E-13  2.749722E-11  1.017199E-11  1.673942E-10
    249  9.798964068785E-02  2.593761E-23  1.738829E-14  9.205283E-14  2.774769E-12  7.913324E-13  2.603747E-11  1.006888E-11  1.774202E-10
    250  9.892639389759E-02  2.046152E-23  1.580084E-14  8.581378E-14  2.595273E-12  7.347150E-13  2.348536E-11  9.811366E-12  1.944881E-10
    251  9.977784733458E-02  1.640736E-23  1.441432E-14  8.009901E-14  2.429608E-12  6.819858E-13  2.122652E-11  9.515291E-12  2.095865E-10
    252  1.005622893962E-01  1.332326E-23  1.320751E-14  7.493155E-14  2.278973E-12  6.337781E-13  1.924090E-11  9.206303E-12  2.231808E-10
    253  1.013070552067E-01  1.091051E-23  1.213376E-14  7.018089E-14  2.139868E-12  5.891867E-13  1.747047E-11  8.895179E-12  2.358029E-10
    254  1.019791947326E-01  9.094565E-24  1.122875E-14  6.606158E-14  2.018806E-12  5.503984E-13  1.597783E-11  8.606433E-12  2.469662E-10
    255  1.025982572428E-01  7.678303E-24  1.044964E-14  6.242723E-14  1.911673E-12  5.161449E-13  1.469420E-11  8.338005E-12  2.570548E-10
    256  1.032644197032E-01  6.396539E-24  9.668429E-15  5.869665E-14  1.801392E-12  4.810332E-13  1.341340E-11  8.051561E-12  2.676837E-10
    257  1.039121745974E-01  5.350693E-24  8.963814E-15  5.525313E-14  1.699322E-12  4.487185E-13  1.226433E-11  7.777411E-12  2.777690E-10
    258  1.045193471709E-01  4.521429E-24  8.350378E-15  5.219041E-14  1.608318E-12  4.201008E-13  1.127000E-11  7.525987E-12  2.869638E-10
    259  1.051181778144E-01  3.829528E-24  7.787540E-15  4.932362E-14  1.522942E-12  3.934697E-13  1.036567E-11  7.285584E-12  2.957436E-10
    260  1.056826419982E-01  3.273765E-24  7.293186E-15  4.675791E-14  1.446372E-12  3.697931E-13  9.578334E-12  7.066295E-12  3.037114E-10
    261  1.062431336111E-01  2.798673E-24  6.834996E-15  4.433742E-14  1.373993E-12  3.476143E-13  8.854376E-12  6.855331E-12  3.112714E-10
    262  1.068146627648E-01  2.385402E-24  6.399228E-15  4.199494E-14  1.303811E-12  3.263308E-13  8.173373E-12  6.648696E-12  3.185644E-10
    263  1.073656177930E-01  2.045426E-24  6.007267E-15  3.985206E-14  1.239487E-12  3.070381E-13  7.567971E-12  6.457857E-12  3.251371E-10
    264  1.079139362418E-01  1.753202E-24  5.642763E-15  3.782682E-14  1.178583E-12  2.889708E-13  7.010562E-12  6.275117E-12  3.311550E-10
    265  1.084202130578E-01  1.520310E-24  5.327386E-15  3.604771E-14  1.124989E-12  2.732515E-13  6.533926E-12  6.113463E-12  3.361954E-10
    266  1.089957947327E-01  1.293232E-24  4.991853E-15  3.412587E-14  1.066993E-12  2.564475E-13  6.033493E-12  5.938173E-12  3.412585E-10
    267  1.095139929398E-01  1.117787E-24  4.709281E-15  3.248275E-14  1.017321E-12  2.422352E-13  5.617600E-12  5.787717E-12  3.451423E-10
    268  1.100036617482E-01  9.728807E-25  4.458076E-15  3.100200E-14  9.724834E-13  2.295549E-13  5.252079E-12  5.651384E-12  3.481579E-10
    269  1.105581599754E-01  8.314264E-25  4.190908E-15  2.940528E-14  9.240535E-13  2.160305E-13  4.868789E-12  5.504483E-12  3.507666E-10
    270  1.111738162549E-01  6.985623E-25  3.914236E-15  2.772661E-14  8.730415E-13  2.019878E-13  4.478292E-12  5.350482E-12  3.525961E-10
    271  1.117276452796E-01  5.964972E-25  3.681951E-15  2.629632E-14  8.294945E-13  1.901681E-13  4.155301E-12  5.219242E-12  3.531989E-10
    272  1.122547306619E-01  5.130361E-25  3.474455E-15  2.500159E-14  7.900055E-13  1.795910E-13  3.871095E-12  5.100918E-12  3.528315E-10
    273  1.128196390807E-01  4.365968E-25  3.265776E-15  2.368240E-14  7.496990E-13  1.689388E-13  3.589794E-12  4.981199E-12  3.514070E-10
    274  1.134172103791E-01  3.679269E-25  3.059412E-15  2.236013E-14  7.092215E-13  1.583901E-13  3.316099E-12  4.862014E-12  3.487143E-10
    275  1.139661173569E-01  3.139739E-25  2.881982E-15  2.120847E-14  6.739007E-13  1.493086E-13  3.084353E-12  4.758809E-12  3.451529E-10
    276  1.145721141816E-01  2.635894E-25  2.698662E-15  2.000350E-14  6.368753E-13  1.399173E-13  2.848872E-12  4.651964E-12  3.400816E-10
    277  1.151138636995E-01  2.255027E-25  2.545184E-15  1.898238E-14  6.054398E-13  1.320486E-13  2.654927E-12  4.562436E-12  3.345852E-10
    278  1.160623872824E-01  1.709574E-25  2.298159E-15  1.731402E-14  5.539535E-13  1.193679E-13  2.348581E-12  4.417697E-12  3.228495E-10
    279  1.166131253687E-01  1.455860E-25  2.166407E-15  1.641105E-14  5.260179E-13  1.125988E-13  2.188512E-12  4.340571E-12  3.149886E-10
    280  1.171578902390E-01  1.241775E-25  2.043852E-15  1.556250E-14  4.997185E-13  1.062979E-13  2.041705E-12  4.268843E-12  3.065569E-10
    281  1.179966344325E-01  9.691432E-26  1.869132E-15  1.433783E-14  4.616748E-13  9.730567E-14  1.835767E-12  4.166347E-12  2.924597E-10
    282  1.184626561866E-01  8.445834E-26  1.778868E-15  1.369800E-14  4.417555E-13  9.265647E-14  1.731092E-12  4.113405E-12  2.841992E-10
    283  1.189221956404E-01  7.376499E-26  1.694307E-15  1.309402E-14  4.229234E-13  8.829838E-14  1.634108E-12  4.063776E-12  2.758330E-10
    284  1.197605220964E-01  5.740875E-26  1.550646E-15  1.205749E-14  3.905339E-13  8.088621E-14  1.471537E-12  3.979032E-12  2.601058E-10
    285  1.205341475296E-01  4.555758E-26  1.429314E-15  1.117146E-14  3.627724E-13  7.461866E-14  1.336668E-12  3.907078E-12  2.454019E-10
    286  1.212540834288E-01  3.668954E-26  1.325257E-15  1.040357E-14  3.386522E-13  6.923663E-14  1.222753E-12  3.844828E-12  2.317389E-10
    287  1.219299358624E-01  2.988908E-26  1.234723E-15  9.729275E-15  3.174216E-13  6.454805E-14  1.124986E-12  3.790072E-12  2.190796E-10
    288  1.225766858039E-01  2.457810E-26  1.154094E-15  9.123772E-15  2.983146E-13  6.036766E-14  1.039069E-12  3.740730E-12  2.072615E-10
    289  1.231854533608E-01  2.040951E-26  1.083184E-15  8.587287E-15  2.813494E-13  5.668652E-14  9.643675E-13  3.696712E-12  1.964464E-10
    290  1.237219182154E-01  1.730505E-26  1.024441E-15  8.139992E-15  2.671771E-13  5.363351E-14  9.031272E-13  3.659710E-12  1.872174E-10
    291  1.242404039059E-01  1.475916E-26  9.708013E-16  7.729265E-15  2.541402E-13  5.084297E-14  8.477685E-13  3.625437E-12  1.786133E-10
    292  1.248086455930E-01  1.239794E-26  9.153413E-16  7.302269E-15  2.405618E-13  4.795464E-14  7.911029E-13  3.589418E-12  1.695577E-10
    293  1.253177247642E-01  1.057727E-26  8.684338E-16  6.939246E-15  2.289965E-13  4.550882E-14  7.435971E-13  3.558403E-12  1.617686E-10
    294  1.258810647447E-01  8.873548E-27  8.194090E-16  6.557998E-15  2.168283E-13  4.294996E-14  6.944395E-13  3.525391E-12  1.535472E-10
    295  1.264205598797E-01  7.504124E-27  7.751314E-16  6.212043E-15  2.057657E-13  4.063644E-14  6.504969E-13  3.494981E-12  1.460704E-10
    296  1.270317883483E-01  6.193172E-27  7.279253E-16  5.841497E-15  1.938933E-13  3.816698E-14  6.041026E-13  3.461846E-12  1.380479E-10
    297  1.275757308169E-01  5.213143E-27  6.883992E-16  5.529883E-15  1.838892E-13  3.609695E-14  5.656489E-13  3.433471E-12  1.313105E-10
    298  1.286048671531E-01  3.767863E-27  6.195256E-16  4.983976E-15  1.663160E-13  3.248488E-14  4.996096E-13  3.382453E-12  1.195864E-10
    299  1.290949488661E-01  3.218329E-27  5.892452E-16  4.742796E-15  1.585316E-13  3.089454E-14  4.709484E-13  3.359309E-12  1.144389E-10
    300  1.295345101683E-01  2.794097E-27  5.633753E-16  4.536190E-15  1.518524E-13  2.953480E-14  4.466739E-13  3.339150E-12  1.100568E-10
    301  1.303954523490E-01  2.121194E-27  5.160196E-16  4.156694E-15  1.395565E-13  2.704327E-14  4.027778E-13  3.301238E-12  1.020825E-10
    302  1.308549873199E-01  1.826672E-27  4.924283E-16  3.967019E-15  1.333967E-13  2.580073E-14  3.811574E-13  3.281826E-12  9.812889E-11
    303  1.312776310019E-01  1.590937E-27  4.717049E-16  3.800076E-15  1.279669E-13  2.470857E-14  3.623174E-13  3.264460E-12  9.466995E-11
    304  1.320787884157E-01  1.225647E-27  4.348384E-16  3.502356E-15  1.182631E-13  2.276415E-14  3.291887E-13  3.232786E-12  8.855390E-11
    305  1.327308179063E-01  9.896413E-28  4.070186E-16  3.277098E-15  1.109025E-13  2.129559E-14  3.045172E-13  3.208186E-12  8.396602E-11
    306  1.333821207310E-01  7.971403E-28  3.810467E-16  3.066366E-15  1.040011E-13  1.992363E-14  2.817527E-13  3.184641E-12  7.970234E-11
    307  1.339749669338E-01  6.553096E-28  3.588844E-16  2.886238E-15  9.808923E-14  1.875229E-14  2.625599E-13  3.164082E-12  7.608034E-11
    308  1.345530840576E-01  5.407730E-28  3.385443E-16  2.720689E-15  9.264482E-14  1.767678E-14  2.451332E-13  3.144826E-12  7.276593E-11
    309  1.351098094661E-01  4.480619E-28  3.200734E-16  2.570176E-15  8.768519E-14  1.669972E-14  2.294658E-13  3.127018E-12  6.976202E-11
    310  1.359304916944E-01  3.400783E-28  2.947129E-16  2.363288E-15  8.085181E-14  1.535785E-14  2.082398E-13  3.102047E-12  6.564801E-11
    311  1.363572082699E-01  2.946146E-28  2.823515E-16  2.262361E-15  7.751104E-14  1.470365E-14  1.980155E-13  3.089663E-12  6.364547E-11
    312  1.367788244083E-01  2.548815E-28  2.706602E-16  2.166859E-15  7.434522E-14  1.408484E-14  1.884138E-13  3.077836E-12  6.175160E-11
    313  1.375777712339E-01  1.938637E-28  2.498523E-16  1.996812E-15  6.869652E-14  1.298350E-14  1.715258E-13  3.056505E-12  5.838355E-11
    314  1.380438267916E-01  1.654807E-28  2.384816E-16  1.903862E-15  6.560211E-14  1.238171E-14  1.624117E-13  3.044710E-12  5.654398E-11
    315  1.384690951451E-01  1.428111E-28  2.285703E-16  1.822831E-15  6.290037E-14  1.185719E-14  1.545272E-13  3.034375E-12  5.493986E-11
    316  1.391087445178E-01  1.142206E-28  2.144550E-16  1.707430E-15  5.904566E-14  1.111033E-14  1.434086E-13  3.019589E-12  5.265523E-11
    317  1.397002518981E-01  9.303139E-29  2.022016E-16  1.607271E-15  5.569301E-14  1.046220E-14  1.338724E-13  3.006715E-12  5.067247E-11
    318  1.402705851668E-01  7.628341E-29  1.910698E-16  1.516306E-15  5.264210E-14  9.873617E-15  1.253022E-13  2.995040E-12  4.887131E-11
    319  1.408634912375E-01  6.178284E-29  1.801666E-16  1.427246E-15  4.964913E-14  9.297355E-15  1.169930E-13  2.983692E-12  4.710722E-11
    320  1.414089642241E-01  5.094085E-29  1.707038E-16  1.349997E-15  4.704805E-14  8.797498E-15  1.098609E-13  2.973947E-12  4.557745E-11
    321  1.419220762512E-01  4.255662E-29  1.622717E-16  1.281207E-15  4.472765E-14  8.352344E-15  1.035705E-13  2.965390E-12  4.421580E-11
    322  1.422771704232E-01  3.746034E-29  1.566901E-16  1.235696E-15  4.319023E-14  8.057806E-15  9.943616E-14  2.959838E-12  4.331503E-11
    323  1.426029315631E-01  3.329261E-29  1.517450E-16  1.195395E-15  4.182724E-14  7.796961E-15  9.579564E-14  2.955007E-12  4.251776E-11
    324  1.430135230101E-01  2.870516E-29  1.457425E-16  1.146506E-15  4.017177E-14  7.480498E-15  9.140758E-14  2.949271E-12  4.155145E-11
    325  1.434683796643E-01  2.438450E-29  1.393806E-16  1.094731E-15  3.841602E-14  7.145303E-15  8.679522E-14  2.943377E-12  4.052942E-11
    326  1.440315208021E-01  1.993118E-29  1.319034E-16  1.033937E-15  3.635092E-14  6.751639E-15  8.142442E-14  2.936768E-12  3.933153E-11
    327  1.445490332405E-01  1.647078E-29  1.254016E-16  9.811294E-16  3.455387E-14  6.409607E-15  7.679556E-14  2.931406E-12  3.829331E-11
    328  1.451370980342E-01  1.327501E-29  1.184189E-16  9.244867E-16  3.262277E-14  6.042634E-15  7.187537E-14  2.926113E-12  3.718351E-11
    329  1.457052374241E-01  1.080376E-29  1.120589E-16  8.729681E-16  3.086299E-14  5.708754E-15  6.744219E-14  2.921812E-12  3.617857E-11
    330  1.463107957421E-01  8.624185E-30  1.056731E-16  8.213137E-16  2.909514E-14  5.373878E-15  6.303338E-14  2.918168E-12  3.517610E-11
    331  1.468752132891E-01  6.982145E-30  1.000647E-16  7.760184E-16  2.754193E-14  5.080121E-15  5.920112E-14  2.915635E-12  3.430279E-11
    332  1.475510939381E-01  5.438045E-30  9.375703E-17  7.251678E-16  2.579468E-14  4.750198E-15  5.493963E-14  2.913696E-12  3.333068E-11
    333  1.481899111058E-01  4.273704E-30  8.817923E-17  6.802868E-16  2.424921E-14  4.458872E-15  5.121161E-14  2.913039E-12  3.248172E-11
    334  1.491767377555E-01  2.937616E-30  8.024088E-17  6.165741E-16  2.204949E-14  4.045061E-15  4.597864E-14  2.914312E-12  3.129636E-11
    335  1.497116139607E-01  2.404339E-30  7.625727E-17  5.846834E-16  2.094570E-14  3.837808E-15  4.338754E-14  2.916170E-12  3.071431E-11
    336  1.502421520731E-01  1.955331E-30  7.251339E-17  5.547633E-16  1.990834E-14  3.643281E-15  4.097117E-14  2.918926E-12  3.017682E-11
    337  1.509052103900E-01  1.512447E-30  6.810701E-17  5.196235E-16  1.868767E-14  3.414705E-15  3.815592E-14  2.923582E-12  2.955861E-11
    338  1.515352476696E-01  1.189810E-30  6.418317E-17  4.884063E-16  1.760102E-14  3.211534E-15  3.567636E-14  2.929265E-12  2.902368E-11
    339  1.521327102765E-01  1.000000E-30  6.068482E-17  4.606346E-16  1.663241E-14  3.030694E-15  3.348508E-14  2.935911E-12  2.856157E-11
    340  1.526678407657E-01  1.000000E-30  5.772417E-17  4.371826E-16  1.581299E-14  2.877907E-15  3.164748E-14  2.942875E-12  2.818359E-11
    341  1.532481602429E-01  1.000000E-30  5.468699E-17  4.131773E-16  1.497276E-14  2.721436E-15  2.977946E-14  2.951504E-12  2.781039E-11
    342  1.535863948111E-01  1.000000E-30  5.299600E-17  3.998363E-16  1.450511E-14  2.634442E-15  2.874675E-14  2.957068E-12  2.760986E-11
    343  1.538995751697E-01  1.000000E-30  5.148077E-17  3.878960E-16  1.408615E-14  2.556559E-15  2.782504E-14  2.962633E-12  2.743532E-11
    344  1.546020187628E-01  1.000000E-30  4.824924E-17  3.624836E-16  1.319306E-14  2.390726E-15  2.587471E-14  2.976410E-12  2.708120E-11
    345  1.552062305672E-01  1.000000E-30  4.564402E-17  3.420522E-16  1.247356E-14  2.257316E-15  2.431828E-14  2.989687E-12  2.681628E-11
    346  1.557875935888E-01  1.000000E-30  4.328061E-17  3.235614E-16  1.182120E-14  2.136513E-15  2.291772E-14  3.003815E-12  2.659496E-11
    347  1.566447447202E-01  1.000000E-30  4.003540E-17  2.982472E-16  1.092615E-14  1.971023E-15  2.101379E-14  3.027134E-12  2.632685E-11
    348  1.574294426159E-01  1.000000E-30  3.729445E-17  2.769425E-16  1.017096E-14  1.831636E-15  1.942475E-14  3.050983E-12  2.613869E-11
    349  1.581710514975E-01  1.000000E-30  3.489178E-17  2.583263E-16  9.509545E-15  1.709753E-15  1.804505E-14  3.076005E-12  2.601037E-11
    350  1.588328903187E-01  1.000000E-30  3.288883E-17  2.428558E-16  8.958718E-15  1.608398E-15  1.690614E-14  3.100219E-12  2.593397E-11
    351  1.594606073659E-01  1.000000E-30  3.110368E-17  2.291068E-16  8.468225E-15  1.518266E-15  1.589962E-14  3.124855E-12  2.589344E-11
    352  1.600565792087E-01  1.000000E-30  2.950671E-17  2.168392E-16  8.029778E-15  1.437799E-15  1.500563E-14  3.149941E-12  2.588403E-11
    353  1.607059625219E-01  1.000000E-30  2.786663E-17  2.042765E-16  7.579935E-15  1.355346E-15  1.409503E-14  3.178937E-12  2.590363E-11
