 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                kr73          kr74          kr75          kr76          kr77          kr78          kr79          kr80 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000001E-30  1.090580E-30  1.132941E-30  1.192231E-30  1.287485E-30  1.191071E-30  1.132454E-30  1.053911E-30
      3  6.264265632874E-16  1.000000E-30  1.300335E-30  1.450783E-30  1.861005E-30  2.745806E-30  2.471954E-30  2.318673E-30  1.520349E-30
      4  2.206990590178E-15  1.000075E-30  1.337575E-30  1.529014E-30  2.277041E-30  5.008101E-30  6.246248E-30  8.755535E-30  4.738120E-30
      5  6.425069294186E-15  1.000320E-30  1.341135E-30  1.519463E-30  2.312776E-30  5.820246E-30  1.101224E-29  2.459038E-29  1.619986E-29
      6  1.724777641531E-14  1.000000E-30  1.353528E-30  1.581179E-30  2.413873E-30  6.197679E-30  1.527201E-29  4.435650E-29  3.679147E-29
      7  4.527785414179E-14  1.000000E-30  1.254506E-30  1.316592E-30  2.018379E-30  5.351325E-30  1.740949E-29  6.282491E-29  6.501283E-29
      8  1.231582592127E-13  1.161575E-30  1.471201E-30  1.639625E-30  2.563357E-30  7.073426E-30  3.148351E-29  1.308855E-28  1.560236E-28
      9  4.001734798240E-13  1.000000E-30  1.726760E-30  1.998730E-30  3.286821E-30  1.021107E-29  7.168288E-29  3.598551E-28  5.016302E-28
     10  1.150918682670E-12  1.000000E-30  1.168503E-30  1.565124E-30  2.187795E-30  9.074017E-30  7.996470E-29  4.184746E-28  5.940544E-28
     11  2.802808442389E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.410461E-30  5.758968E-30  5.715491E-29  3.032555E-28  4.355812E-28
     12  6.912921996243E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.814357E-30  3.259225E-29  1.751550E-28  2.526931E-28
