 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                au192         au193         au194         au195         au196         au197         au198         au199
     72  3.757630769329E-02  2.100797E-30  2.948095E-30  1.275336E-30  1.174748E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  2.797019E-30  4.438130E-30  2.025821E-30  1.897900E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  3.124421E-30  5.076336E-30  2.453731E-30  2.487491E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  2.030303E-30  3.163876E-30  1.481064E-30  1.493360E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  2.632434E-30  4.515707E-30  2.200992E-30  2.252340E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  3.135492E-30  5.311052E-30  2.643019E-30  2.765670E-30  1.116512E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  3.179145E-30  5.537578E-30  2.753168E-30  2.923760E-30  1.207743E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  4.587442E-30  8.184015E-30  4.327165E-30  5.127589E-30  2.205180E-30  1.096785E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  4.926171E-30  9.054565E-30  4.932125E-30  6.030105E-30  2.714893E-30  1.396785E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  5.842414E-30  1.134232E-29  6.245480E-30  7.482201E-30  3.314923E-30  1.735589E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  5.896922E-30  1.180009E-29  6.677993E-30  8.280596E-30  3.903611E-30  2.134496E-30  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  6.257974E-30  1.295012E-29  7.501197E-30  9.423575E-30  4.387646E-30  2.589243E-30  1.000000E-30  1.000000E-30
     84  4.074955599116E-02  7.053992E-30  1.527333E-29  9.464041E-30  1.305960E-29  6.544197E-30  3.895271E-30  1.294926E-30  1.000000E-30
     85  4.099011663524E-02  6.246808E-30  1.414850E-29  8.838627E-30  1.239789E-29  6.247268E-30  3.738760E-30  1.271335E-30  1.000000E-30
     86  4.118445936105E-02  5.254355E-30  1.218887E-29  7.755031E-30  1.115333E-29  5.760469E-30  3.542846E-30  1.234173E-30  1.000000E-30
     87  4.137235583218E-02  5.340911E-30  1.275996E-29  8.348631E-30  1.237600E-29  6.597779E-30  4.105047E-30  1.450502E-30  1.000000E-30
     88  4.152714488067E-02  4.693553E-30  1.138188E-29  7.509593E-30  1.128250E-29  6.074940E-30  3.864794E-30  1.394388E-30  1.000000E-30
     89  4.165981986900E-02  4.181968E-30  1.031471E-29  6.894417E-30  1.052945E-29  5.758143E-30  3.731590E-30  1.368700E-30  1.000000E-30
     90  4.188596337322E-02  7.339573E-30  1.849325E-29  1.247427E-29  1.925183E-29  1.069125E-29  7.266135E-30  2.794413E-30  1.038916E-30
     91  4.208159634323E-02  6.863819E-30  1.769935E-29  1.245398E-29  1.996968E-29  1.167542E-29  8.238835E-30  3.246141E-30  1.229866E-30
     92  4.230932596557E-02  8.076100E-30  2.146577E-29  1.519581E-29  2.482779E-29  1.452584E-29  1.037249E-29  4.156152E-30  1.604919E-30
     93  4.251598135750E-02  7.875426E-30  2.152768E-29  1.569211E-29  2.642523E-29  1.592882E-29  1.174625E-29  4.840864E-30  1.911415E-30
     94  4.274368410830E-02  8.786224E-30  2.476866E-29  1.838470E-29  3.182645E-29  1.947637E-29  1.429476E-29  5.949389E-30  2.388685E-30
     95  4.294191711445E-02  8.160199E-30  2.431839E-29  1.904546E-29  3.471662E-29  2.230147E-29  1.702625E-29  7.127246E-30  2.997645E-30
     96  4.316569238790E-02  9.193557E-30  2.794758E-29  2.263574E-29  4.282257E-29  2.863261E-29  2.329019E-29  1.032764E-29  4.535899E-30
     97  4.339365876136E-02  9.873789E-30  3.037159E-29  2.423563E-29  4.562853E-29  3.003721E-29  2.377705E-29  1.089265E-29  4.848213E-30
     98  4.362382833621E-02  1.032747E-29  3.276911E-29  2.686322E-29  5.225404E-29  3.541931E-29  2.882817E-29  1.315854E-29  5.893681E-30
     99  4.384703699487E-02  1.029242E-29  3.368350E-29  2.831273E-29  5.672785E-29  3.945065E-29  3.305010E-29  1.544107E-29  7.267364E-30
    100  4.408801045744E-02  1.135629E-29  3.840385E-29  3.328842E-29  6.895092E-29  4.925356E-29  4.239631E-29  2.009797E-29  9.613192E-30
    101  4.430336182063E-02  1.022088E-29  3.564858E-29  3.157327E-29  6.730342E-29  4.937569E-29  4.388001E-29  2.161900E-29  1.074979E-29
    102  4.453208602613E-02  1.097556E-29  3.957286E-29  3.616831E-29  7.969039E-29  6.000076E-29  5.466650E-29  2.740726E-29  1.341862E-29
    103  4.474836808964E-02  1.058839E-29  3.965165E-29  3.756049E-29  8.611635E-29  6.709059E-29  6.346393E-29  3.303656E-29  1.666607E-29
    104  4.497736119052E-02  1.118783E-29  4.355572E-29  4.257642E-29  1.012809E-28  8.140709E-29  7.962878E-29  4.276993E-29  2.223033E-29
    105  4.517199675598E-02  9.751432E-30  3.843570E-29  3.765248E-29  9.003231E-29  7.277908E-29  7.181241E-29  3.904971E-29  2.086036E-29
    106  4.536038532241E-02  9.418795E-30  3.827069E-29  3.847794E-29  9.493171E-29  7.878558E-29  7.986731E-29  4.438973E-29  2.388323E-29
    107  4.552484255766E-02  8.095604E-30  3.447770E-29  3.636978E-29  9.371566E-29  8.075892E-29  8.553498E-29  4.993801E-29  2.866349E-29
    108  4.581275722245E-02  1.421282E-29  6.179249E-29  6.562063E-29  1.715406E-28  1.490738E-28  1.584605E-28  9.207506E-29  5.205026E-29
    109  4.603616864208E-02  1.052783E-29  4.823874E-29  5.438639E-29  1.523284E-28  1.409419E-28  1.610168E-28  1.005222E-28  6.138806E-29
    110  4.624194314299E-02  9.677596E-30  4.507910E-29  5.149655E-29  1.472999E-28  1.392716E-28  1.639781E-28  1.058180E-28  6.702375E-29
    111  4.641297951594E-02  7.953330E-30  3.850312E-29  4.515949E-29  1.323625E-28  1.274457E-28  1.525349E-28  9.953895E-29  6.346649E-29
    112  4.656990459822E-02  7.297685E-30  3.588490E-29  4.257953E-29  1.264667E-28  1.230705E-28  1.490132E-28  9.845421E-29  6.376520E-29
    113  4.671253119976E-02  6.599879E-30  3.318657E-29  4.006360E-29  1.212098E-28  1.197036E-28  1.470704E-28  9.836915E-29  6.449569E-29
    114  4.684580987606E-02  6.001492E-30  3.072253E-29  3.765295E-29  1.159316E-28  1.161684E-28  1.449187E-28  9.817599E-29  6.515311E-29
    115  4.697520204195E-02  5.818096E-30  3.024982E-29  3.752562E-29  1.173702E-28  1.191772E-28  1.507378E-28  1.033373E-28  6.926075E-29
    116  4.709649788536E-02  5.341777E-30  2.837700E-29  3.582252E-29  1.141312E-28  1.176583E-28  1.512470E-28  1.052092E-28  7.154434E-29
    117  4.721637454993E-02  5.216871E-30  2.813827E-29  3.592614E-29  1.161625E-28  1.212665E-28  1.579800E-28  1.112239E-28  7.647369E-29
    118  4.732862910872E-02  4.811003E-30  2.648674E-29  3.435515E-29  1.129341E-28  1.195062E-28  1.579785E-28  1.127058E-28  7.852340E-29
    119  4.750539400184E-02  7.386943E-30  4.148556E-29  5.481635E-29  1.852428E-28  2.009976E-28  2.734137E-28  2.005067E-28  1.438234E-28
    120  4.767210524850E-02  6.829142E-30  3.928398E-29  5.291264E-29  1.834890E-28  2.029780E-28  2.803664E-28  2.070440E-28  1.478846E-28
    121  4.783406579930E-02  6.382946E-30  3.756253E-29  5.165931E-29  1.836252E-28  2.075586E-28  2.936673E-28  2.221067E-28  1.629751E-28
    122  4.799263518131E-02  6.098819E-30  3.682917E-29  5.173097E-29  1.882356E-28  2.170031E-28  3.138173E-28  2.422339E-28  1.816021E-28
    123  4.815339657435E-02  5.986290E-30  3.708359E-29  5.319374E-29  1.981632E-28  2.330491E-28  3.445919E-28  2.715452E-28  2.080000E-28
    124  4.832264594384E-02  6.077189E-30  3.864258E-29  5.667932E-29  2.164096E-28  2.599137E-28  3.935122E-28  3.170168E-28  2.484104E-28
    125  4.849826454798E-02  6.072418E-30  3.964445E-29  5.943251E-29  2.328413E-28  2.857423E-28  4.427054E-28  3.640364E-28  2.910014E-28
    126  4.867786870736E-02  5.963420E-30  4.001349E-29  6.134182E-29  2.467680E-28  3.096023E-28  4.911171E-28  4.123884E-28  3.364569E-28
    127  4.885872256535E-02  5.752214E-30  3.971214E-29  6.226031E-29  2.572273E-28  3.299697E-28  5.359495E-28  4.595774E-28  3.827528E-28
    128  4.903755607841E-02  5.457327E-30  3.877142E-29  6.204231E-29  2.626848E-28  3.439067E-28  5.708452E-28  4.990588E-28  4.236791E-28
    129  4.921259737621E-02  5.137318E-30  3.730650E-29  6.081203E-29  2.633891E-28  3.515821E-28  5.962829E-28  5.317842E-28  4.609251E-28
    130  4.938368810460E-02  4.808448E-30  3.554453E-29  5.917486E-29  2.628952E-28  3.586558E-28  6.233822E-28  5.688349E-28  5.050885E-28
    131  4.955132280349E-02  4.489927E-30  3.409922E-29  5.801976E-29  2.643807E-28  3.684647E-28  6.557152E-28  6.114242E-28  5.551698E-28
