 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                nd148         nd149         nd150         nd151         nd152         nd153         nd154         nd155
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.003801E-30  1.000000E-30  1.000000E-30  1.000246E-30  1.000000E-30  1.000905E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.023589E-30  1.000000E-30  1.000000E-30  1.001531E-30  1.000000E-30  1.005654E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.080829E-30  1.000000E-30  1.000000E-30  1.005285E-30  1.000000E-30  1.019744E-30
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.218760E-30  1.000000E-30  1.000000E-30  1.014570E-30  1.000000E-30  1.056157E-30
      6  1.724777641531E-14  1.000000E-30  1.023177E-30  1.491181E-30  1.000000E-30  1.000000E-30  1.034158E-30  1.000000E-30  1.142119E-30
      7  4.527785414179E-14  1.000000E-30  1.243907E-30  1.858266E-30  1.000000E-30  1.000000E-30  1.065159E-30  1.000000E-30  1.322050E-30
      8  1.231582592127E-13  1.000026E-30  1.541343E-30  2.061874E-30  1.000000E-30  1.000000E-30  1.090114E-30  1.000000E-30  1.606806E-30
      9  4.001734798240E-13  1.000383E-30  1.575145E-30  2.076084E-30  1.000115E-30  1.000000E-30  1.093937E-30  1.000000E-30  1.803538E-30
     10  1.150918682670E-12  1.004217E-30  1.571026E-30  2.068411E-30  1.000000E-30  1.000350E-30  1.094130E-30  1.000000E-30  1.812406E-30
     11  2.802808442389E-12  1.000000E-30  1.566094E-30  2.069586E-30  1.000000E-30  1.000000E-30  1.088389E-30  1.000000E-30  1.808679E-30
     12  6.912921996243E-12  1.018649E-30  1.611549E-30  2.171672E-30  1.049228E-30  1.000683E-30  1.105995E-30  1.000000E-30  1.808436E-30
