 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tm191         tm192         tm193         tm194         tm195         tm196         tm197         tm198
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000040E-30  1.000153E-30  1.000022E-30  1.000000E-30  1.000000E-30  1.000035E-30  1.000000E-30  1.000128E-30
      3  6.264265632874E-16  1.000250E-30  1.000959E-30  1.000136E-30  1.000000E-30  1.000000E-30  1.000216E-30  1.000000E-30  1.000803E-30
      4  2.206990590178E-15  1.000893E-30  1.003363E-30  1.000475E-30  1.000000E-30  1.000000E-30  1.000762E-30  1.000000E-30  1.002827E-30
      5  6.425069294186E-15  1.002686E-30  1.009663E-30  1.001361E-30  1.000000E-30  1.000000E-30  1.002208E-30  1.000000E-30  1.008223E-30
      6  1.724777641531E-14  1.007766E-30  1.025084E-30  1.003501E-30  1.000000E-30  1.000000E-30  1.005870E-30  1.000000E-30  1.022017E-30
      7  4.527785414179E-14  1.023441E-30  1.060450E-30  1.008259E-30  1.000000E-30  1.000000E-30  1.015015E-30  1.000000E-30  1.057402E-30
      8  1.231582592127E-13  1.075789E-30  1.131219E-30  1.017114E-30  1.000000E-30  1.000000E-30  1.038050E-30  1.000000E-30  1.153174E-30
      9  4.001734798240E-13  1.217793E-30  1.221322E-30  1.027145E-30  1.000000E-30  1.000000E-30  1.097487E-30  1.000000E-30  1.465339E-30
     10  1.150918682670E-12  1.285633E-30  1.239839E-30  1.029953E-30  1.000000E-30  1.000000E-30  1.163647E-30  1.000000E-30  2.124195E-30
     11  2.802808442389E-12  1.288382E-30  1.240344E-30  1.029861E-30  1.000000E-30  1.000005E-30  1.184271E-30  1.000000E-30  2.940697E-30
     12  6.912921996243E-12  1.288245E-30  1.239947E-30  1.029640E-30  1.000644E-30  1.000319E-30  1.185279E-30  1.000000E-30  3.500030E-30
