 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sn119         sn120         sn121         sn122         sn123         sn124         sn125         sn126
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.740421E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  2.442645E-30  1.107997E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  2.501967E-30  1.166634E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  3.295665E-30  1.580281E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  3.266231E-30  1.585306E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  1.342012E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.126851E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  4.177700E-30  2.158218E-30  1.122254E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  9.441601E-30  5.275292E-30  2.636425E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  1.112225E-29  6.986950E-30  4.219343E-30  1.513198E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  7.930726E-30  4.718048E-30  2.885331E-30  1.083220E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  2.700326E-30  1.647081E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  2.298305E-30  1.416750E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  9.505389E-30  6.218668E-30  3.939517E-30  1.546528E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  2.253870E-29  1.392750E-29  9.145505E-30  3.669791E-30  1.330555E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  2.549240E-29  1.806152E-29  1.156732E-29  5.017523E-30  1.945508E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  2.296874E-29  1.921667E-29  1.547714E-29  7.264034E-30  2.794475E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  2.583755E-29  1.932312E-29  1.562403E-29  7.858659E-30  3.256028E-30  1.147327E-30  1.000000E-30  1.000000E-30
     71  3.731378163516E-02  1.908640E-29  1.515976E-29  1.159965E-29  5.843110E-30  2.633905E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  1.990902E-29  1.666119E-29  1.360374E-29  6.859922E-30  2.938024E-30  1.100899E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  2.718076E-29  2.368885E-29  2.012679E-29  1.064432E-29  5.001052E-30  1.921876E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  3.107184E-29  2.779022E-29  2.419041E-29  1.320250E-29  6.098145E-30  2.529372E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  1.927023E-29  1.747749E-29  1.553412E-29  8.912713E-30  4.437373E-30  1.818655E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  2.317470E-29  2.202783E-29  2.040717E-29  1.191519E-29  5.828094E-30  2.508861E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  2.984183E-29  2.919891E-29  2.779955E-29  1.672256E-29  8.246325E-30  3.582444E-30  1.013013E-30  1.000000E-30
     78  3.907668434759E-02  2.972537E-29  2.966462E-29  2.876507E-29  1.769871E-29  8.911404E-30  4.091614E-30  1.181066E-30  1.000000E-30
     79  3.934936577490E-02  3.903777E-29  4.056149E-29  4.093876E-29  2.622258E-29  1.390975E-29  6.221360E-30  1.828799E-30  1.000000E-30
     80  3.961640452516E-02  3.993635E-29  4.231989E-29  4.344977E-29  2.835193E-29  1.534061E-29  6.966958E-30  2.187813E-30  1.000000E-30
     81  3.991996766101E-02  5.193378E-29  5.768611E-29  6.206635E-29  4.253731E-29  2.408617E-29  1.151400E-29  3.513230E-30  1.000000E-30
     82  4.019473378510E-02  4.817434E-29  5.458831E-29  5.970198E-29  4.159953E-29  2.397651E-29  1.164048E-29  3.866593E-30  1.063311E-30
     83  4.046928694587E-02  5.407794E-29  6.476255E-29  7.541046E-29  5.679789E-29  3.579645E-29  1.984372E-29  6.914744E-30  1.933886E-30
     84  4.074955599116E-02  5.858257E-29  7.095017E-29  8.287908E-29  6.192876E-29  3.805523E-29  2.059819E-29  7.170347E-30  2.067742E-30
     85  4.099011663524E-02  5.581357E-29  7.148443E-29  8.813554E-29  6.978749E-29  4.535074E-29  2.560979E-29  8.961772E-30  2.657180E-30
     86  4.118445936105E-02  4.622636E-29  6.032391E-29  7.566186E-29  6.095969E-29  4.023035E-29  2.310509E-29  8.179279E-30  2.487014E-30
     87  4.137235583218E-02  4.714183E-29  6.321170E-29  8.138496E-29  6.744713E-29  4.570530E-29  2.704313E-29  9.942656E-30  3.175112E-30
     88  4.152714488067E-02  3.968004E-29  5.394818E-29  7.036952E-29  5.909403E-29  4.052912E-29  2.429914E-29  8.991077E-30  2.915380E-30
     89  4.165981986900E-02  3.497236E-29  4.831569E-29  6.400160E-29  5.463809E-29  3.805414E-29  2.321349E-29  8.750212E-30  2.878363E-30
     90  4.188596337322E-02  6.256143E-29  8.822636E-29  1.189786E-28  1.032931E-28  7.288506E-29  4.495032E-29  1.698597E-29  5.566175E-30
     91  4.208159634323E-02  5.519118E-29  7.816241E-29  1.061602E-28  9.313117E-29  6.656058E-29  4.183724E-29  1.653593E-29  5.620951E-30
     92  4.230932596557E-02  6.800644E-29  9.999371E-29  1.400031E-28  1.262399E-28  9.217733E-29  5.904210E-29  2.316541E-29  8.218312E-30
     93  4.251598135750E-02  6.348596E-29  9.512043E-29  1.361595E-28  1.261724E-28  9.477580E-29  6.287092E-29  2.558573E-29  9.509379E-30
     94  4.274368410830E-02  7.366054E-29  1.141566E-28  1.680976E-28  1.599055E-28  1.226007E-28  8.285865E-29  3.420946E-29  1.228709E-29
     95  4.294191711445E-02  6.846609E-29  1.108877E-28  1.708950E-28  1.716191E-28  1.390846E-28  1.005736E-28  4.473892E-29  1.727968E-29
     96  4.316569238790E-02  7.778821E-29  1.284545E-28  2.019000E-28  2.074882E-28  1.722606E-28  1.284628E-28  5.879376E-29  2.396361E-29
     97  4.339365876136E-02  8.159415E-29  1.367422E-28  2.167610E-28  2.230312E-28  1.838457E-28  1.347085E-28  5.984338E-29  2.331810E-29
     98  4.362382833621E-02  8.510005E-29  1.468289E-28  2.392578E-28  2.535811E-28  2.148299E-28  1.622676E-28  7.409681E-29  2.947739E-29
     99  4.384703699487E-02  8.475114E-29  1.502283E-28  2.511925E-28  2.737831E-28  2.380703E-28  1.851791E-28  8.683861E-29  3.564409E-29
    100  4.408801045744E-02  9.500051E-29  1.741247E-28  2.996223E-28  3.358194E-28  2.988111E-28  2.377376E-28  1.134903E-28  4.742363E-29
    101  4.430336182063E-02  8.581695E-29  1.609581E-28  2.839770E-28  3.281092E-28  3.012273E-28  2.490927E-28  1.234521E-28  5.400808E-29
    102  4.453208602613E-02  9.446472E-29  1.832909E-28  3.325998E-28  3.945339E-28  3.696468E-28  3.113226E-28  1.562729E-28  6.909735E-29
    103  4.474836808964E-02  9.128448E-29  1.843338E-28  3.474844E-28  4.300558E-28  4.194875E-28  3.701330E-28  1.939377E-28  9.015447E-29
    104  4.497736119052E-02  9.873195E-29  2.066675E-28  4.025973E-28  5.157674E-28  5.186610E-28  4.727719E-28  2.546271E-28  1.218959E-28
    105  4.517199675598E-02  8.403409E-29  1.763338E-28  3.449072E-28  4.446600E-28  4.506886E-28  4.156217E-28  2.267615E-28  1.105301E-28
    106  4.536038532241E-02  8.284757E-29  1.794178E-28  3.608501E-28  4.785131E-28  4.965509E-28  4.687327E-28  2.603890E-28  1.291001E-28
    107  4.552484255766E-02  7.542245E-29  1.689814E-28  3.514049E-28  4.846883E-28  5.227848E-28  5.167091E-28  2.998004E-28  1.566944E-28
    108  4.581275722245E-02  1.309894E-28  3.003773E-28  6.337918E-28  8.818355E-28  9.539180E-28  9.429374E-28  5.465103E-28  2.855666E-28
    109  4.603616864208E-02  1.049675E-28  2.549462E-28  5.702848E-28  8.503694E-28  9.835415E-28  1.049297E-27  6.498967E-28  3.643862E-28
    110  4.624194314299E-02  9.658491E-29  2.380465E-28  5.418936E-28  8.268374E-28  9.796252E-28  1.077728E-27  6.886444E-28  4.013642E-28
    111  4.641297951594E-02  8.156777E-29  2.060762E-28  4.784894E-28  7.448453E-28  8.975314E-28  1.005119E-27  6.508121E-28  3.838082E-28
    112  4.656990459822E-02  7.492101E-29  1.923396E-28  4.529320E-28  7.147180E-28  8.705926E-28  9.858000E-28  6.448146E-28  3.860031E-28
    113  4.671253119976E-02  6.859149E-29  1.792921E-28  4.287911E-28  6.873824E-28  8.483722E-28  9.736719E-28  6.438497E-28  3.894057E-28
    114  4.684580987606E-02  6.464566E-29  1.717981E-28  4.168117E-28  6.781716E-28  8.476101E-28  9.857401E-28  6.589729E-28  4.031312E-28
    115  4.697520204195E-02  6.261054E-29  1.691044E-28  4.161358E-28  6.872393E-28  8.700766E-28  1.025950E-27  6.938855E-28  4.298492E-28
    116  4.709649788536E-02  5.916204E-29  1.625678E-28  4.062648E-28  6.821045E-28  8.761481E-28  1.049431E-27  7.192611E-28  4.520162E-28
    117  4.721637454993E-02  5.833917E-29  1.626908E-28  4.118907E-28  7.011733E-28  9.115801E-28  1.106346E-27  7.668822E-28  4.879811E-28
