                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.300/  ct = 0.030/  initial temp = 8.48E-02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    SumX         time        N          P            D          T          He3          He4          Li7       Li8       N14       Fe56
-1.311E+05   4.015E-01   7.357E-08   9.917E-08   7.388E-11   1.268E-07   3.994E-11   2.500E-01   1.509E-08   4.061E-11   7.787E-08   1.616E-08
-1.311E+05   4.136E-01   7.592E-08   1.023E-07   7.731E-11   1.291E-07   3.854E-11   2.500E-01   1.591E-08   4.545E-11   7.687E-08   1.616E-08
-1.311E+05   4.258E-01   7.828E-08   1.055E-07   8.084E-11   1.313E-07   3.723E-11   2.500E-01   1.674E-08   5.069E-11   7.585E-08   1.616E-08
-1.311E+05   4.380E-01   8.066E-08   1.086E-07   8.447E-11   1.334E-07   3.598E-11   2.500E-01   1.759E-08   5.636E-11   7.481E-08   1.616E-08
-1.311E+05   4.501E-01   8.305E-08   1.117E-07   8.820E-11   1.354E-07   3.480E-11   2.500E-01   1.844E-08   6.247E-11   7.375E-08   1.616E-08
-1.311E+05   4.623E-01   8.545E-08   1.149E-07   9.202E-11   1.374E-07   3.369E-11   2.500E-01   1.931E-08   6.904E-11   7.268E-08   1.616E-08
-1.311E+05   4.745E-01   8.787E-08   1.180E-07   9.594E-11   1.392E-07   3.262E-11   2.500E-01   2.019E-08   7.610E-11   7.159E-08   1.616E-08
-1.431E+05   4.866E-01   9.031E-08   1.211E-07   9.997E-11   1.410E-07   3.161E-11   2.500E-01   2.109E-08   8.366E-11   7.049E-08   1.616E-08
-1.431E+05   4.988E-01   9.276E-08   1.242E-07   1.041E-10   1.427E-07   3.065E-11   2.500E-01   2.199E-08   9.174E-11   6.938E-08   1.616E-08
-1.431E+05   5.110E-01   9.522E-08   1.273E-07   1.083E-10   1.443E-07   2.974E-11   2.500E-01   2.290E-08   1.004E-10   6.826E-08   1.616E-08
-1.431E+05   5.231E-01   9.769E-08   1.304E-07   1.127E-10   1.459E-07   2.887E-11   2.500E-01   2.382E-08   1.096E-10   6.713E-08   1.616E-08
-1.431E+05   5.353E-01   1.002E-07   1.334E-07   1.171E-10   1.474E-07   2.804E-11   2.500E-01   2.475E-08   1.193E-10   6.599E-08   1.616E-08
-1.550E+05   5.475E-01   1.027E-07   1.365E-07   1.217E-10   1.488E-07   2.724E-11   2.500E-01   2.569E-08   1.297E-10   6.483E-08   1.616E-08
-1.431E+05   5.596E-01   1.052E-07   1.395E-07   1.263E-10   1.501E-07   2.648E-11   2.500E-01   2.664E-08   1.407E-10   6.367E-08   1.616E-08
-1.550E+05   5.718E-01   1.077E-07   1.425E-07   1.311E-10   1.513E-07   2.575E-11   2.500E-01   2.760E-08   1.524E-10   6.251E-08   1.616E-08
-1.550E+05   5.840E-01   1.103E-07   1.455E-07   1.360E-10   1.525E-07   2.506E-11   2.500E-01   2.856E-08   1.647E-10   6.133E-08   1.616E-08
-1.550E+05   5.961E-01   1.128E-07   1.485E-07   1.410E-10   1.537E-07   2.439E-11   2.500E-01   2.953E-08   1.777E-10   6.016E-08   1.616E-08
-1.550E+05   6.083E-01   1.154E-07   1.515E-07   1.461E-10   1.547E-07   2.375E-11   2.500E-01   3.050E-08   1.914E-10   5.898E-08   1.616E-08
-1.550E+05   6.205E-01   1.179E-07   1.544E-07   1.513E-10   1.557E-07   2.314E-11   2.500E-01   3.149E-08   2.058E-10   5.780E-08   1.616E-08
-1.669E+05   6.326E-01   1.205E-07   1.573E-07   1.566E-10   1.566E-07   2.255E-11   2.500E-01   3.247E-08   2.210E-10   5.661E-08   1.616E-08
-1.669E+05   6.448E-01   1.231E-07   1.602E-07   1.620E-10   1.575E-07   2.199E-11   2.500E-01   3.346E-08   2.369E-10   5.543E-08   1.616E-08
-1.669E+05   6.570E-01   1.257E-07   1.630E-07   1.676E-10   1.583E-07   2.145E-11   2.500E-01   3.446E-08   2.536E-10   5.425E-08   1.616E-08
-1.669E+05   6.691E-01   1.283E-07   1.658E-07   1.732E-10   1.591E-07   2.093E-11   2.500E-01   3.546E-08   2.712E-10   5.307E-08   1.616E-08
-1.669E+05   6.813E-01   1.310E-07   1.686E-07   1.790E-10   1.598E-07   2.042E-11   2.500E-01   3.646E-08   2.895E-10   5.188E-08   1.616E-08
-1.550E+05   6.935E-01   1.336E-07   1.714E-07   1.849E-10   1.604E-07   1.994E-11   2.500E-01   3.747E-08   3.087E-10   5.071E-08   1.616E-08
-1.669E+05   7.056E-01   1.362E-07   1.741E-07   1.909E-10   1.610E-07   1.948E-11   2.500E-01   3.848E-08   3.287E-10   4.953E-08   1.616E-08
-1.669E+05   7.178E-01   1.389E-07   1.768E-07   1.970E-10   1.615E-07   1.903E-11   2.500E-01   3.949E-08   3.497E-10   4.836E-08   1.616E-08
-1.788E+05   7.300E-01   1.415E-07   1.795E-07   2.032E-10   1.620E-07   1.859E-11   2.500E-01   4.050E-08   3.715E-10   4.720E-08   1.616E-08
-1.669E+05   7.421E-01   1.442E-07   1.821E-07   2.096E-10   1.624E-07   1.818E-11   2.500E-01   4.152E-08   3.942E-10   4.604E-08   1.616E-08
-1.669E+05   7.543E-01   1.468E-07   1.847E-07   2.160E-10   1.628E-07   1.777E-11   2.500E-01   4.254E-08   4.179E-10   4.490E-08   1.616E-08
-1.669E+05   7.665E-01   1.495E-07   1.873E-07   2.226E-10   1.631E-07   1.739E-11   2.500E-01   4.356E-08   4.425E-10   4.376E-08   1.616E-08
-1.788E+05   7.786E-01   1.522E-07   1.898E-07   2.292E-10   1.634E-07   1.701E-11   2.500E-01   4.457E-08   4.680E-10   4.262E-08   1.616E-08
-1.788E+05   7.908E-01   1.549E-07   1.923E-07   2.360E-10   1.637E-07   1.665E-11   2.500E-01   4.559E-08   4.946E-10   4.150E-08   1.616E-08
-1.788E+05   8.030E-01   1.576E-07   1.947E-07   2.429E-10   1.639E-07   1.630E-11   2.500E-01   4.661E-08   5.221E-10   4.039E-08   1.616E-08
-1.788E+05   8.151E-01   1.603E-07   1.972E-07   2.499E-10   1.640E-07   1.596E-11   2.500E-01   4.763E-08   5.507E-10   3.929E-08   1.616E-08
-1.788E+05   8.273E-01   1.630E-07   1.995E-07   2.570E-10   1.641E-07   1.563E-11   2.500E-01   4.865E-08   5.803E-10   3.821E-08   1.616E-08
-1.788E+05   8.395E-01   1.657E-07   2.018E-07   2.642E-10   1.642E-07   1.531E-11   2.500E-01   4.967E-08   6.109E-10   3.713E-08   1.616E-08
-1.788E+05   8.516E-01   1.684E-07   2.041E-07   2.716E-10   1.643E-07   1.501E-11   2.500E-01   5.069E-08   6.425E-10   3.607E-08   1.616E-08
-1.788E+05   8.638E-01   1.711E-07   2.064E-07   2.790E-10   1.643E-07   1.471E-11   2.500E-01   5.171E-08   6.753E-10   3.502E-08   1.616E-08
-1.907E+05   8.760E-01   1.738E-07   2.086E-07   2.866E-10   1.642E-07   1.442E-11   2.500E-01   5.272E-08   7.091E-10   3.399E-08   1.616E-08
-1.907E+05   8.881E-01   1.766E-07   2.107E-07   2.942E-10   1.642E-07   1.414E-11   2.500E-01   5.373E-08   7.440E-10   3.297E-08   1.616E-08
-1.907E+05   9.003E-01   1.793E-07   2.128E-07   3.020E-10   1.641E-07   1.387E-11   2.500E-01   5.474E-08   7.800E-10   3.197E-08   1.616E-08
-1.907E+05   9.125E-01   1.820E-07   2.149E-07   3.099E-10   1.639E-07   1.360E-11   2.500E-01   5.575E-08   8.172E-10   3.098E-08   1.616E-08
-2.027E+05   9.246E-01   1.847E-07   2.169E-07   3.178E-10   1.637E-07   1.335E-11   2.500E-01   5.676E-08   8.555E-10   3.001E-08   1.616E-08
-1.907E+05   9.368E-01   1.875E-07   2.189E-07   3.259E-10   1.635E-07   1.310E-11   2.500E-01   5.776E-08   8.949E-10   2.906E-08   1.616E-08
-1.907E+05   9.490E-01   1.902E-07   2.208E-07   3.340E-10   1.633E-07   1.286E-11   2.500E-01   5.876E-08   9.354E-10   2.812E-08   1.616E-08
-1.907E+05   9.611E-01   1.929E-07   2.227E-07   3.423E-10   1.630E-07   1.263E-11   2.500E-01   5.976E-08   9.772E-10   2.720E-08   1.616E-08
-1.907E+05   9.733E-01   1.956E-07   2.245E-07   3.506E-10   1.627E-07   1.240E-11   2.500E-01   6.075E-08   1.020E-09   2.630E-08   1.616E-08
-1.907E+05   9.855E-01   1.984E-07   2.263E-07   3.591E-10   1.624E-07   1.218E-11   2.500E-01   6.174E-08   1.064E-09   2.541E-08   1.616E-08
-1.907E+05   9.976E-01   2.011E-07   2.280E-07   3.676E-10   1.621E-07   1.197E-11   2.500E-01   6.272E-08   1.109E-09   2.455E-08   1.616E-08
-1.907E+05   1.010E+00   2.038E-07   2.297E-07   3.763E-10   1.617E-07   1.176E-11   2.500E-01   6.370E-08   1.156E-09   2.370E-08   1.616E-08
-2.027E+05   1.022E+00   2.066E-07   2.313E-07   3.850E-10   1.613E-07   1.155E-11   2.500E-01   6.469E-08   1.204E-09   2.287E-08   1.616E-08
-2.027E+05   1.034E+00   2.093E-07   2.329E-07   3.938E-10   1.609E-07   1.136E-11   2.500E-01   6.566E-08   1.252E-09   2.206E-08   1.616E-08
-1.907E+05   1.046E+00   2.120E-07   2.344E-07   4.028E-10   1.604E-07   1.117E-11   2.500E-01   6.662E-08   1.303E-09   2.127E-08   1.616E-08
-2.027E+05   1.058E+00   2.147E-07   2.359E-07   4.118E-10   1.600E-07   1.098E-11   2.500E-01   6.759E-08   1.354E-09   2.049E-08   1.616E-08
-2.027E+05   1.071E+00   2.175E-07   2.374E-07   4.209E-10   1.595E-07   1.080E-11   2.500E-01   6.855E-08   1.406E-09   1.974E-08   1.616E-08
-2.027E+05   1.083E+00   2.202E-07   2.388E-07   4.301E-10   1.590E-07   1.062E-11   2.500E-01   6.950E-08   1.460E-09   1.900E-08   1.616E-08
-2.027E+05   1.095E+00   2.229E-07   2.401E-07   4.393E-10   1.584E-07   1.045E-11   2.500E-01   7.045E-08   1.515E-09   1.829E-08   1.616E-08
-2.027E+05   1.107E+00   2.256E-07   2.415E-07   4.486E-10   1.579E-07   1.028E-11   2.500E-01   7.140E-08   1.571E-09   1.759E-08   1.616E-08
-2.027E+05   1.119E+00   2.283E-07   2.427E-07   4.580E-10   1.573E-07   1.012E-11   2.500E-01   7.233E-08   1.629E-09   1.691E-08   1.616E-08
-2.146E+05   1.131E+00   2.310E-07   2.439E-07   4.675E-10   1.567E-07   9.963E-12   2.500E-01   7.326E-08   1.688E-09   1.625E-08   1.616E-08
-2.146E+05   1.144E+00   2.337E-07   2.451E-07   4.771E-10   1.561E-07   9.808E-12   2.500E-01   7.420E-08   1.748E-09   1.561E-08   1.616E-08
-2.146E+05   1.156E+00   2.364E-07   2.462E-07   4.868E-10   1.555E-07   9.657E-12   2.500E-01   7.511E-08   1.809E-09   1.498E-08   1.616E-08
-2.146E+05   1.168E+00   2.390E-07   2.473E-07   4.965E-10   1.548E-07   9.510E-12   2.500E-01   7.603E-08   1.871E-09   1.438E-08   1.616E-08
-2.146E+05   1.180E+00   2.417E-07   2.483E-07   5.063E-10   1.542E-07   9.366E-12   2.500E-01   7.694E-08   1.935E-09   1.379E-08   1.616E-08
-2.146E+05   1.192E+00   2.444E-07   2.493E-07   5.162E-10   1.535E-07   9.227E-12   2.500E-01   7.784E-08   2.000E-09   1.322E-08   1.616E-08
-2.027E+05   1.204E+00   2.470E-07   2.502E-07   5.261E-10   1.528E-07   9.092E-12   2.500E-01   7.874E-08   2.066E-09   1.267E-08   1.616E-08
-2.146E+05   1.217E+00   2.496E-07   2.511E-07   5.361E-10   1.521E-07   8.960E-12   2.500E-01   7.963E-08   2.134E-09   1.213E-08   1.616E-08
