                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.300/  ct = 0.030/  initial temp = 8.48E-02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    SumX         time        N          P            D          T          He3          He4          Li7       Li8       N14       Fe56
-2.742E+05   1.801E+01   2.391E-07   3.130E-09   1.872E-09   3.987E-10   3.648E-14   2.500E-01   3.784E-08   4.720E-09   1.823E-19   1.616E-08
-2.742E+05   1.802E+01   2.389E-07   3.123E-09   1.875E-09   3.963E-10   3.636E-14   2.500E-01   3.781E-08   4.712E-09   1.823E-19   1.616E-08
-2.742E+05   1.804E+01   2.387E-07   3.116E-09   1.878E-09   3.938E-10   3.623E-14   2.500E-01   3.777E-08   4.703E-09   1.823E-19   1.616E-08
-2.742E+05   1.805E+01   2.385E-07   3.109E-09   1.881E-09   3.914E-10   3.611E-14   2.500E-01   3.774E-08   4.694E-09   1.823E-19   1.616E-08
-2.742E+05   1.807E+01   2.383E-07   3.102E-09   1.885E-09   3.890E-10   3.599E-14   2.500E-01   3.770E-08   4.686E-09   1.823E-19   1.616E-08
-2.742E+05   1.808E+01   2.381E-07   3.095E-09   1.888E-09   3.866E-10   3.586E-14   2.500E-01   3.767E-08   4.677E-09   1.823E-19   1.616E-08
-2.742E+05   1.809E+01   2.379E-07   3.088E-09   1.891E-09   3.842E-10   3.574E-14   2.500E-01   3.764E-08   4.668E-09   1.823E-19   1.616E-08
-2.742E+05   1.811E+01   2.378E-07   3.081E-09   1.894E-09   3.819E-10   3.561E-14   2.500E-01   3.760E-08   4.660E-09   1.823E-19   1.616E-08
-2.742E+05   1.812E+01   2.376E-07   3.074E-09   1.898E-09   3.795E-10   3.549E-14   2.500E-01   3.757E-08   4.651E-09   1.823E-19   1.616E-08
-2.742E+05   1.814E+01   2.374E-07   3.067E-09   1.901E-09   3.771E-10   3.537E-14   2.500E-01   3.753E-08   4.642E-09   1.823E-19   1.616E-08
-2.742E+05   1.815E+01   2.372E-07   3.060E-09   1.904E-09   3.748E-10   3.524E-14   2.500E-01   3.750E-08   4.634E-09   1.823E-19   1.616E-08
-2.742E+05   1.816E+01   2.371E-07   3.054E-09   1.907E-09   3.725E-10   3.512E-14   2.500E-01   3.746E-08   4.625E-09   1.823E-19   1.616E-08
-2.742E+05   1.818E+01   2.369E-07   3.047E-09   1.910E-09   3.702E-10   3.500E-14   2.500E-01   3.743E-08   4.617E-09   1.823E-19   1.616E-08
-2.742E+05   1.819E+01   2.367E-07   3.041E-09   1.914E-09   3.680E-10   3.488E-14   2.500E-01   3.739E-08   4.609E-09   1.823E-19   1.616E-08
-2.742E+05   1.821E+01   2.366E-07   3.034E-09   1.917E-09   3.657E-10   3.476E-14   2.500E-01   3.736E-08   4.602E-09   1.823E-19   1.616E-08
-2.742E+05   1.822E+01   2.364E-07   3.028E-09   1.920E-09   3.635E-10   3.464E-14   2.500E-01   3.732E-08   4.594E-09   1.823E-19   1.616E-08
-2.742E+05   1.823E+01   2.362E-07   3.021E-09   1.923E-09   3.612E-10   3.452E-14   2.500E-01   3.729E-08   4.587E-09   1.823E-19   1.616E-08
-2.742E+05   1.825E+01   2.360E-07   3.015E-09   1.927E-09   3.590E-10   3.440E-14   2.500E-01   3.726E-08   4.579E-09   1.823E-19   1.616E-08
-2.742E+05   1.826E+01   2.359E-07   3.008E-09   1.930E-09   3.568E-10   3.428E-14   2.500E-01   3.722E-08   4.572E-09   1.823E-19   1.616E-08
-2.742E+05   1.827E+01   2.357E-07   3.002E-09   1.933E-09   3.546E-10   3.416E-14   2.500E-01   3.719E-08   4.564E-09   1.823E-19   1.616E-08
-2.742E+05   1.829E+01   2.355E-07   2.995E-09   1.936E-09   3.525E-10   3.405E-14   2.500E-01   3.715E-08   4.556E-09   1.823E-19   1.616E-08
-2.742E+05   1.830E+01   2.353E-07   2.989E-09   1.940E-09   3.503E-10   3.393E-14   2.500E-01   3.712E-08   4.549E-09   1.823E-19   1.616E-08
-2.742E+05   1.832E+01   2.352E-07   2.982E-09   1.943E-09   3.482E-10   3.381E-14   2.500E-01   3.708E-08   4.541E-09   1.823E-19   1.616E-08
-2.742E+05   1.833E+01   2.350E-07   2.976E-09   1.946E-09   3.460E-10   3.370E-14   2.500E-01   3.705E-08   4.534E-09   1.823E-19   1.616E-08
-2.742E+05   1.834E+01   2.348E-07   2.969E-09   1.949E-09   3.439E-10   3.358E-14   2.500E-01   3.701E-08   4.526E-09   1.823E-19   1.616E-08
-2.742E+05   1.836E+01   2.347E-07   2.963E-09   1.953E-09   3.419E-10   3.347E-14   2.500E-01   3.698E-08   4.519E-09   1.823E-19   1.616E-08
-2.742E+05   1.837E+01   2.345E-07   2.956E-09   1.956E-09   3.398E-10   3.335E-14   2.500E-01   3.694E-08   4.511E-09   1.823E-19   1.616E-08
-2.742E+05   1.839E+01   2.343E-07   2.950E-09   1.959E-09   3.377E-10   3.324E-14   2.500E-01   3.691E-08   4.504E-09   1.823E-19   1.616E-08
-2.742E+05   1.840E+01   2.341E-07   2.943E-09   1.962E-09   3.356E-10   3.313E-14   2.500E-01   3.688E-08   4.496E-09   1.823E-19   1.616E-08
-2.742E+05   1.841E+01   2.340E-07   2.937E-09   1.966E-09   3.336E-10   3.301E-14   2.500E-01   3.684E-08   4.488E-09   1.823E-19   1.616E-08
-2.742E+05   1.843E+01   2.338E-07   2.931E-09   1.969E-09   3.316E-10   3.290E-14   2.500E-01   3.681E-08   4.481E-09   1.823E-19   1.616E-08
-2.742E+05   1.844E+01   2.336E-07   2.924E-09   1.972E-09   3.296E-10   3.279E-14   2.500E-01   3.677E-08   4.473E-09   1.823E-19   1.616E-08
-2.742E+05   1.846E+01   2.334E-07   2.918E-09   1.975E-09   3.275E-10   3.268E-14   2.500E-01   3.674E-08   4.466E-09   1.823E-19   1.616E-08
-2.742E+05   1.847E+01   2.333E-07   2.911E-09   1.978E-09   3.256E-10   3.257E-14   2.500E-01   3.670E-08   4.458E-09   1.823E-19   1.616E-08
-2.742E+05   1.848E+01   2.331E-07   2.905E-09   1.982E-09   3.236E-10   3.246E-14   2.500E-01   3.667E-08   4.451E-09   1.823E-19   1.616E-08
-2.742E+05   1.850E+01   2.329E-07   2.898E-09   1.985E-09   3.216E-10   3.235E-14   2.500E-01   3.663E-08   4.443E-09   1.823E-19   1.616E-08
-2.742E+05   1.851E+01   2.328E-07   2.892E-09   1.988E-09   3.197E-10   3.224E-14   2.500E-01   3.660E-08   4.436E-09   1.823E-19   1.616E-08
-2.742E+05   1.852E+01   2.326E-07   2.885E-09   1.991E-09   3.177E-10   3.213E-14   2.500E-01   3.656E-08   4.428E-09   1.823E-19   1.616E-08
-2.742E+05   1.854E+01   2.324E-07   2.879E-09   1.995E-09   3.158E-10   3.202E-14   2.500E-01   3.653E-08   4.420E-09   1.823E-19   1.616E-08
-2.742E+05   1.855E+01   2.322E-07   2.872E-09   1.998E-09   3.139E-10   3.191E-14   2.500E-01   3.650E-08   4.413E-09   1.823E-19   1.616E-08
-2.742E+05   1.857E+01   2.321E-07   2.866E-09   2.001E-09   3.120E-10   3.181E-14   2.500E-01   3.646E-08   4.405E-09   1.823E-19   1.616E-08
-2.742E+05   1.858E+01   2.319E-07   2.860E-09   2.004E-09   3.101E-10   3.170E-14   2.500E-01   3.643E-08   4.398E-09   1.823E-19   1.616E-08
-2.742E+05   1.859E+01   2.317E-07   2.854E-09   2.008E-09   3.083E-10   3.160E-14   2.500E-01   3.639E-08   4.390E-09   1.823E-19   1.616E-08
-2.742E+05   1.861E+01   2.315E-07   2.848E-09   2.012E-09   3.064E-10   3.149E-14   2.500E-01   3.636E-08   4.383E-09   1.823E-19   1.616E-08
-2.742E+05   1.862E+01   2.314E-07   2.842E-09   2.015E-09   3.045E-10   3.139E-14   2.500E-01   3.632E-08   4.375E-09   1.823E-19   1.616E-08
-2.742E+05   1.864E+01   2.312E-07   2.836E-09   2.019E-09   3.027E-10   3.128E-14   2.500E-01   3.629E-08   4.368E-09   1.823E-19   1.616E-08
-2.742E+05   1.865E+01   2.310E-07   2.830E-09   2.022E-09   3.009E-10   3.118E-14   2.500E-01   3.625E-08   4.360E-09   1.823E-19   1.616E-08
-2.742E+05   1.866E+01   2.309E-07   2.824E-09   2.026E-09   2.991E-10   3.108E-14   2.500E-01   3.622E-08   4.353E-09   1.823E-19   1.616E-08
-2.742E+05   1.868E+01   2.307E-07   2.818E-09   2.030E-09   2.973E-10   3.097E-14   2.500E-01   3.618E-08   4.345E-09   1.823E-19   1.616E-08
-2.742E+05   1.869E+01   2.305E-07   2.812E-09   2.034E-09   2.954E-10   3.087E-14   2.500E-01   3.615E-08   4.337E-09   1.823E-19   1.616E-08
-2.742E+05   1.871E+01   2.303E-07   2.806E-09   2.037E-09   2.937E-10   3.077E-14   2.500E-01   3.612E-08   4.330E-09   1.823E-19   1.616E-08
-2.742E+05   1.872E+01   2.302E-07   2.801E-09   2.040E-09   2.919E-10   3.067E-14   2.500E-01   3.608E-08   4.322E-09   1.823E-19   1.616E-08
-2.742E+05   1.873E+01   2.300E-07   2.795E-09   2.044E-09   2.902E-10   3.057E-14   2.500E-01   3.605E-08   4.315E-09   1.823E-19   1.616E-08
-2.742E+05   1.875E+01   2.298E-07   2.789E-09   2.047E-09   2.884E-10   3.047E-14   2.500E-01   3.601E-08   4.307E-09   1.823E-19   1.616E-08
-2.742E+05   1.876E+01   2.296E-07   2.783E-09   2.051E-09   2.867E-10   3.037E-14   2.500E-01   3.598E-08   4.300E-09   1.823E-19   1.616E-08
-2.742E+05   1.878E+01   2.295E-07   2.777E-09   2.054E-09   2.849E-10   3.027E-14   2.500E-01   3.594E-08   4.292E-09   1.823E-19   1.616E-08
-2.742E+05   1.879E+01   2.293E-07   2.771E-09   2.058E-09   2.832E-10   3.017E-14   2.500E-01   3.591E-08   4.285E-09   1.823E-19   1.616E-08
-2.742E+05   1.880E+01   2.291E-07   2.765E-09   2.061E-09   2.815E-10   3.007E-14   2.500E-01   3.587E-08   4.277E-09   1.823E-19   1.616E-08
-2.861E+05   1.882E+01   2.290E-07   2.759E-09   2.064E-09   2.798E-10   2.997E-14   2.500E-01   3.584E-08   4.269E-09   1.823E-19   1.616E-08
-2.861E+05   1.883E+01   2.288E-07   2.753E-09   2.068E-09   2.781E-10   2.987E-14   2.500E-01   3.580E-08   4.262E-09   1.823E-19   1.616E-08
-2.861E+05   1.884E+01   2.286E-07   2.747E-09   2.071E-09   2.765E-10   2.978E-14   2.500E-01   3.577E-08   4.254E-09   1.823E-19   1.616E-08
-2.861E+05   1.886E+01   2.284E-07   2.741E-09   2.074E-09   2.748E-10   2.968E-14   2.500E-01   3.574E-08   4.247E-09   1.823E-19   1.616E-08
-2.861E+05   1.887E+01   2.283E-07   2.735E-09   2.078E-09   2.732E-10   2.958E-14   2.500E-01   3.570E-08   4.239E-09   1.823E-19   1.616E-08
-2.861E+05   1.889E+01   2.281E-07   2.729E-09   2.081E-09   2.715E-10   2.949E-14   2.500E-01   3.567E-08   4.232E-09   1.823E-19   1.616E-08
-2.861E+05   1.890E+01   2.279E-07   2.723E-09   2.084E-09   2.699E-10   2.939E-14   2.500E-01   3.563E-08   4.224E-09   1.823E-19   1.616E-08
-2.861E+05   1.891E+01   2.277E-07   2.717E-09   2.087E-09   2.683E-10   2.929E-14   2.500E-01   3.560E-08   4.217E-09   1.823E-19   1.616E-08
-2.861E+05   1.893E+01   2.276E-07   2.712E-09   2.090E-09   2.667E-10   2.920E-14   2.500E-01   3.556E-08   4.209E-09   1.823E-19   1.616E-08
-2.861E+05   1.894E+01   2.274E-07   2.706E-09   2.094E-09   2.651E-10   2.911E-14   2.500E-01   3.553E-08   4.201E-09   1.823E-19   1.616E-08
-2.861E+05   1.896E+01   2.272E-07   2.700E-09   2.097E-09   2.635E-10   2.901E-14   2.500E-01   3.549E-08   4.194E-09   1.823E-19   1.616E-08
-2.861E+05   1.897E+01   2.271E-07   2.694E-09   2.100E-09   2.620E-10   2.892E-14   2.500E-01   3.546E-08   4.186E-09   1.823E-19   1.616E-08
-2.861E+05   1.898E+01   2.269E-07   2.688E-09   2.103E-09   2.604E-10   2.882E-14   2.500E-01   3.543E-08   4.179E-09   1.823E-19   1.616E-08
-2.861E+05   1.900E+01   2.267E-07   2.682E-09   2.107E-09   2.589E-10   2.873E-14   2.500E-01   3.539E-08   4.171E-09   1.823E-19   1.616E-08
-2.861E+05   1.901E+01   2.265E-07   2.676E-09   2.110E-09   2.573E-10   2.864E-14   2.500E-01   3.536E-08   4.164E-09   1.823E-19   1.616E-08
-2.861E+05   1.903E+01   2.264E-07   2.671E-09   2.113E-09   2.558E-10   2.855E-14   2.500E-01   3.532E-08   4.156E-09   1.823E-19   1.616E-08
-2.861E+05   1.904E+01   2.262E-07   2.666E-09   2.116E-09   2.543E-10   2.846E-14   2.500E-01   3.529E-08   4.149E-09   1.823E-19   1.616E-08
-2.861E+05   1.905E+01   2.260E-07   2.660E-09   2.120E-09   2.528E-10   2.836E-14   2.500E-01   3.525E-08   4.141E-09   1.823E-19   1.616E-08
-2.861E+05   1.907E+01   2.258E-07   2.655E-09   2.123E-09   2.513E-10   2.827E-14   2.500E-01   3.522E-08   4.133E-09   1.823E-19   1.616E-08
-2.861E+05   1.908E+01   2.257E-07   2.649E-09   2.126E-09   2.498E-10   2.818E-14   2.500E-01   3.518E-08   4.126E-09   1.823E-19   1.616E-08
-2.861E+05   1.910E+01   2.255E-07   2.644E-09   2.129E-09   2.484E-10   2.809E-14   2.500E-01   3.515E-08   4.118E-09   1.824E-19   1.616E-08
-2.861E+05   1.911E+01   2.253E-07   2.639E-09   2.133E-09   2.469E-10   2.800E-14   2.500E-01   3.511E-08   4.111E-09   1.824E-19   1.616E-08
-2.861E+05   1.912E+01   2.252E-07   2.633E-09   2.136E-09   2.454E-10   2.792E-14   2.500E-01   3.508E-08   4.103E-09   1.824E-19   1.616E-08
-2.861E+05   1.914E+01   2.250E-07   2.628E-09   2.139E-09   2.440E-10   2.783E-14   2.500E-01   3.505E-08   4.097E-09   1.824E-19   1.616E-08
-2.861E+05   1.915E+01   2.248E-07   2.622E-09   2.142E-09   2.426E-10   2.774E-14   2.500E-01   3.501E-08   4.090E-09   1.824E-19   1.616E-08
-2.861E+05   1.916E+01   2.246E-07   2.617E-09   2.146E-09   2.412E-10   2.765E-14   2.500E-01   3.498E-08   4.084E-09   1.824E-19   1.616E-08
-2.861E+05   1.918E+01   2.245E-07   2.612E-09   2.149E-09   2.398E-10   2.756E-14   2.500E-01   3.494E-08   4.077E-09   1.824E-19   1.616E-08
-2.861E+05   1.919E+01   2.243E-07   2.606E-09   2.152E-09   2.383E-10   2.748E-14   2.500E-01   3.491E-08   4.071E-09   1.824E-19   1.616E-08
-2.861E+05   1.921E+01   2.241E-07   2.601E-09   2.155E-09   2.369E-10   2.739E-14   2.500E-01   3.487E-08   4.064E-09   1.825E-19   1.616E-08
-2.861E+05   1.922E+01   2.239E-07   2.595E-09   2.158E-09   2.355E-10   2.731E-14   2.500E-01   3.484E-08   4.058E-09   1.825E-19   1.616E-08
-2.861E+05   1.923E+01   2.238E-07   2.590E-09   2.162E-09   2.342E-10   2.722E-14   2.500E-01   3.480E-08   4.051E-09   1.825E-19   1.616E-08
-2.861E+05   1.925E+01   2.236E-07   2.585E-09   2.165E-09   2.328E-10   2.713E-14   2.500E-01   3.477E-08   4.045E-09   1.825E-19   1.616E-08
-2.861E+05   1.926E+01   2.234E-07   2.579E-09   2.168E-09   2.315E-10   2.705E-14   2.500E-01   3.473E-08   4.038E-09   1.825E-19   1.616E-08
-2.861E+05   1.928E+01   2.233E-07   2.574E-09   2.171E-09   2.301E-10   2.697E-14   2.500E-01   3.470E-08   4.032E-09   1.825E-19   1.616E-08
-2.861E+05   1.929E+01   2.231E-07   2.569E-09   2.175E-09   2.288E-10   2.688E-14   2.500E-01   3.467E-08   4.026E-09   1.825E-19   1.616E-08
-2.861E+05   1.930E+01   2.229E-07   2.563E-09   2.178E-09   2.275E-10   2.680E-14   2.500E-01   3.463E-08   4.019E-09   1.825E-19   1.616E-08
-2.861E+05   1.932E+01   2.227E-07   2.558E-09   2.181E-09   2.262E-10   2.671E-14   2.500E-01   3.460E-08   4.013E-09   1.826E-19   1.616E-08
-2.861E+05   1.933E+01   2.226E-07   2.552E-09   2.184E-09   2.248E-10   2.663E-14   2.500E-01   3.456E-08   4.006E-09   1.826E-19   1.616E-08
-2.861E+05   1.935E+01   2.224E-07   2.547E-09   2.188E-09   2.235E-10   2.655E-14   2.500E-01   3.453E-08   4.000E-09   1.826E-19   1.616E-08
-2.861E+05   1.936E+01   2.222E-07   2.542E-09   2.191E-09   2.222E-10   2.647E-14   2.500E-01   3.449E-08   3.993E-09   1.826E-19   1.616E-08
-2.861E+05   1.937E+01   2.220E-07   2.536E-09   2.194E-09   2.210E-10   2.639E-14   2.500E-01   3.446E-08   3.987E-09   1.826E-19   1.616E-08
-2.861E+05   1.939E+01   2.219E-07   2.531E-09   2.197E-09   2.197E-10   2.630E-14   2.500E-01   3.442E-08   3.980E-09   1.826E-19   1.616E-08
-2.861E+05   1.940E+01   2.217E-07   2.525E-09   2.201E-09   2.184E-10   2.622E-14   2.500E-01   3.439E-08   3.974E-09   1.826E-19   1.616E-08
-2.861E+05   1.941E+01   2.215E-07   2.520E-09   2.204E-09   2.172E-10   2.614E-14   2.500E-01   3.435E-08   3.967E-09   1.826E-19   1.616E-08
-2.861E+05   1.943E+01   2.214E-07   2.515E-09   2.207E-09   2.159E-10   2.606E-14   2.500E-01   3.432E-08   3.961E-09   1.827E-19   1.616E-08
-2.861E+05   1.944E+01   2.212E-07   2.509E-09   2.210E-09   2.147E-10   2.598E-14   2.500E-01   3.429E-08   3.954E-09   1.827E-19   1.616E-08
-2.861E+05   1.946E+01   2.210E-07   2.504E-09   2.213E-09   2.134E-10   2.590E-14   2.500E-01   3.425E-08   3.948E-09   1.827E-19   1.616E-08
-2.861E+05   1.947E+01   2.208E-07   2.499E-09   2.217E-09   2.122E-10   2.583E-14   2.500E-01   3.422E-08   3.941E-09   1.827E-19   1.616E-08
-2.861E+05   1.948E+01   2.207E-07   2.494E-09   2.220E-09   2.110E-10   2.575E-14   2.500E-01   3.418E-08   3.935E-09   1.827E-19   1.616E-08
-2.861E+05   1.950E+01   2.205E-07   2.489E-09   2.223E-09   2.098E-10   2.567E-14   2.500E-01   3.415E-08   3.928E-09   1.828E-19   1.616E-08
-2.861E+05   1.951E+01   2.203E-07   2.484E-09   2.226E-09   2.086E-10   2.559E-14   2.500E-01   3.411E-08   3.922E-09   1.828E-19   1.616E-08
-2.861E+05   1.953E+01   2.201E-07   2.480E-09   2.230E-09   2.074E-10   2.551E-14   2.500E-01   3.408E-08   3.915E-09   1.828E-19   1.616E-08
-2.861E+05   1.954E+01   2.200E-07   2.475E-09   2.233E-09   2.062E-10   2.544E-14   2.500E-01   3.404E-08   3.909E-09   1.828E-19   1.616E-08
-2.861E+05   1.955E+01   2.198E-07   2.470E-09   2.236E-09   2.050E-10   2.536E-14   2.500E-01   3.401E-08   3.902E-09   1.829E-19   1.616E-08
-2.861E+05   1.957E+01   2.196E-07   2.465E-09   2.239E-09   2.038E-10   2.528E-14   2.500E-01   3.397E-08   3.896E-09   1.829E-19   1.616E-08
-2.861E+05   1.958E+01   2.195E-07   2.460E-09   2.243E-09   2.027E-10   2.521E-14   2.500E-01   3.394E-08   3.890E-09   1.829E-19   1.616E-08
-2.861E+05   1.960E+01   2.193E-07   2.455E-09   2.246E-09   2.016E-10   2.513E-14   2.500E-01   3.391E-08   3.883E-09   1.829E-19   1.616E-08
-2.861E+05   1.961E+01   2.191E-07   2.450E-09   2.249E-09   2.004E-10   2.506E-14   2.500E-01   3.387E-08   3.877E-09   1.830E-19   1.616E-08
-2.861E+05   1.962E+01   2.189E-07   2.446E-09   2.252E-09   1.993E-10   2.498E-14   2.500E-01   3.384E-08   3.870E-09   1.830E-19   1.616E-08
-2.861E+05   1.964E+01   2.188E-07   2.441E-09   2.256E-09   1.981E-10   2.491E-14   2.500E-01   3.380E-08   3.864E-09   1.830E-19   1.616E-08
-2.861E+05   1.965E+01   2.186E-07   2.436E-09   2.259E-09   1.970E-10   2.484E-14   2.500E-01   3.377E-08   3.857E-09   1.830E-19   1.616E-08
-2.861E+05   1.967E+01   2.184E-07   2.431E-09   2.262E-09   1.959E-10   2.476E-14   2.500E-01   3.373E-08   3.851E-09   1.831E-19   1.616E-08
-2.861E+05   1.968E+01   2.182E-07   2.426E-09   2.265E-09   1.948E-10   2.469E-14   2.500E-01   3.370E-08   3.844E-09   1.831E-19   1.616E-08
-2.861E+05   1.969E+01   2.181E-07   2.421E-09   2.269E-09   1.937E-10   2.462E-14   2.500E-01   3.366E-08   3.838E-09   1.831E-19   1.616E-08
-2.861E+05   1.971E+01   2.179E-07   2.416E-09   2.272E-09   1.926E-10   2.454E-14   2.500E-01   3.363E-08   3.831E-09   1.831E-19   1.616E-08
-2.861E+05   1.972E+01   2.177E-07   2.412E-09   2.275E-09   1.915E-10   2.447E-14   2.500E-01   3.359E-08   3.825E-09   1.832E-19   1.616E-08
-2.861E+05   1.973E+01   2.176E-07   2.407E-09   2.278E-09   1.904E-10   2.440E-14   2.500E-01   3.356E-08   3.818E-09   1.832E-19   1.616E-08
-2.861E+05   1.975E+01   2.174E-07   2.402E-09   2.281E-09   1.894E-10   2.433E-14   2.500E-01   3.353E-08   3.812E-09   1.832E-19   1.616E-08
-2.861E+05   1.976E+01   2.172E-07   2.397E-09   2.285E-09   1.883E-10   2.426E-14   2.500E-01   3.349E-08   3.805E-09   1.832E-19   1.616E-08
-2.861E+05   1.978E+01   2.170E-07   2.392E-09   2.288E-09   1.872E-10   2.419E-14   2.500E-01   3.347E-08   3.799E-09   1.833E-19   1.616E-08
-2.861E+05   1.979E+01   2.169E-07   2.387E-09   2.291E-09   1.862E-10   2.412E-14   2.500E-01   3.344E-08   3.792E-09   1.833E-19   1.616E-08
-2.861E+05   1.980E+01   2.167E-07   2.382E-09   2.294E-09   1.851E-10   2.405E-14   2.500E-01   3.341E-08   3.786E-09   1.833E-19   1.616E-08
-2.861E+05   1.982E+01   2.165E-07   2.378E-09   2.298E-09   1.841E-10   2.398E-14   2.500E-01   3.339E-08   3.779E-09   1.833E-19   1.616E-08
-2.861E+05   1.983E+01   2.163E-07   2.373E-09   2.301E-09   1.831E-10   2.391E-14   2.500E-01   3.336E-08   3.773E-09   1.834E-19   1.616E-08
-2.861E+05   1.985E+01   2.162E-07   2.368E-09   2.304E-09   1.821E-10   2.384E-14   2.500E-01   3.334E-08   3.767E-09   1.834E-19   1.616E-08
-2.861E+05   1.986E+01   2.160E-07   2.363E-09   2.307E-09   1.810E-10   2.377E-14   2.500E-01   3.331E-08   3.760E-09   1.834E-19   1.616E-08
-2.861E+05   1.987E+01   2.158E-07   2.358E-09   2.311E-09   1.800E-10   2.370E-14   2.500E-01   3.328E-08   3.754E-09   1.834E-19   1.616E-08
-2.861E+05   1.989E+01   2.157E-07   2.353E-09   2.314E-09   1.790E-10   2.363E-14   2.500E-01   3.326E-08   3.747E-09   1.835E-19   1.616E-08
-2.861E+05   1.990E+01   2.155E-07   2.348E-09   2.317E-09   1.780E-10   2.357E-14   2.500E-01   3.323E-08   3.741E-09   1.835E-19   1.616E-08
-2.861E+05   1.992E+01   2.153E-07   2.344E-09   2.320E-09   1.770E-10   2.350E-14   2.500E-01   3.321E-08   3.734E-09   1.835E-19   1.616E-08
-2.861E+05   1.993E+01   2.151E-07   2.339E-09   2.324E-09   1.761E-10   2.343E-14   2.500E-01   3.318E-08   3.728E-09   1.835E-19   1.616E-08
-2.742E+05   1.994E+01   2.150E-07   2.334E-09   2.327E-09   1.751E-10   2.337E-14   2.500E-01   3.315E-08   3.721E-09   1.836E-19   1.616E-08
-2.742E+05   1.996E+01   2.148E-07   2.329E-09   2.330E-09   1.741E-10   2.330E-14   2.500E-01   3.313E-08   3.715E-09   1.836E-19   1.616E-08
-2.742E+05   1.997E+01   2.146E-07   2.325E-09   2.333E-09   1.731E-10   2.323E-14   2.500E-01   3.310E-08   3.708E-09   1.836E-19   1.616E-08
-2.742E+05   1.998E+01   2.145E-07   2.321E-09   2.337E-09   1.722E-10   2.317E-14   2.500E-01   3.308E-08   3.702E-09   1.837E-19   1.616E-08
-2.742E+05   2.000E+01   2.143E-07   2.317E-09   2.340E-09   1.712E-10   2.310E-14   2.500E-01   3.305E-08   3.695E-09   1.837E-19   1.616E-08
-2.742E+05   2.001E+01   2.141E-07   2.312E-09   2.343E-09   1.703E-10   2.304E-14   2.500E-01   3.303E-08   3.689E-09   1.837E-19   1.616E-08
-2.742E+05   2.003E+01   2.139E-07   2.308E-09   2.346E-09   1.693E-10   2.297E-14   2.500E-01   3.300E-08   3.682E-09   1.838E-19   1.616E-08
-2.742E+05   2.004E+01   2.138E-07   2.304E-09   2.349E-09   1.684E-10   2.291E-14   2.500E-01   3.297E-08   3.676E-09   1.838E-19   1.616E-08
-2.742E+05   2.005E+01   2.136E-07   2.299E-09   2.353E-09   1.675E-10   2.285E-14   2.500E-01   3.295E-08   3.669E-09   1.838E-19   1.616E-08
-2.742E+05   2.007E+01   2.134E-07   2.295E-09   2.356E-09   1.666E-10   2.278E-14   2.500E-01   3.292E-08   3.663E-09   1.839E-19   1.616E-08
-2.742E+05   2.008E+01   2.132E-07   2.291E-09   2.359E-09   1.657E-10   2.272E-14   2.500E-01   3.290E-08   3.656E-09   1.839E-19   1.616E-08
-2.742E+05   2.010E+01   2.131E-07   2.286E-09   2.362E-09   1.647E-10   2.266E-14   2.500E-01   3.287E-08   3.650E-09   1.839E-19   1.616E-08
-2.742E+05   2.011E+01   2.129E-07   2.282E-09   2.366E-09   1.638E-10   2.259E-14   2.500E-01   3.284E-08   3.644E-09   1.840E-19   1.616E-08
-2.742E+05   2.012E+01   2.127E-07   2.278E-09   2.369E-09   1.629E-10   2.253E-14   2.500E-01   3.282E-08   3.637E-09   1.840E-19   1.616E-08
-2.742E+05   2.014E+01   2.126E-07   2.273E-09   2.372E-09   1.620E-10   2.247E-14   2.500E-01   3.279E-08   3.631E-09   1.840E-19   1.616E-08
-2.742E+05   2.015E+01   2.124E-07   2.269E-09   2.375E-09   1.612E-10   2.241E-14   2.500E-01   3.277E-08   3.625E-09   1.840E-19   1.616E-08
-2.742E+05   2.017E+01   2.122E-07   2.265E-09   2.379E-09   1.603E-10   2.234E-14   2.500E-01   3.274E-08   3.619E-09   1.841E-19   1.616E-08
-2.742E+05   2.018E+01   2.121E-07   2.260E-09   2.382E-09   1.594E-10   2.228E-14   2.500E-01   3.271E-08   3.613E-09   1.841E-19   1.616E-08
-2.742E+05   2.019E+01   2.119E-07   2.256E-09   2.385E-09   1.585E-10   2.222E-14   2.500E-01   3.269E-08   3.607E-09   1.841E-19   1.616E-08
-2.742E+05   2.021E+01   2.118E-07   2.252E-09   2.388E-09   1.577E-10   2.215E-14   2.500E-01   3.266E-08   3.601E-09   1.842E-19   1.616E-08
-2.742E+05   2.022E+01   2.117E-07   2.247E-09   2.392E-09   1.568E-10   2.209E-14   2.500E-01   3.264E-08   3.595E-09   1.842E-19   1.616E-08
-2.742E+05   2.024E+01   2.115E-07   2.243E-09   2.395E-09   1.560E-10   2.203E-14   2.500E-01   3.261E-08   3.589E-09   1.842E-19   1.616E-08
