#Radii:    1.000000000E+04   9.900000000E+05   1.490000000E+06   1.990088680E+06   2.504648417E+06   4.991863741E+06   9.956457800E+06   1.495729129E+07   1.993687138E+07   2.493375451E+07   3.007311286E+07
   2.402334415E-03   0.000000000E+00   1.862294632E-05   6.413804822E-05   1.535573061E-04   3.061935496E-04   2.406117594E-03   1.813991959E-02   5.673155613E-02   1.205631347E-01   2.066699357E-01   3.109262690E-01
   2.505222467E-03   0.000000000E+00   1.861018482E-05   6.409398759E-05   1.534515500E-04   3.059818525E-04   2.406114764E-03   1.814583378E-02   5.674731216E-02   1.205922988E-01   2.067182481E-01   3.109941177E-01
   2.608166502E-03   0.000000000E+00   1.859879464E-05   6.405467715E-05   1.533571199E-04   3.057927624E-04   2.406096374E-03   1.815178117E-02   5.676309285E-02   1.206214391E-01   2.067666568E-01   3.110622173E-01
   2.701799524E-03   0.000000000E+00   1.858963568E-05   6.402305604E-05   1.532811062E-04   3.056404543E-04   2.406071393E-03   1.815722485E-02   5.677745868E-02   1.206479091E-01   2.068107496E-01   3.111243438E-01
   2.804846938E-03   0.000000000E+00   1.858086840E-05   6.399275510E-05   1.532082845E-04   3.054944019E-04   2.406040531E-03   1.816327397E-02   5.679328324E-02   1.206770041E-01   2.068593451E-01   3.111929223E-01
   2.907946678E-03   0.000000000E+00   1.857346110E-05   6.396717576E-05   1.531467356E-04   3.053707990E-04   2.406008277E-03   1.816940280E-02   5.680913325E-02   1.207060785E-01   2.069080370E-01   3.112617507E-01
   3.001718142E-03   0.000000000E+00   1.856791297E-05   6.394799850E-05   1.531005065E-04   3.052778871E-04   2.405982912E-03   1.817504731E-02   5.682356417E-02   1.207324936E-01   2.069523838E-01   3.113245375E-01
   3.104914510E-03   0.000000000E+00   1.856311221E-05   6.393136982E-05   1.530603503E-04   3.051970009E-04   2.405962552E-03   1.818133557E-02   5.683945833E-02   1.207615327E-01   2.070012521E-01   3.113938387E-01
   3.208159580E-03   0.000000000E+00   1.855967373E-05   6.391940753E-05   1.530314166E-04   3.051384951E-04   2.405949031E-03   1.818770332E-02   5.685536614E-02   1.207905515E-01   2.070502090E-01   3.114633849E-01
   3.302059945E-03   0.000000000E+00   1.855771128E-05   6.391259474E-05   1.530148338E-04   3.051046080E-04   2.405947511E-03   1.819355413E-02   5.686983085E-02   1.208169119E-01   2.070947911E-01   3.115268202E-01
   3.405394302E-03   0.000000000E+00   1.855686294E-05   6.390956281E-05   1.530072162E-04   3.050872185E-04   2.405964217E-03   1.820005061E-02   5.688573574E-02   1.208458827E-01   2.071439153E-01   3.115968303E-01
   3.508744080E-03   0.000000000E+00   1.855736837E-05   6.391119484E-05   1.530107686E-04   3.050883181E-04   2.406006517E-03   1.820660743E-02   5.690162427E-02   1.208748167E-01   2.071931153E-01   3.116670624E-01
   3.602663776E-03   0.000000000E+00   1.855899574E-05   6.391670705E-05   1.530236703E-04   3.051046544E-04   2.406073795E-03   1.821261937E-02   5.691604909E-02   1.209010725E-01   2.072378882E-01   3.117310706E-01
   3.705930598E-03   0.000000000E+00   1.856207786E-05   6.392720031E-05   1.530485097E-04   3.051402712E-04   2.406183563E-03   1.821929050E-02   5.693190165E-02   1.209299072E-01   2.072871880E-01   3.118016531E-01
   3.809149912E-03   0.000000000E+00   1.856649338E-05   6.394230987E-05   1.530842466E-04   3.051938223E-04   2.406340193E-03   1.822603132E-02   5.694774474E-02   1.209586999E-01   2.073365415E-01   3.118724193E-01
   3.902947115E-03   0.000000000E+00   1.857166954E-05   6.396003906E-05   1.531250536E-04   3.052580207E-04   2.406532729E-03   1.823223510E-02   5.696213802E-02   1.209848383E-01   2.073814562E-01   3.119369154E-01
   4.006087266E-03   0.000000000E+00   1.857864224E-05   6.398393918E-05   1.531774152E-04   3.053460754E-04   2.406805513E-03   1.823915145E-02   5.697795121E-02   1.210135517E-01   2.074309164E-01   3.120080471E-01
   4.109192567E-03   0.000000000E+00   1.858695862E-05   6.401249855E-05   1.532374120E-04   3.054519511E-04   2.407138444E-03   1.824614643E-02   5.699373202E-02   1.210422238E-01   2.074804325E-01   3.120793786E-01
   4.202894645E-03   0.000000000E+00   1.859567168E-05   6.404247401E-05   1.532990762E-04   3.055642251E-04   2.407479534E-03   1.825253960E-02   5.700804291E-02   1.210682517E-01   2.075254938E-01   3.121444007E-01
   4.305931206E-03   0.000000000E+00   1.860652856E-05   6.407953861E-05   1.533743410E-04   3.057051705E-04   2.407880403E-03   1.825957103E-02   5.702374434E-02   1.210968381E-01   2.075751097E-01   3.122161173E-01
   4.408929375E-03   0.000000000E+00   1.861871882E-05   6.411968134E-05   1.534575990E-04   3.058618092E-04   2.408303546E-03   1.826657094E-02   5.703940582E-02   1.211253766E-01   2.076247760E-01   3.122880354E-01
   4.502528242E-03   0.000000000E+00   1.863094387E-05   6.415798194E-05   1.535403922E-04   3.060135634E-04   2.408713629E-03   1.827288623E-02   5.705361017E-02   1.211512781E-01   2.076699713E-01   3.123535885E-01
