 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                eu177         eu178         eu179         eu180         eu181         eu182         eu183         eu184
     27  8.489118412102E-05  1.000161E-30  1.000279E-30  1.002207E-30  1.000000E-30  1.001980E-30  1.000000E-30  1.001893E-30  1.002875E-30
     28  9.570255892797E-05  1.000181E-30  1.000316E-30  1.002488E-30  1.000000E-30  1.002232E-30  1.000000E-30  1.002135E-30  1.003241E-30
     29  1.070853065563E-04  1.000203E-30  1.000354E-30  1.002784E-30  1.000000E-30  1.002497E-30  1.000000E-30  1.002390E-30  1.003626E-30
     30  1.190882425669E-04  1.000227E-30  1.000395E-30  1.003096E-30  1.000000E-30  1.002776E-30  1.000000E-30  1.002660E-30  1.004032E-30
     31  1.366291075688E-04  1.000261E-30  1.000455E-30  1.003553E-30  1.000000E-30  1.003183E-30  1.000000E-30  1.003054E-30  1.004625E-30
     32  1.695708820900E-04  1.000325E-30  1.000568E-30  1.004411E-30  1.000000E-30  1.003948E-30  1.000000E-30  1.003797E-30  1.005739E-30
     33  1.992873377730E-04  1.000384E-30  1.000672E-30  1.005185E-30  1.000000E-30  1.004637E-30  1.000000E-30  1.004470E-30  1.006743E-30
     34  2.264248739983E-04  1.000438E-30  1.000768E-30  1.005892E-30  1.000000E-30  1.005265E-30  1.000000E-30  1.005086E-30  1.007659E-30
     35  2.515933231106E-04  1.000488E-30  1.000857E-30  1.006549E-30  1.000000E-30  1.005847E-30  1.000000E-30  1.005658E-30  1.008508E-30
     36  2.753099894686E-04  1.000536E-30  1.000943E-30  1.007168E-30  1.000000E-30  1.006395E-30  1.000000E-30  1.006199E-30  1.009308E-30
     37  2.979926919870E-04  1.000583E-30  1.001025E-30  1.007760E-30  1.000000E-30  1.006919E-30  1.000000E-30  1.006717E-30  1.010073E-30
     38  3.199702121451E-04  1.000628E-30  1.001106E-30  1.008334E-30  1.000000E-30  1.007426E-30  1.000000E-30  1.007221E-30  1.010814E-30
     39  3.524429751724E-04  1.000695E-30  1.001226E-30  1.009182E-30  1.000000E-30  1.008174E-30  1.000000E-30  1.007967E-30  1.011908E-30
     40  3.836809895565E-04  1.000760E-30  1.001343E-30  1.009998E-30  1.000000E-30  1.008892E-30  1.000000E-30  1.008687E-30  1.012960E-30
     41  4.138876583201E-04  1.000823E-30  1.001457E-30  1.010788E-30  1.000000E-30  1.009586E-30  1.000000E-30  1.009385E-30  1.013977E-30
     42  4.432651277490E-04  1.000886E-30  1.001569E-30  1.011557E-30  1.000000E-30  1.010260E-30  1.000000E-30  1.010066E-30  1.014965E-30
     43  4.720041568584E-04  1.000947E-30  1.001680E-30  1.012309E-30  1.000000E-30  1.010918E-30  1.000000E-30  1.010734E-30  1.015931E-30
     44  5.002792532552E-04  1.001008E-30  1.001791E-30  1.013049E-30  1.000000E-30  1.011565E-30  1.000000E-30  1.011393E-30  1.016881E-30
     45  5.282472522620E-04  1.001069E-30  1.001901E-30  1.013782E-30  1.000000E-30  1.012204E-30  1.000000E-30  1.012046E-30  1.017820E-30
     46  5.560479783168E-04  1.001130E-30  1.002012E-30  1.014511E-30  1.000000E-30  1.012839E-30  1.000000E-30  1.012698E-30  1.018753E-30
     47  5.838060709037E-04  1.001191E-30  1.002123E-30  1.015239E-30  1.000000E-30  1.013472E-30  1.000000E-30  1.013350E-30  1.019684E-30
     48  6.116334118686E-04  1.001253E-30  1.002236E-30  1.015969E-30  1.000000E-30  1.014105E-30  1.000000E-30  1.014005E-30  1.020617E-30
     49  6.396318340541E-04  1.001315E-30  1.002351E-30  1.016703E-30  1.000000E-30  1.014742E-30  1.000000E-30  1.014666E-30  1.021556E-30
     50  6.678959636874E-04  1.001379E-30  1.002468E-30  1.017446E-30  1.000000E-30  1.015384E-30  1.000000E-30  1.015335E-30  1.022502E-30
     51  6.965161747902E-04  1.001444E-30  1.002587E-30  1.018197E-30  1.000000E-30  1.016034E-30  1.000000E-30  1.016014E-30  1.023461E-30
     52  7.255817382538E-04  1.001511E-30  1.002710E-30  1.018961E-30  1.000000E-30  1.016692E-30  1.000000E-30  1.016706E-30  1.024433E-30
     53  7.551843574001E-04  1.001579E-30  1.002836E-30  1.019740E-30  1.000000E-30  1.017362E-30  1.000000E-30  1.017413E-30  1.025423E-30
     54  7.854224313090E-04  1.001649E-30  1.002965E-30  1.020535E-30  1.000000E-30  1.018046E-30  1.000000E-30  1.018136E-30  1.026434E-30
     55  8.164066374138E-04  1.001722E-30  1.003100E-30  1.021350E-30  1.000000E-30  1.018745E-30  1.000000E-30  1.018879E-30  1.027469E-30
     56  8.482679080764E-04  1.001797E-30  1.003239E-30  1.022189E-30  1.000000E-30  1.019463E-30  1.000000E-30  1.019646E-30  1.028532E-30
     57  8.811699017317E-04  1.001875E-30  1.003384E-30  1.023056E-30  1.000000E-30  1.020204E-30  1.000000E-30  1.020440E-30  1.029630E-30
     58  9.153304977871E-04  1.001957E-30  1.003537E-30  1.023956E-30  1.000000E-30  1.020972E-30  1.000000E-30  1.021266E-30  1.030769E-30
     59  9.510634923056E-04  1.002044E-30  1.003698E-30  1.024899E-30  1.000000E-30  1.021774E-30  1.000000E-30  1.022133E-30  1.031960E-30
     60  9.888739022907E-04  1.002136E-30  1.003871E-30  1.025896E-30  1.000000E-30  1.022621E-30  1.000000E-30  1.023054E-30  1.033219E-30
     61  1.029744313280E-03  1.002237E-30  1.004059E-30  1.026975E-30  1.000000E-30  1.023536E-30  1.000000E-30  1.024053E-30  1.034579E-30
     62  1.076805333108E-03  1.002354E-30  1.004279E-30  1.028218E-30  1.000000E-30  1.024586E-30  1.000000E-30  1.025207E-30  1.036144E-30
     63  1.127478238084E-03  1.002482E-30  1.004519E-30  1.029558E-30  1.000000E-30  1.025715E-30  1.000000E-30  1.026454E-30  1.037827E-30
     64  1.179263354774E-03  1.002614E-30  1.004768E-30  1.030928E-30  1.000000E-30  1.026867E-30  1.000000E-30  1.027735E-30  1.039545E-30
     65  1.231720185468E-03  1.002750E-30  1.005024E-30  1.032317E-30  1.000000E-30  1.028030E-30  1.000000E-30  1.029037E-30  1.041284E-30
     66  1.284679788904E-03  1.002889E-30  1.005285E-30  1.033720E-30  1.000000E-30  1.029202E-30  1.000000E-30  1.030358E-30  1.043038E-30
     67  1.338068714676E-03  1.003030E-30  1.005553E-30  1.035135E-30  1.000000E-30  1.030381E-30  1.000000E-30  1.031696E-30  1.044805E-30
     68  1.391852718980E-03  1.003174E-30  1.005827E-30  1.036562E-30  1.000000E-30  1.031566E-30  1.000000E-30  1.033048E-30  1.046582E-30
     69  1.446014888479E-03  1.003321E-30  1.006106E-30  1.038001E-30  1.000000E-30  1.032756E-30  1.000000E-30  1.034417E-30  1.048370E-30
     70  1.500546342624E-03  1.003471E-30  1.006391E-30  1.039450E-30  1.000000E-30  1.033952E-30  1.000000E-30  1.035800E-30  1.050169E-30
     71  1.555442065896E-03  1.003623E-30  1.006682E-30  1.040910E-30  1.000000E-30  1.035153E-30  1.000000E-30  1.037199E-30  1.051978E-30
     72  1.610698967280E-03  1.003779E-30  1.006979E-30  1.042380E-30  1.000000E-30  1.036359E-30  1.000000E-30  1.038612E-30  1.053796E-30
     73  1.666314948699E-03  1.003937E-30  1.007281E-30  1.043861E-30  1.000000E-30  1.037569E-30  1.000000E-30  1.040041E-30  1.055625E-30
     74  1.722288445659E-03  1.004098E-30  1.007590E-30  1.045353E-30  1.000000E-30  1.038785E-30  1.000000E-30  1.041485E-30  1.057463E-30
     75  1.778618195039E-03  1.004262E-30  1.007905E-30  1.046855E-30  1.000000E-30  1.040005E-30  1.000000E-30  1.042944E-30  1.059311E-30
     76  1.835303663832E-03  1.004429E-30  1.008226E-30  1.048368E-30  1.000000E-30  1.041230E-30  1.000000E-30  1.044419E-30  1.061168E-30
     77  1.892344396716E-03  1.004600E-30  1.008553E-30  1.049892E-30  1.000000E-30  1.042460E-30  1.000000E-30  1.045909E-30  1.063035E-30
     78  1.949739812628E-03  1.004773E-30  1.008886E-30  1.051426E-30  1.000000E-30  1.043694E-30  1.000000E-30  1.047414E-30  1.064912E-30
     79  2.007489276907E-03  1.004949E-30  1.009226E-30  1.052971E-30  1.000000E-30  1.044933E-30  1.000000E-30  1.048935E-30  1.066797E-30
     80  2.065592139419E-03  1.005129E-30  1.009572E-30  1.054526E-30  1.000000E-30  1.046177E-30  1.000000E-30  1.050471E-30  1.068693E-30
     81  2.124047755162E-03  1.005311E-30  1.009925E-30  1.056092E-30  1.000000E-30  1.047424E-30  1.000000E-30  1.052023E-30  1.070597E-30
     82  2.182855495215E-03  1.005497E-30  1.010284E-30  1.057668E-30  1.000000E-30  1.048676E-30  1.000000E-30  1.053590E-30  1.072511E-30
     83  2.242014752368E-03  1.005686E-30  1.010649E-30  1.059255E-30  1.000000E-30  1.049933E-30  1.000000E-30  1.055173E-30  1.074434E-30
     84  2.301524943777E-03  1.005878E-30  1.011022E-30  1.060852E-30  1.000000E-30  1.051193E-30  1.000000E-30  1.056772E-30  1.076366E-30
     85  2.361385511936E-03  1.006074E-30  1.011401E-30  1.062460E-30  1.000000E-30  1.052458E-30  1.000000E-30  1.058386E-30  1.078307E-30
     86  2.421595924701E-03  1.006273E-30  1.011786E-30  1.064079E-30  1.000000E-30  1.053727E-30  1.000000E-30  1.060016E-30  1.080257E-30
     87  2.482155674804E-03  1.006475E-30  1.012179E-30  1.065707E-30  1.000002E-30  1.055000E-30  1.000000E-30  1.061662E-30  1.082216E-30
     88  2.543064279071E-03  1.006681E-30  1.012579E-30  1.067347E-30  1.000010E-30  1.056276E-30  1.000000E-30  1.063324E-30  1.084184E-30
     89  2.604321277494E-03  1.006890E-30  1.012985E-30  1.068997E-30  1.000025E-30  1.057557E-30  1.000000E-30  1.065002E-30  1.086160E-30
     90  2.665926232237E-03  1.007103E-30  1.013399E-30  1.070657E-30  1.000047E-30  1.058842E-30  1.000000E-30  1.066696E-30  1.088146E-30
     91  2.727878734382E-03  1.007319E-30  1.013820E-30  1.072328E-30  1.000075E-30  1.060130E-30  1.000000E-30  1.068406E-30  1.090140E-30
     92  2.790178404165E-03  1.007539E-30  1.014247E-30  1.074009E-30  1.000110E-30  1.061422E-30  1.000000E-30  1.070132E-30  1.092142E-30
     93  2.852824875480E-03  1.007763E-30  1.014683E-30  1.075701E-30  1.000152E-30  1.062718E-30  1.000000E-30  1.071874E-30  1.094154E-30
     94  2.915817796872E-03  1.007990E-30  1.015125E-30  1.077403E-30  1.000201E-30  1.064017E-30  1.000000E-30  1.073632E-30  1.096173E-30
     95  2.979156831833E-03  1.008221E-30  1.015575E-30  1.079116E-30  1.000257E-30  1.065320E-30  1.000000E-30  1.075406E-30  1.098201E-30
