 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                al31          al32          al33          al34          al35          al36          al37          al38 
     27  8.489118412102E-05  1.000165E-30  1.000000E-30  1.000000E-30  1.001551E-30  1.000000E-30  1.002554E-30  2.266890E-28  1.000000E-30
     28  9.570255892797E-05  1.000186E-30  1.000000E-30  1.000000E-30  1.001750E-30  1.000000E-30  1.002879E-30  2.553428E-28  1.000000E-30
     29  1.070853065563E-04  1.000208E-30  1.000000E-30  1.000000E-30  1.001960E-30  1.000000E-30  1.003221E-30  2.854892E-28  1.000000E-30
     30  1.190882425669E-04  1.000232E-30  1.000000E-30  1.000000E-30  1.002182E-30  1.000000E-30  1.003582E-30  3.172543E-28  1.000000E-30
     31  1.366291075688E-04  1.000266E-30  1.000000E-30  1.000000E-30  1.002507E-30  1.000000E-30  1.004110E-30  3.636269E-28  1.000000E-30
     32  1.695708820900E-04  1.000330E-30  1.000000E-30  1.000000E-30  1.003119E-30  1.000000E-30  1.005100E-30  4.505793E-28  1.000000E-30
     33  1.992873377730E-04  1.000388E-30  1.000000E-30  1.000000E-30  1.003675E-30  1.000000E-30  1.005993E-30  5.288600E-28  1.000000E-30
     34  2.264248739983E-04  1.000442E-30  1.000000E-30  1.000000E-30  1.004184E-30  1.000000E-30  1.006808E-30  6.002159E-28  1.000000E-30
     35  2.515933231106E-04  1.000491E-30  1.000000E-30  1.000000E-30  1.004658E-30  1.000000E-30  1.007564E-30  6.662822E-28  1.000000E-30
     36  2.753099894686E-04  1.000538E-30  1.000000E-30  1.000000E-30  1.005106E-30  1.000000E-30  1.008276E-30  7.284390E-28  1.000000E-30
     37  2.979926919870E-04  1.000582E-30  1.000000E-30  1.000000E-30  1.005536E-30  1.000000E-30  1.008957E-30  7.877966E-28  1.000000E-30
     38  3.199702121451E-04  1.000626E-30  1.000000E-30  1.000000E-30  1.005955E-30  1.000000E-30  1.009617E-30  8.452099E-28  1.000000E-30
     39  3.524429751724E-04  1.000690E-30  1.000000E-30  1.000000E-30  1.006575E-30  1.000000E-30  1.010592E-30  9.299140E-28  1.000000E-30
     40  3.836809895565E-04  1.000752E-30  1.000000E-30  1.000000E-30  1.007175E-30  1.000000E-30  1.011529E-30  1.011229E-27  1.000000E-30
     41  4.138876583201E-04  1.000812E-30  1.000000E-30  1.000000E-30  1.007757E-30  1.000000E-30  1.012436E-30  1.089704E-27  1.000000E-30
     42  4.432651277490E-04  1.000870E-30  1.000000E-30  1.000000E-30  1.008326E-30  1.000000E-30  1.013317E-30  1.165878E-27  1.000000E-30
     43  4.720041568584E-04  1.000927E-30  1.000000E-30  1.000000E-30  1.008885E-30  1.000000E-30  1.014179E-30  1.240256E-27  1.000000E-30
     44  5.002792532552E-04  1.000984E-30  1.000000E-30  1.000000E-30  1.009438E-30  1.000000E-30  1.015026E-30  1.313298E-27  1.000000E-30
     45  5.282472522620E-04  1.001039E-30  1.000000E-30  1.000000E-30  1.009986E-30  1.000000E-30  1.015865E-30  1.385415E-27  1.000000E-30
     46  5.560479783168E-04  1.001095E-30  1.000000E-30  1.000000E-30  1.010533E-30  1.000000E-30  1.016698E-30  1.456972E-27  1.000000E-30
     47  5.838060709037E-04  1.001151E-30  1.000000E-30  1.000000E-30  1.011082E-30  1.000000E-30  1.017530E-30  1.528291E-27  1.000000E-30
     48  6.116334118686E-04  1.001207E-30  1.000000E-30  1.000000E-30  1.011634E-30  1.000000E-30  1.018363E-30  1.599659E-27  1.000000E-30
     49  6.396318340541E-04  1.001263E-30  1.000000E-30  1.000000E-30  1.012191E-30  1.000000E-30  1.019202E-30  1.671336E-27  1.000000E-30
     50  6.678959636874E-04  1.001320E-30  1.000000E-30  1.000000E-30  1.012757E-30  1.000000E-30  1.020048E-30  1.743561E-27  1.000000E-30
     51  6.965161747902E-04  1.001378E-30  1.000000E-30  1.000000E-30  1.013331E-30  1.000000E-30  1.020905E-30  1.816562E-27  1.000000E-30
     52  7.255817382538E-04  1.001436E-30  1.000000E-30  1.000000E-30  1.013917E-30  1.000000E-30  1.021775E-30  1.890560E-27  1.000000E-30
     53  7.551843574001E-04  1.001496E-30  1.000000E-30  1.000000E-30  1.014516E-30  1.000000E-30  1.022660E-30  1.965783E-27  1.000000E-30
     54  7.854224313090E-04  1.001558E-30  1.000000E-30  1.000000E-30  1.015130E-30  1.000000E-30  1.023565E-30  2.042471E-27  1.000000E-30
     55  8.164066374138E-04  1.001621E-30  1.000000E-30  1.000000E-30  1.015762E-30  1.000000E-30  1.024492E-30  2.120896E-27  1.000000E-30
     56  8.482679080764E-04  1.001686E-30  1.000000E-30  1.000000E-30  1.016415E-30  1.000000E-30  1.025444E-30  2.201376E-27  1.000000E-30
     57  8.811699017317E-04  1.001753E-30  1.000000E-30  1.000000E-30  1.017092E-30  1.000000E-30  1.026428E-30  2.284310E-27  1.000000E-30
     58  9.153304977871E-04  1.001823E-30  1.000000E-30  1.000000E-30  1.017798E-30  1.000000E-30  1.027449E-30  2.370230E-27  1.000000E-30
     59  9.510634923056E-04  1.001896E-30  1.000000E-30  1.000000E-30  1.018540E-30  1.000000E-30  1.028517E-30  2.459900E-27  1.000000E-30
     60  9.888739022907E-04  1.001974E-30  1.000000E-30  1.000000E-30  1.019329E-30  1.000000E-30  1.029646E-30  2.554556E-27  1.000000E-30
     61  1.029744313280E-03  1.002058E-30  1.000000E-30  1.000000E-30  1.020186E-30  1.000000E-30  1.030866E-30  2.656607E-27  1.000000E-30
     62  1.076805333108E-03  1.002155E-30  1.000000E-30  1.000000E-30  1.021178E-30  1.000000E-30  1.032271E-30  2.773769E-27  1.000000E-30
     63  1.127478238084E-03  1.002260E-30  1.000000E-30  1.000000E-30  1.022253E-30  1.000000E-30  1.033783E-30  2.899512E-27  1.000000E-30
     64  1.179263354774E-03  1.002368E-30  1.000000E-30  1.000000E-30  1.023359E-30  1.000000E-30  1.035328E-30  3.027586E-27  1.000000E-30
     65  1.231720185468E-03  1.002477E-30  1.000000E-30  1.000000E-30  1.024487E-30  1.000000E-30  1.036892E-30  3.156882E-27  1.000000E-30
     66  1.284679788904E-03  1.002588E-30  1.000000E-30  1.000000E-30  1.025633E-30  1.000000E-30  1.038470E-30  3.286970E-27  1.000000E-30
     67  1.338068714676E-03  1.002700E-30  1.000000E-30  1.000000E-30  1.026796E-30  1.000000E-30  1.040061E-30  3.417660E-27  1.000000E-30
     68  1.391852718980E-03  1.002813E-30  1.000000E-30  1.000000E-30  1.027975E-30  1.000000E-30  1.041663E-30  3.548860E-27  1.000000E-30
     69  1.446014888479E-03  1.002928E-30  1.000000E-30  1.000000E-30  1.029170E-30  1.000000E-30  1.043275E-30  3.680520E-27  1.000000E-30
     70  1.500546342624E-03  1.003044E-30  1.000000E-30  1.000000E-30  1.030381E-30  1.000000E-30  1.044897E-30  3.812609E-27  1.000000E-30
     71  1.555442065896E-03  1.003161E-30  1.000000E-30  1.000000E-30  1.031609E-30  1.000000E-30  1.046530E-30  3.945110E-27  1.000000E-30
     72  1.610698967280E-03  1.003279E-30  1.000000E-30  1.000000E-30  1.032852E-30  1.000000E-30  1.048173E-30  4.078005E-27  1.000000E-30
     73  1.666314948699E-03  1.003398E-30  1.000000E-30  1.000000E-30  1.034111E-30  1.000000E-30  1.049826E-30  4.211284E-27  1.000000E-30
     74  1.722288445659E-03  1.003519E-30  1.000000E-30  1.000000E-30  1.035387E-30  1.000000E-30  1.051488E-30  4.344933E-27  1.000000E-30
     75  1.778618195039E-03  1.003641E-30  1.000000E-30  1.000000E-30  1.036679E-30  1.000000E-30  1.053161E-30  4.478944E-27  1.000000E-30
     76  1.835303663832E-03  1.003764E-30  1.000000E-30  1.000000E-30  1.037988E-30  1.000000E-30  1.054843E-30  4.613306E-27  1.000000E-30
     77  1.892344396716E-03  1.003888E-30  1.000000E-30  1.000000E-30  1.039313E-30  1.000000E-30  1.056535E-30  4.748012E-27  1.000000E-30
     78  1.949739812628E-03  1.004013E-30  1.000000E-30  1.000000E-30  1.040655E-30  1.000000E-30  1.058237E-30  4.883053E-27  1.000000E-30
     79  2.007489276907E-03  1.004140E-30  1.000000E-30  1.000000E-30  1.042013E-30  1.000000E-30  1.059949E-30  5.018419E-27  1.000000E-30
     80  2.065592139419E-03  1.004268E-30  1.000000E-30  1.000000E-30  1.043389E-30  1.000000E-30  1.061670E-30  5.154102E-27  1.000000E-30
     81  2.124047755162E-03  1.004398E-30  1.000000E-30  1.000000E-30  1.044782E-30  1.000000E-30  1.063401E-30  5.290093E-27  1.000000E-30
     82  2.182855495215E-03  1.004528E-30  1.000000E-30  1.000000E-30  1.046191E-30  1.000000E-30  1.065142E-30  5.426382E-27  1.000000E-30
     83  2.242014752368E-03  1.004660E-30  1.000000E-30  1.000000E-30  1.047619E-30  1.000000E-30  1.066892E-30  5.562962E-27  1.000000E-30
     84  2.301524943777E-03  1.004794E-30  1.000000E-30  1.000000E-30  1.049063E-30  1.000000E-30  1.068652E-30  5.699824E-27  1.000000E-30
     85  2.361385511936E-03  1.004928E-30  1.000000E-30  1.000000E-30  1.050525E-30  1.000000E-30  1.070421E-30  5.836959E-27  1.000000E-30
     86  2.421595924701E-03  1.005064E-30  1.000000E-30  1.000000E-30  1.052005E-30  1.000000E-30  1.072200E-30  5.974357E-27  1.000000E-30
     87  2.482155674804E-03  1.005201E-30  1.000000E-30  1.000000E-30  1.053502E-30  1.000000E-30  1.073988E-30  6.112013E-27  1.000000E-30
     88  2.543064279071E-03  1.005340E-30  1.000000E-30  1.000000E-30  1.055018E-30  1.000000E-30  1.075786E-30  6.249915E-27  1.000000E-30
     89  2.604321277494E-03  1.005480E-30  1.000000E-30  1.000000E-30  1.056551E-30  1.000000E-30  1.077593E-30  6.388057E-27  1.000000E-30
     90  2.665926232237E-03  1.005622E-30  1.000000E-30  1.000000E-30  1.058102E-30  1.000000E-30  1.079410E-30  6.526431E-27  1.000000E-30
     91  2.727878734382E-03  1.005765E-30  1.000000E-30  1.000000E-30  1.059672E-30  1.000000E-30  1.081236E-30  6.665028E-27  1.000000E-30
     92  2.790178404165E-03  1.005909E-30  1.000000E-30  1.000000E-30  1.061260E-30  1.000000E-30  1.083072E-30  6.803840E-27  1.000000E-30
     93  2.852824875480E-03  1.006055E-30  1.000000E-30  1.000000E-30  1.062866E-30  1.000000E-30  1.084916E-30  6.942859E-27  1.000000E-30
     94  2.915817796872E-03  1.006202E-30  1.000000E-30  1.000000E-30  1.064491E-30  1.000000E-30  1.086770E-30  7.082078E-27  1.000000E-30
     95  2.979156831833E-03  1.006351E-30  1.000000E-30  1.000000E-30  1.066135E-30  1.000000E-30  1.088634E-30  7.221488E-27  1.000000E-30
