 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cu86          zn54          zn55          zn56          zn57          zn58          zn59          zn60 
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.040359E-30  1.015734E-30  1.015403E-30  1.005331E-30  1.004042E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.043211E-30  1.016846E-30  1.016494E-30  1.005712E-30  1.004330E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.046000E-30  1.017934E-30  1.017561E-30  1.006085E-30  1.004611E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.048742E-30  1.019003E-30  1.018611E-30  1.006453E-30  1.004889E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.051454E-30  1.020061E-30  1.019650E-30  1.006817E-30  1.005163E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.054147E-30  1.021111E-30  1.020681E-30  1.007180E-30  1.005436E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.056835E-30  1.022159E-30  1.021711E-30  1.007542E-30  1.005708E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.059528E-30  1.023210E-30  1.022743E-30  1.007905E-30  1.005981E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.062236E-30  1.024266E-30  1.023782E-30  1.008271E-30  1.006256E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.064969E-30  1.025332E-30  1.024830E-30  1.008641E-30  1.006534E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.067734E-30  1.026410E-30  1.025891E-30  1.009015E-30  1.006816E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.070541E-30  1.027505E-30  1.026968E-30  1.009396E-30  1.007101E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.073398E-30  1.028620E-30  1.028065E-30  1.009785E-30  1.007393E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.076315E-30  1.029757E-30  1.029185E-30  1.010182E-30  1.007690E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.079302E-30  1.030922E-30  1.030332E-30  1.010589E-30  1.007995E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.082371E-30  1.032120E-30  1.031512E-30  1.011008E-30  1.008309E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.085539E-30  1.033356E-30  1.032730E-30  1.011442E-30  1.008633E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.088826E-30  1.034638E-30  1.033994E-30  1.011892E-30  1.008970E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.092262E-30  1.035979E-30  1.035316E-30  1.012364E-30  1.009323E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.095895E-30  1.037396E-30  1.036714E-30  1.012864E-30  1.009696E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.099820E-30  1.038927E-30  1.038225E-30  1.013405E-30  1.010100E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.104334E-30  1.040689E-30  1.039964E-30  1.014029E-30  1.010565E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.109191E-30  1.042584E-30  1.041836E-30  1.014702E-30  1.011066E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.114150E-30  1.044519E-30  1.043748E-30  1.015391E-30  1.011578E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.119167E-30  1.046477E-30  1.045684E-30  1.016090E-30  1.012098E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.124228E-30  1.048452E-30  1.047638E-30  1.016797E-30  1.012623E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.129325E-30  1.050441E-30  1.049607E-30  1.017511E-30  1.013153E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.134453E-30  1.052443E-30  1.051590E-30  1.018232E-30  1.013687E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.139613E-30  1.054457E-30  1.053585E-30  1.018958E-30  1.014225E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.144802E-30  1.056483E-30  1.055594E-30  1.019692E-30  1.014767E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.150021E-30  1.058520E-30  1.057614E-30  1.020431E-30  1.015313E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.155268E-30  1.060569E-30  1.059648E-30  1.021176E-30  1.015864E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.160544E-30  1.062628E-30  1.061693E-30  1.021928E-30  1.016418E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.165848E-30  1.064699E-30  1.063751E-30  1.022686E-30  1.016976E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.171180E-30  1.066781E-30  1.065820E-30  1.023450E-30  1.017539E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.176540E-30  1.068874E-30  1.067902E-30  1.024221E-30  1.018105E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.181927E-30  1.070978E-30  1.069996E-30  1.024997E-30  1.018676E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.187342E-30  1.073093E-30  1.072102E-30  1.025780E-30  1.019250E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.192784E-30  1.075218E-30  1.074220E-30  1.026569E-30  1.019829E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.198254E-30  1.077355E-30  1.076350E-30  1.027365E-30  1.020412E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.203751E-30  1.079502E-30  1.078492E-30  1.028166E-30  1.020999E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.209274E-30  1.081659E-30  1.080646E-30  1.028975E-30  1.021589E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.214824E-30  1.083827E-30  1.082811E-30  1.029789E-30  1.022184E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.220401E-30  1.086006E-30  1.084988E-30  1.030610E-30  1.022783E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.226004E-30  1.088195E-30  1.087177E-30  1.031437E-30  1.023386E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.231633E-30  1.090395E-30  1.089378E-30  1.032270E-30  1.023994E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.237289E-30  1.092604E-30  1.091590E-30  1.033110E-30  1.024605E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.242970E-30  1.094825E-30  1.093814E-30  1.033957E-30  1.025220E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.248677E-30  1.097055E-30  1.096050E-30  1.034809E-30  1.025840E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.254410E-30  1.099295E-30  1.098297E-30  1.035669E-30  1.026463E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.260169E-30  1.101546E-30  1.100556E-30  1.036535E-30  1.027091E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.265952E-30  1.103807E-30  1.102826E-30  1.037407E-30  1.027723E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.271761E-30  1.106077E-30  1.105108E-30  1.038286E-30  1.028359E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.277595E-30  1.108358E-30  1.107401E-30  1.039171E-30  1.029000E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.283454E-30  1.110648E-30  1.109705E-30  1.040063E-30  1.029644E-30
