 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                er192         er193         er194         er195         er196         er197         er198         tm150
     41  4.138876583201E-04  1.005313E-30  1.007952E-30  1.014158E-30  1.003538E-30  1.010406E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.005690E-30  1.008519E-30  1.015161E-30  1.003788E-30  1.011143E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.006059E-30  1.009074E-30  1.016142E-30  1.004032E-30  1.011864E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.006422E-30  1.009621E-30  1.017107E-30  1.004273E-30  1.012573E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.006781E-30  1.010161E-30  1.018061E-30  1.004511E-30  1.013274E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.007138E-30  1.010699E-30  1.019010E-30  1.004747E-30  1.013970E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.007494E-30  1.011236E-30  1.019957E-30  1.004982E-30  1.014665E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.007851E-30  1.011775E-30  1.020906E-30  1.005218E-30  1.015362E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.008211E-30  1.012317E-30  1.021860E-30  1.005456E-30  1.016063E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.008574E-30  1.012865E-30  1.022823E-30  1.005695E-30  1.016770E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.008941E-30  1.013420E-30  1.023799E-30  1.005938E-30  1.017486E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.009314E-30  1.013984E-30  1.024789E-30  1.006184E-30  1.018213E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.009694E-30  1.014559E-30  1.025797E-30  1.006434E-30  1.018953E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.010082E-30  1.015147E-30  1.026827E-30  1.006690E-30  1.019709E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.010480E-30  1.015749E-30  1.027882E-30  1.006952E-30  1.020483E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.010889E-30  1.016369E-30  1.028966E-30  1.007221E-30  1.021279E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.011311E-30  1.017009E-30  1.030086E-30  1.007498E-30  1.022101E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.011750E-30  1.017674E-30  1.031248E-30  1.007787E-30  1.022953E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.012208E-30  1.018371E-30  1.032463E-30  1.008088E-30  1.023845E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.012694E-30  1.019108E-30  1.033749E-30  1.008406E-30  1.024788E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.013219E-30  1.019906E-30  1.035138E-30  1.008750E-30  1.025807E-30  1.000000E-30  1.000000E-30  1.000000E-30
