 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                br95          br96          br97          br98          br99          br100         br101         br102
     41  4.138876583201E-04  1.005898E-30  1.002699E-30  1.005975E-30  1.008918E-30  1.026302E-30  1.000000E-30  1.001483E-30  1.018741E-30
     42  4.432651277490E-04  1.006317E-30  1.002893E-30  1.006404E-30  1.009561E-30  1.028180E-30  1.000000E-30  1.001586E-30  1.020042E-30
     43  4.720041568584E-04  1.006728E-30  1.003083E-30  1.006824E-30  1.010191E-30  1.030017E-30  1.000000E-30  1.001687E-30  1.021311E-30
     44  5.002792532552E-04  1.007132E-30  1.003270E-30  1.007238E-30  1.010812E-30  1.031827E-30  1.000000E-30  1.001785E-30  1.022556E-30
     45  5.282472522620E-04  1.007532E-30  1.003455E-30  1.007647E-30  1.011427E-30  1.033618E-30  1.000000E-30  1.001883E-30  1.023784E-30
     46  5.560479783168E-04  1.007929E-30  1.003640E-30  1.008055E-30  1.012040E-30  1.035400E-30  1.000000E-30  1.001979E-30  1.025000E-30
     47  5.838060709037E-04  1.008326E-30  1.003825E-30  1.008463E-30  1.012653E-30  1.037180E-30  1.000000E-30  1.002076E-30  1.026212E-30
     48  6.116334118686E-04  1.008724E-30  1.004010E-30  1.008872E-30  1.013269E-30  1.038965E-30  1.000000E-30  1.002172E-30  1.027424E-30
     49  6.396318340541E-04  1.009125E-30  1.004197E-30  1.009285E-30  1.013890E-30  1.040763E-30  1.000000E-30  1.002268E-30  1.028639E-30
     50  6.678959636874E-04  1.009530E-30  1.004386E-30  1.009702E-30  1.014518E-30  1.042579E-30  1.000000E-30  1.002365E-30  1.029862E-30
     51  6.965161747902E-04  1.009939E-30  1.004578E-30  1.010125E-30  1.015154E-30  1.044419E-30  1.000000E-30  1.002463E-30  1.031098E-30
     52  7.255817382538E-04  1.010356E-30  1.004773E-30  1.010554E-30  1.015802E-30  1.046289E-30  1.000000E-30  1.002563E-30  1.032348E-30
     53  7.551843574001E-04  1.010780E-30  1.004971E-30  1.010993E-30  1.016464E-30  1.048195E-30  1.000000E-30  1.002664E-30  1.033619E-30
     54  7.854224313090E-04  1.011213E-30  1.005175E-30  1.011441E-30  1.017140E-30  1.050143E-30  1.000000E-30  1.002767E-30  1.034912E-30
     55  8.164066374138E-04  1.011658E-30  1.005384E-30  1.011902E-30  1.017835E-30  1.052140E-30  1.000000E-30  1.002872E-30  1.036234E-30
     56  8.482679080764E-04  1.012115E-30  1.005599E-30  1.012375E-30  1.018551E-30  1.054196E-30  1.000000E-30  1.002979E-30  1.037588E-30
     57  8.811699017317E-04  1.012587E-30  1.005821E-30  1.012866E-30  1.019292E-30  1.056320E-30  1.000000E-30  1.003090E-30  1.038982E-30
     58  9.153304977871E-04  1.013077E-30  1.006053E-30  1.013375E-30  1.020063E-30  1.058527E-30  1.000000E-30  1.003205E-30  1.040425E-30
     59  9.510634923056E-04  1.013590E-30  1.006295E-30  1.013909E-30  1.020871E-30  1.060837E-30  1.000000E-30  1.003325E-30  1.041929E-30
     60  9.888739022907E-04  1.014133E-30  1.006552E-30  1.014475E-30  1.021728E-30  1.063283E-30  1.000000E-30  1.003451E-30  1.043514E-30
     61  1.029744313280E-03  1.014721E-30  1.006831E-30  1.015088E-30  1.022657E-30  1.065930E-30  1.000000E-30  1.003587E-30  1.045221E-30
     62  1.076805333108E-03  1.015397E-30  1.007152E-30  1.015795E-30  1.023729E-30  1.068981E-30  1.000000E-30  1.003743E-30  1.047178E-30
     63  1.127478238084E-03  1.016126E-30  1.007499E-30  1.016558E-30  1.024887E-30  1.072269E-30  1.000000E-30  1.003910E-30  1.049274E-30
