 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
     41  4.138876583201E-04  1.000474E-30  1.000644E-30  1.001238E-30  1.001620E-30  1.001816E-30  1.004832E-30  1.000000E-30  1.013272E-30
     42  4.432651277490E-04  1.000507E-30  1.000689E-30  1.001326E-30  1.001735E-30  1.001945E-30  1.005175E-30  1.000000E-30  1.014212E-30
     43  4.720041568584E-04  1.000540E-30  1.000734E-30  1.001412E-30  1.001847E-30  1.002071E-30  1.005510E-30  1.000000E-30  1.015131E-30
     44  5.002792532552E-04  1.000573E-30  1.000778E-30  1.001496E-30  1.001958E-30  1.002195E-30  1.005840E-30  1.000000E-30  1.016035E-30
     45  5.282472522620E-04  1.000605E-30  1.000821E-30  1.001580E-30  1.002067E-30  1.002317E-30  1.006166E-30  1.000000E-30  1.016930E-30
     46  5.560479783168E-04  1.000636E-30  1.000865E-30  1.001663E-30  1.002176E-30  1.002439E-30  1.006490E-30  1.000000E-30  1.017818E-30
     47  5.838060709037E-04  1.000668E-30  1.000908E-30  1.001746E-30  1.002285E-30  1.002561E-30  1.006814E-30  1.000000E-30  1.018705E-30
     48  6.116334118686E-04  1.000700E-30  1.000951E-30  1.001829E-30  1.002394E-30  1.002683E-30  1.007139E-30  1.000000E-30  1.019594E-30
     49  6.396318340541E-04  1.000732E-30  1.000995E-30  1.001913E-30  1.002503E-30  1.002806E-30  1.007465E-30  1.000000E-30  1.020488E-30
     50  6.678959636874E-04  1.000764E-30  1.001039E-30  1.001997E-30  1.002614E-30  1.002930E-30  1.007795E-30  1.000000E-30  1.021390E-30
     51  6.965161747902E-04  1.000797E-30  1.001083E-30  1.002083E-30  1.002726E-30  1.003056E-30  1.008128E-30  1.000000E-30  1.022303E-30
     52  7.255817382538E-04  1.000830E-30  1.001128E-30  1.002170E-30  1.002839E-30  1.003183E-30  1.008467E-30  1.000000E-30  1.023231E-30
     53  7.551843574001E-04  1.000864E-30  1.001174E-30  1.002259E-30  1.002955E-30  1.003313E-30  1.008812E-30  1.000000E-30  1.024175E-30
     54  7.854224313090E-04  1.000899E-30  1.001221E-30  1.002349E-30  1.003073E-30  1.003445E-30  1.009164E-30  1.000000E-30  1.025139E-30
     55  8.164066374138E-04  1.000934E-30  1.001269E-30  1.002442E-30  1.003195E-30  1.003581E-30  1.009525E-30  1.000000E-30  1.026127E-30
     56  8.482679080764E-04  1.000971E-30  1.001319E-30  1.002537E-30  1.003319E-30  1.003721E-30  1.009897E-30  1.000000E-30  1.027142E-30
     57  8.811699017317E-04  1.001009E-30  1.001370E-30  1.002635E-30  1.003448E-30  1.003865E-30  1.010280E-30  1.000000E-30  1.028190E-30
     58  9.153304977871E-04  1.001048E-30  1.001423E-30  1.002738E-30  1.003581E-30  1.004015E-30  1.010678E-30  1.000000E-30  1.029278E-30
     59  9.510634923056E-04  1.001089E-30  1.001479E-30  1.002845E-30  1.003721E-30  1.004172E-30  1.011094E-30  1.000000E-30  1.030415E-30
     60  9.888739022907E-04  1.001132E-30  1.001538E-30  1.002958E-30  1.003869E-30  1.004338E-30  1.011535E-30  1.000000E-30  1.031619E-30
     61  1.029744313280E-03  1.001179E-30  1.001601E-30  1.003080E-30  1.004029E-30  1.004517E-30  1.012011E-30  1.000000E-30  1.032919E-30
     62  1.076805333108E-03  1.001232E-30  1.001674E-30  1.003221E-30  1.004213E-30  1.004723E-30  1.012559E-30  1.000000E-30  1.034415E-30
     63  1.127478238084E-03  1.001290E-30  1.001753E-30  1.003372E-30  1.004411E-30  1.004945E-30  1.013149E-30  1.000000E-30  1.036025E-30
     64  1.179263354774E-03  1.001350E-30  1.001834E-30  1.003527E-30  1.004613E-30  1.005173E-30  1.013751E-30  1.000000E-30  1.037670E-30
     65  1.231720185468E-03  1.001410E-30  1.001915E-30  1.003684E-30  1.004818E-30  1.005403E-30  1.014362E-30  1.000000E-30  1.039335E-30
     66  1.284679788904E-03  1.001470E-30  1.001997E-30  1.003843E-30  1.005025E-30  1.005635E-30  1.014978E-30  1.000000E-30  1.041016E-30
     67  1.338068714676E-03  1.001531E-30  1.002080E-30  1.004002E-30  1.005234E-30  1.005869E-30  1.015599E-30  1.000000E-30  1.042709E-30
     68  1.391852718980E-03  1.001593E-30  1.002164E-30  1.004163E-30  1.005444E-30  1.006105E-30  1.016225E-30  1.000000E-30  1.044413E-30
     69  1.446014888479E-03  1.001655E-30  1.002248E-30  1.004326E-30  1.005656E-30  1.006342E-30  1.016855E-30  1.000000E-30  1.046129E-30
     70  1.500546342624E-03  1.001717E-30  1.002333E-30  1.004489E-30  1.005869E-30  1.006581E-30  1.017489E-30  1.000000E-30  1.047856E-30
     71  1.555442065896E-03  1.001780E-30  1.002418E-30  1.004653E-30  1.006083E-30  1.006822E-30  1.018127E-30  1.000000E-30  1.049593E-30
     72  1.610698967280E-03  1.001843E-30  1.002504E-30  1.004818E-30  1.006299E-30  1.007064E-30  1.018770E-30  1.000000E-30  1.051340E-30
     73  1.666314948699E-03  1.001907E-30  1.002590E-30  1.004985E-30  1.006517E-30  1.007308E-30  1.019416E-30  1.000000E-30  1.053098E-30
