 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                rb110         rb111         sr73          sr74          sr75          sr76          sr77          sr78 
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004158E-30  1.007550E-30  1.004761E-30  1.000524E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004453E-30  1.008086E-30  1.005100E-30  1.000562E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004741E-30  1.008610E-30  1.005432E-30  1.000598E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005024E-30  1.009126E-30  1.005758E-30  1.000634E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005304E-30  1.009636E-30  1.006081E-30  1.000669E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005583E-30  1.010143E-30  1.006402E-30  1.000705E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005861E-30  1.010650E-30  1.006723E-30  1.000740E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006140E-30  1.011157E-30  1.007045E-30  1.000775E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006420E-30  1.011668E-30  1.007368E-30  1.000811E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006703E-30  1.012184E-30  1.007695E-30  1.000846E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006989E-30  1.012706E-30  1.008026E-30  1.000883E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007280E-30  1.013236E-30  1.008363E-30  1.000920E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007576E-30  1.013776E-30  1.008705E-30  1.000957E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007879E-30  1.014327E-30  1.009056E-30  1.000995E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008189E-30  1.014893E-30  1.009415E-30  1.001035E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008507E-30  1.015474E-30  1.009784E-30  1.001075E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008836E-30  1.016074E-30  1.010165E-30  1.001117E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009177E-30  1.016697E-30  1.010562E-30  1.001160E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009534E-30  1.017349E-30  1.010976E-30  1.001206E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009912E-30  1.018038E-30  1.011415E-30  1.001254E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010320E-30  1.018784E-30  1.011890E-30  1.001305E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010789E-30  1.019642E-30  1.012437E-30  1.001365E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011295E-30  1.020567E-30  1.013026E-30  1.001429E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011811E-30  1.021511E-30  1.013628E-30  1.001495E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012334E-30  1.022468E-30  1.014239E-30  1.001562E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012862E-30  1.023434E-30  1.014856E-30  1.001629E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013393E-30  1.024408E-30  1.015478E-30  1.001697E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013929E-30  1.025389E-30  1.016105E-30  1.001765E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014468E-30  1.026377E-30  1.016737E-30  1.001834E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015010E-30  1.027371E-30  1.017374E-30  1.001903E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015556E-30  1.028373E-30  1.018016E-30  1.001973E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016105E-30  1.029381E-30  1.018662E-30  1.002043E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016658E-30  1.030395E-30  1.019312E-30  1.002113E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017213E-30  1.031416E-30  1.019968E-30  1.002184E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017772E-30  1.032443E-30  1.020628E-30  1.002256E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018335E-30  1.033477E-30  1.021292E-30  1.002328E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018900E-30  1.034518E-30  1.021961E-30  1.002400E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019469E-30  1.035564E-30  1.022635E-30  1.002473E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020041E-30  1.036618E-30  1.023313E-30  1.002547E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020617E-30  1.037678E-30  1.023996E-30  1.002620E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021195E-30  1.038744E-30  1.024684E-30  1.002695E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021777E-30  1.039816E-30  1.025376E-30  1.002769E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022362E-30  1.040895E-30  1.026073E-30  1.002845E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022950E-30  1.041981E-30  1.026774E-30  1.002920E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023542E-30  1.043072E-30  1.027480E-30  1.002996E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024136E-30  1.044171E-30  1.028191E-30  1.003073E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024734E-30  1.045275E-30  1.028906E-30  1.003150E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025335E-30  1.046386E-30  1.029626E-30  1.003227E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025939E-30  1.047503E-30  1.030350E-30  1.003305E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.026546E-30  1.048627E-30  1.031079E-30  1.003383E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027156E-30  1.049757E-30  1.031813E-30  1.003462E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027770E-30  1.050893E-30  1.032551E-30  1.003541E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028386E-30  1.052035E-30  1.033294E-30  1.003621E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.029006E-30  1.053184E-30  1.034042E-30  1.003701E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.029628E-30  1.054339E-30  1.034794E-30  1.003782E-30
