 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                re207         re208         re209         re210         re211         re212         re213         re214
     41  4.138876583201E-04  1.003295E-30  1.000000E-30  1.003611E-30  1.001985E-30  1.002273E-30  1.000993E-30  1.001903E-30  1.001131E-30
     42  4.432651277490E-04  1.003529E-30  1.000000E-30  1.003868E-30  1.002126E-30  1.002435E-30  1.001064E-30  1.002039E-30  1.001213E-30
     43  4.720041568584E-04  1.003758E-30  1.000000E-30  1.004119E-30  1.002265E-30  1.002592E-30  1.001134E-30  1.002172E-30  1.001292E-30
     44  5.002792532552E-04  1.003983E-30  1.000000E-30  1.004366E-30  1.002401E-30  1.002747E-30  1.001204E-30  1.002303E-30  1.001371E-30
     45  5.282472522620E-04  1.004205E-30  1.000000E-30  1.004610E-30  1.002536E-30  1.002901E-30  1.001272E-30  1.002432E-30  1.001449E-30
     46  5.560479783168E-04  1.004426E-30  1.000000E-30  1.004853E-30  1.002670E-30  1.003053E-30  1.001341E-30  1.002561E-30  1.001526E-30
     47  5.838060709037E-04  1.004647E-30  1.000000E-30  1.005096E-30  1.002805E-30  1.003206E-30  1.001409E-30  1.002690E-30  1.001603E-30
     48  6.116334118686E-04  1.004868E-30  1.000000E-30  1.005339E-30  1.002939E-30  1.003358E-30  1.001478E-30  1.002819E-30  1.001681E-30
     49  6.396318340541E-04  1.005091E-30  1.000000E-30  1.005583E-30  1.003074E-30  1.003512E-30  1.001547E-30  1.002949E-30  1.001759E-30
     50  6.678959636874E-04  1.005315E-30  1.000000E-30  1.005830E-30  1.003211E-30  1.003667E-30  1.001617E-30  1.003080E-30  1.001838E-30
     51  6.965161747902E-04  1.005543E-30  1.000000E-30  1.006081E-30  1.003350E-30  1.003824E-30  1.001688E-30  1.003213E-30  1.001919E-30
     52  7.255817382538E-04  1.005774E-30  1.000000E-30  1.006335E-30  1.003491E-30  1.003983E-30  1.001760E-30  1.003348E-30  1.002000E-30
     53  7.551843574001E-04  1.006009E-30  1.000000E-30  1.006593E-30  1.003634E-30  1.004146E-30  1.001834E-30  1.003486E-30  1.002083E-30
     54  7.854224313090E-04  1.006249E-30  1.000000E-30  1.006858E-30  1.003781E-30  1.004311E-30  1.001910E-30  1.003626E-30  1.002169E-30
     55  8.164066374138E-04  1.006496E-30  1.000000E-30  1.007129E-30  1.003931E-30  1.004481E-30  1.001987E-30  1.003771E-30  1.002256E-30
     56  8.482679080764E-04  1.006749E-30  1.000000E-30  1.007407E-30  1.004086E-30  1.004656E-30  1.002067E-30  1.003919E-30  1.002346E-30
     57  8.811699017317E-04  1.007010E-30  1.000000E-30  1.007695E-30  1.004246E-30  1.004836E-30  1.002150E-30  1.004073E-30  1.002439E-30
     58  9.153304977871E-04  1.007281E-30  1.000000E-30  1.007994E-30  1.004412E-30  1.005024E-30  1.002236E-30  1.004232E-30  1.002536E-30
     59  9.510634923056E-04  1.007565E-30  1.000000E-30  1.008307E-30  1.004586E-30  1.005219E-30  1.002326E-30  1.004399E-30  1.002637E-30
     60  9.888739022907E-04  1.007865E-30  1.000000E-30  1.008637E-30  1.004770E-30  1.005427E-30  1.002422E-30  1.004576E-30  1.002745E-30
     61  1.029744313280E-03  1.008190E-30  1.000000E-30  1.008995E-30  1.004969E-30  1.005651E-30  1.002526E-30  1.004767E-30  1.002861E-30
     62  1.076805333108E-03  1.008563E-30  1.000000E-30  1.009407E-30  1.005199E-30  1.005908E-30  1.002646E-30  1.004987E-30  1.002996E-30
     63  1.127478238084E-03  1.008965E-30  1.000000E-30  1.009851E-30  1.005446E-30  1.006186E-30  1.002775E-30  1.005225E-30  1.003141E-30
     64  1.179263354774E-03  1.009376E-30  1.000000E-30  1.010304E-30  1.005699E-30  1.006470E-30  1.002908E-30  1.005468E-30  1.003289E-30
     65  1.231720185468E-03  1.009792E-30  1.000000E-30  1.010763E-30  1.005956E-30  1.006757E-30  1.003044E-30  1.005715E-30  1.003440E-30
     66  1.284679788904E-03  1.010213E-30  1.000000E-30  1.011227E-30  1.006215E-30  1.007047E-30  1.003181E-30  1.005964E-30  1.003593E-30
     67  1.338068714676E-03  1.010636E-30  1.000000E-30  1.011695E-30  1.006477E-30  1.007339E-30  1.003319E-30  1.006215E-30  1.003748E-30
     68  1.391852718980E-03  1.011062E-30  1.000000E-30  1.012166E-30  1.006741E-30  1.007634E-30  1.003459E-30  1.006468E-30  1.003904E-30
     69  1.446014888479E-03  1.011492E-30  1.000000E-30  1.012641E-30  1.007007E-30  1.007930E-30  1.003601E-30  1.006724E-30  1.004061E-30
