 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                te136         te137         te138         te139         te140         te141         te142         te143
     41  4.138876583201E-04  1.000295E-30  1.000158E-30  1.006779E-30  1.000595E-30  1.006592E-30  1.001525E-30  1.003743E-30  1.006985E-30
     42  4.432651277490E-04  1.000316E-30  1.000169E-30  1.007260E-30  1.000637E-30  1.007060E-30  1.001633E-30  1.004008E-30  1.007479E-30
     43  4.720041568584E-04  1.000336E-30  1.000180E-30  1.007731E-30  1.000678E-30  1.007517E-30  1.001739E-30  1.004267E-30  1.007963E-30
     44  5.002792532552E-04  1.000356E-30  1.000191E-30  1.008194E-30  1.000719E-30  1.007967E-30  1.001843E-30  1.004523E-30  1.008439E-30
     45  5.282472522620E-04  1.000376E-30  1.000202E-30  1.008652E-30  1.000759E-30  1.008412E-30  1.001946E-30  1.004775E-30  1.008910E-30
     46  5.560479783168E-04  1.000396E-30  1.000213E-30  1.009107E-30  1.000799E-30  1.008855E-30  1.002048E-30  1.005026E-30  1.009378E-30
     47  5.838060709037E-04  1.000416E-30  1.000223E-30  1.009562E-30  1.000839E-30  1.009297E-30  1.002150E-30  1.005276E-30  1.009844E-30
     48  6.116334118686E-04  1.000436E-30  1.000234E-30  1.010017E-30  1.000879E-30  1.009739E-30  1.002253E-30  1.005527E-30  1.010312E-30
     49  6.396318340541E-04  1.000456E-30  1.000245E-30  1.010476E-30  1.000919E-30  1.010185E-30  1.002355E-30  1.005780E-30  1.010783E-30
     50  6.678959636874E-04  1.000476E-30  1.000255E-30  1.010939E-30  1.000960E-30  1.010635E-30  1.002459E-30  1.006035E-30  1.011258E-30
     51  6.965161747902E-04  1.000496E-30  1.000266E-30  1.011407E-30  1.001001E-30  1.011090E-30  1.002565E-30  1.006293E-30  1.011739E-30
     52  7.255817382538E-04  1.000517E-30  1.000277E-30  1.011883E-30  1.001042E-30  1.011552E-30  1.002671E-30  1.006555E-30  1.012227E-30
     53  7.551843574001E-04  1.000538E-30  1.000289E-30  1.012368E-30  1.001085E-30  1.012023E-30  1.002780E-30  1.006821E-30  1.012724E-30
     54  7.854224313090E-04  1.000559E-30  1.000300E-30  1.012863E-30  1.001128E-30  1.012504E-30  1.002891E-30  1.007094E-30  1.013232E-30
     55  8.164066374138E-04  1.000581E-30  1.000312E-30  1.013371E-30  1.001173E-30  1.012997E-30  1.003005E-30  1.007373E-30  1.013752E-30
     56  8.482679080764E-04  1.000604E-30  1.000324E-30  1.013892E-30  1.001219E-30  1.013504E-30  1.003122E-30  1.007660E-30  1.014287E-30
     57  8.811699017317E-04  1.000628E-30  1.000337E-30  1.014431E-30  1.001266E-30  1.014027E-30  1.003243E-30  1.007956E-30  1.014838E-30
     58  9.153304977871E-04  1.000652E-30  1.000350E-30  1.014990E-30  1.001315E-30  1.014570E-30  1.003368E-30  1.008264E-30  1.015411E-30
     59  9.510634923056E-04  1.000678E-30  1.000364E-30  1.015575E-30  1.001366E-30  1.015138E-30  1.003500E-30  1.008585E-30  1.016010E-30
