 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                gd189         gd190         gd191         tb142         tb143         tb144         tb145         tb146
     27  8.489118412102E-05  1.002305E-30  1.004488E-30  1.000000E-30  1.000000E-30  1.000014E-30  1.000000E-30  1.000003E-30  1.000000E-30
     28  9.570255892797E-05  1.002598E-30  1.005058E-30  1.000000E-30  1.000000E-30  1.000016E-30  1.000000E-30  1.000003E-30  1.000000E-30
     29  1.070853065563E-04  1.002906E-30  1.005658E-30  1.000000E-30  1.000000E-30  1.000018E-30  1.000000E-30  1.000004E-30  1.000000E-30
     30  1.190882425669E-04  1.003231E-30  1.006291E-30  1.000000E-30  1.000000E-30  1.000020E-30  1.000000E-30  1.000004E-30  1.000000E-30
     31  1.366291075688E-04  1.003706E-30  1.007214E-30  1.000000E-30  1.000000E-30  1.000023E-30  1.000000E-30  1.000005E-30  1.000000E-30
     32  1.695708820900E-04  1.004597E-30  1.008947E-30  1.000000E-30  1.000000E-30  1.000028E-30  1.000000E-30  1.000006E-30  1.000000E-30
     33  1.992873377730E-04  1.005399E-30  1.010507E-30  1.000000E-30  1.000000E-30  1.000033E-30  1.000000E-30  1.000007E-30  1.000000E-30
     34  2.264248739983E-04  1.006131E-30  1.011930E-30  1.000000E-30  1.000000E-30  1.000038E-30  1.000000E-30  1.000008E-30  1.000000E-30
     35  2.515933231106E-04  1.006810E-30  1.013247E-30  1.000000E-30  1.000000E-30  1.000042E-30  1.000000E-30  1.000009E-30  1.000000E-30
     36  2.753099894686E-04  1.007448E-30  1.014488E-30  1.000000E-30  1.000000E-30  1.000046E-30  1.000000E-30  1.000010E-30  1.000000E-30
     37  2.979926919870E-04  1.008058E-30  1.015673E-30  1.000000E-30  1.000000E-30  1.000050E-30  1.000000E-30  1.000011E-30  1.000000E-30
     38  3.199702121451E-04  1.008649E-30  1.016820E-30  1.000000E-30  1.000000E-30  1.000053E-30  1.000000E-30  1.000012E-30  1.000000E-30
     39  3.524429751724E-04  1.009521E-30  1.018512E-30  1.000000E-30  1.000000E-30  1.000059E-30  1.000000E-30  1.000013E-30  1.000000E-30
     40  3.836809895565E-04  1.010359E-30  1.020138E-30  1.000000E-30  1.000000E-30  1.000064E-30  1.000000E-30  1.000014E-30  1.000000E-30
     41  4.138876583201E-04  1.011168E-30  1.021707E-30  1.000000E-30  1.000000E-30  1.000069E-30  1.000000E-30  1.000015E-30  1.000000E-30
     42  4.432651277490E-04  1.011954E-30  1.023231E-30  1.000000E-30  1.000000E-30  1.000074E-30  1.000000E-30  1.000016E-30  1.000000E-30
     43  4.720041568584E-04  1.012722E-30  1.024720E-30  1.000000E-30  1.000000E-30  1.000078E-30  1.000000E-30  1.000017E-30  1.000000E-30
     44  5.002792532552E-04  1.013477E-30  1.026183E-30  1.000000E-30  1.000000E-30  1.000083E-30  1.000000E-30  1.000018E-30  1.000000E-30
     45  5.282472522620E-04  1.014223E-30  1.027628E-30  1.000000E-30  1.000000E-30  1.000088E-30  1.000000E-30  1.000019E-30  1.000000E-30
     46  5.560479783168E-04  1.014963E-30  1.029062E-30  1.000000E-30  1.000000E-30  1.000092E-30  1.000000E-30  1.000020E-30  1.000000E-30
     47  5.838060709037E-04  1.015702E-30  1.030492E-30  1.000000E-30  1.000000E-30  1.000097E-30  1.000000E-30  1.000021E-30  1.000000E-30
     48  6.116334118686E-04  1.016442E-30  1.031924E-30  1.000000E-30  1.000000E-30  1.000102E-30  1.000000E-30  1.000022E-30  1.000000E-30
     49  6.396318340541E-04  1.017185E-30  1.033363E-30  1.000000E-30  1.000000E-30  1.000106E-30  1.000000E-30  1.000023E-30  1.000000E-30
     50  6.678959636874E-04  1.017935E-30  1.034813E-30  1.000000E-30  1.000000E-30  1.000111E-30  1.000000E-30  1.000024E-30  1.000000E-30
     51  6.965161747902E-04  1.018693E-30  1.036280E-30  1.000000E-30  1.000000E-30  1.000116E-30  1.000000E-30  1.000025E-30  1.000000E-30
     52  7.255817382538E-04  1.019462E-30  1.037767E-30  1.000000E-30  1.000000E-30  1.000121E-30  1.000000E-30  1.000026E-30  1.000000E-30
     53  7.551843574001E-04  1.020245E-30  1.039280E-30  1.000000E-30  1.000000E-30  1.000125E-30  1.000000E-30  1.000027E-30  1.000000E-30
     54  7.854224313090E-04  1.021044E-30  1.040823E-30  1.000000E-30  1.000000E-30  1.000130E-30  1.000000E-30  1.000029E-30  1.000000E-30
     55  8.164066374138E-04  1.021861E-30  1.042401E-30  1.000000E-30  1.000000E-30  1.000136E-30  1.000000E-30  1.000030E-30  1.000000E-30
     56  8.482679080764E-04  1.022700E-30  1.044022E-30  1.000000E-30  1.000000E-30  1.000141E-30  1.000000E-30  1.000031E-30  1.000000E-30
     57  8.811699017317E-04  1.023566E-30  1.045693E-30  1.000000E-30  1.000000E-30  1.000146E-30  1.000000E-30  1.000032E-30  1.000000E-30
     58  9.153304977871E-04  1.024464E-30  1.047425E-30  1.000000E-30  1.000000E-30  1.000152E-30  1.000000E-30  1.000033E-30  1.000000E-30
     59  9.510634923056E-04  1.025401E-30  1.049234E-30  1.000000E-30  1.000000E-30  1.000158E-30  1.000000E-30  1.000035E-30  1.000000E-30
     60  9.888739022907E-04  1.026392E-30  1.051144E-30  1.000000E-30  1.000000E-30  1.000164E-30  1.000000E-30  1.000036E-30  1.000000E-30
     61  1.029744313280E-03  1.027462E-30  1.053205E-30  1.000000E-30  1.000000E-30  1.000171E-30  1.000000E-30  1.000037E-30  1.000000E-30
     62  1.076805333108E-03  1.028691E-30  1.055573E-30  1.000000E-30  1.000000E-30  1.000179E-30  1.000000E-30  1.000039E-30  1.000000E-30
     63  1.127478238084E-03  1.030012E-30  1.058117E-30  1.000000E-30  1.000000E-30  1.000187E-30  1.000000E-30  1.000041E-30  1.000000E-30
     64  1.179263354774E-03  1.031360E-30  1.060711E-30  1.000000E-30  1.000000E-30  1.000196E-30  1.000000E-30  1.000043E-30  1.000000E-30
     65  1.231720185468E-03  1.032723E-30  1.063331E-30  1.000000E-30  1.000000E-30  1.000205E-30  1.000000E-30  1.000045E-30  1.000000E-30
     66  1.284679788904E-03  1.034095E-30  1.065969E-30  1.000000E-30  1.000000E-30  1.000213E-30  1.000000E-30  1.000047E-30  1.000000E-30
     67  1.338068714676E-03  1.035476E-30  1.068622E-30  1.000000E-30  1.000000E-30  1.000222E-30  1.000000E-30  1.000049E-30  1.000000E-30
