 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                la165         la166         la167         la168         la169         la170         la171         la172
     41  4.138876583201E-04  1.004108E-30  1.004762E-30  1.013292E-30  1.012675E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.004420E-30  1.005094E-30  1.014221E-30  1.013560E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.004728E-30  1.005419E-30  1.015129E-30  1.014423E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.005034E-30  1.005737E-30  1.016020E-30  1.015270E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.005339E-30  1.006052E-30  1.016900E-30  1.016107E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.005644E-30  1.006363E-30  1.017773E-30  1.016937E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.005951E-30  1.006674E-30  1.018643E-30  1.017763E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.006261E-30  1.006985E-30  1.019514E-30  1.018590E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.006576E-30  1.007297E-30  1.020388E-30  1.019420E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.006895E-30  1.007612E-30  1.021269E-30  1.020257E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.007222E-30  1.007930E-30  1.022160E-30  1.021102E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.007555E-30  1.008252E-30  1.023062E-30  1.021958E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.007898E-30  1.008579E-30  1.023979E-30  1.022828E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.008251E-30  1.008912E-30  1.024915E-30  1.023715E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.008615E-30  1.009253E-30  1.025871E-30  1.024621E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.008992E-30  1.009603E-30  1.026852E-30  1.025551E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.009385E-30  1.009963E-30  1.027863E-30  1.026509E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.009796E-30  1.010337E-30  1.028911E-30  1.027501E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.010229E-30  1.010726E-30  1.030004E-30  1.028536E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.010692E-30  1.011137E-30  1.031158E-30  1.029628E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.011197E-30  1.011580E-30  1.032402E-30  1.030804E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.011784E-30  1.012088E-30  1.033830E-30  1.032155E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.012422E-30  1.012633E-30  1.035363E-30  1.033603E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.013083E-30  1.013188E-30  1.036924E-30  1.035078E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.013759E-30  1.013748E-30  1.038500E-30  1.036566E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.014449E-30  1.014311E-30  1.040085E-30  1.038061E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.015153E-30  1.014877E-30  1.041678E-30  1.039563E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.015869E-30  1.015444E-30  1.043276E-30  1.041070E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.016598E-30  1.016013E-30  1.044880E-30  1.042581E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.017340E-30  1.016584E-30  1.046490E-30  1.044096E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.018095E-30  1.017156E-30  1.048103E-30  1.045615E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.018862E-30  1.017729E-30  1.049722E-30  1.047137E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.019643E-30  1.018304E-30  1.051345E-30  1.048663E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.020436E-30  1.018880E-30  1.052973E-30  1.050192E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.021242E-30  1.019458E-30  1.054604E-30  1.051723E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.022061E-30  1.020036E-30  1.056240E-30  1.053258E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.022893E-30  1.020616E-30  1.057880E-30  1.054796E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.023738E-30  1.021197E-30  1.059524E-30  1.056337E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.024597E-30  1.021779E-30  1.061171E-30  1.057880E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.025468E-30  1.022362E-30  1.062822E-30  1.059426E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.026353E-30  1.022945E-30  1.064477E-30  1.060974E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.027252E-30  1.023530E-30  1.066135E-30  1.062525E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.028163E-30  1.024116E-30  1.067797E-30  1.064077E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.029088E-30  1.024703E-30  1.069462E-30  1.065632E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.030027E-30  1.025290E-30  1.071130E-30  1.067189E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.030979E-30  1.025878E-30  1.072801E-30  1.068748E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.031945E-30  1.026467E-30  1.074475E-30  1.070308E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.032924E-30  1.027057E-30  1.076151E-30  1.071871E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.033917E-30  1.027647E-30  1.077831E-30  1.073434E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.034923E-30  1.028238E-30  1.079513E-30  1.075000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.035944E-30  1.028830E-30  1.081197E-30  1.076566E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.036978E-30  1.029422E-30  1.082884E-30  1.078134E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.038025E-30  1.030015E-30  1.084574E-30  1.079703E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.039087E-30  1.030608E-30  1.086265E-30  1.081273E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.040163E-30  1.031201E-30  1.087959E-30  1.082844E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
