 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                p24           p25           p26           p27           p28           p29           p30           p31  
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.001776E-30  1.017396E-30  1.001418E-30  1.001484E-30  1.000000E-30  1.000112E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.001902E-30  1.018630E-30  1.001533E-30  1.001590E-30  1.000000E-30  1.000120E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.002024E-30  1.019837E-30  1.001647E-30  1.001695E-30  1.000000E-30  1.000127E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.002145E-30  1.021024E-30  1.001761E-30  1.001798E-30  1.000000E-30  1.000135E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.002265E-30  1.022199E-30  1.001875E-30  1.001900E-30  1.000000E-30  1.000143E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.002383E-30  1.023366E-30  1.001990E-30  1.002002E-30  1.000000E-30  1.000150E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.002502E-30  1.024532E-30  1.002107E-30  1.002103E-30  1.000000E-30  1.000158E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.002620E-30  1.025700E-30  1.002226E-30  1.002206E-30  1.000000E-30  1.000165E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.002740E-30  1.026876E-30  1.002347E-30  1.002308E-30  1.000000E-30  1.000173E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.002860E-30  1.028062E-30  1.002471E-30  1.002413E-30  1.000000E-30  1.000180E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.002982E-30  1.029264E-30  1.002599E-30  1.002518E-30  1.000000E-30  1.000188E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.003106E-30  1.030484E-30  1.002730E-30  1.002625E-30  1.000000E-30  1.000196E-30
