 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                xe151         xe152         xe153         xe154         xe155         xe156         xe157         xe158
     41  4.138876583201E-04  1.006833E-30  1.008721E-30  1.013210E-30  1.015000E-30  1.021307E-30  1.022657E-30  1.031129E-30  1.040974E-30
     42  4.432651277490E-04  1.007319E-30  1.009344E-30  1.014150E-30  1.016068E-30  1.022809E-30  1.024249E-30  1.033311E-30  1.043835E-30
     43  4.720041568584E-04  1.007795E-30  1.009954E-30  1.015070E-30  1.017113E-30  1.024277E-30  1.025804E-30  1.035441E-30  1.046628E-30
     44  5.002792532552E-04  1.008264E-30  1.010555E-30  1.015976E-30  1.018142E-30  1.025720E-30  1.027332E-30  1.037534E-30  1.049371E-30
     45  5.282472522620E-04  1.008727E-30  1.011149E-30  1.016872E-30  1.019159E-30  1.027146E-30  1.028842E-30  1.039601E-30  1.052077E-30
     46  5.560479783168E-04  1.009188E-30  1.011741E-30  1.017763E-30  1.020171E-30  1.028563E-30  1.030340E-30  1.041652E-30  1.054763E-30
     47  5.838060709037E-04  1.009649E-30  1.012332E-30  1.018652E-30  1.021182E-30  1.029976E-30  1.031834E-30  1.043697E-30  1.057438E-30
     48  6.116334118686E-04  1.010111E-30  1.012925E-30  1.019545E-30  1.022196E-30  1.031391E-30  1.033330E-30  1.045744E-30  1.060115E-30
     49  6.396318340541E-04  1.010576E-30  1.013522E-30  1.020443E-30  1.023216E-30  1.032814E-30  1.034834E-30  1.047800E-30  1.062803E-30
     50  6.678959636874E-04  1.011045E-30  1.014125E-30  1.021350E-30  1.024246E-30  1.034249E-30  1.036349E-30  1.049872E-30  1.065510E-30
     51  6.965161747902E-04  1.011521E-30  1.014736E-30  1.022269E-30  1.025290E-30  1.035700E-30  1.037882E-30  1.051967E-30  1.068246E-30
     52  7.255817382538E-04  1.012004E-30  1.015357E-30  1.023202E-30  1.026350E-30  1.037173E-30  1.039437E-30  1.054091E-30  1.071019E-30
     53  7.551843574001E-04  1.012496E-30  1.015991E-30  1.024153E-30  1.027430E-30  1.038672E-30  1.041018E-30  1.056251E-30  1.073837E-30
     54  7.854224313090E-04  1.012999E-30  1.016638E-30  1.025125E-30  1.028534E-30  1.040202E-30  1.042631E-30  1.058453E-30  1.076709E-30
     55  8.164066374138E-04  1.013515E-30  1.017302E-30  1.026121E-30  1.029665E-30  1.041768E-30  1.044281E-30  1.060706E-30  1.079646E-30
