 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                p40           p41           p42           p43           p44           p45           p46           s26  
     41  4.138876583201E-04  1.005736E-30  1.002213E-30  1.000000E-30  1.013360E-30  1.000000E-30  1.000000E-30  1.000419E-30  1.000000E-30
     42  4.432651277490E-04  1.006162E-30  1.002370E-30  1.000000E-30  1.014304E-30  1.000000E-30  1.000000E-30  1.000369E-30  1.000000E-30
     43  4.720041568584E-04  1.006581E-30  1.002523E-30  1.000000E-30  1.015227E-30  1.000000E-30  1.000000E-30  1.000332E-30  1.000000E-30
     44  5.002792532552E-04  1.006995E-30  1.002674E-30  1.000000E-30  1.016135E-30  1.000000E-30  1.000000E-30  1.000306E-30  1.000000E-30
     45  5.282472522620E-04  1.007407E-30  1.002823E-30  1.000000E-30  1.017032E-30  1.000000E-30  1.000000E-30  1.000289E-30  1.000000E-30
     46  5.560479783168E-04  1.007819E-30  1.002972E-30  1.000000E-30  1.017924E-30  1.000000E-30  1.000000E-30  1.000280E-30  1.000000E-30
     47  5.838060709037E-04  1.008233E-30  1.003120E-30  1.000000E-30  1.018814E-30  1.000000E-30  1.000000E-30  1.000278E-30  1.000000E-30
     48  6.116334118686E-04  1.008649E-30  1.003268E-30  1.000000E-30  1.019705E-30  1.000000E-30  1.000000E-30  1.000282E-30  1.000000E-30
     49  6.396318340541E-04  1.009071E-30  1.003418E-30  1.000000E-30  1.020602E-30  1.000000E-30  1.000000E-30  1.000291E-30  1.000000E-30
     50  6.678959636874E-04  1.009498E-30  1.003568E-30  1.000000E-30  1.021507E-30  1.000000E-30  1.000000E-30  1.000306E-30  1.000000E-30
     51  6.965161747902E-04  1.009934E-30  1.003721E-30  1.000000E-30  1.022422E-30  1.000000E-30  1.000000E-30  1.000326E-30  1.000000E-30
     52  7.255817382538E-04  1.010378E-30  1.003876E-30  1.000000E-30  1.023351E-30  1.000000E-30  1.000000E-30  1.000351E-30  1.000000E-30
     53  7.551843574001E-04  1.010834E-30  1.004033E-30  1.000000E-30  1.024297E-30  1.000000E-30  1.000000E-30  1.000383E-30  1.000000E-30
     54  7.854224313090E-04  1.011301E-30  1.004194E-30  1.000000E-30  1.025263E-30  1.000000E-30  1.000000E-30  1.000421E-30  1.000000E-30
     55  8.164066374138E-04  1.011783E-30  1.004359E-30  1.000000E-30  1.026252E-30  1.000000E-30  1.000000E-30  1.000468E-30  1.000000E-30
     56  8.482679080764E-04  1.012281E-30  1.004529E-30  1.000000E-30  1.027268E-30  1.000000E-30  1.000000E-30  1.000524E-30  1.000000E-30
     57  8.811699017317E-04  1.012798E-30  1.004704E-30  1.000000E-30  1.028317E-30  1.000000E-30  1.000000E-30  1.000591E-30  1.000000E-30
     58  9.153304977871E-04  1.013339E-30  1.004886E-30  1.000000E-30  1.029405E-30  1.000000E-30  1.000000E-30  1.000674E-30  1.000000E-30
     59  9.510634923056E-04  1.013908E-30  1.005076E-30  1.000000E-30  1.030543E-30  1.000000E-30  1.000000E-30  1.000775E-30  1.000000E-30
     60  9.888739022907E-04  1.014514E-30  1.005277E-30  1.000000E-30  1.031746E-30  1.000000E-30  1.000000E-30  1.000902E-30  1.000000E-30
     61  1.029744313280E-03  1.015173E-30  1.005494E-30  1.000000E-30  1.033045E-30  1.000000E-30  1.000000E-30  1.001059E-30  1.000000E-30
     62  1.076805333108E-03  1.015938E-30  1.005745E-30  1.000000E-30  1.034540E-30  1.000000E-30  1.000000E-30  1.001188E-30  1.000000E-30
     63  1.127478238084E-03  1.016769E-30  1.006014E-30  1.000000E-30  1.036148E-30  1.000000E-30  1.000000E-30  1.001102E-30  1.000000E-30
     64  1.179263354774E-03  1.017625E-30  1.006289E-30  1.000000E-30  1.037790E-30  1.000000E-30  1.000000E-30  1.001046E-30  1.000000E-30
     65  1.231720185468E-03  1.018500E-30  1.006568E-30  1.000000E-30  1.039451E-30  1.000000E-30  1.000000E-30  1.001006E-30  1.000000E-30
     66  1.284679788904E-03  1.019392E-30  1.006849E-30  1.000000E-30  1.041127E-30  1.000000E-30  1.000000E-30  1.000973E-30  1.000000E-30
     67  1.338068714676E-03  1.020298E-30  1.007132E-30  1.000000E-30  1.042814E-30  1.000000E-30  1.000000E-30  1.000942E-30  1.000000E-30
     68  1.391852718980E-03  1.021219E-30  1.007417E-30  1.000000E-30  1.044513E-30  1.000000E-30  1.000000E-30  1.000911E-30  1.000000E-30
     69  1.446014888479E-03  1.022155E-30  1.007704E-30  1.000000E-30  1.046221E-30  1.000000E-30  1.000000E-30  1.000880E-30  1.000000E-30
     70  1.500546342624E-03  1.023105E-30  1.007994E-30  1.000000E-30  1.047939E-30  1.000000E-30  1.000000E-30  1.000849E-30  1.000000E-30
     71  1.555442065896E-03  1.024070E-30  1.008284E-30  1.000000E-30  1.049667E-30  1.000000E-30  1.000000E-30  1.000816E-30  1.000000E-30
     72  1.610698967280E-03  1.025050E-30  1.008577E-30  1.000000E-30  1.051405E-30  1.000000E-30  1.000000E-30  1.000781E-30  1.000000E-30
     73  1.666314948699E-03  1.026045E-30  1.008871E-30  1.000000E-30  1.053152E-30  1.000000E-30  1.000000E-30  1.000746E-30  1.000000E-30
     74  1.722288445659E-03  1.027055E-30  1.009168E-30  1.000000E-30  1.054908E-30  1.000000E-30  1.000000E-30  1.000709E-30  1.000000E-30
     75  1.778618195039E-03  1.028080E-30  1.009466E-30  1.000000E-30  1.056674E-30  1.000000E-30  1.000000E-30  1.000670E-30  1.000000E-30
     76  1.835303663832E-03  1.029120E-30  1.009765E-30  1.000000E-30  1.058449E-30  1.000000E-30  1.000000E-30  1.000630E-30  1.000000E-30
     77  1.892344396716E-03  1.030175E-30  1.010067E-30  1.000000E-30  1.060233E-30  1.000000E-30  1.000000E-30  1.000589E-30  1.000000E-30
     78  1.949739812628E-03  1.031247E-30  1.010370E-30  1.000000E-30  1.062026E-30  1.000000E-30  1.000000E-30  1.000546E-30  1.000000E-30
     79  2.007489276907E-03  1.032333E-30  1.010675E-30  1.000000E-30  1.063829E-30  1.000000E-30  1.000000E-30  1.000501E-30  1.000000E-30
     80  2.065592139419E-03  1.033436E-30  1.010982E-30  1.000000E-30  1.065640E-30  1.000000E-30  1.000000E-30  1.000455E-30  1.000000E-30
     81  2.124047755162E-03  1.034555E-30  1.011291E-30  1.000000E-30  1.067461E-30  1.000000E-30  1.000000E-30  1.000408E-30  1.000000E-30
     82  2.182855495215E-03  1.035690E-30  1.011601E-30  1.000000E-30  1.069290E-30  1.000000E-30  1.000000E-30  1.000359E-30  1.000000E-30
     83  2.242014752368E-03  1.036841E-30  1.011913E-30  1.000000E-30  1.071128E-30  1.000000E-30  1.000000E-30  1.000308E-30  1.000000E-30
     84  2.301524943777E-03  1.038009E-30  1.012226E-30  1.000000E-30  1.072975E-30  1.000000E-30  1.000000E-30  1.000257E-30  1.000000E-30
     85  2.361385511936E-03  1.039193E-30  1.012542E-30  1.000000E-30  1.074831E-30  1.000000E-30  1.000000E-30  1.000203E-30  1.000000E-30
     86  2.421595924701E-03  1.040394E-30  1.012859E-30  1.000000E-30  1.076696E-30  1.000000E-30  1.000000E-30  1.000149E-30  1.000000E-30
     87  2.482155674804E-03  1.041612E-30  1.013178E-30  1.000000E-30  1.078569E-30  1.000000E-30  1.000000E-30  1.000093E-30  1.000000E-30
     88  2.543064279071E-03  1.042846E-30  1.013498E-30  1.000000E-30  1.080450E-30  1.000000E-30  1.000000E-30  1.000035E-30  1.000000E-30
     89  2.604321277494E-03  1.044098E-30  1.013821E-30  1.000000E-30  1.082341E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.045368E-30  1.014144E-30  1.000000E-30  1.084240E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.046655E-30  1.014470E-30  1.000000E-30  1.086147E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.047959E-30  1.014797E-30  1.000000E-30  1.088063E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.049281E-30  1.015126E-30  1.000000E-30  1.089987E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.050621E-30  1.015457E-30  1.000000E-30  1.091920E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.051979E-30  1.015789E-30  1.000000E-30  1.093860E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
