 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                in126         in127         in128         in129         in130         in131         in132         in133
     41  4.138876583201E-04  1.000378E-30  1.000513E-30  1.000685E-30  1.000595E-30  1.000879E-30  1.003199E-30  1.001579E-30  1.000000E-30
     42  4.432651277490E-04  1.000405E-30  1.000550E-30  1.000734E-30  1.000637E-30  1.000941E-30  1.003427E-30  1.001691E-30  1.000000E-30
     43  4.720041568584E-04  1.000432E-30  1.000585E-30  1.000781E-30  1.000679E-30  1.001003E-30  1.003649E-30  1.001802E-30  1.000000E-30
     44  5.002792532552E-04  1.000457E-30  1.000621E-30  1.000828E-30  1.000720E-30  1.001063E-30  1.003868E-30  1.001910E-30  1.000000E-30
     45  5.282472522620E-04  1.000483E-30  1.000655E-30  1.000875E-30  1.000760E-30  1.001123E-30  1.004085E-30  1.002017E-30  1.000000E-30
     46  5.560479783168E-04  1.000509E-30  1.000690E-30  1.000921E-30  1.000800E-30  1.001182E-30  1.004300E-30  1.002124E-30  1.000000E-30
     47  5.838060709037E-04  1.000534E-30  1.000725E-30  1.000967E-30  1.000841E-30  1.001242E-30  1.004515E-30  1.002231E-30  1.000000E-30
     48  6.116334118686E-04  1.000559E-30  1.000759E-30  1.001014E-30  1.000881E-30  1.001301E-30  1.004731E-30  1.002338E-30  1.000000E-30
     49  6.396318340541E-04  1.000585E-30  1.000794E-30  1.001060E-30  1.000921E-30  1.001361E-30  1.004948E-30  1.002446E-30  1.000000E-30
     50  6.678959636874E-04  1.000611E-30  1.000829E-30  1.001107E-30  1.000962E-30  1.001422E-30  1.005167E-30  1.002555E-30  1.000000E-30
     51  6.965161747902E-04  1.000637E-30  1.000865E-30  1.001155E-30  1.001004E-30  1.001483E-30  1.005389E-30  1.002665E-30  1.000000E-30
     52  7.255817382538E-04  1.000664E-30  1.000901E-30  1.001203E-30  1.001046E-30  1.001546E-30  1.005615E-30  1.002777E-30  1.000000E-30
     53  7.551843574001E-04  1.000691E-30  1.000938E-30  1.001253E-30  1.001089E-30  1.001609E-30  1.005845E-30  1.002891E-30  1.000000E-30
     54  7.854224313090E-04  1.000719E-30  1.000976E-30  1.001303E-30  1.001133E-30  1.001674E-30  1.006079E-30  1.003008E-30  1.000000E-30
     55  8.164066374138E-04  1.000747E-30  1.001014E-30  1.001355E-30  1.001178E-30  1.001741E-30  1.006320E-30  1.003128E-30  1.000000E-30
     56  8.482679080764E-04  1.000777E-30  1.001054E-30  1.001408E-30  1.001225E-30  1.001809E-30  1.006567E-30  1.003251E-30  1.000000E-30
