 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                os222         os223         os224         os225         os226         ir172         ir173         ir174
     27  8.489118412102E-05  1.000983E-30  1.002893E-30  1.002728E-30  1.002615E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  9.570255892797E-05  1.001108E-30  1.003261E-30  1.003075E-30  1.002947E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  1.070853065563E-04  1.001240E-30  1.003649E-30  1.003439E-30  1.003297E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  1.190882425669E-04  1.001379E-30  1.004057E-30  1.003824E-30  1.003665E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  1.366291075688E-04  1.001581E-30  1.004653E-30  1.004385E-30  1.004203E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  1.695708820900E-04  1.001961E-30  1.005772E-30  1.005438E-30  1.005211E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  1.992873377730E-04  1.002304E-30  1.006780E-30  1.006387E-30  1.006119E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  2.264248739983E-04  1.002616E-30  1.007700E-30  1.007252E-30  1.006946E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  2.515933231106E-04  1.002906E-30  1.008552E-30  1.008054E-30  1.007712E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  2.753099894686E-04  1.003178E-30  1.009355E-30  1.008808E-30  1.008434E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  2.979926919870E-04  1.003439E-30  1.010122E-30  1.009529E-30  1.009122E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  3.199702121451E-04  1.003691E-30  1.010864E-30  1.010226E-30  1.009789E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  3.524429751724E-04  1.004064E-30  1.011961E-30  1.011256E-30  1.010772E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  3.836809895565E-04  1.004421E-30  1.013014E-30  1.012245E-30  1.011715E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  4.138876583201E-04  1.004767E-30  1.014032E-30  1.013199E-30  1.012626E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.005103E-30  1.015021E-30  1.014127E-30  1.013511E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.005431E-30  1.015987E-30  1.015033E-30  1.014375E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.005754E-30  1.016937E-30  1.015923E-30  1.015223E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.006073E-30  1.017876E-30  1.016802E-30  1.016061E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.006389E-30  1.018808E-30  1.017675E-30  1.016892E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.006705E-30  1.019739E-30  1.018546E-30  1.017721E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.007021E-30  1.020670E-30  1.019417E-30  1.018550E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
