 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ru124         ru125         ru126         ru127         ru128         rh89          rh90          rh91 
     41  4.138876583201E-04  1.010534E-30  1.028247E-30  1.028729E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005469E-30
     42  4.432651277490E-04  1.011286E-30  1.030250E-30  1.030760E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005857E-30
     43  4.720041568584E-04  1.012024E-30  1.032209E-30  1.032744E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006237E-30
     44  5.002792532552E-04  1.012750E-30  1.034136E-30  1.034696E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006610E-30
     45  5.282472522620E-04  1.013468E-30  1.036042E-30  1.036625E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006980E-30
     46  5.560479783168E-04  1.014184E-30  1.037936E-30  1.038542E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007347E-30
     47  5.838060709037E-04  1.014898E-30  1.039827E-30  1.040455E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007714E-30
     48  6.116334118686E-04  1.015616E-30  1.041723E-30  1.042371E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008082E-30
     49  6.396318340541E-04  1.016338E-30  1.043630E-30  1.044298E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008452E-30
     50  6.678959636874E-04  1.017068E-30  1.045555E-30  1.046242E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008825E-30
     51  6.965161747902E-04  1.017807E-30  1.047504E-30  1.048210E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009203E-30
     52  7.255817382538E-04  1.018559E-30  1.049483E-30  1.050207E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009587E-30
     53  7.551843574001E-04  1.019326E-30  1.051498E-30  1.052240E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009979E-30
     54  7.854224313090E-04  1.020110E-30  1.053557E-30  1.054315E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010378E-30
     55  8.164066374138E-04  1.020914E-30  1.055665E-30  1.056440E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010787E-30
     56  8.482679080764E-04  1.021742E-30  1.057834E-30  1.058623E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011208E-30
     57  8.811699017317E-04  1.022598E-30  1.060072E-30  1.060877E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011643E-30
     58  9.153304977871E-04  1.023488E-30  1.062396E-30  1.063215E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012095E-30
     59  9.510634923056E-04  1.024420E-30  1.064826E-30  1.065659E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012567E-30
     60  9.888739022907E-04  1.025408E-30  1.067398E-30  1.068244E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013066E-30
     61  1.029744313280E-03  1.026477E-30  1.070176E-30  1.071035E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013606E-30
     62  1.076805333108E-03  1.027710E-30  1.073375E-30  1.074246E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014228E-30
     63  1.127478238084E-03  1.029040E-30  1.076819E-30  1.077700E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014898E-30
     64  1.179263354774E-03  1.030402E-30  1.080338E-30  1.081227E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015582E-30
     65  1.231720185468E-03  1.031784E-30  1.083901E-30  1.084795E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016275E-30
