 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                os198         os199         os200         os201         os202         os203         os204         os205
     41  4.138876583201E-04  1.000126E-30  1.000120E-30  1.000161E-30  1.000241E-30  1.000608E-30  1.000473E-30  1.000972E-30  1.000772E-30
     42  4.432651277490E-04  1.000135E-30  1.000128E-30  1.000173E-30  1.000258E-30  1.000651E-30  1.000507E-30  1.001041E-30  1.000827E-30
     43  4.720041568584E-04  1.000143E-30  1.000137E-30  1.000184E-30  1.000275E-30  1.000693E-30  1.000540E-30  1.001108E-30  1.000881E-30
     44  5.002792532552E-04  1.000152E-30  1.000145E-30  1.000195E-30  1.000291E-30  1.000735E-30  1.000572E-30  1.001175E-30  1.000933E-30
     45  5.282472522620E-04  1.000160E-30  1.000153E-30  1.000206E-30  1.000308E-30  1.000776E-30  1.000604E-30  1.001240E-30  1.000986E-30
     46  5.560479783168E-04  1.000169E-30  1.000161E-30  1.000217E-30  1.000324E-30  1.000816E-30  1.000636E-30  1.001306E-30  1.001038E-30
     47  5.838060709037E-04  1.000177E-30  1.000169E-30  1.000228E-30  1.000340E-30  1.000857E-30  1.000668E-30  1.001371E-30  1.001090E-30
     48  6.116334118686E-04  1.000186E-30  1.000177E-30  1.000239E-30  1.000356E-30  1.000898E-30  1.000699E-30  1.001436E-30  1.001142E-30
     49  6.396318340541E-04  1.000194E-30  1.000185E-30  1.000250E-30  1.000372E-30  1.000939E-30  1.000731E-30  1.001502E-30  1.001194E-30
     50  6.678959636874E-04  1.000203E-30  1.000193E-30  1.000261E-30  1.000389E-30  1.000981E-30  1.000764E-30  1.001568E-30  1.001247E-30
     51  6.965161747902E-04  1.000211E-30  1.000201E-30  1.000272E-30  1.000406E-30  1.001023E-30  1.000796E-30  1.001635E-30  1.001300E-30
     52  7.255817382538E-04  1.000220E-30  1.000210E-30  1.000283E-30  1.000422E-30  1.001065E-30  1.000830E-30  1.001704E-30  1.001355E-30
     53  7.551843574001E-04  1.000229E-30  1.000218E-30  1.000295E-30  1.000440E-30  1.001109E-30  1.000864E-30  1.001773E-30  1.001410E-30
     54  7.854224313090E-04  1.000238E-30  1.000227E-30  1.000306E-30  1.000457E-30  1.001153E-30  1.000898E-30  1.001844E-30  1.001467E-30
     55  8.164066374138E-04  1.000248E-30  1.000236E-30  1.000318E-30  1.000475E-30  1.001199E-30  1.000934E-30  1.001917E-30  1.001525E-30
     56  8.482679080764E-04  1.000257E-30  1.000245E-30  1.000331E-30  1.000494E-30  1.001246E-30  1.000970E-30  1.001992E-30  1.001584E-30
     57  8.811699017317E-04  1.000267E-30  1.000255E-30  1.000344E-30  1.000513E-30  1.001294E-30  1.001008E-30  1.002069E-30  1.001646E-30
     58  9.153304977871E-04  1.000278E-30  1.000265E-30  1.000357E-30  1.000533E-30  1.001344E-30  1.001047E-30  1.002149E-30  1.001710E-30
     59  9.510634923056E-04  1.000289E-30  1.000275E-30  1.000371E-30  1.000554E-30  1.001396E-30  1.001088E-30  1.002233E-30  1.001777E-30
     60  9.888739022907E-04  1.000300E-30  1.000286E-30  1.000386E-30  1.000576E-30  1.001452E-30  1.001131E-30  1.002322E-30  1.001847E-30
     61  1.029744313280E-03  1.000312E-30  1.000298E-30  1.000402E-30  1.000600E-30  1.001512E-30  1.001177E-30  1.002418E-30  1.001924E-30
     62  1.076805333108E-03  1.000327E-30  1.000311E-30  1.000420E-30  1.000627E-30  1.001581E-30  1.001231E-30  1.002528E-30  1.002012E-30
     63  1.127478238084E-03  1.000342E-30  1.000326E-30  1.000440E-30  1.000656E-30  1.001656E-30  1.001289E-30  1.002647E-30  1.002107E-30
     64  1.179263354774E-03  1.000358E-30  1.000341E-30  1.000460E-30  1.000687E-30  1.001732E-30  1.001348E-30  1.002769E-30  1.002204E-30
     65  1.231720185468E-03  1.000374E-30  1.000356E-30  1.000481E-30  1.000717E-30  1.001809E-30  1.001408E-30  1.002892E-30  1.002303E-30
     66  1.284679788904E-03  1.000390E-30  1.000372E-30  1.000501E-30  1.000748E-30  1.001886E-30  1.001469E-30  1.003016E-30  1.002402E-30
     67  1.338068714676E-03  1.000406E-30  1.000387E-30  1.000522E-30  1.000779E-30  1.001965E-30  1.001530E-30  1.003142E-30  1.002502E-30
     68  1.391852718980E-03  1.000422E-30  1.000403E-30  1.000543E-30  1.000810E-30  1.002044E-30  1.001592E-30  1.003268E-30  1.002603E-30
     69  1.446014888479E-03  1.000439E-30  1.000418E-30  1.000564E-30  1.000842E-30  1.002123E-30  1.001653E-30  1.003395E-30  1.002705E-30
