 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ga91          ga92          ge58          ge59          ge60          ge61          ge62          ge63 
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024888E-30  1.009908E-30  1.010744E-30  1.001116E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.026645E-30  1.010608E-30  1.011507E-30  1.001197E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028363E-30  1.011293E-30  1.012253E-30  1.001276E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.030052E-30  1.011967E-30  1.012986E-30  1.001354E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.031722E-30  1.012632E-30  1.013712E-30  1.001432E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.033381E-30  1.013294E-30  1.014434E-30  1.001509E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.035036E-30  1.013954E-30  1.015154E-30  1.001586E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036694E-30  1.014616E-30  1.015876E-30  1.001664E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.038362E-30  1.015281E-30  1.016603E-30  1.001742E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.040044E-30  1.015952E-30  1.017336E-30  1.001821E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041746E-30  1.016632E-30  1.018079E-30  1.001902E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.043474E-30  1.017321E-30  1.018833E-30  1.001983E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.045232E-30  1.018023E-30  1.019601E-30  1.002067E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.047027E-30  1.018740E-30  1.020386E-30  1.002153E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.048864E-30  1.019474E-30  1.021190E-30  1.002240E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.050753E-30  1.020228E-30  1.022017E-30  1.002331E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.052701E-30  1.021006E-30  1.022870E-30  1.002425E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.054723E-30  1.021814E-30  1.023757E-30  1.002523E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.056836E-30  1.022659E-30  1.024684E-30  1.002625E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.059070E-30  1.023552E-30  1.025665E-30  1.002734E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.061482E-30  1.024516E-30  1.026725E-30  1.002852E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.064257E-30  1.025626E-30  1.027946E-30  1.002988E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.067242E-30  1.026820E-30  1.029260E-30  1.003135E-30
