 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                as92          as93          as94          as95          as96          as97          as98          as99 
     41  4.138876583201E-04  1.000008E-30  1.011011E-30  1.004518E-30  1.012574E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.000000E-30  1.011788E-30  1.004836E-30  1.013459E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.000000E-30  1.012548E-30  1.005147E-30  1.014325E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.000000E-30  1.013295E-30  1.005452E-30  1.015176E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.000000E-30  1.014034E-30  1.005754E-30  1.016017E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.000000E-30  1.014767E-30  1.006053E-30  1.016852E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.000000E-30  1.015499E-30  1.006352E-30  1.017685E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.000000E-30  1.016233E-30  1.006652E-30  1.018519E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.000000E-30  1.016970E-30  1.006953E-30  1.019357E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.000000E-30  1.017714E-30  1.007256E-30  1.020203E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.000000E-30  1.018467E-30  1.007563E-30  1.021059E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.000000E-30  1.019231E-30  1.007874E-30  1.021927E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.000002E-30  1.020008E-30  1.008191E-30  1.022810E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.000009E-30  1.020802E-30  1.008514E-30  1.023711E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.000017E-30  1.021614E-30  1.008845E-30  1.024634E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.000029E-30  1.022449E-30  1.009184E-30  1.025581E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.000045E-30  1.023311E-30  1.009535E-30  1.026559E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.000068E-30  1.024205E-30  1.009898E-30  1.027572E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.000102E-30  1.025139E-30  1.010278E-30  1.028632E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.000155E-30  1.026127E-30  1.010679E-30  1.029751E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.000251E-30  1.027193E-30  1.011112E-30  1.030959E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.000493E-30  1.028420E-30  1.011609E-30  1.032348E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.000649E-30  1.029739E-30  1.012144E-30  1.033842E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.000697E-30  1.031086E-30  1.012690E-30  1.035365E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.000727E-30  1.032448E-30  1.013241E-30  1.036906E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.000748E-30  1.033822E-30  1.013797E-30  1.038458E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.000766E-30  1.035205E-30  1.014356E-30  1.040021E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.000783E-30  1.036597E-30  1.014918E-30  1.041591E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.000799E-30  1.037996E-30  1.015483E-30  1.043171E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.000814E-30  1.039403E-30  1.016051E-30  1.044758E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.000829E-30  1.040818E-30  1.016621E-30  1.046352E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.000844E-30  1.042240E-30  1.017194E-30  1.047954E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.000859E-30  1.043670E-30  1.017769E-30  1.049564E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.000873E-30  1.045107E-30  1.018347E-30  1.051181E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.000887E-30  1.046550E-30  1.018927E-30  1.052805E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.000901E-30  1.048002E-30  1.019510E-30  1.054436E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.000914E-30  1.049460E-30  1.020095E-30  1.056074E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.000928E-30  1.050925E-30  1.020683E-30  1.057719E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.000941E-30  1.052397E-30  1.021273E-30  1.059371E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.000954E-30  1.053877E-30  1.021865E-30  1.061030E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.000966E-30  1.055363E-30  1.022459E-30  1.062696E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.000979E-30  1.056856E-30  1.023056E-30  1.064368E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.000991E-30  1.058355E-30  1.023655E-30  1.066047E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.001003E-30  1.059862E-30  1.024256E-30  1.067733E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.001014E-30  1.061375E-30  1.024859E-30  1.069425E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.001025E-30  1.062895E-30  1.025465E-30  1.071124E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.001036E-30  1.064421E-30  1.026073E-30  1.072828E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.001047E-30  1.065954E-30  1.026682E-30  1.074540E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.001057E-30  1.067494E-30  1.027294E-30  1.076257E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.001067E-30  1.069040E-30  1.027908E-30  1.077981E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.001077E-30  1.070592E-30  1.028524E-30  1.079710E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.001086E-30  1.072151E-30  1.029142E-30  1.081446E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.001095E-30  1.073716E-30  1.029762E-30  1.083188E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.001104E-30  1.075287E-30  1.030384E-30  1.084935E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.001112E-30  1.076865E-30  1.031008E-30  1.086689E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
