 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ba164         ba165         ba166         ba167         ba168         la122         la123         la124
     27  8.489118412102E-05  1.003316E-30  1.004325E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000023E-30  1.000012E-30  1.000004E-30
     28  9.570255892797E-05  1.003736E-30  1.004874E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000025E-30  1.000014E-30  1.000005E-30
     29  1.070853065563E-04  1.004179E-30  1.005452E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000028E-30  1.000015E-30  1.000005E-30
     30  1.190882425669E-04  1.004646E-30  1.006060E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000032E-30  1.000017E-30  1.000006E-30
     31  1.366291075688E-04  1.005327E-30  1.006948E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000036E-30  1.000019E-30  1.000007E-30
     32  1.695708820900E-04  1.006603E-30  1.008612E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000045E-30  1.000024E-30  1.000008E-30
     33  1.992873377730E-04  1.007753E-30  1.010109E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000053E-30  1.000028E-30  1.000010E-30
     34  2.264248739983E-04  1.008800E-30  1.011474E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000060E-30  1.000032E-30  1.000011E-30
     35  2.515933231106E-04  1.009769E-30  1.012737E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000067E-30  1.000036E-30  1.000012E-30
     36  2.753099894686E-04  1.010682E-30  1.013925E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000073E-30  1.000039E-30  1.000014E-30
     37  2.979926919870E-04  1.011553E-30  1.015059E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000079E-30  1.000042E-30  1.000015E-30
     38  3.199702121451E-04  1.012395E-30  1.016156E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000085E-30  1.000045E-30  1.000016E-30
     39  3.524429751724E-04  1.013638E-30  1.017773E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000094E-30  1.000050E-30  1.000017E-30
     40  3.836809895565E-04  1.014830E-30  1.019325E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000102E-30  1.000054E-30  1.000019E-30
     41  4.138876583201E-04  1.015981E-30  1.020822E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000110E-30  1.000059E-30  1.000021E-30
     42  4.432651277490E-04  1.017098E-30  1.022275E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000118E-30  1.000063E-30  1.000022E-30
     43  4.720041568584E-04  1.018188E-30  1.023693E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000126E-30  1.000067E-30  1.000023E-30
     44  5.002792532552E-04  1.019259E-30  1.025085E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000133E-30  1.000071E-30  1.000025E-30
     45  5.282472522620E-04  1.020316E-30  1.026459E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000140E-30  1.000075E-30  1.000026E-30
     46  5.560479783168E-04  1.021365E-30  1.027822E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000148E-30  1.000079E-30  1.000028E-30
     47  5.838060709037E-04  1.022410E-30  1.029180E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000155E-30  1.000083E-30  1.000029E-30
     48  6.116334118686E-04  1.023455E-30  1.030538E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000163E-30  1.000087E-30  1.000030E-30
     49  6.396318340541E-04  1.024505E-30  1.031901E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000170E-30  1.000091E-30  1.000032E-30
     50  6.678959636874E-04  1.025563E-30  1.033275E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000178E-30  1.000095E-30  1.000033E-30
     51  6.965161747902E-04  1.026632E-30  1.034663E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000185E-30  1.000099E-30  1.000035E-30
     52  7.255817382538E-04  1.027715E-30  1.036069E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000193E-30  1.000103E-30  1.000036E-30
     53  7.551843574001E-04  1.028817E-30  1.037498E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000201E-30  1.000107E-30  1.000037E-30
     54  7.854224313090E-04  1.029939E-30  1.038954E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000209E-30  1.000111E-30  1.000039E-30
     55  8.164066374138E-04  1.031087E-30  1.040443E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000217E-30  1.000116E-30  1.000041E-30
     56  8.482679080764E-04  1.032265E-30  1.041970E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000226E-30  1.000120E-30  1.000042E-30
     57  8.811699017317E-04  1.033478E-30  1.043543E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000234E-30  1.000125E-30  1.000044E-30
     58  9.153304977871E-04  1.034735E-30  1.045172E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000243E-30  1.000130E-30  1.000045E-30
     59  9.510634923056E-04  1.036046E-30  1.046872E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000253E-30  1.000135E-30  1.000047E-30
     60  9.888739022907E-04  1.037431E-30  1.048665E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000263E-30  1.000140E-30  1.000049E-30
     61  1.029744313280E-03  1.038923E-30  1.050597E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000274E-30  1.000146E-30  1.000051E-30
     62  1.076805333108E-03  1.040636E-30  1.052814E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000286E-30  1.000153E-30  1.000053E-30
     63  1.127478238084E-03  1.042474E-30  1.055193E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000300E-30  1.000160E-30  1.000056E-30
     64  1.179263354774E-03  1.044345E-30  1.057614E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000314E-30  1.000167E-30  1.000059E-30
     65  1.231720185468E-03  1.046235E-30  1.060057E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000328E-30  1.000174E-30  1.000061E-30
     66  1.284679788904E-03  1.048135E-30  1.062513E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000342E-30  1.000182E-30  1.000064E-30
     67  1.338068714676E-03  1.050043E-30  1.064978E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000356E-30  1.000190E-30  1.000066E-30
     68  1.391852718980E-03  1.051959E-30  1.067452E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000370E-30  1.000197E-30  1.000069E-30
     69  1.446014888479E-03  1.053881E-30  1.069933E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000385E-30  1.000205E-30  1.000072E-30
     70  1.500546342624E-03  1.055808E-30  1.072420E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000399E-30  1.000213E-30  1.000074E-30
     71  1.555442065896E-03  1.057741E-30  1.074913E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000414E-30  1.000220E-30  1.000077E-30
     72  1.610698967280E-03  1.059679E-30  1.077412E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000428E-30  1.000228E-30  1.000080E-30
     73  1.666314948699E-03  1.061623E-30  1.079916E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000443E-30  1.000236E-30  1.000083E-30
     74  1.722288445659E-03  1.063571E-30  1.082426E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000458E-30  1.000244E-30  1.000085E-30
     75  1.778618195039E-03  1.065524E-30  1.084941E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000473E-30  1.000252E-30  1.000088E-30
     76  1.835303663832E-03  1.067481E-30  1.087460E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000488E-30  1.000260E-30  1.000091E-30
     77  1.892344396716E-03  1.069443E-30  1.089984E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000503E-30  1.000268E-30  1.000094E-30
     78  1.949739812628E-03  1.071410E-30  1.092513E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000519E-30  1.000276E-30  1.000097E-30
     79  2.007489276907E-03  1.073380E-30  1.095046E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000534E-30  1.000284E-30  1.000100E-30
     80  2.065592139419E-03  1.075355E-30  1.097583E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000549E-30  1.000293E-30  1.000102E-30
     81  2.124047755162E-03  1.077333E-30  1.100124E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000565E-30  1.000301E-30  1.000105E-30
     82  2.182855495215E-03  1.079316E-30  1.102668E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000581E-30  1.000309E-30  1.000108E-30
     83  2.242014752368E-03  1.081302E-30  1.105216E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000596E-30  1.000318E-30  1.000111E-30
     84  2.301524943777E-03  1.083291E-30  1.107768E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000612E-30  1.000326E-30  1.000114E-30
     85  2.361385511936E-03  1.085284E-30  1.110323E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000628E-30  1.000334E-30  1.000117E-30
     86  2.421595924701E-03  1.087280E-30  1.112880E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000644E-30  1.000343E-30  1.000120E-30
     87  2.482155674804E-03  1.089280E-30  1.115441E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000660E-30  1.000352E-30  1.000123E-30
     88  2.543064279071E-03  1.091282E-30  1.118004E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000676E-30  1.000360E-30  1.000126E-30
     89  2.604321277494E-03  1.093287E-30  1.120570E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000693E-30  1.000369E-30  1.000129E-30
     90  2.665926232237E-03  1.095295E-30  1.123138E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000709E-30  1.000378E-30  1.000132E-30
     91  2.727878734382E-03  1.097306E-30  1.125708E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000725E-30  1.000386E-30  1.000135E-30
     92  2.790178404165E-03  1.099319E-30  1.128281E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000742E-30  1.000395E-30  1.000138E-30
     93  2.852824875480E-03  1.101335E-30  1.130855E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000759E-30  1.000404E-30  1.000142E-30
     94  2.915817796872E-03  1.103353E-30  1.133431E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000775E-30  1.000413E-30  1.000145E-30
     95  2.979156831833E-03  1.105373E-30  1.136008E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000792E-30  1.000422E-30  1.000148E-30
