 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                hg221         hg222         hg223         hg224         hg225         hg226         hg227         hg228
     41  4.138876583201E-04  1.002033E-30  1.002093E-30  1.001272E-30  1.002590E-30  1.003375E-30  1.003138E-30  1.004290E-30  1.006288E-30
     42  4.432651277490E-04  1.002177E-30  1.002242E-30  1.001363E-30  1.002774E-30  1.003615E-30  1.003361E-30  1.004596E-30  1.006735E-30
     43  4.720041568584E-04  1.002318E-30  1.002387E-30  1.001451E-30  1.002954E-30  1.003850E-30  1.003580E-30  1.004895E-30  1.007172E-30
     44  5.002792532552E-04  1.002458E-30  1.002530E-30  1.001538E-30  1.003132E-30  1.004080E-30  1.003795E-30  1.005189E-30  1.007602E-30
     45  5.282472522620E-04  1.002595E-30  1.002671E-30  1.001625E-30  1.003307E-30  1.004308E-30  1.004007E-30  1.005481E-30  1.008027E-30
     46  5.560479783168E-04  1.002732E-30  1.002812E-30  1.001710E-30  1.003481E-30  1.004535E-30  1.004219E-30  1.005770E-30  1.008449E-30
     47  5.838060709037E-04  1.002868E-30  1.002952E-30  1.001796E-30  1.003655E-30  1.004762E-30  1.004430E-30  1.006060E-30  1.008871E-30
     48  6.116334118686E-04  1.003005E-30  1.003093E-30  1.001882E-30  1.003830E-30  1.004989E-30  1.004642E-30  1.006350E-30  1.009295E-30
     49  6.396318340541E-04  1.003143E-30  1.003235E-30  1.001968E-30  1.004005E-30  1.005218E-30  1.004855E-30  1.006642E-30  1.009720E-30
     50  6.678959636874E-04  1.003282E-30  1.003378E-30  1.002056E-30  1.004183E-30  1.005448E-30  1.005070E-30  1.006937E-30  1.010150E-30
     51  6.965161747902E-04  1.003423E-30  1.003522E-30  1.002144E-30  1.004362E-30  1.005682E-30  1.005288E-30  1.007236E-30  1.010585E-30
     52  7.255817382538E-04  1.003566E-30  1.003669E-30  1.002234E-30  1.004544E-30  1.005919E-30  1.005509E-30  1.007539E-30  1.011027E-30
     53  7.551843574001E-04  1.003712E-30  1.003819E-30  1.002325E-30  1.004730E-30  1.006161E-30  1.005735E-30  1.007849E-30  1.011477E-30
     54  7.854224313090E-04  1.003860E-30  1.003972E-30  1.002419E-30  1.004920E-30  1.006408E-30  1.005966E-30  1.008165E-30  1.011937E-30
     55  8.164066374138E-04  1.004013E-30  1.004129E-30  1.002515E-30  1.005114E-30  1.006661E-30  1.006202E-30  1.008489E-30  1.012409E-30
     56  8.482679080764E-04  1.004170E-30  1.004290E-30  1.002613E-30  1.005314E-30  1.006921E-30  1.006445E-30  1.008822E-30  1.012893E-30
     57  8.811699017317E-04  1.004332E-30  1.004456E-30  1.002715E-30  1.005521E-30  1.007190E-30  1.006696E-30  1.009167E-30  1.013394E-30
     58  9.153304977871E-04  1.004500E-30  1.004629E-30  1.002821E-30  1.005735E-30  1.007469E-30  1.006957E-30  1.009524E-30  1.013913E-30
     59  9.510634923056E-04  1.004676E-30  1.004810E-30  1.002931E-30  1.005960E-30  1.007760E-30  1.007230E-30  1.009899E-30  1.014457E-30
     60  9.888739022907E-04  1.004862E-30  1.005001E-30  1.003048E-30  1.006197E-30  1.008069E-30  1.007518E-30  1.010295E-30  1.015032E-30
     61  1.029744313280E-03  1.005064E-30  1.005208E-30  1.003175E-30  1.006454E-30  1.008403E-30  1.007831E-30  1.010724E-30  1.015654E-30
     62  1.076805333108E-03  1.005296E-30  1.005446E-30  1.003321E-30  1.006750E-30  1.008788E-30  1.008190E-30  1.011218E-30  1.016370E-30
     63  1.127478238084E-03  1.005545E-30  1.005702E-30  1.003478E-30  1.007068E-30  1.009202E-30  1.008578E-30  1.011751E-30  1.017142E-30
     64  1.179263354774E-03  1.005801E-30  1.005964E-30  1.003639E-30  1.007394E-30  1.009625E-30  1.008974E-30  1.012295E-30  1.017930E-30
     65  1.231720185468E-03  1.006059E-30  1.006229E-30  1.003802E-30  1.007724E-30  1.010054E-30  1.009376E-30  1.012847E-30  1.018728E-30
     66  1.284679788904E-03  1.006321E-30  1.006497E-30  1.003967E-30  1.008057E-30  1.010487E-30  1.009782E-30  1.013405E-30  1.019534E-30
     67  1.338068714676E-03  1.006584E-30  1.006767E-30  1.004133E-30  1.008393E-30  1.010923E-30  1.010191E-30  1.013967E-30  1.020347E-30
     68  1.391852718980E-03  1.006849E-30  1.007039E-30  1.004300E-30  1.008731E-30  1.011363E-30  1.010603E-30  1.014535E-30  1.021166E-30
     69  1.446014888479E-03  1.007117E-30  1.007313E-30  1.004469E-30  1.009072E-30  1.011806E-30  1.011019E-30  1.015106E-30  1.021991E-30
     70  1.500546342624E-03  1.007386E-30  1.007589E-30  1.004638E-30  1.009416E-30  1.012252E-30  1.011438E-30  1.015682E-30  1.022822E-30
     71  1.555442065896E-03  1.007657E-30  1.007867E-30  1.004809E-30  1.009762E-30  1.012701E-30  1.011859E-30  1.016263E-30  1.023658E-30
     72  1.610698967280E-03  1.007930E-30  1.008146E-30  1.004982E-30  1.010110E-30  1.013153E-30  1.012284E-30  1.016847E-30  1.024500E-30
     73  1.666314948699E-03  1.008204E-30  1.008428E-30  1.005155E-30  1.010460E-30  1.013608E-30  1.012712E-30  1.017436E-30  1.025347E-30
     74  1.722288445659E-03  1.008481E-30  1.008711E-30  1.005330E-30  1.010813E-30  1.014066E-30  1.013142E-30  1.018030E-30  1.026200E-30
     75  1.778618195039E-03  1.008759E-30  1.008996E-30  1.005506E-30  1.011168E-30  1.014527E-30  1.013576E-30  1.018627E-30  1.027058E-30
     76  1.835303663832E-03  1.009040E-30  1.009283E-30  1.005683E-30  1.011526E-30  1.014991E-30  1.014013E-30  1.019229E-30  1.027922E-30
     77  1.892344396716E-03  1.009322E-30  1.009571E-30  1.005862E-30  1.011886E-30  1.015458E-30  1.014452E-30  1.019835E-30  1.028792E-30
     78  1.949739812628E-03  1.009605E-30  1.009862E-30  1.006041E-30  1.012248E-30  1.015927E-30  1.014895E-30  1.020446E-30  1.029667E-30
     79  2.007489276907E-03  1.009891E-30  1.010154E-30  1.006222E-30  1.012612E-30  1.016400E-30  1.015341E-30  1.021060E-30  1.030547E-30
     80  2.065592139419E-03  1.010179E-30  1.010448E-30  1.006404E-30  1.012979E-30  1.016876E-30  1.015789E-30  1.021679E-30  1.031433E-30
     81  2.124047755162E-03  1.010468E-30  1.010744E-30  1.006588E-30  1.013348E-30  1.017355E-30  1.016241E-30  1.022302E-30  1.032325E-30
     82  2.182855495215E-03  1.010759E-30  1.011041E-30  1.006772E-30  1.013720E-30  1.017837E-30  1.016696E-30  1.022930E-30  1.033222E-30
     83  2.242014752368E-03  1.011052E-30  1.011341E-30  1.006958E-30  1.014094E-30  1.018322E-30  1.017153E-30  1.023562E-30  1.034125E-30
     84  2.301524943777E-03  1.011347E-30  1.011642E-30  1.007145E-30  1.014470E-30  1.018809E-30  1.017614E-30  1.024198E-30  1.035033E-30
     85  2.361385511936E-03  1.011643E-30  1.011945E-30  1.007333E-30  1.014848E-30  1.019300E-30  1.018078E-30  1.024838E-30  1.035946E-30
     86  2.421595924701E-03  1.011941E-30  1.012249E-30  1.007522E-30  1.015229E-30  1.019794E-30  1.018544E-30  1.025483E-30  1.036865E-30
     87  2.482155674804E-03  1.012242E-30  1.012556E-30  1.007713E-30  1.015612E-30  1.020290E-30  1.019014E-30  1.026132E-30  1.037789E-30
     88  2.543064279071E-03  1.012543E-30  1.012864E-30  1.007905E-30  1.015998E-30  1.020790E-30  1.019487E-30  1.026786E-30  1.038719E-30
     89  2.604321277494E-03  1.012847E-30  1.013174E-30  1.008098E-30  1.016386E-30  1.021292E-30  1.019962E-30  1.027443E-30  1.039655E-30
     90  2.665926232237E-03  1.013153E-30  1.013486E-30  1.008292E-30  1.016776E-30  1.021797E-30  1.020441E-30  1.028105E-30  1.040595E-30
     91  2.727878734382E-03  1.013460E-30  1.013800E-30  1.008488E-30  1.017168E-30  1.022306E-30  1.020923E-30  1.028772E-30  1.041542E-30
     92  2.790178404165E-03  1.013769E-30  1.014115E-30  1.008685E-30  1.017563E-30  1.022817E-30  1.021407E-30  1.029442E-30  1.042493E-30
     93  2.852824875480E-03  1.014080E-30  1.014432E-30  1.008882E-30  1.017960E-30  1.023331E-30  1.021895E-30  1.030117E-30  1.043451E-30
     94  2.915817796872E-03  1.014393E-30  1.014751E-30  1.009082E-30  1.018360E-30  1.023848E-30  1.022386E-30  1.030797E-30  1.044413E-30
