 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
     41  4.138876583201E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.939753E-07  4.464260E+07  9.590200E+06
     42  4.432651277490E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.077671E-07  4.464260E+07  9.590200E+06
     43  4.720041568584E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.212614E-07  4.464260E+07  9.590200E+06
     44  5.002792532552E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.345402E-07  4.464260E+07  9.590200E+06
     45  5.282472522620E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.476772E-07  4.464260E+07  9.590200E+06
     46  5.560479783168E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.607383E-07  4.464260E+07  9.590200E+06
     47  5.838060709037E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.737821E-07  4.464260E+07  9.590200E+06
     48  6.116334118686E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.868613E-07  4.464260E+07  9.590200E+06
     49  6.396318340541E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.000239E-07  4.464260E+07  9.590200E+06
     50  6.678959636874E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.133147E-07  4.464260E+07  9.590200E+06
     51  6.965161747902E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.267763E-07  4.464260E+07  9.590200E+06
     52  7.255817382538E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.404509E-07  4.464260E+07  9.590200E+06
     53  7.551843574001E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.543821E-07  4.464260E+07  9.590200E+06
     54  7.854224313090E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.686165E-07  4.464260E+07  9.590200E+06
     55  8.164066374138E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.832067E-07  4.464260E+07  9.590200E+06
     56  8.482679080764E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.982150E-07  4.464260E+07  9.590200E+06
     57  8.811699017317E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.137190E-07  4.464260E+07  9.590200E+06
     58  9.153304977871E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.298225E-07  4.464260E+07  9.590200E+06
     59  9.510634923056E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.466749E-07  4.464260E+07  9.590200E+06
     60  9.888739022907E-04  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.645163E-07  4.464260E+07  9.590200E+06
     61  1.029744313280E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.838143E-07  4.464260E+07  9.590200E+06
     62  1.076805333108E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.060577E-07  4.464260E+07  9.590200E+06
     63  1.127478238084E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.300250E-07  4.464260E+07  9.590200E+06
     64  1.179263354774E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.545300E-07  4.464260E+07  9.590200E+06
     65  1.231720185468E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.793638E-07  4.464260E+07  9.590200E+06
     66  1.284679788904E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  6.044464E-07  4.464260E+07  9.590200E+06
     67  1.338068714676E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  6.297431E-07  4.464260E+07  9.590200E+06
     68  1.391852718980E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  6.552378E-07  4.464260E+07  9.590200E+06
     69  1.446014888479E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  6.809226E-07  4.464260E+07  9.590200E+06
     70  1.500546342624E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  7.067935E-07  4.464260E+07  9.590200E+06
     71  1.555442065896E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  7.328483E-07  4.464260E+07  9.590200E+06
     72  1.610698967280E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  7.590857E-07  4.464260E+07  9.590200E+06
     73  1.666314948699E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  7.855048E-07  4.464260E+07  9.590200E+06
     74  1.722288445659E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  8.121051E-07  4.464260E+07  9.590200E+06
     75  1.778618195039E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  8.388862E-07  4.464260E+07  9.590200E+06
     76  1.835303663832E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  8.658480E-07  4.464260E+07  9.590200E+06
     77  1.892344396716E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  8.929904E-07  4.464260E+07  9.590200E+06
     78  1.949739812628E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  9.203133E-07  4.464260E+07  9.590200E+06
     79  2.007489276907E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  9.478166E-07  4.464260E+07  9.590200E+06
     80  2.065592139419E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  9.755002E-07  4.464260E+07  9.590200E+06
     81  2.124047755162E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.003364E-06  4.464260E+07  9.590200E+06
     82  2.182855495215E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.031408E-06  4.464260E+07  9.590200E+06
     83  2.242014752368E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.059631E-06  4.464260E+07  9.590200E+06
     84  2.301524943777E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.088035E-06  4.464260E+07  9.590200E+06
     85  2.361385511936E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.116618E-06  4.464260E+07  9.590200E+06
     86  2.421595924701E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.145380E-06  4.464260E+07  9.590200E+06
     87  2.482155674804E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.174322E-06  4.464260E+07  9.590200E+06
     88  2.543064279071E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.203444E-06  4.464260E+07  9.590200E+06
     89  2.604321277494E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.232745E-06  4.464260E+07  9.590200E+06
     90  2.665926232237E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.262225E-06  4.464260E+07  9.590200E+06
     91  2.727878734382E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.291885E-06  4.464260E+07  9.590200E+06
     92  2.790178404165E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.321724E-06  4.464260E+07  9.590200E+06
     93  2.852824875480E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.351742E-06  4.464260E+07  9.590200E+06
     94  2.915817796872E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.381939E-06  4.464260E+07  9.590200E+06
     95  2.979156831833E-03  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.412316E-06  4.464260E+07  9.590200E+06
