 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                fe76          fe77          fe78          co48          co49          co50          co51          co52 
     27  8.489118412102E-05  1.016152E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002155E-30  1.003349E-30  1.001042E-30
     28  9.570255892797E-05  1.018207E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002429E-30  1.003776E-30  1.001175E-30
     29  1.070853065563E-04  1.020371E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002718E-30  1.004225E-30  1.001316E-30
     30  1.190882425669E-04  1.022652E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003023E-30  1.004698E-30  1.001465E-30
     31  1.366291075688E-04  1.025985E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003467E-30  1.005389E-30  1.001682E-30
     32  1.695708820900E-04  1.032242E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004302E-30  1.006688E-30  1.002092E-30
     33  1.992873377730E-04  1.037884E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005055E-30  1.007859E-30  1.002462E-30
     34  2.264248739983E-04  1.043033E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005742E-30  1.008929E-30  1.002802E-30
     35  2.515933231106E-04  1.047807E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006379E-30  1.009921E-30  1.003118E-30
     36  2.753099894686E-04  1.052304E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006979E-30  1.010855E-30  1.003416E-30
     37  2.979926919870E-04  1.056604E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007553E-30  1.011748E-30  1.003703E-30
     38  3.199702121451E-04  1.060768E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008108E-30  1.012614E-30  1.003981E-30
     39  3.524429751724E-04  1.066918E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008929E-30  1.013892E-30  1.004393E-30
     40  3.836809895565E-04  1.072832E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009718E-30  1.015122E-30  1.004791E-30
     41  4.138876583201E-04  1.078547E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010481E-30  1.016311E-30  1.005177E-30
     42  4.432651277490E-04  1.084103E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011222E-30  1.017467E-30  1.005554E-30
     43  4.720041568584E-04  1.089536E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011947E-30  1.018598E-30  1.005923E-30
     44  5.002792532552E-04  1.094879E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012660E-30  1.019710E-30  1.006288E-30
     45  5.282472522620E-04  1.100161E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013364E-30  1.020810E-30  1.006650E-30
     46  5.560479783168E-04  1.105410E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014065E-30  1.021903E-30  1.007011E-30
     47  5.838060709037E-04  1.110648E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014764E-30  1.022994E-30  1.007372E-30
     48  6.116334118686E-04  1.115897E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015464E-30  1.024088E-30  1.007736E-30
     49  6.396318340541E-04  1.121176E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016168E-30  1.025189E-30  1.008103E-30
     50  6.678959636874E-04  1.126503E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016879E-30  1.026299E-30  1.008474E-30
     51  6.965161747902E-04  1.131894E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017598E-30  1.027423E-30  1.008851E-30
     52  7.255817382538E-04  1.137367E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018328E-30  1.028565E-30  1.009235E-30
     53  7.551843574001E-04  1.142939E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019072E-30  1.029727E-30  1.009628E-30
     54  7.854224313090E-04  1.148627E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019831E-30  1.030915E-30  1.010030E-30
     55  8.164066374138E-04  1.154453E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020608E-30  1.032131E-30  1.010444E-30
     56  8.482679080764E-04  1.160441E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021407E-30  1.033381E-30  1.010870E-30
     57  8.811699017317E-04  1.166622E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022231E-30  1.034672E-30  1.011312E-30
     58  9.153304977871E-04  1.173035E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023087E-30  1.036012E-30  1.011773E-30
     59  9.510634923056E-04  1.179741E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023982E-30  1.037414E-30  1.012256E-30
     60  9.888739022907E-04  1.186832E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024928E-30  1.038896E-30  1.012770E-30
     61  1.029744313280E-03  1.194492E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025950E-30  1.040498E-30  1.013327E-30
     62  1.076805333108E-03  1.203306E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027125E-30  1.042342E-30  1.013972E-30
     63  1.127478238084E-03  1.212790E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028391E-30  1.044327E-30  1.014670E-30
     64  1.179263354774E-03  1.222474E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.029683E-30  1.046355E-30  1.015386E-30
     65  1.231720185468E-03  1.232276E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.030990E-30  1.048409E-30  1.016116E-30
     66  1.284679788904E-03  1.242163E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.032309E-30  1.050481E-30  1.016856E-30
     67  1.338068714676E-03  1.252123E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.033638E-30  1.052570E-30  1.017607E-30
     68  1.391852718980E-03  1.262148E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.034975E-30  1.054673E-30  1.018367E-30
     69  1.446014888479E-03  1.272234E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036321E-30  1.056790E-30  1.019136E-30
     70  1.500546342624E-03  1.282381E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.037674E-30  1.058921E-30  1.019915E-30
     71  1.555442065896E-03  1.292588E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.039036E-30  1.061065E-30  1.020703E-30
     72  1.610698967280E-03  1.302852E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.040405E-30  1.063223E-30  1.021500E-30
     73  1.666314948699E-03  1.313174E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041782E-30  1.065394E-30  1.022307E-30
     74  1.722288445659E-03  1.323554E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.043166E-30  1.067578E-30  1.023123E-30
     75  1.778618195039E-03  1.333991E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.044559E-30  1.069775E-30  1.023949E-30
     76  1.835303663832E-03  1.344484E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.045958E-30  1.071985E-30  1.024784E-30
     77  1.892344396716E-03  1.355034E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.047365E-30  1.074208E-30  1.025629E-30
     78  1.949739812628E-03  1.365639E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.048780E-30  1.076444E-30  1.026484E-30
     79  2.007489276907E-03  1.376301E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.050202E-30  1.078693E-30  1.027348E-30
     80  2.065592139419E-03  1.387019E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.051632E-30  1.080955E-30  1.028222E-30
     81  2.124047755162E-03  1.397791E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.053069E-30  1.083230E-30  1.029107E-30
     82  2.182855495215E-03  1.408619E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.054513E-30  1.085518E-30  1.030001E-30
     83  2.242014752368E-03  1.419501E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.055964E-30  1.087818E-30  1.030905E-30
