 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                s27           s28           s29           s30           s31           s32           s33           s34  
     27  8.489118412102E-05  1.000000E-30  1.033273E-30  1.005008E-30  1.001754E-30  1.000370E-30  1.000197E-30  1.000023E-30  1.000043E-30
     28  9.570255892797E-05  1.000000E-30  1.037510E-30  1.005645E-30  1.001978E-30  1.000417E-30  1.000223E-30  1.000026E-30  1.000049E-30
     29  1.070853065563E-04  1.000000E-30  1.041970E-30  1.006317E-30  1.002213E-30  1.000467E-30  1.000249E-30  1.000030E-30  1.000055E-30
     30  1.190882425669E-04  1.000000E-30  1.046673E-30  1.007025E-30  1.002461E-30  1.000519E-30  1.000277E-30  1.000033E-30  1.000061E-30
     31  1.366291075688E-04  1.000000E-30  1.053544E-30  1.008059E-30  1.002824E-30  1.000595E-30  1.000318E-30  1.000038E-30  1.000070E-30
     32  1.695708820900E-04  1.000000E-30  1.066448E-30  1.010001E-30  1.003504E-30  1.000739E-30  1.000395E-30  1.000047E-30  1.000086E-30
     33  1.992873377730E-04  1.000000E-30  1.078086E-30  1.011754E-30  1.004119E-30  1.000869E-30  1.000464E-30  1.000055E-30  1.000102E-30
     34  2.264248739983E-04  1.000000E-30  1.088713E-30  1.013353E-30  1.004679E-30  1.000988E-30  1.000527E-30  1.000063E-30  1.000115E-30
     35  2.515933231106E-04  1.000000E-30  1.098567E-30  1.014837E-30  1.005199E-30  1.001098E-30  1.000586E-30  1.000069E-30  1.000128E-30
     36  2.753099894686E-04  1.000000E-30  1.107852E-30  1.016235E-30  1.005690E-30  1.001201E-30  1.000641E-30  1.000076E-30  1.000140E-30
     37  2.979926919870E-04  1.000000E-30  1.116730E-30  1.017572E-30  1.006158E-30  1.001301E-30  1.000694E-30  1.000082E-30  1.000152E-30
     38  3.199702121451E-04  1.000000E-30  1.125332E-30  1.018867E-30  1.006612E-30  1.001397E-30  1.000745E-30  1.000088E-30  1.000163E-30
     39  3.524429751724E-04  1.000000E-30  1.138039E-30  1.020780E-30  1.007283E-30  1.001539E-30  1.000820E-30  1.000097E-30  1.000180E-30
     40  3.836809895565E-04  1.000000E-30  1.150260E-30  1.022621E-30  1.007929E-30  1.001676E-30  1.000893E-30  1.000106E-30  1.000196E-30
     41  4.138876583201E-04  1.000000E-30  1.162077E-30  1.024400E-30  1.008553E-30  1.001809E-30  1.000964E-30  1.000114E-30  1.000211E-30
     42  4.432651277490E-04  1.000000E-30  1.173567E-30  1.026131E-30  1.009160E-30  1.001938E-30  1.001032E-30  1.000122E-30  1.000226E-30
     43  4.720041568584E-04  1.000000E-30  1.184805E-30  1.027824E-30  1.009754E-30  1.002064E-30  1.001099E-30  1.000130E-30  1.000241E-30
     44  5.002792532552E-04  1.000000E-30  1.195860E-30  1.029489E-30  1.010338E-30  1.002188E-30  1.001165E-30  1.000138E-30  1.000255E-30
     45  5.282472522620E-04  1.000000E-30  1.206794E-30  1.031136E-30  1.010916E-30  1.002311E-30  1.001230E-30  1.000146E-30  1.000269E-30
     46  5.560479783168E-04  1.000000E-30  1.217660E-30  1.032773E-30  1.011490E-30  1.002434E-30  1.001295E-30  1.000154E-30  1.000284E-30
     47  5.838060709037E-04  1.000000E-30  1.228508E-30  1.034407E-30  1.012064E-30  1.002556E-30  1.001360E-30  1.000161E-30  1.000298E-30
     48  6.116334118686E-04  1.000000E-30  1.239382E-30  1.036045E-30  1.012639E-30  1.002679E-30  1.001425E-30  1.000169E-30  1.000312E-30
     49  6.396318340541E-04  1.000000E-30  1.250320E-30  1.037693E-30  1.013217E-30  1.002802E-30  1.001490E-30  1.000177E-30  1.000326E-30
     50  6.678959636874E-04  1.000000E-30  1.261361E-30  1.039357E-30  1.013801E-30  1.002927E-30  1.001556E-30  1.000185E-30  1.000341E-30
     51  6.965161747902E-04  1.000000E-30  1.272539E-30  1.041041E-30  1.014392E-30  1.003053E-30  1.001623E-30  1.000193E-30  1.000355E-30
     52  7.255817382538E-04  1.000000E-30  1.283889E-30  1.042751E-30  1.014993E-30  1.003181E-30  1.001691E-30  1.000201E-30  1.000370E-30
     53  7.551843574001E-04  1.000000E-30  1.295447E-30  1.044493E-30  1.015605E-30  1.003312E-30  1.001760E-30  1.000209E-30  1.000385E-30
     54  7.854224313090E-04  1.000000E-30  1.307251E-30  1.046272E-30  1.016229E-30  1.003446E-30  1.001831E-30  1.000217E-30  1.000401E-30
     55  8.164066374138E-04  1.000000E-30  1.319345E-30  1.048095E-30  1.016869E-30  1.003583E-30  1.001903E-30  1.000226E-30  1.000416E-30
     56  8.482679080764E-04  1.000000E-30  1.331778E-30  1.049969E-30  1.017527E-30  1.003724E-30  1.001977E-30  1.000235E-30  1.000433E-30
     57  8.811699017317E-04  1.000000E-30  1.344616E-30  1.051904E-30  1.018207E-30  1.003870E-30  1.002054E-30  1.000244E-30  1.000449E-30
     58  9.153304977871E-04  1.000000E-30  1.357942E-30  1.053912E-30  1.018913E-30  1.004021E-30  1.002134E-30  1.000253E-30  1.000467E-30
     59  9.510634923056E-04  1.000000E-30  1.371878E-30  1.056013E-30  1.019651E-30  1.004180E-30  1.002218E-30  1.000263E-30  1.000485E-30
     60  9.888739022907E-04  1.000000E-30  1.386622E-30  1.058236E-30  1.020432E-30  1.004348E-30  1.002306E-30  1.000273E-30  1.000504E-30
     61  1.029744313280E-03  1.000000E-30  1.402556E-30  1.060639E-30  1.021276E-30  1.004530E-30  1.002402E-30  1.000285E-30  1.000525E-30
     62  1.076805333108E-03  1.000000E-30  1.420898E-30  1.063404E-30  1.022248E-30  1.004739E-30  1.002512E-30  1.000298E-30  1.000549E-30
     63  1.127478238084E-03  1.000000E-30  1.440643E-30  1.066382E-30  1.023295E-30  1.004964E-30  1.002630E-30  1.000312E-30  1.000575E-30
     64  1.179263354774E-03  1.000000E-30  1.460816E-30  1.069424E-30  1.024364E-30  1.005195E-30  1.002752E-30  1.000326E-30  1.000602E-30
     65  1.231720185468E-03  1.000000E-30  1.481245E-30  1.072505E-30  1.025448E-30  1.005429E-30  1.002874E-30  1.000341E-30  1.000628E-30
     66  1.284679788904E-03  1.000000E-30  1.501863E-30  1.075615E-30  1.026541E-30  1.005666E-30  1.002998E-30  1.000355E-30  1.000655E-30
     67  1.338068714676E-03  1.000000E-30  1.522642E-30  1.078750E-30  1.027644E-30  1.005905E-30  1.003124E-30  1.000370E-30  1.000683E-30
     68  1.391852718980E-03  1.000000E-30  1.543569E-30  1.081907E-30  1.028755E-30  1.006145E-30  1.003250E-30  1.000385E-30  1.000710E-30
     69  1.446014888479E-03  1.000000E-30  1.564636E-30  1.085086E-30  1.029873E-30  1.006388E-30  1.003377E-30  1.000400E-30  1.000738E-30
     70  1.500546342624E-03  1.000000E-30  1.585841E-30  1.088286E-30  1.030999E-30  1.006633E-30  1.003505E-30  1.000415E-30  1.000765E-30
     71  1.555442065896E-03  1.000000E-30  1.607181E-30  1.091506E-30  1.032133E-30  1.006879E-30  1.003633E-30  1.000431E-30  1.000793E-30
     72  1.610698967280E-03  1.000000E-30  1.628655E-30  1.094747E-30  1.033274E-30  1.007128E-30  1.003763E-30  1.000446E-30  1.000822E-30
     73  1.666314948699E-03  1.000000E-30  1.650262E-30  1.098009E-30  1.034422E-30  1.007378E-30  1.003894E-30  1.000461E-30  1.000850E-30
     74  1.722288445659E-03  1.000000E-30  1.672001E-30  1.101290E-30  1.035578E-30  1.007630E-30  1.004025E-30  1.000477E-30  1.000879E-30
     75  1.778618195039E-03  1.000000E-30  1.693871E-30  1.104592E-30  1.036741E-30  1.007884E-30  1.004158E-30  1.000493E-30  1.000907E-30
     76  1.835303663832E-03  1.000000E-30  1.715873E-30  1.107914E-30  1.037911E-30  1.008140E-30  1.004291E-30  1.000508E-30  1.000936E-30
     77  1.892344396716E-03  1.000000E-30  1.738006E-30  1.111257E-30  1.039089E-30  1.008398E-30  1.004425E-30  1.000524E-30  1.000965E-30
     78  1.949739812628E-03  1.000000E-30  1.760269E-30  1.114619E-30  1.040274E-30  1.008658E-30  1.004560E-30  1.000540E-30  1.000995E-30
     79  2.007489276907E-03  1.000000E-30  1.782662E-30  1.118001E-30  1.041466E-30  1.008920E-30  1.004696E-30  1.000556E-30  1.001024E-30
     80  2.065592139419E-03  1.000000E-30  1.805185E-30  1.121403E-30  1.042665E-30  1.009184E-30  1.004833E-30  1.000572E-30  1.001054E-30
     81  2.124047755162E-03  1.000000E-30  1.827838E-30  1.124826E-30  1.043872E-30  1.009449E-30  1.004971E-30  1.000589E-30  1.001084E-30
     82  2.182855495215E-03  1.000000E-30  1.850619E-30  1.128268E-30  1.045086E-30  1.009717E-30  1.005109E-30  1.000605E-30  1.001114E-30
     83  2.242014752368E-03  1.000000E-30  1.873530E-30  1.131730E-30  1.046307E-30  1.009986E-30  1.005249E-30  1.000622E-30  1.001144E-30
     84  2.301524943777E-03  1.000000E-30  1.896568E-30  1.135211E-30  1.047535E-30  1.010257E-30  1.005389E-30  1.000638E-30  1.001174E-30
     85  2.361385511936E-03  1.000000E-30  1.919735E-30  1.138713E-30  1.048771E-30  1.010531E-30  1.005531E-30  1.000655E-30  1.001205E-30
     86  2.421595924701E-03  1.000000E-30  1.943029E-30  1.142234E-30  1.050013E-30  1.010806E-30  1.005673E-30  1.000672E-30  1.001236E-30
     87  2.482155674804E-03  1.000000E-30  1.966451E-30  1.145774E-30  1.051263E-30  1.011083E-30  1.005816E-30  1.000688E-30  1.001266E-30
     88  2.543064279071E-03  1.000000E-30  1.989999E-30  1.149334E-30  1.052520E-30  1.011362E-30  1.005960E-30  1.000705E-30  1.001298E-30
     89  2.604321277494E-03  1.000000E-30  2.013674E-30  1.152914E-30  1.053784E-30  1.011643E-30  1.006105E-30  1.000722E-30  1.001329E-30
     90  2.665926232237E-03  1.000000E-30  2.037476E-30  1.156514E-30  1.055056E-30  1.011926E-30  1.006251E-30  1.000740E-30  1.001360E-30
     91  2.727878734382E-03  1.000000E-30  2.061404E-30  1.160132E-30  1.056334E-30  1.012210E-30  1.006397E-30  1.000757E-30  1.001392E-30
     92  2.790178404165E-03  1.000000E-30  2.085457E-30  1.163771E-30  1.057619E-30  1.012497E-30  1.006545E-30  1.000774E-30  1.001424E-30
     93  2.852824875480E-03  1.000000E-30  2.109636E-30  1.167428E-30  1.058912E-30  1.012786E-30  1.006693E-30  1.000792E-30  1.001456E-30
     94  2.915817796872E-03  1.000000E-30  2.133940E-30  1.171105E-30  1.060212E-30  1.013077E-30  1.006843E-30  1.000809E-30  1.001488E-30
     95  2.979156831833E-03  1.000000E-30  2.158369E-30  1.174802E-30  1.061519E-30  1.013369E-30  1.006993E-30  1.000827E-30  1.001520E-30
