 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                na30          na31          na32          na33          na34          mg20          mg21          mg22 
     27  8.489118412102E-05  1.008914E-30  1.013821E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000489E-30
     28  9.570255892797E-05  1.010048E-30  1.015578E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000552E-30
     29  1.070853065563E-04  1.011242E-30  1.017427E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000618E-30
     30  1.190882425669E-04  1.012502E-30  1.019375E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000687E-30
     31  1.366291075688E-04  1.014341E-30  1.022221E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000788E-30
     32  1.695708820900E-04  1.017795E-30  1.027561E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000978E-30
     33  1.992873377730E-04  1.020909E-30  1.032371E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001150E-30
     34  2.264248739983E-04  1.023751E-30  1.036758E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001307E-30
     35  2.515933231106E-04  1.026386E-30  1.040823E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001453E-30
     36  2.753099894686E-04  1.028869E-30  1.044650E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001590E-30
     37  2.979926919870E-04  1.031242E-30  1.048307E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001721E-30
     38  3.199702121451E-04  1.033541E-30  1.051846E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001849E-30
     39  3.524429751724E-04  1.036936E-30  1.057070E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002037E-30
     40  3.836809895565E-04  1.040201E-30  1.062089E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002218E-30
     41  4.138876583201E-04  1.043356E-30  1.066936E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002393E-30
     42  4.432651277490E-04  1.046424E-30  1.071644E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002564E-30
     43  4.720041568584E-04  1.049424E-30  1.076245E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002731E-30
     44  5.002792532552E-04  1.052374E-30  1.080766E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002895E-30
     45  5.282472522620E-04  1.055290E-30  1.085232E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003058E-30
     46  5.560479783168E-04  1.058189E-30  1.089667E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003220E-30
     47  5.838060709037E-04  1.061081E-30  1.094091E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003381E-30
     48  6.116334118686E-04  1.063980E-30  1.098520E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003543E-30
     49  6.396318340541E-04  1.066895E-30  1.102971E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003707E-30
     50  6.678959636874E-04  1.069837E-30  1.107460E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003871E-30
     51  6.965161747902E-04  1.072814E-30  1.111999E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004038E-30
