 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pb238         pb239         pb240         pb241         pb242         pb243         pb244         pb245
     41  4.138876583201E-04  1.004346E-30  1.005098E-30  1.003971E-30  1.081018E-30  1.000000E-30  1.024165E-30  1.015136E-30  1.032417E-30
     42  4.432651277490E-04  1.004658E-30  1.005463E-30  1.004251E-30  1.086727E-30  1.000000E-30  1.025858E-30  1.016192E-30  1.034681E-30
     43  4.720041568584E-04  1.004963E-30  1.005821E-30  1.004525E-30  1.092306E-30  1.000000E-30  1.027511E-30  1.017223E-30  1.036892E-30
     44  5.002792532552E-04  1.005264E-30  1.006173E-30  1.004794E-30  1.097790E-30  1.000000E-30  1.029135E-30  1.018236E-30  1.039062E-30
     45  5.282472522620E-04  1.005563E-30  1.006521E-30  1.005060E-30  1.103210E-30  1.000000E-30  1.030738E-30  1.019235E-30  1.041204E-30
     46  5.560479783168E-04  1.005860E-30  1.006868E-30  1.005324E-30  1.108593E-30  1.000000E-30  1.032329E-30  1.020226E-30  1.043329E-30
     47  5.838060709037E-04  1.006156E-30  1.007215E-30  1.005587E-30  1.113962E-30  1.000000E-30  1.033916E-30  1.021214E-30  1.045447E-30
     48  6.116334118686E-04  1.006455E-30  1.007563E-30  1.005851E-30  1.119340E-30  1.000000E-30  1.035503E-30  1.022202E-30  1.047565E-30
     49  6.396318340541E-04  1.006755E-30  1.007914E-30  1.006116E-30  1.124745E-30  1.000000E-30  1.037098E-30  1.023193E-30  1.049693E-30
     50  6.678959636874E-04  1.007058E-30  1.008268E-30  1.006383E-30  1.130198E-30  1.000000E-30  1.038705E-30  1.024193E-30  1.051836E-30
     51  6.965161747902E-04  1.007366E-30  1.008627E-30  1.006654E-30  1.135713E-30  1.000000E-30  1.040330E-30  1.025202E-30  1.054002E-30
     52  7.255817382538E-04  1.007679E-30  1.008992E-30  1.006928E-30  1.141309E-30  1.000000E-30  1.041977E-30  1.026226E-30  1.056197E-30
     53  7.551843574001E-04  1.007999E-30  1.009364E-30  1.007207E-30  1.147004E-30  1.000000E-30  1.043651E-30  1.027265E-30  1.058427E-30
     54  7.854224313090E-04  1.008325E-30  1.009745E-30  1.007492E-30  1.152814E-30  1.000000E-30  1.045359E-30  1.028325E-30  1.060701E-30
     55  8.164066374138E-04  1.008660E-30  1.010135E-30  1.007784E-30  1.158762E-30  1.000000E-30  1.047106E-30  1.029408E-30  1.063026E-30
     56  8.482679080764E-04  1.009006E-30  1.010537E-30  1.008084E-30  1.164873E-30  1.000000E-30  1.048898E-30  1.030520E-30  1.065410E-30
     57  8.811699017317E-04  1.009363E-30  1.010953E-30  1.008393E-30  1.171176E-30  1.000000E-30  1.050746E-30  1.031664E-30  1.067868E-30
