 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                eu185         eu186         eu187         eu188         eu189         eu190         gd139         gd140
     41  4.138876583201E-04  1.010780E-30  1.005851E-30  1.008268E-30  1.027278E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.011544E-30  1.006261E-30  1.008848E-30  1.029195E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.012292E-30  1.006661E-30  1.009413E-30  1.031067E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.013027E-30  1.007054E-30  1.009968E-30  1.032907E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.013754E-30  1.007443E-30  1.010517E-30  1.034725E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.014477E-30  1.007828E-30  1.011061E-30  1.036529E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.015198E-30  1.008212E-30  1.011604E-30  1.038328E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.015921E-30  1.008597E-30  1.012147E-30  1.040129E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.016649E-30  1.008983E-30  1.012692E-30  1.041940E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.017383E-30  1.009373E-30  1.013242E-30  1.043764E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.018127E-30  1.009766E-30  1.013797E-30  1.045610E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.018881E-30  1.010165E-30  1.014360E-30  1.047482E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.019650E-30  1.010571E-30  1.014933E-30  1.049386E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.020435E-30  1.010985E-30  1.015517E-30  1.051328E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.021239E-30  1.011408E-30  1.016114E-30  1.053315E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.022066E-30  1.011842E-30  1.016727E-30  1.055355E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.022919E-30  1.012290E-30  1.017359E-30  1.057459E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.023805E-30  1.012754E-30  1.018013E-30  1.059640E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.024732E-30  1.013238E-30  1.018696E-30  1.061918E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.025712E-30  1.013750E-30  1.019418E-30  1.064324E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.026771E-30  1.014301E-30  1.020195E-30  1.066920E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.027990E-30  1.014935E-30  1.021089E-30  1.069903E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.029302E-30  1.015615E-30  1.022048E-30  1.073108E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.030643E-30  1.016308E-30  1.023025E-30  1.076376E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.032000E-30  1.017008E-30  1.024011E-30  1.079678E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.033370E-30  1.017712E-30  1.025004E-30  1.083004E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.034751E-30  1.018420E-30  1.026002E-30  1.086349E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.036141E-30  1.019131E-30  1.027004E-30  1.089710E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.037540E-30  1.019845E-30  1.028009E-30  1.093086E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.038948E-30  1.020561E-30  1.029019E-30  1.096477E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.040365E-30  1.021280E-30  1.030031E-30  1.099882E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.041790E-30  1.022001E-30  1.031047E-30  1.103301E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.043224E-30  1.022725E-30  1.032066E-30  1.106733E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.044667E-30  1.023451E-30  1.033088E-30  1.110178E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.046118E-30  1.024179E-30  1.034113E-30  1.113637E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.047577E-30  1.024909E-30  1.035141E-30  1.117108E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.049045E-30  1.025642E-30  1.036172E-30  1.120592E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.050521E-30  1.026377E-30  1.037206E-30  1.124088E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.052005E-30  1.027113E-30  1.038243E-30  1.127596E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.053498E-30  1.027852E-30  1.039282E-30  1.131117E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.054999E-30  1.028593E-30  1.040324E-30  1.134650E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.056508E-30  1.029336E-30  1.041368E-30  1.138194E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.058025E-30  1.030080E-30  1.042415E-30  1.141750E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.059551E-30  1.030827E-30  1.043465E-30  1.145317E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.061084E-30  1.031575E-30  1.044517E-30  1.148895E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.062625E-30  1.032325E-30  1.045571E-30  1.152484E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.064175E-30  1.033077E-30  1.046627E-30  1.156085E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.065732E-30  1.033830E-30  1.047686E-30  1.159695E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.067297E-30  1.034585E-30  1.048746E-30  1.163317E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.068870E-30  1.035342E-30  1.049809E-30  1.166948E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.070451E-30  1.036100E-30  1.050874E-30  1.170590E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.072040E-30  1.036859E-30  1.051941E-30  1.174242E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.073636E-30  1.037621E-30  1.053009E-30  1.177903E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.075240E-30  1.038383E-30  1.054080E-30  1.181574E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.076852E-30  1.039147E-30  1.055152E-30  1.185255E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
