 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mo118         mo119         mo120         mo121         mo122         mo123         mo124         mo125
     41  4.138876583201E-04  1.016621E-30  1.024220E-30  1.023159E-30  1.033040E-30  1.006451E-30  1.050723E-30  1.053089E-30  1.000000E-30
     42  4.432651277490E-04  1.017801E-30  1.025932E-30  1.024800E-30  1.035369E-30  1.006943E-30  1.054307E-30  1.056803E-30  1.000000E-30
     43  4.720041568584E-04  1.018955E-30  1.027607E-30  1.026405E-30  1.037645E-30  1.007428E-30  1.057810E-30  1.060429E-30  1.000000E-30
     44  5.002792532552E-04  1.020090E-30  1.029254E-30  1.027984E-30  1.039883E-30  1.007909E-30  1.061255E-30  1.063990E-30  1.000000E-30
     45  5.282472522620E-04  1.021213E-30  1.030882E-30  1.029546E-30  1.042094E-30  1.008390E-30  1.064660E-30  1.067506E-30  1.000000E-30
     46  5.560479783168E-04  1.022329E-30  1.032500E-30  1.031098E-30  1.044290E-30  1.008871E-30  1.068043E-30  1.070994E-30  1.000000E-30
     47  5.838060709037E-04  1.023444E-30  1.034115E-30  1.032647E-30  1.046481E-30  1.009355E-30  1.071419E-30  1.074471E-30  1.000000E-30
     48  6.116334118686E-04  1.024561E-30  1.035734E-30  1.034199E-30  1.048675E-30  1.009845E-30  1.074801E-30  1.077950E-30  1.000000E-30
     49  6.396318340541E-04  1.025685E-30  1.037361E-30  1.035761E-30  1.050881E-30  1.010341E-30  1.078202E-30  1.081444E-30  1.000000E-30
     50  6.678959636874E-04  1.026821E-30  1.039004E-30  1.037337E-30  1.053106E-30  1.010846E-30  1.081633E-30  1.084965E-30  1.000000E-30
     51  6.965161747902E-04  1.027970E-30  1.040667E-30  1.038933E-30  1.055357E-30  1.011362E-30  1.085106E-30  1.088523E-30  1.000000E-30
     52  7.255817382538E-04  1.029138E-30  1.042355E-30  1.040553E-30  1.057641E-30  1.011890E-30  1.088630E-30  1.092130E-30  1.000000E-30
     53  7.551843574001E-04  1.030327E-30  1.044074E-30  1.042203E-30  1.059965E-30  1.012431E-30  1.092217E-30  1.095796E-30  1.000000E-30
     54  7.854224313090E-04  1.031542E-30  1.045829E-30  1.043888E-30  1.062337E-30  1.012989E-30  1.095879E-30  1.099534E-30  1.000000E-30
     55  8.164066374138E-04  1.032787E-30  1.047627E-30  1.045614E-30  1.064765E-30  1.013566E-30  1.099628E-30  1.103357E-30  1.000000E-30
