 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                o13           o14           o15           o16           o17           o18           o19           o20  
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000008E-30  1.000015E-30  1.000095E-30  1.000215E-30  1.000448E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000009E-30  1.000017E-30  1.000107E-30  1.000242E-30  1.000505E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000010E-30  1.000019E-30  1.000120E-30  1.000271E-30  1.000565E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000012E-30  1.000021E-30  1.000133E-30  1.000302E-30  1.000629E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000013E-30  1.000024E-30  1.000153E-30  1.000346E-30  1.000721E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000016E-30  1.000030E-30  1.000189E-30  1.000429E-30  1.000895E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000019E-30  1.000035E-30  1.000223E-30  1.000505E-30  1.001052E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000022E-30  1.000040E-30  1.000253E-30  1.000573E-30  1.001196E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000024E-30  1.000045E-30  1.000281E-30  1.000637E-30  1.001329E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000027E-30  1.000049E-30  1.000308E-30  1.000697E-30  1.001454E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000029E-30  1.000053E-30  1.000333E-30  1.000755E-30  1.001574E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000031E-30  1.000057E-30  1.000358E-30  1.000810E-30  1.001690E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000034E-30  1.000062E-30  1.000394E-30  1.000892E-30  1.001861E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000037E-30  1.000068E-30  1.000429E-30  1.000971E-30  1.002026E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000040E-30  1.000073E-30  1.000463E-30  1.001048E-30  1.002186E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000043E-30  1.000078E-30  1.000496E-30  1.001122E-30  1.002341E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000046E-30  1.000084E-30  1.000528E-30  1.001195E-30  1.002492E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000049E-30  1.000089E-30  1.000560E-30  1.001267E-30  1.002642E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000051E-30  1.000094E-30  1.000591E-30  1.001337E-30  1.002789E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000054E-30  1.000098E-30  1.000622E-30  1.001408E-30  1.002936E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000057E-30  1.000103E-30  1.000653E-30  1.001478E-30  1.003083E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000059E-30  1.000108E-30  1.000684E-30  1.001549E-30  1.003230E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000062E-30  1.000113E-30  1.000716E-30  1.001620E-30  1.003378E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000065E-30  1.000118E-30  1.000748E-30  1.001691E-30  1.003527E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000068E-30  1.000123E-30  1.000780E-30  1.001764E-30  1.003678E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000071E-30  1.000128E-30  1.000812E-30  1.001837E-30  1.003831E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000073E-30  1.000134E-30  1.000845E-30  1.001912E-30  1.003988E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000076E-30  1.000139E-30  1.000879E-30  1.001989E-30  1.004147E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000079E-30  1.000145E-30  1.000914E-30  1.002067E-30  1.004311E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000082E-30  1.000150E-30  1.000950E-30  1.002148E-30  1.004479E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000086E-30  1.000156E-30  1.000987E-30  1.002231E-30  1.004653E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000089E-30  1.000162E-30  1.001025E-30  1.002318E-30  1.004833E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000092E-30  1.000168E-30  1.001065E-30  1.002408E-30  1.005022E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000096E-30  1.000175E-30  1.001108E-30  1.002504E-30  1.005222E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000100E-30  1.000182E-30  1.001154E-30  1.002607E-30  1.005438E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000105E-30  1.000191E-30  1.001207E-30  1.002726E-30  1.005686E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000110E-30  1.000200E-30  1.001264E-30  1.002855E-30  1.005954E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000115E-30  1.000209E-30  1.001322E-30  1.002986E-30  1.006227E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000120E-30  1.000218E-30  1.001381E-30  1.003119E-30  1.006504E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000125E-30  1.000228E-30  1.001441E-30  1.003253E-30  1.006784E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000130E-30  1.000237E-30  1.001501E-30  1.003388E-30  1.007066E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000135E-30  1.000247E-30  1.001561E-30  1.003524E-30  1.007350E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000141E-30  1.000256E-30  1.001622E-30  1.003661E-30  1.007636E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000146E-30  1.000266E-30  1.001684E-30  1.003799E-30  1.007923E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000151E-30  1.000276E-30  1.001746E-30  1.003938E-30  1.008213E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000157E-30  1.000286E-30  1.001808E-30  1.004078E-30  1.008505E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000162E-30  1.000295E-30  1.001871E-30  1.004219E-30  1.008799E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000168E-30  1.000305E-30  1.001934E-30  1.004361E-30  1.009094E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000173E-30  1.000315E-30  1.001998E-30  1.004503E-30  1.009392E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000179E-30  1.000326E-30  1.002062E-30  1.004647E-30  1.009691E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000184E-30  1.000336E-30  1.002126E-30  1.004791E-30  1.009992E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000190E-30  1.000346E-30  1.002191E-30  1.004937E-30  1.010295E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000195E-30  1.000356E-30  1.002256E-30  1.005083E-30  1.010600E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000201E-30  1.000367E-30  1.002322E-30  1.005230E-30  1.010907E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000207E-30  1.000377E-30  1.002388E-30  1.005378E-30  1.011216E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000212E-30  1.000387E-30  1.002455E-30  1.005527E-30  1.011526E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000218E-30  1.000398E-30  1.002522E-30  1.005677E-30  1.011838E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000224E-30  1.000409E-30  1.002589E-30  1.005827E-30  1.012153E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000230E-30  1.000419E-30  1.002657E-30  1.005979E-30  1.012469E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000236E-30  1.000430E-30  1.002725E-30  1.006131E-30  1.012787E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000242E-30  1.000441E-30  1.002794E-30  1.006284E-30  1.013106E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000247E-30  1.000452E-30  1.002863E-30  1.006439E-30  1.013428E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000253E-30  1.000463E-30  1.002933E-30  1.006594E-30  1.013751E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000259E-30  1.000473E-30  1.003003E-30  1.006750E-30  1.014077E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000265E-30  1.000485E-30  1.003073E-30  1.006907E-30  1.014404E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000272E-30  1.000496E-30  1.003144E-30  1.007064E-30  1.014733E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000278E-30  1.000507E-30  1.003215E-30  1.007223E-30  1.015064E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000284E-30  1.000518E-30  1.003287E-30  1.007382E-30  1.015396E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000290E-30  1.000529E-30  1.003359E-30  1.007543E-30  1.015731E-30
