 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nd172         nd173         nd174         nd175         nd176         nd177         nd178         pm130
     41  4.138876583201E-04  1.007111E-30  1.012014E-30  1.013662E-30  1.017087E-30  1.024755E-30  1.011238E-30  1.019513E-30  1.000000E-30
     42  4.432651277490E-04  1.007622E-30  1.012873E-30  1.014643E-30  1.018319E-30  1.026492E-30  1.012021E-30  1.020873E-30  1.000000E-30
     43  4.720041568584E-04  1.008122E-30  1.013714E-30  1.015603E-30  1.019527E-30  1.028189E-30  1.012785E-30  1.022200E-30  1.000000E-30
     44  5.002792532552E-04  1.008615E-30  1.014541E-30  1.016549E-30  1.020717E-30  1.029856E-30  1.013535E-30  1.023503E-30  1.000000E-30
     45  5.282472522620E-04  1.009103E-30  1.015361E-30  1.017486E-30  1.021897E-30  1.031502E-30  1.014275E-30  1.024788E-30  1.000000E-30
     46  5.560479783168E-04  1.009588E-30  1.016176E-30  1.018419E-30  1.023071E-30  1.033136E-30  1.015009E-30  1.026063E-30  1.000000E-30
     47  5.838060709037E-04  1.010074E-30  1.016991E-30  1.019351E-30  1.024246E-30  1.034766E-30  1.015739E-30  1.027333E-30  1.000000E-30
     48  6.116334118686E-04  1.010562E-30  1.017808E-30  1.020287E-30  1.025427E-30  1.036397E-30  1.016470E-30  1.028603E-30  1.000000E-30
     49  6.396318340541E-04  1.011053E-30  1.018631E-30  1.021230E-30  1.026616E-30  1.038035E-30  1.017204E-30  1.029878E-30  1.000000E-30
     50  6.678959636874E-04  1.011550E-30  1.019462E-30  1.022183E-30  1.027819E-30  1.039687E-30  1.017943E-30  1.031163E-30  1.000000E-30
     51  6.965161747902E-04  1.012053E-30  1.020305E-30  1.023149E-30  1.029040E-30  1.041358E-30  1.018689E-30  1.032460E-30  1.000000E-30
     52  7.255817382538E-04  1.012566E-30  1.021161E-30  1.024131E-30  1.030281E-30  1.043051E-30  1.019446E-30  1.033774E-30  1.000000E-30
     53  7.551843574001E-04  1.013088E-30  1.022034E-30  1.025133E-30  1.031549E-30  1.044774E-30  1.020214E-30  1.035110E-30  1.000000E-30
     54  7.854224313090E-04  1.013623E-30  1.022927E-30  1.026158E-30  1.032845E-30  1.046531E-30  1.020997E-30  1.036470E-30  1.000000E-30
     55  8.164066374138E-04  1.014171E-30  1.023842E-30  1.027210E-30  1.034177E-30  1.048328E-30  1.021797E-30  1.037861E-30  1.000000E-30
     56  8.482679080764E-04  1.014736E-30  1.024784E-30  1.028293E-30  1.035548E-30  1.050173E-30  1.022617E-30  1.039288E-30  1.000000E-30
     57  8.811699017317E-04  1.015320E-30  1.025758E-30  1.029412E-30  1.036967E-30  1.052075E-30  1.023462E-30  1.040757E-30  1.000000E-30
     58  9.153304977871E-04  1.015928E-30  1.026769E-30  1.030577E-30  1.038444E-30  1.054046E-30  1.024337E-30  1.042278E-30  1.000000E-30
     59  9.510634923056E-04  1.016565E-30  1.027829E-30  1.031796E-30  1.039992E-30  1.056105E-30  1.025249E-30  1.043864E-30  1.000000E-30
     60  9.888739022907E-04  1.017240E-30  1.028951E-30  1.033089E-30  1.041633E-30  1.058279E-30  1.026212E-30  1.045538E-30  1.000000E-30
     61  1.029744313280E-03  1.017971E-30  1.030165E-30  1.034489E-30  1.043412E-30  1.060624E-30  1.027248E-30  1.047341E-30  1.000000E-30
     62  1.076805333108E-03  1.018815E-30  1.031565E-30  1.036103E-30  1.045465E-30  1.063319E-30  1.028438E-30  1.049410E-30  1.000000E-30
     63  1.127478238084E-03  1.019726E-30  1.033074E-30  1.037845E-30  1.047682E-30  1.066213E-30  1.029713E-30  1.051629E-30  1.000000E-30
