 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tb187         tb188         tb189         tb190         tb191         tb192         dy143         dy144
     41  4.138876583201E-04  1.001884E-30  1.001278E-30  1.007298E-30  1.005298E-30  1.017549E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.002023E-30  1.001371E-30  1.007820E-30  1.005687E-30  1.018783E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.002159E-30  1.001462E-30  1.008331E-30  1.006070E-30  1.019988E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.002294E-30  1.001551E-30  1.008835E-30  1.006448E-30  1.021172E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.002427E-30  1.001640E-30  1.009334E-30  1.006824E-30  1.022342E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.002561E-30  1.001729E-30  1.009830E-30  1.007199E-30  1.023504E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.002694E-30  1.001818E-30  1.010326E-30  1.007575E-30  1.024662E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.002829E-30  1.001907E-30  1.010824E-30  1.007954E-30  1.025822E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.002965E-30  1.001997E-30  1.011326E-30  1.008336E-30  1.026988E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.003103E-30  1.002088E-30  1.011832E-30  1.008724E-30  1.028163E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.003243E-30  1.002180E-30  1.012346E-30  1.009118E-30  1.029351E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.003386E-30  1.002274E-30  1.012868E-30  1.009520E-30  1.030557E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.003533E-30  1.002371E-30  1.013400E-30  1.009931E-30  1.031783E-30  1.000000E-30  1.000000E-30  1.000000E-30
