 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ga83          ga84          ga85          ga86          ga87          ga88          ga89          ga90 
     41  4.138876583201E-04  1.011842E-30  1.000820E-30  1.009156E-30  1.002384E-30  1.009362E-30  1.006023E-30  1.014180E-30  1.000000E-30
     42  4.432651277490E-04  1.012682E-30  1.000880E-30  1.009809E-30  1.002573E-30  1.010023E-30  1.006445E-30  1.015176E-30  1.000000E-30
     43  4.720041568584E-04  1.013504E-30  1.000939E-30  1.010449E-30  1.002762E-30  1.010669E-30  1.006857E-30  1.016148E-30  1.000000E-30
     44  5.002792532552E-04  1.014312E-30  1.000998E-30  1.011078E-30  1.002949E-30  1.011305E-30  1.007262E-30  1.017104E-30  1.000000E-30
     45  5.282472522620E-04  1.015112E-30  1.001056E-30  1.011700E-30  1.003138E-30  1.011932E-30  1.007661E-30  1.018048E-30  1.000000E-30
     46  5.560479783168E-04  1.015907E-30  1.001114E-30  1.012320E-30  1.003327E-30  1.012556E-30  1.008057E-30  1.018985E-30  1.000000E-30
     47  5.838060709037E-04  1.016700E-30  1.001172E-30  1.012939E-30  1.003519E-30  1.013178E-30  1.008453E-30  1.019919E-30  1.000000E-30
     48  6.116334118686E-04  1.017496E-30  1.001230E-30  1.013559E-30  1.003713E-30  1.013802E-30  1.008848E-30  1.020854E-30  1.000000E-30
     49  6.396318340541E-04  1.018296E-30  1.001289E-30  1.014184E-30  1.003911E-30  1.014429E-30  1.009245E-30  1.021794E-30  1.000000E-30
     50  6.678959636874E-04  1.019104E-30  1.001349E-30  1.014815E-30  1.004114E-30  1.015061E-30  1.009645E-30  1.022741E-30  1.000000E-30
     51  6.965161747902E-04  1.019922E-30  1.001410E-30  1.015455E-30  1.004321E-30  1.015701E-30  1.010050E-30  1.023699E-30  1.000000E-30
     52  7.255817382538E-04  1.020752E-30  1.001472E-30  1.016105E-30  1.004535E-30  1.016350E-30  1.010460E-30  1.024670E-30  1.000000E-30
     53  7.551843574001E-04  1.021598E-30  1.001535E-30  1.016767E-30  1.004755E-30  1.017011E-30  1.010877E-30  1.025658E-30  1.000000E-30
     54  7.854224313090E-04  1.022462E-30  1.001601E-30  1.017444E-30  1.004982E-30  1.017685E-30  1.011302E-30  1.026666E-30  1.000000E-30
     55  8.164066374138E-04  1.023348E-30  1.001668E-30  1.018138E-30  1.005218E-30  1.018376E-30  1.011737E-30  1.027697E-30  1.000000E-30
     56  8.482679080764E-04  1.024258E-30  1.001737E-30  1.018852E-30  1.005464E-30  1.019086E-30  1.012183E-30  1.028756E-30  1.000000E-30
     57  8.811699017317E-04  1.025198E-30  1.001809E-30  1.019590E-30  1.005721E-30  1.019818E-30  1.012643E-30  1.029847E-30  1.000000E-30
     58  9.153304977871E-04  1.026174E-30  1.001883E-30  1.020356E-30  1.005992E-30  1.020577E-30  1.013120E-30  1.030979E-30  1.000000E-30
     59  9.510634923056E-04  1.027195E-30  1.001962E-30  1.021159E-30  1.006278E-30  1.021371E-30  1.013617E-30  1.032160E-30  1.000000E-30
     60  9.888739022907E-04  1.028274E-30  1.002046E-30  1.022008E-30  1.006586E-30  1.022211E-30  1.014143E-30  1.033408E-30  1.000000E-30
     61  1.029744313280E-03  1.029442E-30  1.002137E-30  1.022928E-30  1.006923E-30  1.023117E-30  1.014709E-30  1.034754E-30  1.000000E-30
     62  1.076805333108E-03  1.030786E-30  1.002242E-30  1.023987E-30  1.007318E-30  1.024159E-30  1.015359E-30  1.036301E-30  1.000000E-30
     63  1.127478238084E-03  1.032232E-30  1.002356E-30  1.025129E-30  1.007750E-30  1.025280E-30  1.016058E-30  1.037962E-30  1.000000E-30
     64  1.179263354774E-03  1.033711E-30  1.002474E-30  1.026297E-30  1.008200E-30  1.026425E-30  1.016769E-30  1.039656E-30  1.000000E-30
     65  1.231720185468E-03  1.035208E-30  1.002594E-30  1.027481E-30  1.008664E-30  1.027582E-30  1.017487E-30  1.041367E-30  1.000000E-30
     66  1.284679788904E-03  1.036720E-30  1.002715E-30  1.028679E-30  1.009141E-30  1.028749E-30  1.018210E-30  1.043090E-30  1.000000E-30
     67  1.338068714676E-03  1.038244E-30  1.002839E-30  1.029887E-30  1.009630E-30  1.029924E-30  1.018936E-30  1.044823E-30  1.000000E-30
     68  1.391852718980E-03  1.039779E-30  1.002965E-30  1.031105E-30  1.010131E-30  1.031107E-30  1.019665E-30  1.046564E-30  1.000000E-30
     69  1.446014888479E-03  1.041324E-30  1.003092E-30  1.032333E-30  1.010645E-30  1.032296E-30  1.020397E-30  1.048312E-30  1.000000E-30
     70  1.500546342624E-03  1.042880E-30  1.003221E-30  1.033571E-30  1.011171E-30  1.033491E-30  1.021132E-30  1.050068E-30  1.000000E-30
     71  1.555442065896E-03  1.044446E-30  1.003351E-30  1.034818E-30  1.011709E-30  1.034693E-30  1.021869E-30  1.051831E-30  1.000000E-30
