 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                s43           s44           s45           s46           s47           s48           s49           cl28 
     27  8.489118412102E-05  1.001404E-30  1.001308E-30  1.001624E-30  2.950363E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  9.570255892797E-05  1.001583E-30  1.001474E-30  1.001831E-30  3.324587E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  1.070853065563E-04  1.001772E-30  1.001649E-30  1.002049E-30  3.718527E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  1.190882425669E-04  1.001971E-30  1.001834E-30  1.002278E-30  4.133851E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  1.366291075688E-04  1.002262E-30  1.002104E-30  1.002613E-30  4.740510E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  1.695708820900E-04  1.002809E-30  1.002611E-30  1.003243E-30  5.879641E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  1.992873377730E-04  1.003303E-30  1.003069E-30  1.003811E-30  6.906854E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  2.264248739983E-04  1.003754E-30  1.003486E-30  1.004329E-30  7.844581E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  2.515933231106E-04  1.004173E-30  1.003873E-30  1.004810E-30  8.713965E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  2.753099894686E-04  1.004568E-30  1.004238E-30  1.005262E-30  9.532929E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  2.979926919870E-04  1.004947E-30  1.004587E-30  1.005695E-30  1.031594E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  3.199702121451E-04  1.005314E-30  1.004925E-30  1.006115E-30  1.107389E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  3.524429751724E-04  1.005856E-30  1.005424E-30  1.006734E-30  1.219397E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  3.836809895565E-04  1.006379E-30  1.005904E-30  1.007330E-30  1.327101E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  4.138876583201E-04  1.006884E-30  1.006368E-30  1.007906E-30  1.431206E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.007377E-30  1.006820E-30  1.008465E-30  1.532413E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.007859E-30  1.007261E-30  1.009013E-30  1.631381E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.008334E-30  1.007695E-30  1.009551E-30  1.728714E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.008804E-30  1.008125E-30  1.010084E-30  1.824952E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.009271E-30  1.008551E-30  1.010613E-30  1.920578E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.009739E-30  1.008977E-30  1.011141E-30  2.016021E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.010208E-30  1.009404E-30  1.011671E-30  2.111665E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.010680E-30  1.009834E-30  1.012203E-30  2.207859E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.011158E-30  1.010267E-30  1.012741E-30  2.304929E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.011641E-30  1.010706E-30  1.013285E-30  2.403181E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.012133E-30  1.011152E-30  1.013837E-30  2.502923E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.012635E-30  1.011606E-30  1.014399E-30  2.604465E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.013147E-30  1.012069E-30  1.014974E-30  2.708143E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.013673E-30  1.012544E-30  1.015562E-30  2.814333E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.014214E-30  1.013032E-30  1.016167E-30  2.923479E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.014774E-30  1.013536E-30  1.016791E-30  3.036138E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.015356E-30  1.014059E-30  1.017439E-30  3.153048E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.015965E-30  1.014606E-30  1.018116E-30  3.275276E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.016610E-30  1.015185E-30  1.018833E-30  3.404536E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.017308E-30  1.015810E-30  1.019607E-30  3.544167E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.018114E-30  1.016530E-30  1.020498E-30  3.704813E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.018982E-30  1.017305E-30  1.021458E-30  3.877649E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.019871E-30  1.018096E-30  1.022437E-30  4.054147E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.020773E-30  1.018898E-30  1.023429E-30  4.232800E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.021686E-30  1.019707E-30  1.024430E-30  4.413031E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.022607E-30  1.020522E-30  1.025438E-30  4.594587E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.023537E-30  1.021343E-30  1.026453E-30  4.777348E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.024475E-30  1.022169E-30  1.027475E-30  4.961254E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.025421E-30  1.023001E-30  1.028503E-30  5.146273E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.026375E-30  1.023838E-30  1.029538E-30  5.332384E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.027337E-30  1.024680E-30  1.030579E-30  5.519574E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.028306E-30  1.025528E-30  1.031626E-30  5.707835E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.029284E-30  1.026380E-30  1.032679E-30  5.897157E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.030270E-30  1.027237E-30  1.033738E-30  6.087533E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.031264E-30  1.028100E-30  1.034803E-30  6.278961E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.032266E-30  1.028968E-30  1.035874E-30  6.471434E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.033276E-30  1.029840E-30  1.036952E-30  6.664949E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.034293E-30  1.030718E-30  1.038035E-30  6.859500E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.035319E-30  1.031601E-30  1.039124E-30  7.055083E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.036353E-30  1.032488E-30  1.040219E-30  7.251693E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.037396E-30  1.033381E-30  1.041321E-30  7.449325E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.038446E-30  1.034279E-30  1.042428E-30  7.647975E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.039504E-30  1.035181E-30  1.043541E-30  7.847637E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.040571E-30  1.036089E-30  1.044660E-30  8.048307E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.041646E-30  1.037001E-30  1.045784E-30  8.249980E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.042729E-30  1.037919E-30  1.046915E-30  8.452653E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.043820E-30  1.038841E-30  1.048051E-30  8.656320E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.044920E-30  1.039768E-30  1.049193E-30  8.860978E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.046028E-30  1.040700E-30  1.050341E-30  9.066622E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.047144E-30  1.041637E-30  1.051495E-30  9.273248E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.048269E-30  1.042579E-30  1.052654E-30  9.480852E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.049402E-30  1.043526E-30  1.053820E-30  9.689430E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.050543E-30  1.044477E-30  1.054990E-30  9.898978E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.051693E-30  1.045433E-30  1.056167E-30  1.010949E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
