 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nb113         nb114         nb115         nb116         nb117         nb118         nb119         nb120
     41  4.138876583201E-04  1.002970E-30  1.002063E-30  1.000000E-30  1.003861E-30  1.000000E-30  1.005282E-30  1.001067E-30  1.006058E-30
     42  4.432651277490E-04  1.003185E-30  1.002228E-30  1.000000E-30  1.004160E-30  1.000000E-30  1.005707E-30  1.001211E-30  1.006480E-30
     43  4.720041568584E-04  1.003397E-30  1.002391E-30  1.000000E-30  1.004456E-30  1.000000E-30  1.006129E-30  1.001360E-30  1.006891E-30
     44  5.002792532552E-04  1.003605E-30  1.002554E-30  1.000000E-30  1.004751E-30  1.000000E-30  1.006550E-30  1.001515E-30  1.007295E-30
     45  5.282472522620E-04  1.003812E-30  1.002717E-30  1.000000E-30  1.005045E-30  1.000000E-30  1.006973E-30  1.001676E-30  1.007694E-30
     46  5.560479783168E-04  1.004018E-30  1.002882E-30  1.000000E-30  1.005340E-30  1.000000E-30  1.007398E-30  1.001844E-30  1.008090E-30
     47  5.838060709037E-04  1.004224E-30  1.003048E-30  1.000000E-30  1.005638E-30  1.000000E-30  1.007829E-30  1.002020E-30  1.008483E-30
     48  6.116334118686E-04  1.004432E-30  1.003217E-30  1.000000E-30  1.005940E-30  1.000000E-30  1.008266E-30  1.002204E-30  1.008877E-30
     49  6.396318340541E-04  1.004641E-30  1.003389E-30  1.000000E-30  1.006246E-30  1.000000E-30  1.008712E-30  1.002396E-30  1.009273E-30
     50  6.678959636874E-04  1.004853E-30  1.003565E-30  1.000000E-30  1.006558E-30  1.000000E-30  1.009168E-30  1.002598E-30  1.009671E-30
     51  6.965161747902E-04  1.005068E-30  1.003745E-30  1.000000E-30  1.006877E-30  1.000000E-30  1.009636E-30  1.002811E-30  1.010073E-30
     52  7.255817382538E-04  1.005287E-30  1.003931E-30  1.000000E-30  1.007204E-30  1.000000E-30  1.010117E-30  1.003035E-30  1.010480E-30
     53  7.551843574001E-04  1.005510E-30  1.004122E-30  1.000000E-30  1.007541E-30  1.000000E-30  1.010613E-30  1.003272E-30  1.010894E-30
     54  7.854224313090E-04  1.005739E-30  1.004320E-30  1.000000E-30  1.007888E-30  1.000000E-30  1.011126E-30  1.003522E-30  1.011316E-30
     55  8.164066374138E-04  1.005975E-30  1.004525E-30  1.000000E-30  1.008247E-30  1.000000E-30  1.011658E-30  1.003788E-30  1.011747E-30
     56  8.482679080764E-04  1.006217E-30  1.004738E-30  1.000000E-30  1.008620E-30  1.000000E-30  1.012213E-30  1.004071E-30  1.012189E-30
     57  8.811699017317E-04  1.006469E-30  1.004962E-30  1.000000E-30  1.009009E-30  1.000000E-30  1.012793E-30  1.004374E-30  1.012644E-30
