 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cr75          mn44          mn45          mn46          mn47          mn48          mn49          mn50 
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001210E-30  1.002110E-30  1.000967E-30  1.000687E-30  1.000172E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001364E-30  1.002379E-30  1.001090E-30  1.000774E-30  1.000194E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001527E-30  1.002662E-30  1.001220E-30  1.000866E-30  1.000217E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001697E-30  1.002960E-30  1.001357E-30  1.000963E-30  1.000241E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001947E-30  1.003396E-30  1.001558E-30  1.001105E-30  1.000277E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002416E-30  1.004214E-30  1.001935E-30  1.001372E-30  1.000344E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002838E-30  1.004952E-30  1.002275E-30  1.001613E-30  1.000404E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003224E-30  1.005625E-30  1.002587E-30  1.001832E-30  1.000459E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003581E-30  1.006250E-30  1.002876E-30  1.002036E-30  1.000510E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003918E-30  1.006839E-30  1.003149E-30  1.002228E-30  1.000559E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004240E-30  1.007402E-30  1.003410E-30  1.002412E-30  1.000605E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004551E-30  1.007947E-30  1.003663E-30  1.002590E-30  1.000650E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005012E-30  1.008753E-30  1.004038E-30  1.002853E-30  1.000716E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005454E-30  1.009527E-30  1.004399E-30  1.003106E-30  1.000779E-30
