 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                si36          si37          si38          si39          si40          si41          si42          si43 
     41  4.138876583201E-04  1.002569E-30  1.566826E-29  1.000000E-30  1.061015E-30  1.064673E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.002753E-30  1.781077E-29  1.000000E-30  1.065342E-30  1.069244E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.002933E-30  2.004637E-29  1.000000E-30  1.069574E-30  1.073713E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.003110E-30  2.238040E-29  1.000000E-30  1.073738E-30  1.078108E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.003286E-30  2.482006E-29  1.000000E-30  1.077855E-30  1.082453E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.003460E-30  2.737396E-29  1.000000E-30  1.081948E-30  1.086770E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.003635E-30  3.005185E-29  1.000000E-30  1.086034E-30  1.091078E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.003810E-30  3.286444E-29  1.000000E-30  1.090130E-30  1.095394E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.003986E-30  3.582343E-29  1.000000E-30  1.094250E-30  1.099735E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.004165E-30  3.894157E-29  1.000000E-30  1.098409E-30  1.104114E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.004345E-30  4.223292E-29  1.000000E-30  1.102620E-30  1.108547E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.004529E-30  4.571311E-29  1.000000E-30  1.106896E-30  1.113045E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.004716E-30  4.939987E-29  1.000000E-30  1.111250E-30  1.117625E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.004908E-30  5.331367E-29  1.000000E-30  1.115698E-30  1.122300E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.005104E-30  5.747875E-29  1.000000E-30  1.120254E-30  1.127088E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.005306E-30  6.192466E-29  1.000000E-30  1.124939E-30  1.132008E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.005515E-30  6.668878E-29  1.000000E-30  1.129776E-30  1.137086E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.005732E-30  7.182068E-29  1.000000E-30  1.134798E-30  1.142355E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.005960E-30  7.739055E-29  1.000000E-30  1.140050E-30  1.147862E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.006201E-30  8.350829E-29  1.000000E-30  1.145606E-30  1.153686E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.006462E-30  9.037951E-29  1.000000E-30  1.151612E-30  1.159977E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.006763E-30  9.862297E-29  1.000000E-30  1.158525E-30  1.167214E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.007088E-30  1.078944E-28  1.000000E-30  1.165968E-30  1.175000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.007420E-30  1.177913E-28  1.000000E-30  1.173572E-30  1.182949E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.007757E-30  1.282497E-28  1.000000E-30  1.181274E-30  1.190993E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.008098E-30  1.392490E-28  1.000000E-30  1.189047E-30  1.199106E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.008442E-30  1.507837E-28  1.000000E-30  1.196882E-30  1.207277E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.008790E-30  1.628552E-28  1.000000E-30  1.204773E-30  1.215500E-30  1.000000E-30  1.000000E-30  1.000000E-30
