 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sr103         sr104         sr105         sr106         sr107         sr108         sr109         sr110
     41  4.138876583201E-04  1.008269E-30  1.017341E-30  1.018842E-30  1.021636E-30  1.027889E-30  1.026467E-30  1.030954E-30  1.029314E-30
     42  4.432651277490E-04  1.008853E-30  1.018569E-30  1.020177E-30  1.023170E-30  1.029866E-30  1.028362E-30  1.033135E-30  1.031372E-30
     43  4.720041568584E-04  1.009425E-30  1.019771E-30  1.021484E-30  1.024671E-30  1.031800E-30  1.030218E-30  1.035266E-30  1.033383E-30
     44  5.002792532552E-04  1.009987E-30  1.020953E-30  1.022769E-30  1.026148E-30  1.033702E-30  1.032047E-30  1.037361E-30  1.035358E-30
     45  5.282472522620E-04  1.010543E-30  1.022121E-30  1.024040E-30  1.027608E-30  1.035583E-30  1.033857E-30  1.039430E-30  1.037309E-30
     46  5.560479783168E-04  1.011095E-30  1.023283E-30  1.025304E-30  1.029059E-30  1.037453E-30  1.035658E-30  1.041486E-30  1.039246E-30
     47  5.838060709037E-04  1.011646E-30  1.024442E-30  1.026565E-30  1.030508E-30  1.039319E-30  1.037458E-30  1.043536E-30  1.041177E-30
     48  6.116334118686E-04  1.012198E-30  1.025604E-30  1.027829E-30  1.031961E-30  1.041190E-30  1.039265E-30  1.045590E-30  1.043111E-30
     49  6.396318340541E-04  1.012754E-30  1.026773E-30  1.029102E-30  1.033422E-30  1.043071E-30  1.041085E-30  1.047654E-30  1.045053E-30
     50  6.678959636874E-04  1.013314E-30  1.027953E-30  1.030386E-30  1.034896E-30  1.044971E-30  1.042924E-30  1.049736E-30  1.047011E-30
     51  6.965161747902E-04  1.013881E-30  1.029147E-30  1.031686E-30  1.036390E-30  1.046894E-30  1.044788E-30  1.051842E-30  1.048992E-30
     52  7.255817382538E-04  1.014457E-30  1.030360E-30  1.033006E-30  1.037906E-30  1.048846E-30  1.046683E-30  1.053979E-30  1.051000E-30
     53  7.551843574001E-04  1.015043E-30  1.031594E-30  1.034351E-30  1.039450E-30  1.050835E-30  1.048615E-30  1.056153E-30  1.053042E-30
     54  7.854224313090E-04  1.015642E-30  1.032855E-30  1.035724E-30  1.041027E-30  1.052865E-30  1.050590E-30  1.058372E-30  1.055125E-30
     55  8.164066374138E-04  1.016255E-30  1.034147E-30  1.037131E-30  1.042643E-30  1.054945E-30  1.052617E-30  1.060642E-30  1.057256E-30
     56  8.482679080764E-04  1.016885E-30  1.035475E-30  1.038578E-30  1.044304E-30  1.057084E-30  1.054703E-30  1.062975E-30  1.059445E-30
