 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                h2            h3            he3           li6           li7           li8           li9           be7  
     41  4.138876583201E-04  1.072512E-30  1.815308E-29  1.000000E-30  1.000000E-30  1.119028E-28  1.003673E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.083106E-30  1.937060E-29  1.000000E-30  1.000000E-30  1.197744E-28  1.004208E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.094169E-30  2.056165E-29  1.000000E-30  1.000000E-30  1.274748E-28  1.004766E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.105730E-30  2.173348E-29  1.000000E-30  1.000000E-30  1.350509E-28  1.005350E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.117824E-30  2.289258E-29  1.000000E-30  1.000000E-30  1.425446E-28  1.005960E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.130497E-30  2.404475E-29  1.000000E-30  1.000000E-30  1.499936E-28  1.006599E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.143797E-30  2.519515E-29  1.000000E-30  1.000000E-30  1.574310E-28  1.007270E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.157779E-30  2.634842E-29  1.000000E-30  1.000000E-30  1.648870E-28  1.007975E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.172504E-30  2.750878E-29  1.000000E-30  1.000000E-30  1.723888E-28  1.008717E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.188036E-30  2.868016E-29  1.000000E-30  1.000000E-30  1.799618E-28  1.009500E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.204447E-30  2.986629E-29  1.000000E-30  1.000000E-30  1.876301E-28  1.010327E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.221818E-30  3.107088E-29  1.000000E-30  1.000000E-30  1.954177E-28  1.011202E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.240241E-30  3.229772E-29  1.000000E-30  1.000000E-30  2.033492E-28  1.012130E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.259819E-30  3.355090E-29  1.000000E-30  1.000000E-30  2.114509E-28  1.013115E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.280678E-30  3.483501E-29  1.000000E-30  1.000000E-30  2.197524E-28  1.014165E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.302970E-30  3.615546E-29  1.000000E-30  1.000000E-30  2.282889E-28  1.015287E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.326887E-30  3.751904E-29  1.000000E-30  1.000000E-30  2.371043E-28  1.016491E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.352684E-30  3.893479E-29  1.000000E-30  1.000000E-30  2.462567E-28  1.017789E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.380719E-30  4.041570E-29  1.000000E-30  1.000000E-30  2.558304E-28  1.019199E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.411556E-30  4.198271E-29  1.000000E-30  1.000000E-30  2.659607E-28  1.020750E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.446244E-30  4.367653E-29  1.000000E-30  1.000000E-30  2.769107E-28  1.022493E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.487932E-30  4.562692E-29  1.000000E-30  1.000000E-30  2.895192E-28  1.024589E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.534908E-30  4.772700E-29  1.000000E-30  1.000000E-30  3.030953E-28  1.026949E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.585154E-30  4.987317E-29  1.000000E-30  1.000000E-30  3.169692E-28  1.029473E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.638362E-30  5.204719E-29  1.000000E-30  1.000000E-30  3.310230E-28  1.032144E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.694439E-30  5.424203E-29  1.000000E-30  1.000000E-30  3.452114E-28  1.034959E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.753371E-30  5.645467E-29  1.000000E-30  1.000000E-30  3.595147E-28  1.037916E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.815178E-30  5.868369E-29  1.000000E-30  1.000000E-30  3.739237E-28  1.041017E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.879894E-30  6.092838E-29  1.000000E-30  1.000000E-30  3.884339E-28  1.044262E-30  1.000000E-30  1.000000E-30
