 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                w205          w206          w207          w208          w209          w210          w211          w212 
     41  4.138876583201E-04  1.001121E-30  1.007178E-30  1.000000E-30  1.007141E-30  1.002201E-30  1.004336E-30  1.001213E-30  1.005249E-30
     42  4.432651277490E-04  1.001201E-30  1.007687E-30  1.000000E-30  1.007647E-30  1.002358E-30  1.004644E-30  1.001301E-30  1.005624E-30
     43  4.720041568584E-04  1.001280E-30  1.008185E-30  1.000000E-30  1.008142E-30  1.002512E-30  1.004946E-30  1.001387E-30  1.005990E-30
     44  5.002792532552E-04  1.001357E-30  1.008675E-30  1.000000E-30  1.008630E-30  1.002664E-30  1.005242E-30  1.001473E-30  1.006351E-30
     45  5.282472522620E-04  1.001433E-30  1.009160E-30  1.000000E-30  1.009112E-30  1.002814E-30  1.005536E-30  1.001557E-30  1.006708E-30
     46  5.560479783168E-04  1.001509E-30  1.009641E-30  1.000000E-30  1.009591E-30  1.002963E-30  1.005827E-30  1.001642E-30  1.007063E-30
     47  5.838060709037E-04  1.001585E-30  1.010122E-30  1.000000E-30  1.010069E-30  1.003112E-30  1.006119E-30  1.001726E-30  1.007418E-30
     48  6.116334118686E-04  1.001661E-30  1.010605E-30  1.000000E-30  1.010549E-30  1.003262E-30  1.006411E-30  1.001811E-30  1.007774E-30
     49  6.396318340541E-04  1.001738E-30  1.011090E-30  1.000000E-30  1.011031E-30  1.003413E-30  1.006705E-30  1.001897E-30  1.008133E-30
     50  6.678959636874E-04  1.001815E-30  1.011579E-30  1.000000E-30  1.011518E-30  1.003565E-30  1.007002E-30  1.001984E-30  1.008495E-30
     51  6.965161747902E-04  1.001894E-30  1.012075E-30  1.000000E-30  1.012011E-30  1.003720E-30  1.007302E-30  1.002072E-30  1.008861E-30
     52  7.255817382538E-04  1.001974E-30  1.012579E-30  1.000000E-30  1.012511E-30  1.003877E-30  1.007608E-30  1.002162E-30  1.009234E-30
     53  7.551843574001E-04  1.002055E-30  1.013091E-30  1.000000E-30  1.013021E-30  1.004037E-30  1.007918E-30  1.002254E-30  1.009614E-30
     54  7.854224313090E-04  1.002138E-30  1.013615E-30  1.000000E-30  1.013542E-30  1.004201E-30  1.008236E-30  1.002348E-30  1.010002E-30
     55  8.164066374138E-04  1.002223E-30  1.014152E-30  1.000000E-30  1.014075E-30  1.004369E-30  1.008562E-30  1.002445E-30  1.010400E-30
     56  8.482679080764E-04  1.002311E-30  1.014704E-30  1.000000E-30  1.014624E-30  1.004541E-30  1.008897E-30  1.002544E-30  1.010810E-30
     57  8.811699017317E-04  1.002402E-30  1.015273E-30  1.000000E-30  1.015190E-30  1.004720E-30  1.009242E-30  1.002648E-30  1.011233E-30
     58  9.153304977871E-04  1.002496E-30  1.015865E-30  1.000000E-30  1.015778E-30  1.004906E-30  1.009602E-30  1.002755E-30  1.011673E-30
     59  9.510634923056E-04  1.002594E-30  1.016484E-30  1.000000E-30  1.016393E-30  1.005100E-30  1.009977E-30  1.002868E-30  1.012133E-30
     60  9.888739022907E-04  1.002699E-30  1.017138E-30  1.000000E-30  1.017043E-30  1.005306E-30  1.010375E-30  1.002988E-30  1.012620E-30
     61  1.029744313280E-03  1.002812E-30  1.017846E-30  1.000000E-30  1.017746E-30  1.005529E-30  1.010805E-30  1.003119E-30  1.013148E-30
